,date,serial_number,model,capacity_bytes,failure,smart_1_normalized,smart_1_raw,smart_3_normalized,smart_4_normalized,smart_4_raw,smart_5_normalized,smart_5_raw,smart_7_normalized,smart_7_raw,smart_9_normalized,smart_9_raw,smart_12_normalized,smart_12_raw,smart_183_normalized,smart_183_raw,smart_184_normalized,smart_184_raw,smart_187_normalized,smart_187_raw,smart_188_normalized,smart_188_raw,smart_189_normalized,smart_189_raw,smart_190_normalized,smart_190_raw,smart_192_normalized,smart_192_raw,smart_193_normalized,smart_193_raw,smart_194_normalized,smart_194_raw,smart_197_normalized,smart_197_raw,smart_198_normalized,smart_198_raw,smart_199_raw,smart_240_raw,smart_241_raw,smart_242_raw
647,2022-10-01,S300A3S4,ST4000DM000,4000787030016,0,111.0,37016144.0,91.0,100.0,30.0,100.0,0.0,78.0,65200964.0,30.0,61509.0,100.0,29.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,72.0,28.0,100.0,0.0,94.0,12280.0,28.0,28.0,100.0,0.0,100.0,0.0,0.0,61420.0,73605717560.0,404800077264.0
648,2022-10-02,S300A3S4,ST4000DM000,4000787030016,0,117.0,152546368.0,91.0,100.0,30.0,100.0,0.0,78.0,67628619.0,30.0,61532.0,100.0,29.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,72.0,28.0,100.0,0.0,94.0,12280.0,28.0,28.0,100.0,0.0,100.0,0.0,0.0,61444.0,73607687032.0,405000629773.0
649,2022-10-03,S300A3S4,ST4000DM000,4000787030016,0,118.0,176382976.0,91.0,100.0,30.0,100.0,0.0,78.0,68892086.0,30.0,61556.0,100.0,29.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,72.0,28.0,100.0,0.0,94.0,12280.0,28.0,28.0,100.0,0.0,100.0,0.0,0.0,61468.0,73609376312.0,405190689981.0
650,2022-10-04,S300A3S4,ST4000DM000,4000787030016,0,117.0,122653544.0,91.0,100.0,30.0,100.0,0.0,78.0,71221478.0,30.0,61580.0,100.0,29.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,72.0,28.0,100.0,0.0,94.0,12280.0,28.0,28.0,100.0,0.0,100.0,0.0,0.0,61492.0,73611136840.0,405281579224.0
651,2022-10-05,S300A3S4,ST4000DM000,4000787030016,0,114.0,73730528.0,91.0,100.0,30.0,100.0,0.0,78.0,72545726.0,30.0,61603.0,100.0,29.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,72.0,28.0,100.0,0.0,94.0,12280.0,28.0,28.0,100.0,0.0,100.0,0.0,0.0,61515.0,73612676240.0,405491100091.0
652,2022-10-06,S300A3S4,ST4000DM000,4000787030016,0,119.0,208562776.0,91.0,100.0,30.0,100.0,0.0,78.0,73354596.0,30.0,61615.0,100.0,29.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,72.0,28.0,100.0,0.0,94.0,12280.0,28.0,28.0,100.0,0.0,100.0,0.0,0.0,61527.0,73613501896.0,405625055524.0
653,2022-10-07,S300A3S4,ST4000DM000,4000787030016,0,118.0,170271128.0,91.0,100.0,30.0,100.0,0.0,78.0,75051641.0,30.0,61639.0,100.0,29.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,72.0,28.0,100.0,0.0,94.0,12281.0,28.0,28.0,100.0,0.0,100.0,0.0,0.0,61551.0,73615049952.0,405873916826.0
654,2022-10-08,S300A3S4,ST4000DM000,4000787030016,0,111.0,41415480.0,91.0,100.0,30.0,100.0,0.0,78.0,76311196.0,30.0,61663.0,100.0,29.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,72.0,28.0,100.0,0.0,94.0,12281.0,28.0,28.0,100.0,0.0,100.0,0.0,0.0,61574.0,73616398248.0,406144498556.0
655,2022-10-09,S300A3S4,ST4000DM000,4000787030016,0,119.0,234740112.0,91.0,100.0,30.0,100.0,0.0,78.0,78897024.0,30.0,61686.0,100.0,29.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,72.0,28.0,100.0,0.0,94.0,12281.0,28.0,28.0,100.0,0.0,100.0,0.0,0.0,61598.0,73618029192.0,406418662848.0
656,2022-10-10,S300A3S4,ST4000DM000,4000787030016,0,119.0,222592416.0,91.0,100.0,31.0,100.0,0.0,78.0,81649625.0,30.0,61722.0,100.0,30.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,71.0,29.0,100.0,0.0,94.0,12286.0,29.0,29.0,100.0,0.0,100.0,0.0,0.0,61634.0,73620372960.0,406825367969.0
657,2022-10-11,S300A3S4,ST4000DM000,4000787030016,0,111.0,38560328.0,91.0,100.0,31.0,100.0,0.0,78.0,83855596.0,30.0,61746.0,100.0,30.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,71.0,29.0,100.0,0.0,94.0,12325.0,29.0,29.0,100.0,0.0,100.0,0.0,0.0,61657.0,73621348920.0,406889707116.0
658,2022-10-12,S300A3S4,ST4000DM000,4000787030016,0,115.0,96799128.0,91.0,100.0,31.0,100.0,0.0,79.0,84532769.0,30.0,61770.0,100.0,30.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,70.0,30.0,100.0,0.0,94.0,12327.0,30.0,30.0,100.0,0.0,100.0,0.0,0.0,61681.0,73622776664.0,407003915245.0
659,2022-10-13,S300A3S4,ST4000DM000,4000787030016,0,110.0,26516648.0,91.0,100.0,31.0,100.0,0.0,79.0,85303578.0,30.0,61793.0,100.0,30.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,71.0,29.0,100.0,0.0,94.0,12327.0,29.0,29.0,100.0,0.0,100.0,0.0,0.0,61705.0,73624476720.0,407158272251.0
660,2022-10-14,S300A3S4,ST4000DM000,4000787030016,0,116.0,102403416.0,91.0,100.0,31.0,100.0,0.0,79.0,86449295.0,30.0,61817.0,100.0,30.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,70.0,30.0,100.0,0.0,94.0,12327.0,30.0,30.0,100.0,0.0,100.0,0.0,0.0,61728.0,73626271576.0,407400633440.0
661,2022-10-15,S300A3S4,ST4000DM000,4000787030016,0,114.0,82528200.0,91.0,100.0,31.0,100.0,0.0,79.0,88178311.0,30.0,61841.0,100.0,30.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,70.0,30.0,100.0,0.0,94.0,12327.0,30.0,30.0,100.0,0.0,100.0,0.0,0.0,61752.0,73627644584.0,407658834539.0
662,2022-10-16,S300A3S4,ST4000DM000,4000787030016,0,119.0,215607416.0,91.0,100.0,31.0,100.0,0.0,79.0,90914436.0,30.0,61865.0,100.0,30.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,70.0,30.0,100.0,0.0,94.0,12327.0,30.0,30.0,100.0,0.0,100.0,0.0,0.0,61776.0,73629267376.0,407943713869.0
663,2022-10-17,S300A3S4,ST4000DM000,4000787030016,0,113.0,54314200.0,91.0,100.0,31.0,100.0,0.0,79.0,92036265.0,30.0,61888.0,100.0,30.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,70.0,30.0,100.0,0.0,94.0,12327.0,30.0,30.0,100.0,0.0,100.0,0.0,0.0,61800.0,73630912712.0,408170517661.0
664,2022-10-18,S300A3S4,ST4000DM000,4000787030016,0,119.0,206433432.0,91.0,100.0,31.0,100.0,0.0,79.0,93835379.0,30.0,61912.0,100.0,30.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,70.0,30.0,100.0,0.0,94.0,12331.0,30.0,30.0,100.0,0.0,100.0,0.0,0.0,61823.0,73632129472.0,408296272846.0
665,2022-10-19,S300A3S4,ST4000DM000,4000787030016,0,117.0,137239320.0,91.0,100.0,31.0,100.0,0.0,79.0,95347031.0,30.0,61936.0,100.0,30.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,70.0,30.0,100.0,0.0,94.0,12334.0,30.0,30.0,100.0,0.0,100.0,0.0,0.0,61847.0,73633526400.0,408484217696.0
