,date,serial_number,model,capacity_bytes,failure,smart_1_normalized,smart_1_raw,smart_3_normalized,smart_4_normalized,smart_4_raw,smart_5_normalized,smart_5_raw,smart_7_normalized,smart_7_raw,smart_9_normalized,smart_9_raw,smart_12_normalized,smart_12_raw,smart_183_normalized,smart_183_raw,smart_184_normalized,smart_184_raw,smart_187_normalized,smart_187_raw,smart_188_normalized,smart_188_raw,smart_189_normalized,smart_189_raw,smart_190_normalized,smart_190_raw,smart_192_normalized,smart_192_raw,smart_193_normalized,smart_193_raw,smart_194_normalized,smart_194_raw,smart_197_normalized,smart_197_raw,smart_198_normalized,smart_198_raw,smart_199_raw,smart_240_raw,smart_241_raw,smart_242_raw
831,2022-10-01,S300BBHQ,ST4000DM000,4000787030016,0,106.0,11150504.0,92.0,100.0,13.0,100.0,0.0,88.0,754526725.0,31.0,60978.0,100.0,13.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,80.0,20.0,100.0,0.0,91.0,19850.0,20.0,20.0,100.0,0.0,100.0,0.0,0.0,60906.0,62441551920.0,573854626287.0
832,2022-10-02,S300BBHQ,ST4000DM000,4000787030016,0,118.0,191973696.0,92.0,100.0,13.0,100.0,0.0,88.0,755412307.0,31.0,61001.0,100.0,13.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,80.0,20.0,100.0,0.0,91.0,19850.0,20.0,20.0,100.0,0.0,100.0,0.0,0.0,60930.0,62443509600.0,574089275626.0
833,2022-10-03,S300BBHQ,ST4000DM000,4000787030016,0,117.0,158113432.0,92.0,100.0,13.0,100.0,0.0,88.0,756850111.0,31.0,61025.0,100.0,13.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,80.0,20.0,100.0,0.0,91.0,19850.0,20.0,20.0,100.0,0.0,100.0,0.0,0.0,60954.0,62444948816.0,574342172116.0
834,2022-10-04,S300BBHQ,ST4000DM000,4000787030016,0,119.0,217045776.0,92.0,100.0,13.0,100.0,0.0,88.0,759514763.0,31.0,61048.0,100.0,13.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,80.0,20.0,100.0,0.0,91.0,19851.0,20.0,20.0,100.0,0.0,100.0,0.0,0.0,60977.0,62446506680.0,574632206461.0
835,2022-10-05,S300BBHQ,ST4000DM000,4000787030016,0,112.0,43540904.0,92.0,100.0,13.0,100.0,0.0,88.0,759801640.0,31.0,61072.0,100.0,13.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,80.0,20.0,100.0,0.0,91.0,19852.0,20.0,20.0,100.0,0.0,100.0,0.0,0.0,61001.0,62447607816.0,574770065812.0
836,2022-10-06,S300BBHQ,ST4000DM000,4000787030016,0,110.0,28322776.0,92.0,100.0,13.0,100.0,0.0,88.0,761172165.0,31.0,61095.0,100.0,13.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,80.0,20.0,100.0,0.0,91.0,19895.0,20.0,20.0,100.0,0.0,100.0,0.0,0.0,61024.0,62448704600.0,574861863158.0
837,2022-10-07,S300BBHQ,ST4000DM000,4000787030016,0,112.0,42549704.0,92.0,100.0,13.0,100.0,0.0,88.0,761763575.0,31.0,61119.0,100.0,13.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,80.0,20.0,100.0,0.0,91.0,19895.0,20.0,20.0,100.0,0.0,100.0,0.0,0.0,61048.0,62450075744.0,575191290764.0
838,2022-10-08,S300BBHQ,ST4000DM000,4000787030016,0,119.0,212982288.0,92.0,100.0,13.0,100.0,0.0,88.0,762920480.0,31.0,61143.0,100.0,13.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,80.0,20.0,100.0,0.0,91.0,19896.0,20.0,20.0,100.0,0.0,100.0,0.0,0.0,61071.0,62451402832.0,575523097377.0
839,2022-10-09,S300BBHQ,ST4000DM000,4000787030016,0,111.0,33731776.0,92.0,100.0,13.0,100.0,0.0,88.0,764287231.0,31.0,61166.0,100.0,13.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,80.0,20.0,100.0,0.0,91.0,19896.0,20.0,20.0,100.0,0.0,100.0,0.0,0.0,61095.0,62452870104.0,575802173899.0
840,2022-10-10,S300BBHQ,ST4000DM000,4000787030016,0,118.0,198583112.0,92.0,100.0,13.0,100.0,0.0,88.0,765779505.0,31.0,61190.0,100.0,13.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,80.0,20.0,100.0,0.0,91.0,19897.0,20.0,20.0,100.0,0.0,100.0,0.0,0.0,61119.0,62454265816.0,576041706274.0
841,2022-10-11,S300BBHQ,ST4000DM000,4000787030016,0,114.0,77549744.0,92.0,100.0,13.0,100.0,0.0,88.0,767818555.0,31.0,61213.0,100.0,13.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,80.0,20.0,100.0,0.0,91.0,19897.0,20.0,20.0,100.0,0.0,100.0,0.0,0.0,61142.0,62455715312.0,576194301543.0
842,2022-10-12,S300BBHQ,ST4000DM000,4000787030016,0,120.0,237964016.0,92.0,100.0,13.0,100.0,0.0,88.0,768645260.0,31.0,61237.0,100.0,13.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,80.0,20.0,100.0,0.0,91.0,19898.0,20.0,20.0,100.0,0.0,100.0,0.0,0.0,61166.0,62457404384.0,576327820104.0
843,2022-10-13,S300BBHQ,ST4000DM000,4000787030016,0,110.0,28218304.0,92.0,100.0,13.0,100.0,0.0,88.0,770035815.0,31.0,61261.0,100.0,13.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,80.0,20.0,100.0,0.0,91.0,19947.0,20.0,20.0,100.0,0.0,100.0,0.0,0.0,61189.0,62458482384.0,576410280377.0
844,2022-10-14,S300BBHQ,ST4000DM000,4000787030016,0,118.0,188793504.0,92.0,100.0,13.0,100.0,0.0,88.0,771052164.0,31.0,61284.0,100.0,13.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,80.0,20.0,100.0,0.0,91.0,19954.0,20.0,20.0,100.0,0.0,100.0,0.0,0.0,61213.0,62459879184.0,576517202036.0
845,2022-10-15,S300BBHQ,ST4000DM000,4000787030016,0,107.0,13474424.0,92.0,100.0,13.0,100.0,0.0,88.0,771851523.0,31.0,61308.0,100.0,13.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,80.0,20.0,100.0,0.0,91.0,19955.0,20.0,20.0,100.0,0.0,100.0,0.0,0.0,61237.0,62460999440.0,576638165183.0
846,2022-10-16,S300BBHQ,ST4000DM000,4000787030016,0,110.0,25670608.0,92.0,100.0,13.0,100.0,0.0,88.0,772564669.0,30.0,61332.0,100.0,13.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,80.0,20.0,100.0,0.0,91.0,19955.0,20.0,20.0,100.0,0.0,100.0,0.0,0.0,61260.0,62462153624.0,576742961844.0
847,2022-10-17,S300BBHQ,ST4000DM000,4000787030016,0,114.0,72315864.0,92.0,100.0,13.0,100.0,0.0,88.0,773950855.0,30.0,61355.0,100.0,13.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,80.0,20.0,100.0,0.0,91.0,19955.0,20.0,20.0,100.0,0.0,100.0,0.0,0.0,61284.0,62463301832.0,576938009694.0
848,2022-10-18,S300BBHQ,ST4000DM000,4000787030016,0,117.0,153165248.0,92.0,100.0,13.0,100.0,0.0,88.0,776597165.0,30.0,61379.0,100.0,13.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,80.0,20.0,100.0,0.0,91.0,19955.0,20.0,20.0,100.0,0.0,100.0,0.0,0.0,61307.0,62465562264.0,577214181089.0
849,2022-10-19,S300BBHQ,ST4000DM000,4000787030016,0,117.0,145812800.0,92.0,100.0,13.0,100.0,0.0,88.0,778250965.0,30.0,61403.0,100.0,13.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,80.0,20.0,100.0,0.0,91.0,19955.0,20.0,20.0,100.0,0.0,100.0,0.0,0.0,61331.0,62466800296.0,577415536448.0
850,2022-10-20,S300BBHQ,ST4000DM000,4000787030016,0,110.0,28401248.0,92.0,100.0,13.0,100.0,0.0,88.0,779760932.0,30.0,61426.0,100.0,13.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,80.0,20.0,100.0,0.0,90.0,20029.0,20.0,20.0,100.0,0.0,100.0,0.0,0.0,61354.0,62467638560.0,577503037723.0
851,2022-10-21,S300BBHQ,ST4000DM000,4000787030016,0,113.0,57207448.0,92.0,100.0,13.0,100.0,0.0,88.0,781179104.0,30.0,61450.0,100.0,13.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,80.0,20.0,100.0,0.0,90.0,20029.0,20.0,20.0,100.0,0.0,100.0,0.0,0.0,61378.0,62469080928.0,577726439939.0
852,2022-10-22,S300BBHQ,ST4000DM000,4000787030016,0,119.0,222002000.0,92.0,100.0,13.0,100.0,0.0,88.0,782146351.0,30.0,61473.0,100.0,13.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,80.0,20.0,100.0,0.0,90.0,20030.0,20.0,20.0,100.0,0.0,100.0,0.0,0.0,61402.0,62470650696.0,577903153002.0
