,date,serial_number,model,capacity_bytes,failure,smart_1_normalized,smart_1_raw,smart_3_normalized,smart_4_normalized,smart_4_raw,smart_5_normalized,smart_5_raw,smart_7_normalized,smart_7_raw,smart_9_normalized,smart_9_raw,smart_12_normalized,smart_12_raw,smart_183_normalized,smart_183_raw,smart_184_normalized,smart_184_raw,smart_187_normalized,smart_187_raw,smart_188_normalized,smart_188_raw,smart_189_normalized,smart_189_raw,smart_190_normalized,smart_190_raw,smart_192_normalized,smart_192_raw,smart_193_normalized,smart_193_raw,smart_194_normalized,smart_194_raw,smart_197_normalized,smart_197_raw,smart_198_normalized,smart_198_raw,smart_199_raw,smart_240_raw,smart_241_raw,smart_242_raw
923,2022-10-01,S300BM2S,ST4000DM000,4000787030016,0,119.0,212723792.0,91.0,100.0,19.0,100.0,0.0,89.0,856702728.0,27.0,64707.0,100.0,19.0,99.0,1.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,80.0,20.0,100.0,0.0,93.0,15753.0,20.0,20.0,100.0,0.0,100.0,0.0,90.0,64653.0,77659090440.0,386687264191.0
924,2022-10-02,S300BM2S,ST4000DM000,4000787030016,0,117.0,160825152.0,91.0,100.0,19.0,100.0,0.0,89.0,857807465.0,27.0,64730.0,100.0,19.0,99.0,1.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,80.0,20.0,100.0,0.0,93.0,15753.0,20.0,20.0,100.0,0.0,100.0,0.0,90.0,64676.0,77660655584.0,386931942401.0
925,2022-10-03,S300BM2S,ST4000DM000,4000787030016,0,118.0,182634200.0,91.0,100.0,19.0,100.0,0.0,89.0,858680567.0,27.0,64754.0,100.0,19.0,99.0,1.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,80.0,20.0,100.0,0.0,93.0,15753.0,20.0,20.0,100.0,0.0,100.0,0.0,90.0,64700.0,77661926248.0,387162580377.0
926,2022-10-04,S300BM2S,ST4000DM000,4000787030016,0,114.0,80799888.0,91.0,100.0,19.0,100.0,0.0,89.0,859979865.0,27.0,64777.0,100.0,19.0,99.0,1.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,80.0,20.0,100.0,0.0,93.0,15753.0,20.0,20.0,100.0,0.0,100.0,0.0,90.0,64723.0,77663557160.0,387458586303.0
927,2022-10-05,S300BM2S,ST4000DM000,4000787030016,0,118.0,184473824.0,91.0,100.0,19.0,100.0,0.0,89.0,862970676.0,27.0,64801.0,100.0,19.0,99.0,1.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,80.0,20.0,100.0,0.0,93.0,15753.0,20.0,20.0,100.0,0.0,100.0,0.0,90.0,64746.0,77664741576.0,387816726725.0
928,2022-10-06,S300BM2S,ST4000DM000,4000787030016,0,118.0,180384552.0,91.0,100.0,19.0,100.0,0.0,89.0,865391169.0,26.0,64824.0,100.0,19.0,99.0,1.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,80.0,20.0,100.0,0.0,93.0,15755.0,20.0,20.0,100.0,0.0,100.0,0.0,90.0,64770.0,77666543008.0,388051344738.0
929,2022-10-07,S300BM2S,ST4000DM000,4000787030016,0,108.0,16602744.0,91.0,100.0,19.0,100.0,0.0,89.0,866717602.0,26.0,64848.0,100.0,19.0,99.0,1.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,80.0,20.0,100.0,0.0,93.0,15758.0,20.0,20.0,100.0,0.0,100.0,0.0,90.0,64793.0,77667797152.0,388195364363.0
930,2022-10-08,S300BM2S,ST4000DM000,4000787030016,0,120.0,240239544.0,91.0,100.0,19.0,100.0,0.0,89.0,868511843.0,26.0,64871.0,100.0,19.0,99.0,1.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,80.0,20.0,100.0,0.0,93.0,15759.0,20.0,20.0,100.0,0.0,100.0,0.0,90.0,64817.0,77669056592.0,388276311344.0
931,2022-10-09,S300BM2S,ST4000DM000,4000787030016,0,112.0,45353512.0,91.0,100.0,19.0,100.0,0.0,89.0,869685988.0,26.0,64895.0,100.0,19.0,99.0,1.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,78.0,22.0,100.0,0.0,93.0,15759.0,22.0,22.0,100.0,0.0,100.0,0.0,90.0,64840.0,77675871264.0,388453876168.0
932,2022-10-10,S300BM2S,ST4000DM000,4000787030016,0,117.0,163441760.0,91.0,100.0,19.0,100.0,0.0,89.0,870854782.0,26.0,64918.0,100.0,19.0,99.0,1.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,80.0,20.0,100.0,0.0,93.0,15759.0,20.0,20.0,100.0,0.0,100.0,0.0,90.0,64864.0,77677330080.0,388620460107.0
933,2022-10-11,S300BM2S,ST4000DM000,4000787030016,0,117.0,138110440.0,91.0,100.0,19.0,100.0,0.0,89.0,872128073.0,26.0,64942.0,100.0,19.0,99.0,1.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,80.0,20.0,100.0,0.0,93.0,15759.0,20.0,20.0,100.0,0.0,100.0,0.0,90.0,64887.0,77678704000.0,388797147057.0
