,date,serial_number,model,capacity_bytes,failure,smart_1_normalized,smart_1_raw,smart_3_normalized,smart_4_normalized,smart_4_raw,smart_5_normalized,smart_5_raw,smart_7_normalized,smart_7_raw,smart_9_normalized,smart_9_raw,smart_12_normalized,smart_12_raw,smart_183_normalized,smart_183_raw,smart_184_normalized,smart_184_raw,smart_187_normalized,smart_187_raw,smart_188_normalized,smart_188_raw,smart_189_normalized,smart_189_raw,smart_190_normalized,smart_190_raw,smart_192_normalized,smart_192_raw,smart_193_normalized,smart_193_raw,smart_194_normalized,smart_194_raw,smart_197_normalized,smart_197_raw,smart_198_normalized,smart_198_raw,smart_199_raw,smart_240_raw,smart_241_raw,smart_242_raw
1291,2022-10-01,S300FEX3,ST4000DM000,4000787030016,0,117.0,117837328.0,93.0,100.0,7.0,100.0,0.0,78.0,73034683.0,36.0,56858.0,100.0,7.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,80.0,20.0,100.0,0.0,100.0,1323.0,20.0,20.0,100.0,0.0,100.0,0.0,0.0,56853.0,61861649008.0,383829180345.0
1292,2022-10-02,S300FEX3,ST4000DM000,4000787030016,0,118.0,188613624.0,93.0,100.0,7.0,100.0,0.0,78.0,74580833.0,36.0,56882.0,100.0,7.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,80.0,20.0,100.0,0.0,100.0,1323.0,20.0,20.0,100.0,0.0,100.0,0.0,0.0,56876.0,61863674216.0,384092074488.0
1293,2022-10-03,S300FEX3,ST4000DM000,4000787030016,0,119.0,211166680.0,93.0,100.0,7.0,100.0,0.0,78.0,75492566.0,36.0,56906.0,100.0,7.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,80.0,20.0,100.0,0.0,100.0,1323.0,20.0,20.0,100.0,0.0,100.0,0.0,0.0,56900.0,61865361984.0,384355395056.0
1294,2022-10-04,S300FEX3,ST4000DM000,4000787030016,0,111.0,30397560.0,93.0,100.0,7.0,100.0,0.0,78.0,77371974.0,36.0,56930.0,100.0,7.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,80.0,20.0,100.0,0.0,100.0,1323.0,20.0,20.0,100.0,0.0,100.0,0.0,0.0,56924.0,61880180312.0,384513443704.0
1295,2022-10-05,S300FEX3,ST4000DM000,4000787030016,0,118.0,186537464.0,93.0,100.0,7.0,100.0,0.0,78.0,78659823.0,35.0,56953.0,100.0,7.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,80.0,20.0,100.0,0.0,100.0,1323.0,20.0,20.0,100.0,0.0,100.0,0.0,0.0,56948.0,61881724040.0,384871600020.0
1296,2022-10-06,S300FEX3,ST4000DM000,4000787030016,0,119.0,227903928.0,93.0,100.0,7.0,100.0,0.0,78.0,79713775.0,35.0,56977.0,100.0,7.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,80.0,20.0,100.0,0.0,100.0,1323.0,20.0,20.0,100.0,0.0,100.0,0.0,0.0,56971.0,61883150272.0,385073254053.0
1297,2022-10-07,S300FEX3,ST4000DM000,4000787030016,0,119.0,204529368.0,93.0,100.0,7.0,100.0,0.0,78.0,80181298.0,35.0,57001.0,100.0,7.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,80.0,20.0,100.0,0.0,100.0,1323.0,20.0,20.0,100.0,0.0,100.0,0.0,0.0,56995.0,61884621400.0,385145432930.0
1298,2022-10-08,S300FEX3,ST4000DM000,4000787030016,0,119.0,227779048.0,93.0,100.0,7.0,100.0,0.0,78.0,82312893.0,35.0,57025.0,100.0,7.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,80.0,20.0,100.0,0.0,100.0,1323.0,20.0,20.0,100.0,0.0,100.0,0.0,0.0,57019.0,61886375000.0,385373823642.0
1299,2022-10-09,S300FEX3,ST4000DM000,4000787030016,0,117.0,161616192.0,93.0,100.0,7.0,100.0,0.0,79.0,84288213.0,35.0,57048.0,100.0,7.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,79.0,21.0,100.0,0.0,100.0,1323.0,21.0,21.0,100.0,0.0,100.0,0.0,0.0,57042.0,61888120736.0,385595191966.0
1300,2022-10-10,S300FEX3,ST4000DM000,4000787030016,0,117.0,149272096.0,93.0,100.0,7.0,100.0,0.0,79.0,85320241.0,35.0,57072.0,100.0,7.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,80.0,20.0,100.0,0.0,100.0,1323.0,20.0,20.0,100.0,0.0,100.0,0.0,0.0,57066.0,61889623344.0,385746618563.0
