,date,serial_number,model,capacity_bytes,failure,smart_1_normalized,smart_1_raw,smart_3_normalized,smart_4_normalized,smart_4_raw,smart_5_normalized,smart_5_raw,smart_7_normalized,smart_7_raw,smart_9_normalized,smart_9_raw,smart_12_normalized,smart_12_raw,smart_183_normalized,smart_183_raw,smart_184_normalized,smart_184_raw,smart_187_normalized,smart_187_raw,smart_188_normalized,smart_188_raw,smart_189_normalized,smart_189_raw,smart_190_normalized,smart_190_raw,smart_192_normalized,smart_192_raw,smart_193_normalized,smart_193_raw,smart_194_normalized,smart_194_raw,smart_197_normalized,smart_197_raw,smart_198_normalized,smart_198_raw,smart_199_raw,smart_240_raw,smart_241_raw,smart_242_raw
1566,2022-10-01,S300J8F0,ST4000DM000,4000787030016,0,115.0,90188608.0,92.0,100.0,15.0,99.0,560.0,88.0,790155797.0,32.0,59878.0,100.0,15.0,98.0,2.0,100.0,0.0,94.0,6.0,100.0,0.0,100.0,0.0,84.0,16.0,100.0,1.0,96.0,9101.0,16.0,16.0,100.0,0.0,100.0,0.0,0.0,59829.0,71801970440.0,1057245214756.0
1567,2022-10-02,S300J8F0,ST4000DM000,4000787030016,0,118.0,189884320.0,92.0,100.0,15.0,99.0,560.0,88.0,793709200.0,32.0,59902.0,100.0,15.0,98.0,2.0,100.0,0.0,94.0,6.0,100.0,0.0,100.0,0.0,84.0,16.0,100.0,1.0,96.0,9101.0,16.0,16.0,100.0,0.0,100.0,0.0,0.0,59853.0,71815572080.0,1057553624756.0
1568,2022-10-03,S300J8F0,ST4000DM000,4000787030016,0,108.0,19885712.0,92.0,100.0,15.0,99.0,560.0,88.0,795169592.0,32.0,59926.0,100.0,15.0,98.0,2.0,100.0,0.0,94.0,6.0,100.0,0.0,100.0,0.0,84.0,16.0,100.0,1.0,96.0,9101.0,16.0,16.0,100.0,0.0,100.0,0.0,0.0,59877.0,71820224024.0,1057774350664.0
1569,2022-10-04,S300J8F0,ST4000DM000,4000787030016,0,115.0,89703560.0,92.0,100.0,15.0,99.0,560.0,88.0,797122004.0,32.0,59950.0,100.0,15.0,98.0,2.0,100.0,0.0,94.0,6.0,100.0,0.0,100.0,0.0,84.0,16.0,100.0,1.0,96.0,9101.0,16.0,16.0,100.0,0.0,100.0,0.0,0.0,59901.0,71827479552.0,1057961579109.0
1570,2022-10-05,S300J8F0,ST4000DM000,4000787030016,0,114.0,74819992.0,92.0,100.0,15.0,99.0,560.0,88.0,798825416.0,32.0,59975.0,100.0,15.0,98.0,2.0,100.0,0.0,94.0,6.0,100.0,0.0,100.0,0.0,84.0,16.0,100.0,1.0,96.0,9101.0,16.0,16.0,100.0,0.0,100.0,0.0,0.0,59926.0,71833284936.0,1058170028629.0
1571,2022-10-06,S300J8F0,ST4000DM000,4000787030016,0,117.0,167404800.0,92.0,100.0,15.0,99.0,560.0,88.0,800659285.0,32.0,59999.0,100.0,15.0,98.0,2.0,100.0,0.0,94.0,6.0,100.0,0.0,100.0,0.0,84.0,16.0,100.0,1.0,96.0,9101.0,16.0,16.0,100.0,0.0,100.0,0.0,0.0,59950.0,71836842816.0,1058432322010.0
1572,2022-10-07,S300J8F0,ST4000DM000,4000787030016,0,117.0,135041656.0,92.0,100.0,15.0,99.0,560.0,88.0,802253426.0,32.0,60023.0,100.0,15.0,98.0,2.0,100.0,0.0,94.0,6.0,100.0,0.0,100.0,0.0,84.0,16.0,100.0,1.0,96.0,9101.0,16.0,16.0,100.0,0.0,100.0,0.0,0.0,59973.0,71841951456.0,1058703719040.0
1573,2022-10-08,S300J8F0,ST4000DM000,4000787030016,0,117.0,140837712.0,92.0,100.0,15.0,99.0,560.0,88.0,803188312.0,32.0,60046.0,100.0,15.0,98.0,2.0,100.0,0.0,94.0,6.0,100.0,0.0,100.0,0.0,84.0,16.0,100.0,1.0,96.0,9101.0,16.0,16.0,100.0,0.0,100.0,0.0,0.0,59997.0,71847435440.0,1058954071795.0
1574,2022-10-09,S300J8F0,ST4000DM000,4000787030016,0,116.0,109277680.0,92.0,100.0,15.0,99.0,560.0,89.0,806281992.0,32.0,60070.0,100.0,15.0,98.0,2.0,100.0,0.0,94.0,6.0,100.0,0.0,100.0,0.0,84.0,16.0,100.0,1.0,96.0,9101.0,16.0,16.0,100.0,0.0,100.0,0.0,0.0,60021.0,71862192384.0,1059219151524.0
1575,2022-10-10,S300J8F0,ST4000DM000,4000787030016,0,117.0,164898752.0,92.0,100.0,15.0,99.0,560.0,89.0,807406072.0,32.0,60094.0,100.0,15.0,98.0,2.0,100.0,0.0,94.0,6.0,100.0,0.0,100.0,0.0,84.0,16.0,100.0,1.0,96.0,9101.0,16.0,16.0,100.0,0.0,100.0,0.0,0.0,60045.0,71865872304.0,1059499015413.0
1576,2022-10-11,S300J8F0,ST4000DM000,4000787030016,0,104.0,6321096.0,92.0,100.0,15.0,99.0,560.0,89.0,808944279.0,32.0,60118.0,100.0,15.0,98.0,2.0,100.0,0.0,94.0,6.0,100.0,0.0,100.0,0.0,84.0,16.0,100.0,1.0,96.0,9101.0,16.0,16.0,100.0,0.0,100.0,0.0,0.0,60068.0,71872826536.0,1059687474137.0
