,date,serial_number,model,capacity_bytes,failure,smart_1_normalized,smart_1_raw,smart_3_normalized,smart_4_normalized,smart_4_raw,smart_5_normalized,smart_5_raw,smart_7_normalized,smart_7_raw,smart_9_normalized,smart_9_raw,smart_12_normalized,smart_12_raw,smart_183_normalized,smart_183_raw,smart_184_normalized,smart_184_raw,smart_187_normalized,smart_187_raw,smart_188_normalized,smart_188_raw,smart_189_normalized,smart_189_raw,smart_190_normalized,smart_190_raw,smart_192_normalized,smart_192_raw,smart_193_normalized,smart_193_raw,smart_194_normalized,smart_194_raw,smart_197_normalized,smart_197_raw,smart_198_normalized,smart_198_raw,smart_199_raw,smart_240_raw,smart_241_raw,smart_242_raw
1658,2022-10-01,S300KRVB,ST4000DM000,4000787030016,0,114.0,77712928.0,91.0,100.0,31.0,100.0,0.0,89.0,894440024.0,30.0,61611.0,100.0,30.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,70.0,30.0,100.0,0.0,94.0,12986.0,30.0,30.0,100.0,0.0,100.0,0.0,0.0,61501.0,72713378664.0,388705335427.0
1659,2022-10-02,S300KRVB,ST4000DM000,4000787030016,0,112.0,45149704.0,91.0,100.0,31.0,100.0,0.0,89.0,897496316.0,30.0,61634.0,100.0,30.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,70.0,30.0,100.0,0.0,94.0,12986.0,30.0,30.0,100.0,0.0,100.0,0.0,0.0,61524.0,72715795392.0,388920237984.0
1660,2022-10-03,S300KRVB,ST4000DM000,4000787030016,0,118.0,184747056.0,91.0,100.0,31.0,100.0,0.0,89.0,898892692.0,30.0,61658.0,100.0,30.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,71.0,29.0,100.0,0.0,94.0,12986.0,29.0,29.0,100.0,0.0,100.0,0.0,0.0,61548.0,72717186488.0,389128581353.0
1661,2022-10-04,S300KRVB,ST4000DM000,4000787030016,0,117.0,148097488.0,91.0,100.0,31.0,100.0,0.0,89.0,900166842.0,30.0,61682.0,100.0,30.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,71.0,29.0,100.0,0.0,94.0,12992.0,29.0,29.0,100.0,0.0,100.0,0.0,0.0,61572.0,72718489384.0,389236231967.0
1662,2022-10-05,S300KRVB,ST4000DM000,4000787030016,0,116.0,114912576.0,91.0,100.0,31.0,100.0,0.0,89.0,902021329.0,30.0,61705.0,100.0,30.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,70.0,30.0,100.0,0.0,94.0,12992.0,30.0,30.0,100.0,0.0,100.0,0.0,0.0,61596.0,72720219600.0,389365596498.0
1663,2022-10-06,S300KRVB,ST4000DM000,4000787030016,0,113.0,52387544.0,91.0,100.0,31.0,100.0,0.0,89.0,903345000.0,30.0,61729.0,100.0,30.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,71.0,29.0,100.0,0.0,94.0,12993.0,29.0,29.0,100.0,0.0,100.0,0.0,0.0,61619.0,72721516952.0,389577435778.0
1664,2022-10-07,S300KRVB,ST4000DM000,4000787030016,0,119.0,225523792.0,91.0,100.0,31.0,100.0,0.0,89.0,904943266.0,30.0,61753.0,100.0,30.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,70.0,30.0,100.0,0.0,94.0,12993.0,30.0,30.0,100.0,0.0,100.0,0.0,0.0,61643.0,72722722528.0,389839380991.0
1665,2022-10-08,S300KRVB,ST4000DM000,4000787030016,0,113.0,53775184.0,91.0,100.0,31.0,100.0,0.0,89.0,906318322.0,30.0,61776.0,100.0,30.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,70.0,30.0,100.0,0.0,94.0,12993.0,30.0,30.0,100.0,0.0,100.0,0.0,0.0,61666.0,72723949600.0,390134499018.0
1666,2022-10-09,S300KRVB,ST4000DM000,4000787030016,0,118.0,198049408.0,91.0,100.0,31.0,100.0,0.0,89.0,909708327.0,30.0,61800.0,100.0,30.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,68.0,32.0,100.0,0.0,94.0,12993.0,32.0,32.0,100.0,0.0,100.0,0.0,0.0,61690.0,72725707360.0,390461247019.0
1667,2022-10-10,S300KRVB,ST4000DM000,4000787030016,0,119.0,218439248.0,91.0,100.0,31.0,100.0,0.0,89.0,911447162.0,30.0,61824.0,100.0,30.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,69.0,31.0,100.0,0.0,94.0,12993.0,31.0,31.0,100.0,0.0,100.0,0.0,0.0,61714.0,72727617304.0,390718345136.0
