,date,serial_number,model,capacity_bytes,failure,smart_1_normalized,smart_1_raw,smart_3_normalized,smart_4_normalized,smart_4_raw,smart_5_normalized,smart_5_raw,smart_7_normalized,smart_7_raw,smart_9_normalized,smart_9_raw,smart_12_normalized,smart_12_raw,smart_183_normalized,smart_183_raw,smart_184_normalized,smart_184_raw,smart_187_normalized,smart_187_raw,smart_188_normalized,smart_188_raw,smart_189_normalized,smart_189_raw,smart_190_normalized,smart_190_raw,smart_192_normalized,smart_192_raw,smart_193_normalized,smart_193_raw,smart_194_normalized,smart_194_raw,smart_197_normalized,smart_197_raw,smart_198_normalized,smart_198_raw,smart_199_raw,smart_240_raw,smart_241_raw,smart_242_raw
1894,2022-10-01,S300Q465,ST4000DM000,4000787030016,0,120.0,242281976.0,92.0,100.0,10.0,100.0,0.0,85.0,394159854.0,35.0,57147.0,100.0,10.0,99.0,1.0,100.0,0.0,93.0,7.0,100.0,0.0,100.0,0.0,77.0,23.0,100.0,1.0,99.0,2619.0,23.0,23.0,100.0,0.0,100.0,0.0,0.0,57134.0,61020692248.0,519896653961.0
1895,2022-10-02,S300Q465,ST4000DM000,4000787030016,0,117.0,120171152.0,92.0,100.0,10.0,100.0,0.0,85.0,395122252.0,35.0,57170.0,100.0,10.0,99.0,1.0,100.0,0.0,93.0,7.0,100.0,0.0,100.0,0.0,76.0,24.0,100.0,1.0,99.0,2619.0,24.0,24.0,100.0,0.0,100.0,0.0,0.0,57158.0,61022767024.0,520125447838.0
1896,2022-10-03,S300Q465,ST4000DM000,4000787030016,0,118.0,172785744.0,92.0,100.0,10.0,100.0,0.0,85.0,397094924.0,35.0,57194.0,100.0,10.0,99.0,1.0,100.0,0.0,93.0,7.0,100.0,0.0,100.0,0.0,75.0,25.0,100.0,1.0,99.0,2619.0,25.0,25.0,100.0,0.0,100.0,0.0,0.0,57182.0,61024810992.0,520436234212.0
1897,2022-10-04,S300Q465,ST4000DM000,4000787030016,0,117.0,154364776.0,92.0,100.0,10.0,100.0,0.0,85.0,400146383.0,35.0,57229.0,100.0,10.0,99.0,1.0,100.0,0.0,93.0,7.0,100.0,0.0,100.0,0.0,76.0,24.0,100.0,1.0,99.0,2619.0,24.0,24.0,100.0,0.0,100.0,0.0,0.0,57217.0,61027381136.0,520844945991.0
1898,2022-10-05,S300Q465,ST4000DM000,4000787030016,0,120.0,241093168.0,92.0,100.0,10.0,100.0,0.0,85.0,402312935.0,35.0,57253.0,100.0,10.0,99.0,1.0,100.0,0.0,93.0,7.0,100.0,0.0,100.0,0.0,76.0,24.0,100.0,1.0,99.0,2619.0,24.0,24.0,100.0,0.0,100.0,0.0,0.0,57241.0,61028675784.0,521063233836.0
1899,2022-10-06,S300Q465,ST4000DM000,4000787030016,0,115.0,92019576.0,92.0,100.0,10.0,100.0,0.0,86.0,403531537.0,35.0,57265.0,100.0,10.0,99.0,1.0,100.0,0.0,93.0,7.0,100.0,0.0,100.0,0.0,74.0,26.0,100.0,1.0,99.0,2619.0,26.0,26.0,100.0,0.0,100.0,0.0,0.0,57252.0,61029303048.0,521119922781.0
1900,2022-10-07,S300Q465,ST4000DM000,4000787030016,0,115.0,90824696.0,92.0,100.0,10.0,100.0,0.0,86.0,405156604.0,35.0,57288.0,100.0,10.0,99.0,1.0,100.0,0.0,93.0,7.0,100.0,0.0,100.0,0.0,75.0,25.0,100.0,1.0,99.0,2619.0,25.0,25.0,100.0,0.0,100.0,0.0,0.0,57276.0,61030890584.0,521373305237.0
1901,2022-10-08,S300Q465,ST4000DM000,4000787030016,0,119.0,212170768.0,92.0,100.0,10.0,100.0,0.0,86.0,406611660.0,35.0,57324.0,100.0,10.0,99.0,1.0,100.0,0.0,93.0,7.0,100.0,0.0,100.0,0.0,77.0,23.0,100.0,1.0,99.0,2619.0,23.0,23.0,100.0,0.0,100.0,0.0,0.0,57312.0,61032863192.0,521724066665.0
1902,2022-10-09,S300Q465,ST4000DM000,4000787030016,0,118.0,193781720.0,92.0,100.0,10.0,100.0,0.0,86.0,407604815.0,35.0,57348.0,100.0,10.0,99.0,1.0,100.0,0.0,93.0,7.0,100.0,0.0,100.0,0.0,76.0,24.0,100.0,1.0,99.0,2619.0,24.0,24.0,100.0,0.0,100.0,0.0,0.0,57336.0,61035957376.0,521978274468.0
1903,2022-10-10,S300Q465,ST4000DM000,4000787030016,0,119.0,216891176.0,92.0,100.0,10.0,100.0,0.0,86.0,410272039.0,35.0,57372.0,100.0,10.0,99.0,1.0,100.0,0.0,93.0,7.0,100.0,0.0,100.0,0.0,77.0,23.0,100.0,1.0,99.0,2619.0,23.0,23.0,100.0,0.0,100.0,0.0,0.0,57360.0,61037738248.0,522256548764.0
1904,2022-10-11,S300Q465,ST4000DM000,4000787030016,0,120.0,240046256.0,92.0,100.0,10.0,100.0,0.0,86.0,411356093.0,35.0,57396.0,100.0,10.0,99.0,1.0,100.0,0.0,93.0,7.0,100.0,0.0,100.0,0.0,77.0,23.0,100.0,1.0,99.0,2619.0,23.0,23.0,100.0,0.0,100.0,0.0,0.0,57383.0,61039676240.0,522522967701.0
1905,2022-10-12,S300Q465,ST4000DM000,4000787030016,0,118.0,173824592.0,92.0,100.0,10.0,100.0,0.0,86.0,411799800.0,35.0,57407.0,100.0,10.0,99.0,1.0,100.0,0.0,93.0,7.0,100.0,0.0,100.0,0.0,77.0,23.0,100.0,1.0,99.0,2619.0,23.0,23.0,100.0,0.0,100.0,0.0,0.0,57395.0,61040486416.0,522698937392.0
1906,2022-10-13,S300Q465,ST4000DM000,4000787030016,0,120.0,239435080.0,92.0,100.0,10.0,100.0,0.0,86.0,413835625.0,35.0,57431.0,100.0,10.0,99.0,1.0,100.0,0.0,93.0,7.0,100.0,0.0,100.0,0.0,76.0,24.0,100.0,1.0,99.0,2619.0,24.0,24.0,100.0,0.0,100.0,0.0,0.0,57419.0,61042035032.0,522873708106.0
1907,2022-10-14,S300Q465,ST4000DM000,4000787030016,0,119.0,232620472.0,92.0,100.0,10.0,100.0,0.0,86.0,415502460.0,35.0,57455.0,100.0,10.0,99.0,1.0,100.0,0.0,93.0,7.0,100.0,0.0,100.0,0.0,76.0,24.0,100.0,1.0,99.0,2619.0,24.0,24.0,100.0,0.0,100.0,0.0,0.0,57442.0,61044616568.0,527551954115.0
1908,2022-10-15,S300Q465,ST4000DM000,4000787030016,0,118.0,185815904.0,92.0,100.0,10.0,100.0,0.0,86.0,417015302.0,35.0,57478.0,100.0,10.0,99.0,1.0,100.0,0.0,93.0,7.0,100.0,0.0,100.0,0.0,75.0,25.0,100.0,1.0,99.0,2619.0,25.0,25.0,100.0,0.0,100.0,0.0,0.0,57466.0,61046110456.0,527822312871.0
1909,2022-10-16,S300Q465,ST4000DM000,4000787030016,0,102.0,4705632.0,92.0,100.0,10.0,100.0,0.0,86.0,418200950.0,35.0,57502.0,100.0,10.0,99.0,1.0,100.0,0.0,93.0,7.0,100.0,0.0,100.0,0.0,74.0,26.0,100.0,1.0,99.0,2619.0,26.0,26.0,100.0,0.0,100.0,0.0,0.0,57490.0,61047729968.0,528023430134.0
1910,2022-10-17,S300Q465,ST4000DM000,4000787030016,0,120.0,237032248.0,92.0,100.0,10.0,100.0,0.0,86.0,421522632.0,35.0,57537.0,100.0,10.0,99.0,1.0,100.0,0.0,93.0,7.0,100.0,0.0,100.0,0.0,75.0,25.0,100.0,1.0,99.0,2619.0,25.0,25.0,100.0,0.0,100.0,0.0,0.0,57525.0,61049873696.0,528408553053.0
1911,2022-10-18,S300Q465,ST4000DM000,4000787030016,0,119.0,214537408.0,92.0,100.0,10.0,100.0,0.0,86.0,423407333.0,35.0,57561.0,100.0,10.0,99.0,1.0,100.0,0.0,93.0,7.0,100.0,0.0,100.0,0.0,77.0,23.0,100.0,1.0,99.0,2619.0,23.0,23.0,100.0,0.0,100.0,0.0,0.0,57549.0,61051698248.0,528600832978.0
1912,2022-10-19,S300Q465,ST4000DM000,4000787030016,0,105.0,9391752.0,92.0,100.0,10.0,100.0,0.0,86.0,425055696.0,35.0,57584.0,100.0,10.0,99.0,1.0,100.0,0.0,93.0,7.0,100.0,0.0,100.0,0.0,78.0,22.0,100.0,1.0,99.0,2619.0,22.0,22.0,100.0,0.0,100.0,0.0,0.0,57572.0,61053060112.0,528802381816.0
1913,2022-10-20,S300Q465,ST4000DM000,4000787030016,0,120.0,239185848.0,92.0,100.0,10.0,100.0,0.0,86.0,427040675.0,35.0,57608.0,100.0,10.0,99.0,1.0,100.0,0.0,93.0,7.0,100.0,0.0,100.0,0.0,77.0,23.0,100.0,1.0,99.0,2619.0,23.0,23.0,100.0,0.0,100.0,0.0,0.0,57596.0,61054511352.0,528924506788.0
1914,2022-10-21,S300Q465,ST4000DM000,4000787030016,0,119.0,205205752.0,92.0,100.0,10.0,100.0,0.0,86.0,427996749.0,35.0,57632.0,100.0,10.0,99.0,1.0,100.0,0.0,93.0,7.0,100.0,0.0,100.0,0.0,77.0,23.0,100.0,1.0,99.0,2619.0,23.0,23.0,100.0,0.0,100.0,0.0,0.0,57619.0,61056191432.0,529060491592.0
1915,2022-10-22,S300Q465,ST4000DM000,4000787030016,0,118.0,192640544.0,92.0,100.0,10.0,100.0,0.0,86.0,429360100.0,35.0,57655.0,100.0,10.0,99.0,1.0,100.0,0.0,93.0,7.0,100.0,0.0,100.0,0.0,78.0,22.0,100.0,1.0,99.0,2619.0,22.0,22.0,100.0,0.0,100.0,0.0,0.0,57643.0,61057582256.0,529248866375.0
1916,2022-10-23,S300Q465,ST4000DM000,4000787030016,0,117.0,129135680.0,92.0,100.0,10.0,100.0,0.0,86.0,430617882.0,35.0,57679.0,100.0,10.0,99.0,1.0,100.0,0.0,93.0,7.0,100.0,0.0,100.0,0.0,78.0,22.0,100.0,1.0,99.0,2619.0,22.0,22.0,100.0,0.0,100.0,0.0,0.0,57667.0,61059095552.0,529493311652.0
1917,2022-10-24,S300Q465,ST4000DM000,4000787030016,0,120.0,239792856.0,92.0,100.0,10.0,100.0,0.0,86.0,433222340.0,35.0,57703.0,100.0,10.0,99.0,1.0,100.0,0.0,93.0,7.0,100.0,0.0,100.0,0.0,78.0,22.0,100.0,1.0,99.0,2619.0,22.0,22.0,100.0,0.0,100.0,0.0,0.0,57690.0,61060706280.0,529717715285.0
1918,2022-10-25,S300Q465,ST4000DM000,4000787030016,0,113.0,56965824.0,92.0,100.0,10.0,100.0,0.0,86.0,435061344.0,35.0,57726.0,100.0,10.0,99.0,1.0,100.0,0.0,93.0,7.0,100.0,0.0,100.0,0.0,78.0,22.0,100.0,1.0,99.0,2619.0,22.0,22.0,100.0,0.0,100.0,0.0,0.0,57714.0,61062457688.0,529899559187.0
1919,2022-10-26,S300Q465,ST4000DM000,4000787030016,0,118.0,173987984.0,92.0,100.0,10.0,100.0,0.0,86.0,436352278.0,35.0,57750.0,100.0,10.0,99.0,1.0,100.0,0.0,93.0,7.0,100.0,0.0,100.0,0.0,77.0,23.0,100.0,1.0,99.0,2619.0,23.0,23.0,100.0,0.0,100.0,0.0,0.0,57737.0,61064128656.0,530093856271.0
1920,2022-10-27,S300Q465,ST4000DM000,4000787030016,0,119.0,230397288.0,92.0,100.0,10.0,100.0,0.0,86.0,438252631.0,35.0,57773.0,100.0,10.0,99.0,1.0,100.0,0.0,93.0,7.0,100.0,0.0,100.0,0.0,77.0,23.0,100.0,1.0,99.0,2619.0,23.0,23.0,100.0,0.0,100.0,0.0,0.0,57761.0,61065409160.0,530186359457.0
1921,2022-10-28,S300Q465,ST4000DM000,4000787030016,0,120.0,1523496.0,92.0,100.0,10.0,100.0,0.0,86.0,439384913.0,35.0,57797.0,100.0,10.0,99.0,1.0,100.0,0.0,93.0,7.0,100.0,0.0,100.0,0.0,77.0,23.0,100.0,1.0,99.0,2619.0,23.0,23.0,100.0,0.0,100.0,0.0,0.0,57785.0,61067054408.0,530375216089.0
1922,2022-10-29,S300Q465,ST4000DM000,4000787030016,0,118.0,173814192.0,92.0,100.0,10.0,100.0,0.0,86.0,441119237.0,34.0,57832.0,100.0,10.0,99.0,1.0,100.0,0.0,93.0,7.0,100.0,0.0,100.0,0.0,75.0,25.0,100.0,1.0,99.0,2619.0,25.0,25.0,100.0,0.0,100.0,0.0,0.0,57820.0,61069040960.0,530677320913.0
1923,2022-10-30,S300Q465,ST4000DM000,4000787030016,0,114.0,76097504.0,92.0,100.0,10.0,100.0,0.0,86.0,441671638.0,34.0,57844.0,100.0,10.0,99.0,1.0,100.0,0.0,93.0,7.0,100.0,0.0,100.0,0.0,77.0,23.0,100.0,1.0,99.0,2619.0,23.0,23.0,100.0,0.0,100.0,0.0,0.0,57832.0,61069560688.0,530805637910.0
1924,2022-10-31,S300Q465,ST4000DM000,4000787030016,0,115.0,94530632.0,92.0,100.0,10.0,100.0,0.0,86.0,445192036.0,34.0,57879.0,100.0,10.0,99.0,1.0,100.0,0.0,93.0,7.0,100.0,0.0,100.0,0.0,77.0,23.0,100.0,1.0,99.0,2619.0,23.0,23.0,100.0,0.0,100.0,0.0,0.0,57867.0,61072383520.0,531247053657.0
1925,2022-11-01,S300Q465,ST4000DM000,4000787030016,0,117.0,165745544.0,92.0,100.0,10.0,100.0,0.0,86.0,446134675.0,34.0,57903.0,100.0,10.0,99.0,1.0,100.0,0.0,93.0,7.0,100.0,0.0,100.0,0.0,77.0,23.0,100.0,1.0,99.0,2619.0,23.0,23.0,100.0,0.0,100.0,0.0,0.0,57891.0,61073599384.0,531436379921.0
1926,2022-11-02,S300Q465,ST4000DM000,4000787030016,0,117.0,124828688.0,92.0,100.0,10.0,100.0,0.0,86.0,446754087.0,34.0,57915.0,100.0,10.0,99.0,1.0,100.0,0.0,93.0,7.0,100.0,0.0,100.0,0.0,78.0,22.0,100.0,1.0,99.0,2619.0,22.0,22.0,100.0,0.0,100.0,0.0,0.0,57903.0,61074859432.0,531570867824.0
