,date,serial_number,model,capacity_bytes,failure,smart_1_normalized,smart_1_raw,smart_3_normalized,smart_4_normalized,smart_4_raw,smart_5_normalized,smart_5_raw,smart_7_normalized,smart_7_raw,smart_9_normalized,smart_9_raw,smart_12_normalized,smart_12_raw,smart_183_normalized,smart_183_raw,smart_184_normalized,smart_184_raw,smart_187_normalized,smart_187_raw,smart_188_normalized,smart_188_raw,smart_189_normalized,smart_189_raw,smart_190_normalized,smart_190_raw,smart_192_normalized,smart_192_raw,smart_193_normalized,smart_193_raw,smart_194_normalized,smart_194_raw,smart_197_normalized,smart_197_raw,smart_198_normalized,smart_198_raw,smart_199_raw,smart_240_raw,smart_241_raw,smart_242_raw
2078,2022-10-01,S300RNPL,ST4000DM000,4000787030016,0,117.0,132953832.0,91.0,100.0,31.0,100.0,0.0,85.0,354420715.0,31.0,60644.0,100.0,31.0,23.0,77.0,100.0,0.0,94.0,6.0,100.0,0.0,100.0,0.0,76.0,24.0,100.0,0.0,97.0,7969.0,24.0,24.0,100.0,0.0,100.0,0.0,0.0,60603.0,71542307752.0,371310280718.0
2079,2022-10-02,S300RNPL,ST4000DM000,4000787030016,0,119.0,216212504.0,91.0,100.0,31.0,100.0,0.0,85.0,356518513.0,31.0,60668.0,100.0,31.0,23.0,77.0,100.0,0.0,94.0,6.0,100.0,0.0,100.0,0.0,74.0,26.0,100.0,0.0,97.0,7969.0,26.0,26.0,100.0,0.0,100.0,0.0,0.0,60627.0,71544547752.0,371497687791.0
2080,2022-10-03,S300RNPL,ST4000DM000,4000787030016,0,103.0,5998672.0,91.0,100.0,31.0,100.0,0.0,85.0,357626941.0,31.0,60692.0,100.0,31.0,23.0,77.0,100.0,0.0,94.0,6.0,100.0,0.0,100.0,0.0,74.0,26.0,100.0,0.0,97.0,7969.0,26.0,26.0,100.0,0.0,100.0,0.0,0.0,60651.0,71546002288.0,371648306265.0
2081,2022-10-04,S300RNPL,ST4000DM000,4000787030016,0,105.0,9558392.0,91.0,100.0,31.0,100.0,0.0,85.0,359743062.0,31.0,60715.0,100.0,31.0,23.0,77.0,100.0,0.0,94.0,6.0,100.0,0.0,100.0,0.0,76.0,24.0,100.0,0.0,97.0,7969.0,24.0,24.0,100.0,0.0,100.0,0.0,0.0,60675.0,71547585216.0,371749039195.0
2082,2022-10-05,S300RNPL,ST4000DM000,4000787030016,0,118.0,178120744.0,91.0,100.0,31.0,100.0,0.0,85.0,360279402.0,31.0,60739.0,100.0,31.0,23.0,77.0,100.0,0.0,94.0,6.0,100.0,0.0,100.0,0.0,75.0,25.0,100.0,0.0,97.0,7969.0,25.0,25.0,100.0,0.0,100.0,0.0,0.0,60698.0,71548798880.0,371811448501.0
2083,2022-10-06,S300RNPL,ST4000DM000,4000787030016,0,119.0,225886216.0,91.0,100.0,31.0,100.0,0.0,85.0,360830431.0,31.0,60763.0,100.0,31.0,23.0,77.0,100.0,0.0,94.0,6.0,100.0,0.0,100.0,0.0,76.0,24.0,100.0,0.0,97.0,7969.0,24.0,24.0,100.0,0.0,100.0,0.0,0.0,60722.0,71550129656.0,371884879766.0
2084,2022-10-07,S300RNPL,ST4000DM000,4000787030016,0,117.0,166056824.0,91.0,100.0,31.0,100.0,0.0,85.0,362365182.0,31.0,60786.0,100.0,31.0,23.0,77.0,100.0,0.0,94.0,6.0,100.0,0.0,100.0,0.0,76.0,24.0,100.0,0.0,97.0,7969.0,24.0,24.0,100.0,0.0,100.0,0.0,0.0,60745.0,71551319168.0,372082256017.0
2085,2022-10-08,S300RNPL,ST4000DM000,4000787030016,0,116.0,114384936.0,91.0,100.0,31.0,100.0,0.0,85.0,364406625.0,31.0,60810.0,100.0,31.0,23.0,77.0,100.0,0.0,94.0,6.0,100.0,0.0,100.0,0.0,75.0,25.0,100.0,0.0,97.0,7969.0,25.0,25.0,100.0,0.0,100.0,0.0,0.0,60769.0,71552688800.0,372274709660.0
2086,2022-10-09,S300RNPL,ST4000DM000,4000787030016,0,118.0,197164768.0,91.0,100.0,31.0,100.0,0.0,85.0,366460308.0,31.0,60834.0,100.0,31.0,23.0,77.0,100.0,0.0,94.0,6.0,100.0,0.0,100.0,0.0,75.0,25.0,100.0,0.0,97.0,7969.0,25.0,25.0,100.0,0.0,100.0,0.0,0.0,60793.0,71554763400.0,372417315632.0
2087,2022-10-10,S300RNPL,ST4000DM000,4000787030016,0,119.0,216424064.0,91.0,100.0,31.0,100.0,0.0,85.0,367799382.0,31.0,60857.0,100.0,31.0,23.0,77.0,100.0,0.0,94.0,6.0,100.0,0.0,100.0,0.0,74.0,26.0,100.0,0.0,97.0,7969.0,26.0,26.0,100.0,0.0,100.0,0.0,0.0,60817.0,71556291328.0,372624483144.0
