,date,serial_number,model,capacity_bytes,failure,smart_1_normalized,smart_1_raw,smart_3_normalized,smart_4_normalized,smart_4_raw,smart_5_normalized,smart_5_raw,smart_7_normalized,smart_7_raw,smart_9_normalized,smart_9_raw,smart_12_normalized,smart_12_raw,smart_183_normalized,smart_183_raw,smart_184_normalized,smart_184_raw,smart_187_normalized,smart_187_raw,smart_188_normalized,smart_188_raw,smart_189_normalized,smart_189_raw,smart_190_normalized,smart_190_raw,smart_192_normalized,smart_192_raw,smart_193_normalized,smart_193_raw,smart_194_normalized,smart_194_raw,smart_197_normalized,smart_197_raw,smart_198_normalized,smart_198_raw,smart_199_raw,smart_240_raw,smart_241_raw,smart_242_raw
2170,2022-10-01,S300RSAF,ST4000DM000,4000787030016,0,116.0,109678096.0,94.0,100.0,6.0,100.0,0.0,85.0,347890345.0,38.0,54559.0,100.0,6.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,77.0,23.0,100.0,0.0,100.0,286.0,23.0,23.0,100.0,0.0,100.0,0.0,0.0,54555.0,51109232504.0,383086903627.0
2171,2022-10-02,S300RSAF,ST4000DM000,4000787030016,0,117.0,154226368.0,94.0,100.0,6.0,100.0,0.0,85.0,348924932.0,38.0,54583.0,100.0,6.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,76.0,24.0,100.0,0.0,100.0,286.0,24.0,24.0,100.0,0.0,100.0,0.0,0.0,54578.0,51111127512.0,383345813424.0
2172,2022-10-03,S300RSAF,ST4000DM000,4000787030016,0,117.0,145707856.0,94.0,100.0,6.0,100.0,0.0,85.0,349918123.0,38.0,54607.0,100.0,6.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,77.0,23.0,100.0,0.0,100.0,286.0,23.0,23.0,100.0,0.0,100.0,0.0,0.0,54602.0,51114660184.0,383585604816.0
2173,2022-10-04,S300RSAF,ST4000DM000,4000787030016,0,116.0,110596152.0,94.0,100.0,6.0,100.0,0.0,85.0,351984198.0,38.0,54631.0,100.0,6.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,77.0,23.0,100.0,0.0,100.0,286.0,23.0,23.0,100.0,0.0,100.0,0.0,0.0,54626.0,51116275808.0,383876215802.0
2174,2022-10-05,S300RSAF,ST4000DM000,4000787030016,0,113.0,50719504.0,94.0,100.0,6.0,100.0,0.0,85.0,354363358.0,38.0,54654.0,100.0,6.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,77.0,23.0,100.0,0.0,100.0,286.0,23.0,23.0,100.0,0.0,100.0,0.0,0.0,54650.0,51117932664.0,384156859729.0
2175,2022-10-06,S300RSAF,ST4000DM000,4000787030016,0,119.0,214662512.0,94.0,100.0,6.0,100.0,0.0,85.0,355155169.0,38.0,54678.0,100.0,6.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,77.0,23.0,100.0,0.0,100.0,286.0,23.0,23.0,100.0,0.0,100.0,0.0,0.0,54674.0,51119463288.0,384394492808.0
2176,2022-10-07,S300RSAF,ST4000DM000,4000787030016,0,112.0,43826560.0,94.0,100.0,6.0,100.0,0.0,85.0,356769761.0,38.0,54702.0,100.0,6.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,77.0,23.0,100.0,0.0,100.0,286.0,23.0,23.0,100.0,0.0,100.0,0.0,0.0,54697.0,51120672904.0,384499611852.0
2177,2022-10-08,S300RSAF,ST4000DM000,4000787030016,0,113.0,56284472.0,94.0,100.0,6.0,100.0,0.0,85.0,357516611.0,38.0,54725.0,100.0,6.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,77.0,23.0,100.0,0.0,100.0,286.0,23.0,23.0,100.0,0.0,100.0,0.0,0.0,54721.0,51121828712.0,384740025620.0
2178,2022-10-09,S300RSAF,ST4000DM000,4000787030016,0,116.0,106574768.0,94.0,100.0,6.0,100.0,0.0,85.0,358297173.0,38.0,54749.0,100.0,6.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,76.0,24.0,100.0,0.0,100.0,286.0,24.0,24.0,100.0,0.0,100.0,0.0,0.0,54744.0,51123338480.0,384988778311.0
2179,2022-10-10,S300RSAF,ST4000DM000,4000787030016,0,117.0,153489992.0,94.0,100.0,6.0,100.0,0.0,85.0,359048922.0,38.0,54773.0,100.0,6.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,76.0,24.0,100.0,0.0,100.0,286.0,24.0,24.0,100.0,0.0,100.0,0.0,0.0,54768.0,51124865640.0,385240800207.0
2180,2022-10-11,S300RSAF,ST4000DM000,4000787030016,0,110.0,25438640.0,94.0,100.0,6.0,100.0,0.0,85.0,360274231.0,38.0,54796.0,100.0,6.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,76.0,24.0,100.0,0.0,100.0,286.0,24.0,24.0,100.0,0.0,100.0,0.0,0.0,54792.0,51126269448.0,385595680649.0
2181,2022-10-12,S300RSAF,ST4000DM000,4000787030016,0,100.0,2996072.0,94.0,100.0,6.0,100.0,0.0,85.0,361366627.0,38.0,54820.0,100.0,6.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,77.0,23.0,100.0,0.0,100.0,286.0,23.0,23.0,100.0,0.0,100.0,0.0,0.0,54815.0,51127894584.0,385906067863.0
2182,2022-10-13,S300RSAF,ST4000DM000,4000787030016,0,120.0,238773784.0,94.0,100.0,6.0,100.0,0.0,85.0,362311884.0,38.0,54844.0,100.0,6.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,77.0,23.0,100.0,0.0,100.0,286.0,23.0,23.0,100.0,0.0,100.0,0.0,0.0,54839.0,51129335144.0,386155524616.0
2183,2022-10-14,S300RSAF,ST4000DM000,4000787030016,0,119.0,206097648.0,94.0,100.0,6.0,100.0,0.0,85.0,363780103.0,38.0,54867.0,100.0,6.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,76.0,24.0,100.0,0.0,100.0,286.0,24.0,24.0,100.0,0.0,100.0,0.0,0.0,54863.0,51130871760.0,386206356666.0
2184,2022-10-15,S300RSAF,ST4000DM000,4000787030016,0,119.0,1170608.0,94.0,100.0,6.0,100.0,0.0,85.0,364739870.0,38.0,54891.0,100.0,6.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,76.0,24.0,100.0,0.0,100.0,286.0,24.0,24.0,100.0,0.0,100.0,0.0,0.0,54886.0,51136743544.0,386427035179.0
2185,2022-10-16,S300RSAF,ST4000DM000,4000787030016,0,117.0,158722736.0,94.0,100.0,6.0,100.0,0.0,85.0,365696377.0,38.0,54915.0,100.0,6.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,76.0,24.0,100.0,0.0,100.0,286.0,24.0,24.0,100.0,0.0,100.0,0.0,0.0,54910.0,51138187104.0,386614444521.0
2186,2022-10-17,S300RSAF,ST4000DM000,4000787030016,0,112.0,42399568.0,94.0,100.0,6.0,100.0,0.0,85.0,366497479.0,38.0,54938.0,100.0,6.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,75.0,25.0,100.0,0.0,100.0,286.0,25.0,25.0,100.0,0.0,100.0,0.0,0.0,54934.0,51141596312.0,386758471478.0
2187,2022-10-18,S300RSAF,ST4000DM000,4000787030016,0,118.0,168743248.0,94.0,100.0,6.0,100.0,0.0,85.0,367701383.0,38.0,54962.0,100.0,6.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,75.0,25.0,100.0,0.0,100.0,286.0,25.0,25.0,100.0,0.0,100.0,0.0,0.0,54957.0,51143340744.0,386873681482.0
2188,2022-10-19,S300RSAF,ST4000DM000,4000787030016,0,119.0,205394880.0,94.0,100.0,6.0,100.0,0.0,85.0,369691532.0,38.0,54986.0,100.0,6.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,76.0,24.0,100.0,0.0,100.0,286.0,24.0,24.0,100.0,0.0,100.0,0.0,0.0,54981.0,51144861752.0,387025778148.0
