,date,serial_number,model,capacity_bytes,failure,smart_1_normalized,smart_1_raw,smart_3_normalized,smart_4_normalized,smart_4_raw,smart_5_normalized,smart_5_raw,smart_7_normalized,smart_7_raw,smart_9_normalized,smart_9_raw,smart_12_normalized,smart_12_raw,smart_183_normalized,smart_183_raw,smart_184_normalized,smart_184_raw,smart_187_normalized,smart_187_raw,smart_188_normalized,smart_188_raw,smart_189_normalized,smart_189_raw,smart_190_normalized,smart_190_raw,smart_192_normalized,smart_192_raw,smart_193_normalized,smart_193_raw,smart_194_normalized,smart_194_raw,smart_197_normalized,smart_197_raw,smart_198_normalized,smart_198_raw,smart_199_raw,smart_240_raw,smart_241_raw,smart_242_raw
2261,2022-10-01,S300T9PS,ST4000DM000,4000787030016,0,104.0,7137800.0,91.0,100.0,22.0,100.0,0.0,89.0,909372885.0,38.0,54551.0,100.0,21.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,80.0,20.0,100.0,2.0,99.0,2080.0,20.0,20.0,100.0,0.0,100.0,0.0,0.0,54541.0,47835387624.0,427921690689.0
2262,2022-10-02,S300T9PS,ST4000DM000,4000787030016,0,111.0,40179528.0,91.0,100.0,22.0,100.0,0.0,89.0,911193091.0,38.0,54575.0,100.0,21.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,80.0,20.0,100.0,2.0,99.0,2080.0,20.0,20.0,100.0,0.0,100.0,0.0,0.0,54565.0,47849589296.0,428193680410.0
2263,2022-10-03,S300T9PS,ST4000DM000,4000787030016,0,116.0,104290656.0,91.0,100.0,22.0,100.0,0.0,89.0,913501789.0,38.0,54598.0,100.0,21.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,80.0,20.0,100.0,2.0,99.0,2080.0,20.0,20.0,100.0,0.0,100.0,0.0,0.0,54589.0,47865366776.0,428487998074.0
2264,2022-10-04,S300T9PS,ST4000DM000,4000787030016,0,118.0,183348352.0,91.0,100.0,22.0,100.0,0.0,89.0,914542151.0,38.0,54622.0,100.0,21.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,80.0,20.0,100.0,2.0,99.0,2080.0,20.0,20.0,100.0,0.0,100.0,0.0,0.0,54613.0,47882786392.0,428791016951.0
2265,2022-10-05,S300T9PS,ST4000DM000,4000787030016,0,117.0,139172024.0,91.0,100.0,22.0,100.0,0.0,89.0,916116712.0,38.0,54646.0,100.0,21.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,80.0,20.0,100.0,2.0,99.0,2080.0,20.0,20.0,100.0,0.0,100.0,0.0,0.0,54636.0,47900813400.0,428994396998.0
2266,2022-10-06,S300T9PS,ST4000DM000,4000787030016,0,119.0,223358000.0,91.0,100.0,22.0,100.0,0.0,89.0,917663294.0,38.0,54682.0,100.0,21.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,80.0,20.0,100.0,2.0,99.0,2080.0,20.0,20.0,100.0,0.0,100.0,0.0,0.0,54672.0,47920299376.0,429315642220.0
2267,2022-10-07,S300T9PS,ST4000DM000,4000787030016,0,117.0,148050464.0,91.0,100.0,22.0,100.0,0.0,89.0,919034787.0,38.0,54706.0,100.0,21.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,80.0,20.0,100.0,2.0,99.0,2080.0,20.0,20.0,100.0,0.0,100.0,0.0,0.0,54696.0,47929357864.0,429586599105.0
2268,2022-10-08,S300T9PS,ST4000DM000,4000787030016,0,114.0,76589040.0,91.0,100.0,22.0,100.0,0.0,89.0,919950120.0,38.0,54730.0,100.0,21.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,79.0,21.0,100.0,2.0,99.0,2080.0,21.0,21.0,100.0,0.0,100.0,0.0,0.0,54720.0,47942180632.0,429894935653.0
2269,2022-10-09,S300T9PS,ST4000DM000,4000787030016,0,119.0,214904080.0,91.0,100.0,22.0,100.0,0.0,89.0,920878523.0,38.0,54753.0,100.0,21.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,79.0,21.0,100.0,2.0,99.0,2080.0,21.0,21.0,100.0,0.0,100.0,0.0,0.0,54744.0,47953387952.0,430177036942.0
2270,2022-10-10,S300T9PS,ST4000DM000,4000787030016,0,114.0,74767360.0,91.0,100.0,22.0,100.0,0.0,89.0,922594169.0,38.0,54777.0,100.0,21.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,80.0,20.0,100.0,2.0,99.0,2080.0,20.0,20.0,100.0,0.0,100.0,0.0,0.0,54768.0,47964339576.0,430394165750.0
