,date,serial_number,model,capacity_bytes,failure,smart_1_normalized,smart_1_raw,smart_3_normalized,smart_4_normalized,smart_4_raw,smart_5_normalized,smart_5_raw,smart_7_normalized,smart_7_raw,smart_9_normalized,smart_9_raw,smart_12_normalized,smart_12_raw,smart_183_normalized,smart_183_raw,smart_184_normalized,smart_184_raw,smart_187_normalized,smart_187_raw,smart_188_normalized,smart_188_raw,smart_189_normalized,smart_189_raw,smart_190_normalized,smart_190_raw,smart_192_normalized,smart_192_raw,smart_193_normalized,smart_193_raw,smart_194_normalized,smart_194_raw,smart_197_normalized,smart_197_raw,smart_198_normalized,smart_198_raw,smart_199_raw,smart_240_raw,smart_241_raw,smart_242_raw
2353,2022-10-01,S300TKPH,ST4000DM000,4000787030016,0,114.0,82770648.0,98.0,100.0,2.0,100.0,0.0,83.0,201788267.0,26.0,65355.0,100.0,2.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,82.0,18.0,100.0,0.0,84.0,32810.0,18.0,18.0,100.0,0.0,100.0,0.0,0.0,65183.0,77656102728.0,414761474995.0
2354,2022-10-02,S300TKPH,ST4000DM000,4000787030016,0,120.0,240973976.0,98.0,100.0,2.0,100.0,0.0,83.0,205085595.0,26.0,65378.0,100.0,2.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,82.0,18.0,100.0,0.0,84.0,32810.0,18.0,18.0,100.0,0.0,100.0,0.0,0.0,65206.0,77658311904.0,415045206547.0
2355,2022-10-03,S300TKPH,ST4000DM000,4000787030016,0,119.0,215776440.0,98.0,100.0,2.0,100.0,0.0,83.0,208080202.0,26.0,65402.0,100.0,2.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,82.0,18.0,100.0,0.0,84.0,32810.0,18.0,18.0,100.0,0.0,100.0,0.0,0.0,65230.0,77659876560.0,415246130799.0
2356,2022-10-04,S300TKPH,ST4000DM000,4000787030016,0,114.0,71317232.0,98.0,100.0,2.0,100.0,0.0,83.0,212057334.0,26.0,65426.0,100.0,2.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,81.0,19.0,100.0,0.0,84.0,32810.0,19.0,19.0,100.0,0.0,100.0,0.0,0.0,65254.0,77661709744.0,415603725420.0
2357,2022-10-05,S300TKPH,ST4000DM000,4000787030016,0,115.0,95800792.0,98.0,100.0,2.0,100.0,0.0,83.0,216019186.0,26.0,65449.0,100.0,2.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,82.0,18.0,100.0,0.0,84.0,32810.0,18.0,18.0,100.0,0.0,100.0,0.0,0.0,65277.0,77663798736.0,415907418520.0
2358,2022-10-06,S300TKPH,ST4000DM000,4000787030016,0,116.0,106531080.0,98.0,100.0,2.0,100.0,0.0,83.0,218989553.0,26.0,65473.0,100.0,2.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,81.0,19.0,100.0,0.0,84.0,32811.0,19.0,19.0,100.0,0.0,100.0,0.0,0.0,65301.0,77665442288.0,416162750940.0
2359,2022-10-07,S300TKPH,ST4000DM000,4000787030016,0,119.0,223274584.0,98.0,100.0,2.0,100.0,0.0,83.0,222045527.0,26.0,65497.0,100.0,2.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,82.0,18.0,100.0,0.0,84.0,32811.0,18.0,18.0,100.0,0.0,100.0,0.0,0.0,65325.0,77666922048.0,416308183712.0
2360,2022-10-08,S300TKPH,ST4000DM000,4000787030016,0,120.0,236924112.0,98.0,100.0,2.0,100.0,0.0,83.0,225437042.0,26.0,65520.0,100.0,2.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,81.0,19.0,100.0,0.0,84.0,32811.0,19.0,19.0,100.0,0.0,100.0,0.0,0.0,65349.0,77668930408.0,416412407032.0
2361,2022-10-09,S300TKPH,ST4000DM000,4000787030016,0,114.0,71712656.0,98.0,100.0,2.0,100.0,0.0,83.0,228671922.0,26.0,65544.0,100.0,2.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,79.0,21.0,100.0,0.0,84.0,32811.0,21.0,21.0,100.0,0.0,100.0,0.0,0.0,65372.0,77670789064.0,416674982129.0
2362,2022-10-10,S300TKPH,ST4000DM000,4000787030016,0,117.0,148642160.0,98.0,100.0,2.0,100.0,0.0,83.0,232045083.0,26.0,65568.0,100.0,2.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,81.0,19.0,100.0,0.0,84.0,32811.0,19.0,19.0,100.0,0.0,100.0,0.0,0.0,65396.0,77672552136.0,416968372477.0
