,date,serial_number,model,capacity_bytes,failure,smart_1_normalized,smart_1_raw,smart_3_normalized,smart_4_normalized,smart_4_raw,smart_5_normalized,smart_5_raw,smart_7_normalized,smart_7_raw,smart_9_normalized,smart_9_raw,smart_12_normalized,smart_12_raw,smart_183_normalized,smart_183_raw,smart_184_normalized,smart_184_raw,smart_187_normalized,smart_187_raw,smart_188_normalized,smart_188_raw,smart_189_normalized,smart_189_raw,smart_190_normalized,smart_190_raw,smart_192_normalized,smart_192_raw,smart_193_normalized,smart_193_raw,smart_194_normalized,smart_194_raw,smart_197_normalized,smart_197_raw,smart_198_normalized,smart_198_raw,smart_199_raw,smart_240_raw,smart_241_raw,smart_242_raw
2537,2022-10-01,S300VDH2,ST4000DM000,4000787030016,0,117.0,166883528.0,94.0,100.0,6.0,100.0,0.0,88.0,774119478.0,39.0,54148.0,100.0,6.0,88.0,12.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,81.0,19.0,100.0,0.0,99.0,2860.0,19.0,19.0,100.0,0.0,100.0,0.0,0.0,54132.0,46575950624.0,319790664396.0
2538,2022-10-02,S300VDH2,ST4000DM000,4000787030016,0,119.0,218006136.0,94.0,100.0,6.0,100.0,0.0,88.0,775256123.0,39.0,54172.0,100.0,6.0,88.0,12.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,81.0,19.0,100.0,0.0,99.0,2871.0,19.0,19.0,100.0,0.0,100.0,0.0,0.0,54156.0,46577655496.0,319950890702.0
2539,2022-10-03,S300VDH2,ST4000DM000,4000787030016,0,117.0,148079016.0,94.0,100.0,6.0,100.0,0.0,88.0,776068335.0,39.0,54196.0,100.0,6.0,88.0,12.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,81.0,19.0,100.0,0.0,99.0,2871.0,19.0,19.0,100.0,0.0,100.0,0.0,0.0,54179.0,46579338376.0,320271720442.0
2540,2022-10-04,S300VDH2,ST4000DM000,4000787030016,0,116.0,115776544.0,94.0,100.0,6.0,100.0,0.0,88.0,776586810.0,39.0,54220.0,100.0,6.0,88.0,12.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,81.0,19.0,100.0,0.0,99.0,2871.0,19.0,19.0,100.0,0.0,100.0,0.0,0.0,54203.0,46581244104.0,320569717221.0
2541,2022-10-05,S300VDH2,ST4000DM000,4000787030016,0,106.0,11676944.0,94.0,100.0,6.0,100.0,0.0,88.0,777273137.0,39.0,54243.0,100.0,6.0,88.0,12.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,81.0,19.0,100.0,0.0,99.0,2871.0,19.0,19.0,100.0,0.0,100.0,0.0,0.0,54227.0,46582702144.0,320745959212.0
2542,2022-10-06,S300VDH2,ST4000DM000,4000787030016,0,117.0,145526960.0,94.0,100.0,6.0,100.0,0.0,88.0,777753719.0,39.0,54267.0,100.0,6.0,88.0,12.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,81.0,19.0,100.0,0.0,99.0,2873.0,19.0,19.0,100.0,0.0,100.0,0.0,0.0,54251.0,46584452688.0,320850271761.0
2543,2022-10-07,S300VDH2,ST4000DM000,4000787030016,0,111.0,39141568.0,94.0,100.0,6.0,100.0,0.0,88.0,778363440.0,39.0,54291.0,100.0,6.0,88.0,12.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,81.0,19.0,100.0,0.0,99.0,2873.0,19.0,19.0,100.0,0.0,100.0,0.0,0.0,54275.0,46585761952.0,320972853189.0
2544,2022-10-08,S300VDH2,ST4000DM000,4000787030016,0,119.0,221119744.0,94.0,100.0,6.0,100.0,0.0,88.0,778866894.0,38.0,54315.0,100.0,6.0,88.0,12.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,81.0,19.0,100.0,0.0,99.0,2873.0,19.0,19.0,100.0,0.0,100.0,0.0,0.0,54299.0,46587030272.0,321068580028.0
2545,2022-10-09,S300VDH2,ST4000DM000,4000787030016,0,108.0,14925496.0,94.0,100.0,6.0,100.0,0.0,88.0,779874880.0,38.0,54339.0,100.0,6.0,88.0,12.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,77.0,23.0,100.0,0.0,99.0,2906.0,23.0,23.0,100.0,0.0,100.0,0.0,0.0,54322.0,46588925040.0,321137928495.0
2546,2022-10-10,S300VDH2,ST4000DM000,4000787030016,0,117.0,161386280.0,94.0,100.0,6.0,100.0,0.0,88.0,780840377.0,38.0,54363.0,100.0,6.0,88.0,12.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,81.0,19.0,100.0,0.0,99.0,2906.0,19.0,19.0,100.0,0.0,100.0,0.0,0.0,54346.0,46590593664.0,321204798187.0
