,date,serial_number,model,capacity_bytes,failure,smart_1_normalized,smart_1_raw,smart_3_normalized,smart_4_normalized,smart_4_raw,smart_5_normalized,smart_5_raw,smart_7_normalized,smart_7_raw,smart_9_normalized,smart_9_raw,smart_12_normalized,smart_12_raw,smart_183_normalized,smart_183_raw,smart_184_normalized,smart_184_raw,smart_187_normalized,smart_187_raw,smart_188_normalized,smart_188_raw,smart_189_normalized,smart_189_raw,smart_190_normalized,smart_190_raw,smart_192_normalized,smart_192_raw,smart_193_normalized,smart_193_raw,smart_194_normalized,smart_194_raw,smart_197_normalized,smart_197_raw,smart_198_normalized,smart_198_raw,smart_199_raw,smart_240_raw,smart_241_raw,smart_242_raw
2629,2022-10-01,S300VG7R,ST4000DM000,4000787030016,0,111.0,31435912.0,92.0,100.0,9.0,100.0,0.0,89.0,876338131.0,39.0,54029.0,100.0,9.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,71.0,29.0,100.0,0.0,99.0,3198.0,29.0,29.0,100.0,0.0,100.0,0.0,0.0,54010.0,46979597872.0,443037013018.0
2630,2022-10-02,S300VG7R,ST4000DM000,4000787030016,0,111.0,31358384.0,92.0,100.0,9.0,100.0,0.0,89.0,877414675.0,39.0,54053.0,100.0,9.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,70.0,30.0,100.0,0.0,99.0,3198.0,30.0,30.0,100.0,0.0,100.0,0.0,0.0,54034.0,46993602560.0,443344198772.0
2631,2022-10-03,S300VG7R,ST4000DM000,4000787030016,0,117.0,125884256.0,92.0,100.0,9.0,100.0,0.0,89.0,878471175.0,39.0,54077.0,100.0,9.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,71.0,29.0,100.0,0.0,99.0,3198.0,29.0,29.0,100.0,0.0,100.0,0.0,0.0,54058.0,47010420712.0,443618432761.0
2632,2022-10-04,S300VG7R,ST4000DM000,4000787030016,0,118.0,199732376.0,92.0,100.0,9.0,100.0,0.0,89.0,879329508.0,39.0,54101.0,100.0,9.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,72.0,28.0,100.0,0.0,99.0,3198.0,28.0,28.0,100.0,0.0,100.0,0.0,0.0,54082.0,47023767488.0,443892440169.0
2633,2022-10-05,S300VG7R,ST4000DM000,4000787030016,0,101.0,3273880.0,92.0,100.0,9.0,100.0,0.0,89.0,880728432.0,39.0,54124.0,100.0,9.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,71.0,29.0,100.0,0.0,99.0,3198.0,29.0,29.0,100.0,0.0,100.0,0.0,0.0,54105.0,47046133480.0,444214013177.0
2634,2022-10-06,S300VG7R,ST4000DM000,4000787030016,0,117.0,146625128.0,92.0,100.0,9.0,100.0,0.0,89.0,882052233.0,39.0,54148.0,100.0,9.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,71.0,29.0,100.0,0.0,99.0,3199.0,29.0,29.0,100.0,0.0,100.0,0.0,0.0,54129.0,47060914920.0,444458329670.0
2635,2022-10-07,S300VG7R,ST4000DM000,4000787030016,0,113.0,51522176.0,92.0,100.0,9.0,100.0,0.0,89.0,882767946.0,39.0,54172.0,100.0,9.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,72.0,28.0,100.0,0.0,99.0,3199.0,28.0,28.0,100.0,0.0,100.0,0.0,0.0,54153.0,47068887344.0,444655387609.0
2636,2022-10-08,S300VG7R,ST4000DM000,4000787030016,0,119.0,227947216.0,92.0,100.0,9.0,100.0,0.0,89.0,884749906.0,39.0,54196.0,100.0,9.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,71.0,29.0,100.0,0.0,99.0,3199.0,29.0,29.0,100.0,0.0,100.0,0.0,0.0,54177.0,47084683016.0,444746363835.0
2637,2022-10-09,S300VG7R,ST4000DM000,4000787030016,0,117.0,127130464.0,92.0,100.0,9.0,100.0,0.0,89.0,885496177.0,39.0,54220.0,100.0,9.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,72.0,28.0,100.0,0.0,99.0,3199.0,28.0,28.0,100.0,0.0,100.0,0.0,0.0,54201.0,47097121816.0,444958624181.0
2638,2022-10-10,S300VG7R,ST4000DM000,4000787030016,0,118.0,189534664.0,92.0,100.0,9.0,100.0,0.0,89.0,886128902.0,39.0,54243.0,100.0,9.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,70.0,30.0,100.0,0.0,99.0,3199.0,30.0,30.0,100.0,0.0,100.0,0.0,0.0,54224.0,47112120448.0,445108440598.0
