,date,serial_number,model,capacity_bytes,failure,smart_1_normalized,smart_1_raw,smart_3_normalized,smart_4_normalized,smart_4_raw,smart_5_normalized,smart_5_raw,smart_7_normalized,smart_7_raw,smart_9_normalized,smart_9_raw,smart_12_normalized,smart_12_raw,smart_183_normalized,smart_183_raw,smart_184_normalized,smart_184_raw,smart_187_normalized,smart_187_raw,smart_188_normalized,smart_188_raw,smart_189_normalized,smart_189_raw,smart_190_normalized,smart_190_raw,smart_192_normalized,smart_192_raw,smart_193_normalized,smart_193_raw,smart_194_normalized,smart_194_raw,smart_197_normalized,smart_197_raw,smart_198_normalized,smart_198_raw,smart_199_raw,smart_240_raw,smart_241_raw,smart_242_raw
3089,2022-10-01,S300VKM9,ST4000DM000,4000787030016,0,118.0,182752944.0,95.0,100.0,10.0,100.0,0.0,87.0,491589831.0,28.0,63238.0,100.0,5.0,98.0,2.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,79.0,21.0,100.0,2.0,41.0,118480.0,21.0,21.0,100.0,0.0,100.0,0.0,0.0,62790.0,69076724944.0,573604655839.0
3090,2022-10-02,S300VKM9,ST4000DM000,4000787030016,0,119.0,224747480.0,95.0,100.0,10.0,100.0,0.0,87.0,492884911.0,28.0,63262.0,100.0,5.0,98.0,2.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,80.0,20.0,100.0,2.0,41.0,118480.0,20.0,20.0,100.0,0.0,100.0,0.0,0.0,62814.0,69078493360.0,573857333249.0
3091,2022-10-03,S300VKM9,ST4000DM000,4000787030016,0,120.0,239128328.0,95.0,100.0,10.0,100.0,0.0,87.0,494889694.0,28.0,63286.0,100.0,5.0,98.0,2.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,79.0,21.0,100.0,2.0,41.0,118480.0,21.0,21.0,100.0,0.0,100.0,0.0,0.0,62837.0,69080855480.0,573956676675.0
3092,2022-10-04,S300VKM9,ST4000DM000,4000787030016,0,116.0,110869984.0,95.0,100.0,10.0,100.0,0.0,87.0,496294116.0,28.0,63310.0,100.0,5.0,98.0,2.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,79.0,21.0,100.0,2.0,41.0,118480.0,21.0,21.0,100.0,0.0,100.0,0.0,0.0,62861.0,69083034296.0,574218098506.0
3093,2022-10-05,S300VKM9,ST4000DM000,4000787030016,0,114.0,62131472.0,95.0,100.0,10.0,100.0,0.0,87.0,497722188.0,28.0,63333.0,100.0,5.0,98.0,2.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,79.0,21.0,100.0,2.0,41.0,118480.0,21.0,21.0,100.0,0.0,100.0,0.0,0.0,62885.0,69084499184.0,574543349365.0
3094,2022-10-06,S300VKM9,ST4000DM000,4000787030016,0,119.0,216850824.0,95.0,100.0,10.0,100.0,0.0,87.0,498877036.0,28.0,63357.0,100.0,5.0,98.0,2.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,79.0,21.0,100.0,2.0,41.0,118480.0,21.0,21.0,100.0,0.0,100.0,0.0,0.0,62909.0,69085912896.0,579059903453.0
3095,2022-10-07,S300VKM9,ST4000DM000,4000787030016,0,118.0,168292600.0,95.0,100.0,10.0,100.0,0.0,87.0,501025159.0,28.0,63381.0,100.0,5.0,98.0,2.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,79.0,21.0,100.0,2.0,41.0,118480.0,21.0,21.0,100.0,0.0,100.0,0.0,0.0,62933.0,69087230840.0,579347640319.0
3096,2022-10-08,S300VKM9,ST4000DM000,4000787030016,0,120.0,240265440.0,95.0,100.0,10.0,100.0,0.0,87.0,503435088.0,28.0,63405.0,100.0,5.0,98.0,2.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,79.0,21.0,100.0,2.0,41.0,118480.0,21.0,21.0,100.0,0.0,100.0,0.0,0.0,62957.0,69088554792.0,579674748015.0
3097,2022-10-09,S300VKM9,ST4000DM000,4000787030016,0,106.0,11877792.0,95.0,100.0,10.0,100.0,0.0,87.0,504641081.0,28.0,63429.0,100.0,5.0,98.0,2.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,79.0,21.0,100.0,2.0,41.0,118480.0,21.0,21.0,100.0,0.0,100.0,0.0,0.0,62980.0,69089977160.0,579948470244.0
3098,2022-10-10,S300VKM9,ST4000DM000,4000787030016,0,119.0,208380520.0,95.0,100.0,10.0,100.0,0.0,87.0,506117960.0,28.0,63453.0,100.0,5.0,98.0,2.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,79.0,21.0,100.0,2.0,41.0,118480.0,21.0,21.0,100.0,0.0,100.0,0.0,0.0,63004.0,69091433688.0,580002079341.0
