,date,serial_number,model,capacity_bytes,failure,smart_1_normalized,smart_1_raw,smart_3_normalized,smart_4_normalized,smart_4_raw,smart_5_normalized,smart_5_raw,smart_7_normalized,smart_7_raw,smart_9_normalized,smart_9_raw,smart_12_normalized,smart_12_raw,smart_183_normalized,smart_183_raw,smart_184_normalized,smart_184_raw,smart_187_normalized,smart_187_raw,smart_188_normalized,smart_188_raw,smart_189_normalized,smart_189_raw,smart_190_normalized,smart_190_raw,smart_192_normalized,smart_192_raw,smart_193_normalized,smart_193_raw,smart_194_normalized,smart_194_raw,smart_197_normalized,smart_197_raw,smart_198_normalized,smart_198_raw,smart_199_raw,smart_240_raw,smart_241_raw,smart_242_raw
3181,2022-10-01,S300VKME,ST4000DM000,4000787030016,0,117.0,118206248.0,91.0,100.0,16.0,100.0,0.0,87.0,517444450.0,28.0,63223.0,100.0,12.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,83.0,17.0,100.0,2.0,40.0,120725.0,17.0,17.0,100.0,0.0,100.0,0.0,0.0,62793.0,68385376112.0,403102553325.0
3182,2022-10-02,S300VKME,ST4000DM000,4000787030016,0,114.0,72597864.0,91.0,100.0,16.0,100.0,0.0,87.0,520147025.0,28.0,63259.0,100.0,12.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,83.0,17.0,100.0,2.0,40.0,120725.0,17.0,17.0,100.0,0.0,100.0,0.0,0.0,62828.0,68388641736.0,403313059056.0
3183,2022-10-03,S300VKME,ST4000DM000,4000787030016,0,118.0,179029352.0,91.0,100.0,16.0,100.0,0.0,87.0,520888114.0,28.0,63283.0,100.0,12.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,83.0,17.0,100.0,2.0,40.0,120725.0,17.0,17.0,100.0,0.0,100.0,0.0,0.0,62852.0,68390334120.0,403444092390.0
3184,2022-10-04,S300VKME,ST4000DM000,4000787030016,0,119.0,209930816.0,91.0,100.0,16.0,100.0,0.0,87.0,522025073.0,28.0,63306.0,100.0,12.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,83.0,17.0,100.0,2.0,40.0,120725.0,17.0,17.0,100.0,0.0,100.0,0.0,0.0,62875.0,68391935840.0,403680133298.0
3185,2022-10-05,S300VKME,ST4000DM000,4000787030016,0,117.0,128515264.0,91.0,100.0,16.0,100.0,0.0,87.0,523742580.0,28.0,63330.0,100.0,12.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,83.0,17.0,100.0,2.0,40.0,120725.0,17.0,17.0,100.0,0.0,100.0,0.0,0.0,62899.0,68393340672.0,403892386308.0
3186,2022-10-06,S300VKME,ST4000DM000,4000787030016,0,112.0,43593280.0,91.0,100.0,16.0,100.0,0.0,87.0,524718931.0,28.0,63342.0,100.0,12.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,82.0,18.0,100.0,2.0,40.0,120725.0,18.0,18.0,100.0,0.0,100.0,0.0,0.0,62911.0,68394450968.0,404029914256.0
3187,2022-10-07,S300VKME,ST4000DM000,4000787030016,0,116.0,110834832.0,91.0,100.0,16.0,100.0,0.0,87.0,526722101.0,28.0,63377.0,100.0,12.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,83.0,17.0,100.0,2.0,40.0,120725.0,17.0,17.0,100.0,0.0,100.0,0.0,0.0,62946.0,68396219288.0,404316815752.0
3188,2022-10-08,S300VKME,ST4000DM000,4000787030016,0,114.0,78254136.0,91.0,100.0,16.0,100.0,0.0,87.0,528267726.0,28.0,63401.0,100.0,12.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,83.0,17.0,100.0,2.0,40.0,120725.0,17.0,17.0,100.0,0.0,100.0,0.0,0.0,62970.0,68397489312.0,404549264846.0
3189,2022-10-09,S300VKME,ST4000DM000,4000787030016,0,106.0,12421088.0,91.0,100.0,16.0,100.0,0.0,87.0,530295278.0,28.0,63425.0,100.0,12.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,79.0,21.0,100.0,2.0,40.0,120725.0,21.0,21.0,100.0,0.0,100.0,0.0,0.0,62994.0,68399385240.0,404669491914.0
3190,2022-10-10,S300VKME,ST4000DM000,4000787030016,0,118.0,172350688.0,91.0,100.0,16.0,100.0,0.0,87.0,531365458.0,28.0,63448.0,100.0,12.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,83.0,17.0,100.0,2.0,40.0,120725.0,17.0,17.0,100.0,0.0,100.0,0.0,0.0,63018.0,68402028008.0,404850980030.0
