,date,serial_number,model,capacity_bytes,failure,smart_1_normalized,smart_1_raw,smart_3_normalized,smart_4_normalized,smart_4_raw,smart_5_normalized,smart_5_raw,smart_7_normalized,smart_7_raw,smart_9_normalized,smart_9_raw,smart_12_normalized,smart_12_raw,smart_183_normalized,smart_183_raw,smart_184_normalized,smart_184_raw,smart_187_normalized,smart_187_raw,smart_188_normalized,smart_188_raw,smart_189_normalized,smart_189_raw,smart_190_normalized,smart_190_raw,smart_192_normalized,smart_192_raw,smart_193_normalized,smart_193_raw,smart_194_normalized,smart_194_raw,smart_197_normalized,smart_197_raw,smart_198_normalized,smart_198_raw,smart_199_raw,smart_240_raw,smart_241_raw,smart_242_raw
3365,2022-10-01,S300VKMX,ST4000DM000,4000787030016,0,118.0,185845944.0,91.0,100.0,11.0,100.0,0.0,87.0,514607382.0,28.0,63236.0,100.0,8.0,97.0,3.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,77.0,23.0,100.0,1.0,31.0,138263.0,23.0,23.0,100.0,0.0,100.0,0.0,0.0,62686.0,68207923920.0,403990000528.0
3366,2022-10-02,S300VKMX,ST4000DM000,4000787030016,0,116.0,110483600.0,91.0,100.0,11.0,100.0,0.0,87.0,518307978.0,28.0,63272.0,100.0,8.0,97.0,3.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,76.0,24.0,100.0,1.0,31.0,138263.0,24.0,24.0,100.0,0.0,100.0,0.0,0.0,62722.0,68210898072.0,404483276802.0
3367,2022-10-03,S300VKMX,ST4000DM000,4000787030016,0,114.0,62663760.0,91.0,100.0,11.0,100.0,0.0,87.0,519011278.0,28.0,63295.0,100.0,8.0,97.0,3.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,76.0,24.0,100.0,1.0,31.0,138263.0,24.0,24.0,100.0,0.0,100.0,0.0,0.0,62745.0,68213975520.0,404627625644.0
3368,2022-10-04,S300VKMX,ST4000DM000,4000787030016,0,117.0,167318448.0,91.0,100.0,11.0,100.0,0.0,87.0,521169319.0,28.0,63319.0,100.0,8.0,97.0,3.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,76.0,24.0,100.0,1.0,31.0,138263.0,24.0,24.0,100.0,0.0,100.0,0.0,0.0,62769.0,68215376208.0,404763655628.0
3369,2022-10-05,S300VKMX,ST4000DM000,4000787030016,0,118.0,172815112.0,91.0,100.0,11.0,100.0,0.0,87.0,522338887.0,28.0,63342.0,100.0,8.0,97.0,3.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,76.0,24.0,100.0,1.0,31.0,138263.0,24.0,24.0,100.0,0.0,100.0,0.0,0.0,62793.0,68216918224.0,405006640647.0
3370,2022-10-06,S300VKMX,ST4000DM000,4000787030016,0,117.0,126860352.0,91.0,100.0,11.0,100.0,0.0,87.0,523034188.0,28.0,63354.0,100.0,8.0,97.0,3.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,76.0,24.0,100.0,1.0,31.0,138263.0,24.0,24.0,100.0,0.0,100.0,0.0,0.0,62804.0,68217591720.0,405144020557.0
3371,2022-10-07,S300VKMX,ST4000DM000,4000787030016,0,119.0,212048336.0,91.0,100.0,11.0,100.0,0.0,87.0,524321892.0,28.0,63378.0,100.0,8.0,97.0,3.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,76.0,24.0,100.0,1.0,31.0,138263.0,24.0,24.0,100.0,0.0,100.0,0.0,0.0,62828.0,68218836336.0,405381519040.0
3372,2022-10-08,S300VKMX,ST4000DM000,4000787030016,0,117.0,146951920.0,91.0,100.0,11.0,100.0,0.0,87.0,526131130.0,28.0,63402.0,100.0,8.0,97.0,3.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,76.0,24.0,100.0,1.0,31.0,138263.0,24.0,24.0,100.0,0.0,100.0,0.0,0.0,62852.0,68220222408.0,405642054299.0
3373,2022-10-09,S300VKMX,ST4000DM000,4000787030016,0,116.0,116809632.0,91.0,100.0,11.0,100.0,0.0,87.0,528966490.0,28.0,63425.0,100.0,8.0,97.0,3.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,76.0,24.0,100.0,1.0,31.0,138263.0,24.0,24.0,100.0,0.0,100.0,0.0,0.0,62875.0,68221788848.0,405918093937.0
3374,2022-10-10,S300VKMX,ST4000DM000,4000787030016,0,115.0,87922016.0,91.0,100.0,11.0,100.0,0.0,87.0,529876638.0,28.0,63449.0,100.0,8.0,97.0,3.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,76.0,24.0,100.0,1.0,31.0,138263.0,24.0,24.0,100.0,0.0,100.0,0.0,0.0,62899.0,68223541112.0,406151445851.0
