,date,serial_number,model,capacity_bytes,failure,smart_1_normalized,smart_1_raw,smart_3_normalized,smart_4_normalized,smart_4_raw,smart_5_normalized,smart_5_raw,smart_7_normalized,smart_7_raw,smart_9_normalized,smart_9_raw,smart_12_normalized,smart_12_raw,smart_183_normalized,smart_183_raw,smart_184_normalized,smart_184_raw,smart_187_normalized,smart_187_raw,smart_188_normalized,smart_188_raw,smart_189_normalized,smart_189_raw,smart_190_normalized,smart_190_raw,smart_192_normalized,smart_192_raw,smart_193_normalized,smart_193_raw,smart_194_normalized,smart_194_raw,smart_197_normalized,smart_197_raw,smart_198_normalized,smart_198_raw,smart_199_raw,smart_240_raw,smart_241_raw,smart_242_raw
3457,2022-10-01,S300VKN7,ST4000DM000,4000787030016,0,118.0,188520048.0,92.0,100.0,11.0,100.0,0.0,71.0,14168451.0,28.0,63199.0,100.0,9.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,80.0,20.0,100.0,2.0,81.0,38204.0,20.0,20.0,100.0,0.0,100.0,0.0,0.0,63002.0,77474909688.0,390362904345.0
3458,2022-10-02,S300VKN7,ST4000DM000,4000787030016,0,118.0,171597264.0,92.0,100.0,11.0,100.0,0.0,72.0,15222913.0,28.0,63223.0,100.0,9.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,80.0,20.0,100.0,2.0,81.0,38204.0,20.0,20.0,100.0,0.0,100.0,0.0,0.0,63026.0,77476368856.0,390601313381.0
3459,2022-10-03,S300VKN7,ST4000DM000,4000787030016,0,116.0,117216736.0,92.0,100.0,11.0,100.0,0.0,72.0,17008719.0,28.0,63247.0,100.0,9.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,79.0,21.0,100.0,2.0,81.0,38204.0,21.0,21.0,100.0,0.0,100.0,0.0,0.0,63050.0,77477617576.0,390650726604.0
3460,2022-10-04,S300VKN7,ST4000DM000,4000787030016,0,119.0,203249392.0,92.0,100.0,11.0,100.0,0.0,72.0,18226926.0,28.0,63271.0,100.0,9.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,79.0,21.0,100.0,2.0,81.0,38204.0,21.0,21.0,100.0,0.0,100.0,0.0,0.0,63073.0,77479095680.0,390904594346.0
3461,2022-10-05,S300VKN7,ST4000DM000,4000787030016,0,108.0,17348984.0,92.0,100.0,11.0,100.0,0.0,72.0,19718246.0,28.0,63294.0,100.0,9.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,79.0,21.0,100.0,2.0,81.0,38204.0,21.0,21.0,100.0,0.0,100.0,0.0,0.0,63097.0,77482703504.0,391203265395.0
3462,2022-10-06,S300VKN7,ST4000DM000,4000787030016,0,109.0,24069856.0,92.0,100.0,11.0,100.0,0.0,73.0,21886620.0,28.0,63306.0,100.0,9.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,79.0,21.0,100.0,2.0,81.0,38204.0,21.0,21.0,100.0,0.0,100.0,0.0,0.0,63109.0,77483423544.0,391376353348.0
3463,2022-10-07,S300VKN7,ST4000DM000,4000787030016,0,117.0,153964448.0,92.0,100.0,11.0,100.0,0.0,73.0,23623861.0,28.0,63330.0,100.0,9.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,79.0,21.0,100.0,2.0,81.0,38204.0,21.0,21.0,100.0,0.0,100.0,0.0,0.0,63133.0,77484932960.0,391629766278.0
3464,2022-10-08,S300VKN7,ST4000DM000,4000787030016,0,119.0,206196360.0,92.0,100.0,11.0,100.0,0.0,74.0,26673320.0,28.0,63354.0,100.0,9.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,79.0,21.0,100.0,2.0,81.0,38204.0,21.0,21.0,100.0,0.0,100.0,0.0,0.0,63157.0,77486399280.0,391901829920.0
3465,2022-10-09,S300VKN7,ST4000DM000,4000787030016,0,115.0,94799656.0,92.0,100.0,11.0,100.0,0.0,74.0,28747582.0,28.0,63377.0,100.0,9.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,79.0,21.0,100.0,2.0,81.0,38204.0,21.0,21.0,100.0,0.0,100.0,0.0,0.0,63180.0,77488075304.0,392112344964.0
3466,2022-10-10,S300VKN7,ST4000DM000,4000787030016,0,114.0,79781664.0,92.0,100.0,11.0,100.0,0.0,75.0,29820903.0,28.0,63401.0,100.0,9.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,80.0,20.0,100.0,2.0,81.0,38204.0,20.0,20.0,100.0,0.0,100.0,0.0,0.0,63204.0,77490187800.0,392212873435.0
