,date,serial_number,model,capacity_bytes,failure,smart_1_normalized,smart_1_raw,smart_3_normalized,smart_4_normalized,smart_4_raw,smart_5_normalized,smart_5_raw,smart_7_normalized,smart_7_raw,smart_9_normalized,smart_9_raw,smart_12_normalized,smart_12_raw,smart_183_normalized,smart_183_raw,smart_184_normalized,smart_184_raw,smart_187_normalized,smart_187_raw,smart_188_normalized,smart_188_raw,smart_189_normalized,smart_189_raw,smart_190_normalized,smart_190_raw,smart_192_normalized,smart_192_raw,smart_193_normalized,smart_193_raw,smart_194_normalized,smart_194_raw,smart_197_normalized,smart_197_raw,smart_198_normalized,smart_198_raw,smart_199_raw,smart_240_raw,smart_241_raw,smart_242_raw
3641,2022-10-01,S300VKNT,ST4000DM000,4000787030016,0,118.0,181080088.0,92.0,100.0,15.0,100.0,0.0,89.0,903765122.0,29.0,62876.0,100.0,12.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,66.0,34.0,100.0,1.0,76.0,49500.0,34.0,34.0,100.0,0.0,100.0,0.0,0.0,62604.0,73126499104.0,531717971225.0
3642,2022-10-02,S300VKNT,ST4000DM000,4000787030016,0,117.0,154039712.0,92.0,100.0,15.0,100.0,0.0,89.0,907019355.0,29.0,62900.0,100.0,12.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,66.0,34.0,100.0,1.0,76.0,49500.0,34.0,34.0,100.0,0.0,100.0,0.0,0.0,62628.0,73140254544.0,532073830650.0
3643,2022-10-03,S300VKNT,ST4000DM000,4000787030016,0,119.0,217957960.0,92.0,100.0,15.0,100.0,0.0,89.0,908885688.0,29.0,62923.0,100.0,12.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,66.0,34.0,100.0,1.0,76.0,49500.0,34.0,34.0,100.0,0.0,100.0,0.0,0.0,62651.0,73158519864.0,532376709707.0
3644,2022-10-04,S300VKNT,ST4000DM000,4000787030016,0,106.0,11546416.0,92.0,100.0,15.0,100.0,0.0,89.0,911126759.0,29.0,62947.0,100.0,12.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,66.0,34.0,100.0,1.0,76.0,49500.0,34.0,34.0,100.0,0.0,100.0,0.0,0.0,62675.0,73172479696.0,532521871292.0
3645,2022-10-05,S300VKNT,ST4000DM000,4000787030016,0,114.0,79599320.0,92.0,100.0,15.0,100.0,0.0,89.0,912544489.0,29.0,62971.0,100.0,12.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,66.0,34.0,100.0,1.0,76.0,49500.0,34.0,34.0,100.0,0.0,100.0,0.0,0.0,62699.0,73195415448.0,532813614976.0
3646,2022-10-06,S300VKNT,ST4000DM000,4000787030016,0,120.0,238040856.0,92.0,100.0,15.0,100.0,0.0,89.0,913854806.0,29.0,62994.0,100.0,12.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,66.0,34.0,100.0,1.0,76.0,49500.0,34.0,34.0,100.0,0.0,100.0,0.0,0.0,62722.0,73208585848.0,533068032282.0
3647,2022-10-07,S300VKNT,ST4000DM000,4000787030016,0,114.0,68662168.0,92.0,100.0,15.0,100.0,0.0,89.0,914838115.0,29.0,63018.0,100.0,12.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,66.0,34.0,100.0,1.0,76.0,49500.0,34.0,34.0,100.0,0.0,100.0,0.0,0.0,62746.0,73217308200.0,533264153576.0
3648,2022-10-08,S300VKNT,ST4000DM000,4000787030016,0,118.0,188608240.0,92.0,100.0,15.0,100.0,0.0,89.0,916609856.0,29.0,63042.0,100.0,12.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,66.0,34.0,100.0,1.0,76.0,49500.0,34.0,34.0,100.0,0.0,100.0,0.0,0.0,62770.0,73224703456.0,533547068602.0
3649,2022-10-09,S300VKNT,ST4000DM000,4000787030016,0,117.0,128705976.0,92.0,100.0,15.0,100.0,0.0,89.0,918512398.0,29.0,63065.0,100.0,12.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,66.0,34.0,100.0,1.0,76.0,49500.0,34.0,34.0,100.0,0.0,100.0,0.0,0.0,62793.0,73238969896.0,533760585416.0
3650,2022-10-10,S300VKNT,ST4000DM000,4000787030016,0,117.0,122497976.0,92.0,100.0,15.0,100.0,0.0,89.0,919006761.0,28.0,63077.0,100.0,12.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,67.0,33.0,100.0,1.0,76.0,49500.0,33.0,33.0,100.0,0.0,100.0,0.0,0.0,62805.0,73247257064.0,533858148771.0
