,date,serial_number,model,capacity_bytes,failure,smart_1_normalized,smart_1_raw,smart_3_normalized,smart_4_normalized,smart_4_raw,smart_5_normalized,smart_5_raw,smart_7_normalized,smart_7_raw,smart_9_normalized,smart_9_raw,smart_12_normalized,smart_12_raw,smart_183_normalized,smart_183_raw,smart_184_normalized,smart_184_raw,smart_187_normalized,smart_187_raw,smart_188_normalized,smart_188_raw,smart_189_normalized,smart_189_raw,smart_190_normalized,smart_190_raw,smart_192_normalized,smart_192_raw,smart_193_normalized,smart_193_raw,smart_194_normalized,smart_194_raw,smart_197_normalized,smart_197_raw,smart_198_normalized,smart_198_raw,smart_199_raw,smart_240_raw,smart_241_raw,smart_242_raw
3733,2022-10-01,S300VKP1,ST4000DM000,4000787030016,0,117.0,143278456.0,97.0,100.0,5.0,100.0,0.0,87.0,642339954.0,28.0,63234.0,100.0,3.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,82.0,18.0,100.0,2.0,35.0,131699.0,18.0,18.0,100.0,0.0,100.0,0.0,0.0,62709.0,69631026392.0,530806338641.0
3734,2022-10-02,S300VKP1,ST4000DM000,4000787030016,0,113.0,51028552.0,97.0,100.0,5.0,100.0,0.0,87.0,643813707.0,28.0,63258.0,100.0,3.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,82.0,18.0,100.0,2.0,35.0,131699.0,18.0,18.0,100.0,0.0,100.0,0.0,0.0,62733.0,69632943832.0,530997655027.0
3735,2022-10-03,S300VKP1,ST4000DM000,4000787030016,0,110.0,26088736.0,97.0,100.0,5.0,100.0,0.0,87.0,647230452.0,28.0,63294.0,100.0,3.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,81.0,19.0,100.0,2.0,35.0,131699.0,19.0,19.0,100.0,0.0,100.0,0.0,0.0,62769.0,69635817088.0,531323680488.0
3736,2022-10-04,S300VKP1,ST4000DM000,4000787030016,0,117.0,151378848.0,97.0,100.0,5.0,100.0,0.0,87.0,648555068.0,28.0,63318.0,100.0,3.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,81.0,19.0,100.0,2.0,35.0,131699.0,19.0,19.0,100.0,0.0,100.0,0.0,0.0,62793.0,69637380232.0,531593090086.0
3737,2022-10-05,S300VKP1,ST4000DM000,4000787030016,0,114.0,83280728.0,97.0,100.0,5.0,100.0,0.0,87.0,650436068.0,28.0,63341.0,100.0,3.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,81.0,19.0,100.0,2.0,35.0,131699.0,19.0,19.0,100.0,0.0,100.0,0.0,0.0,62816.0,69638924136.0,531715477611.0
3738,2022-10-06,S300VKP1,ST4000DM000,4000787030016,0,115.0,100551736.0,97.0,100.0,5.0,100.0,0.0,87.0,651123382.0,28.0,63353.0,100.0,3.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,81.0,19.0,100.0,2.0,35.0,131699.0,19.0,19.0,100.0,0.0,100.0,0.0,0.0,62828.0,69639560552.0,531773508453.0
3739,2022-10-07,S300VKP1,ST4000DM000,4000787030016,0,118.0,178533832.0,97.0,100.0,5.0,100.0,0.0,87.0,651993169.0,28.0,63377.0,100.0,3.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,81.0,19.0,100.0,2.0,35.0,131699.0,19.0,19.0,100.0,0.0,100.0,0.0,0.0,62852.0,69641604904.0,531950728618.0
3740,2022-10-08,S300VKP1,ST4000DM000,4000787030016,0,114.0,76121792.0,97.0,100.0,5.0,100.0,0.0,87.0,653009312.0,28.0,63401.0,100.0,3.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,81.0,19.0,100.0,2.0,35.0,131699.0,19.0,19.0,100.0,0.0,100.0,0.0,0.0,62876.0,69642851824.0,532138414976.0
3741,2022-10-09,S300VKP1,ST4000DM000,4000787030016,0,118.0,196492056.0,97.0,100.0,5.0,100.0,0.0,87.0,654291472.0,28.0,63425.0,100.0,3.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,82.0,18.0,100.0,2.0,35.0,131699.0,18.0,18.0,100.0,0.0,100.0,0.0,0.0,62900.0,69644191208.0,532346898482.0
3742,2022-10-10,S300VKP1,ST4000DM000,4000787030016,0,112.0,49822968.0,97.0,100.0,5.0,100.0,0.0,87.0,657193452.0,28.0,63449.0,100.0,3.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,82.0,18.0,100.0,2.0,35.0,131699.0,18.0,18.0,100.0,0.0,100.0,0.0,0.0,62924.0,69646516392.0,532618943835.0
