,date,serial_number,model,capacity_bytes,failure,smart_1_normalized,smart_1_raw,smart_3_normalized,smart_4_normalized,smart_4_raw,smart_5_normalized,smart_5_raw,smart_7_normalized,smart_7_raw,smart_9_normalized,smart_9_raw,smart_12_normalized,smart_12_raw,smart_183_normalized,smart_183_raw,smart_184_normalized,smart_184_raw,smart_187_normalized,smart_187_raw,smart_188_normalized,smart_188_raw,smart_189_normalized,smart_189_raw,smart_190_normalized,smart_190_raw,smart_192_normalized,smart_192_raw,smart_193_normalized,smart_193_raw,smart_194_normalized,smart_194_raw,smart_197_normalized,smart_197_raw,smart_198_normalized,smart_198_raw,smart_199_raw,smart_240_raw,smart_241_raw,smart_242_raw
4101,2022-10-01,S300VKQN,ST4000DM000,4000787030016,0,113.0,54348736.0,97.0,100.0,5.0,100.0,0.0,87.0,486530864.0,28.0,63243.0,100.0,3.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,80.0,20.0,100.0,2.0,37.0,126213.0,20.0,20.0,100.0,0.0,100.0,0.0,0.0,62768.0,69402361432.0,501571360340.0
4102,2022-10-02,S300VKQN,ST4000DM000,4000787030016,0,118.0,182436088.0,97.0,100.0,5.0,100.0,0.0,87.0,489636355.0,28.0,63267.0,100.0,3.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,80.0,20.0,100.0,2.0,37.0,126213.0,20.0,20.0,100.0,0.0,100.0,0.0,0.0,62792.0,69404528456.0,501840455629.0
4103,2022-10-03,S300VKQN,ST4000DM000,4000787030016,0,119.0,203680248.0,97.0,100.0,5.0,100.0,0.0,87.0,490834740.0,28.0,63291.0,100.0,3.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,80.0,20.0,100.0,2.0,37.0,126213.0,20.0,20.0,100.0,0.0,100.0,0.0,0.0,62816.0,69406323104.0,502040577912.0
4104,2022-10-04,S300VKQN,ST4000DM000,4000787030016,0,119.0,219311896.0,97.0,100.0,5.0,100.0,0.0,87.0,492193898.0,28.0,63315.0,100.0,3.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,80.0,20.0,100.0,2.0,37.0,126213.0,20.0,20.0,100.0,0.0,100.0,0.0,0.0,62840.0,69407946168.0,502188071448.0
4105,2022-10-05,S300VKQN,ST4000DM000,4000787030016,0,113.0,57652304.0,97.0,100.0,5.0,100.0,0.0,87.0,493799865.0,28.0,63338.0,100.0,3.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,80.0,20.0,100.0,2.0,37.0,126213.0,20.0,20.0,100.0,0.0,100.0,0.0,0.0,62863.0,69409724280.0,502304807378.0
4106,2022-10-06,S300VKQN,ST4000DM000,4000787030016,0,119.0,217231312.0,97.0,100.0,5.0,100.0,0.0,87.0,495069096.0,28.0,63362.0,100.0,3.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,80.0,20.0,100.0,2.0,37.0,126213.0,20.0,20.0,100.0,0.0,100.0,0.0,0.0,62887.0,69411173688.0,502548452435.0
4107,2022-10-07,S300VKQN,ST4000DM000,4000787030016,0,117.0,165228832.0,97.0,100.0,5.0,100.0,0.0,87.0,496640238.0,28.0,63386.0,100.0,3.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,80.0,20.0,100.0,2.0,37.0,126213.0,20.0,20.0,100.0,0.0,100.0,0.0,0.0,62911.0,69412375328.0,502925738027.0
4108,2022-10-08,S300VKQN,ST4000DM000,4000787030016,0,117.0,160124656.0,97.0,100.0,5.0,100.0,0.0,87.0,497996099.0,28.0,63410.0,100.0,3.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,80.0,20.0,100.0,2.0,37.0,126213.0,20.0,20.0,100.0,0.0,100.0,0.0,0.0,62935.0,69413925832.0,503223913177.0
4109,2022-10-09,S300VKQN,ST4000DM000,4000787030016,0,119.0,215328232.0,97.0,100.0,5.0,100.0,0.0,87.0,501208654.0,28.0,63434.0,100.0,3.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,80.0,20.0,100.0,2.0,37.0,126213.0,20.0,20.0,100.0,0.0,100.0,0.0,0.0,62959.0,69415705728.0,503535624261.0
4110,2022-10-10,S300VKQN,ST4000DM000,4000787030016,0,102.0,4871504.0,97.0,100.0,5.0,100.0,0.0,87.0,502692533.0,28.0,63458.0,100.0,3.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,80.0,20.0,100.0,2.0,37.0,126213.0,20.0,20.0,100.0,0.0,100.0,0.0,0.0,62983.0,69417425696.0,503849128346.0
4111,2022-10-11,S300VKQN,ST4000DM000,4000787030016,0,115.0,98767416.0,97.0,100.0,5.0,100.0,0.0,87.0,503882303.0,28.0,63481.0,100.0,3.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,80.0,20.0,100.0,2.0,37.0,126213.0,20.0,20.0,100.0,0.0,100.0,0.0,0.0,63006.0,69418568672.0,503972614616.0
4112,2022-10-12,S300VKQN,ST4000DM000,4000787030016,0,106.0,11323216.0,97.0,100.0,5.0,100.0,0.0,87.0,505289057.0,28.0,63505.0,100.0,3.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,80.0,20.0,100.0,2.0,37.0,126213.0,20.0,20.0,100.0,0.0,100.0,0.0,0.0,63030.0,69420027872.0,504046195660.0
4113,2022-10-13,S300VKQN,ST4000DM000,4000787030016,0,118.0,188394248.0,97.0,100.0,5.0,100.0,0.0,87.0,506611400.0,28.0,63529.0,100.0,3.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,80.0,20.0,100.0,2.0,37.0,126213.0,20.0,20.0,100.0,0.0,100.0,0.0,0.0,63054.0,69421402008.0,504366683984.0
4114,2022-10-14,S300VKQN,ST4000DM000,4000787030016,0,116.0,100670752.0,97.0,100.0,5.0,100.0,0.0,87.0,507738520.0,28.0,63553.0,100.0,3.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,80.0,20.0,100.0,2.0,37.0,126213.0,20.0,20.0,100.0,0.0,100.0,0.0,0.0,63078.0,69422916800.0,504624697938.0
