,date,serial_number,model,capacity_bytes,failure,smart_1_normalized,smart_1_raw,smart_3_normalized,smart_4_normalized,smart_4_raw,smart_5_normalized,smart_5_raw,smart_7_normalized,smart_7_raw,smart_9_normalized,smart_9_raw,smart_12_normalized,smart_12_raw,smart_183_normalized,smart_183_raw,smart_184_normalized,smart_184_raw,smart_187_normalized,smart_187_raw,smart_188_normalized,smart_188_raw,smart_189_normalized,smart_189_raw,smart_190_normalized,smart_190_raw,smart_192_normalized,smart_192_raw,smart_193_normalized,smart_193_raw,smart_194_normalized,smart_194_raw,smart_197_normalized,smart_197_raw,smart_198_normalized,smart_198_raw,smart_199_raw,smart_240_raw,smart_241_raw,smart_242_raw
4193,2022-10-01,S300VKQS,ST4000DM000,4000787030016,0,115.0,97477920.0,94.0,100.0,9.0,100.0,0.0,86.0,459253782.0,28.0,63241.0,100.0,6.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,83.0,17.0,100.0,0.0,34.0,132639.0,17.0,17.0,100.0,0.0,100.0,0.0,0.0,62722.0,66974252368.0,573190410217.0
4194,2022-10-02,S300VKQS,ST4000DM000,4000787030016,0,117.0,126434528.0,94.0,100.0,9.0,100.0,0.0,86.0,461957994.0,28.0,63265.0,100.0,6.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,83.0,17.0,100.0,0.0,34.0,132639.0,17.0,17.0,100.0,0.0,100.0,0.0,0.0,62745.0,66976130784.0,573460741580.0
4195,2022-10-03,S300VKQS,ST4000DM000,4000787030016,0,115.0,95286072.0,94.0,100.0,9.0,100.0,0.0,86.0,464002860.0,28.0,63289.0,100.0,6.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,83.0,17.0,100.0,0.0,34.0,132639.0,17.0,17.0,100.0,0.0,100.0,0.0,0.0,62769.0,66977999000.0,573742615795.0
4196,2022-10-04,S300VKQS,ST4000DM000,4000787030016,0,119.0,232667768.0,94.0,100.0,9.0,100.0,0.0,86.0,464910280.0,28.0,63312.0,100.0,6.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,83.0,17.0,100.0,0.0,34.0,132639.0,17.0,17.0,100.0,0.0,100.0,0.0,0.0,62792.0,66979406432.0,573949356618.0
4197,2022-10-05,S300VKQS,ST4000DM000,4000787030016,0,111.0,37105896.0,94.0,100.0,9.0,100.0,0.0,86.0,466346838.0,28.0,63336.0,100.0,6.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,83.0,17.0,100.0,0.0,34.0,132639.0,17.0,17.0,100.0,0.0,100.0,0.0,0.0,62816.0,66980530912.0,574009624208.0
4198,2022-10-06,S300VKQS,ST4000DM000,4000787030016,0,118.0,187374640.0,94.0,100.0,9.0,100.0,0.0,86.0,467438278.0,28.0,63359.0,100.0,6.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,83.0,17.0,100.0,0.0,34.0,132639.0,17.0,17.0,100.0,0.0,100.0,0.0,0.0,62839.0,66981861192.0,574204946977.0
4199,2022-10-07,S300VKQS,ST4000DM000,4000787030016,0,116.0,115535304.0,94.0,100.0,9.0,100.0,0.0,86.0,468544626.0,28.0,63383.0,100.0,6.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,83.0,17.0,100.0,0.0,34.0,132639.0,17.0,17.0,100.0,0.0,100.0,0.0,0.0,62863.0,66983068192.0,574427929368.0
4200,2022-10-08,S300VKQS,ST4000DM000,4000787030016,0,119.0,231293168.0,94.0,100.0,9.0,100.0,0.0,87.0,469988074.0,28.0,63407.0,100.0,6.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,83.0,17.0,100.0,0.0,34.0,132639.0,17.0,17.0,100.0,0.0,100.0,0.0,0.0,62887.0,66984292584.0,574701426316.0
4201,2022-10-09,S300VKQS,ST4000DM000,4000787030016,0,117.0,147350160.0,94.0,100.0,9.0,100.0,0.0,87.0,472083957.0,28.0,63430.0,100.0,6.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,83.0,17.0,100.0,0.0,34.0,132639.0,17.0,17.0,100.0,0.0,100.0,0.0,0.0,62910.0,66985840176.0,575044144730.0
4202,2022-10-10,S300VKQS,ST4000DM000,4000787030016,0,114.0,78424280.0,94.0,100.0,9.0,100.0,0.0,87.0,475115358.0,28.0,63454.0,100.0,6.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,83.0,17.0,100.0,0.0,34.0,132639.0,17.0,17.0,100.0,0.0,100.0,0.0,0.0,62934.0,66987711024.0,575385341128.0
4203,2022-10-11,S300VKQS,ST4000DM000,4000787030016,0,117.0,121254600.0,94.0,100.0,9.0,100.0,0.0,87.0,476239383.0,28.0,63478.0,100.0,6.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,83.0,17.0,100.0,0.0,34.0,132639.0,17.0,17.0,100.0,0.0,100.0,0.0,0.0,62958.0,66988972424.0,575559208259.0
4204,2022-10-12,S300VKQS,ST4000DM000,4000787030016,0,119.0,223308128.0,94.0,100.0,9.0,100.0,0.0,87.0,477573977.0,28.0,63501.0,100.0,6.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,83.0,17.0,100.0,0.0,34.0,132639.0,17.0,17.0,100.0,0.0,100.0,0.0,0.0,62981.0,66990287768.0,575611624251.0
4205,2022-10-13,S300VKQS,ST4000DM000,4000787030016,0,119.0,210670040.0,94.0,100.0,9.0,100.0,0.0,87.0,479128101.0,28.0,63525.0,100.0,6.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,83.0,17.0,100.0,0.0,34.0,132639.0,17.0,17.0,100.0,0.0,100.0,0.0,0.0,63005.0,66991479248.0,575813103414.0
4206,2022-10-14,S300VKQS,ST4000DM000,4000787030016,0,103.0,5806368.0,94.0,100.0,9.0,100.0,0.0,87.0,479927582.0,28.0,63548.0,100.0,6.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,83.0,17.0,100.0,0.0,34.0,132639.0,17.0,17.0,100.0,0.0,100.0,0.0,0.0,63028.0,66993236576.0,575971567514.0
4207,2022-10-15,S300VKQS,ST4000DM000,4000787030016,0,110.0,26836608.0,94.0,100.0,9.0,100.0,0.0,87.0,481008619.0,28.0,63572.0,100.0,6.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,83.0,17.0,100.0,0.0,34.0,132639.0,17.0,17.0,100.0,0.0,100.0,0.0,0.0,63052.0,66994538776.0,576222331418.0
4208,2022-10-16,S300VKQS,ST4000DM000,4000787030016,0,118.0,179426200.0,94.0,100.0,9.0,100.0,0.0,87.0,482586442.0,28.0,63596.0,100.0,6.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,83.0,17.0,100.0,0.0,34.0,132639.0,17.0,17.0,100.0,0.0,100.0,0.0,0.0,63076.0,66995875168.0,576400724990.0
4209,2022-10-17,S300VKQS,ST4000DM000,4000787030016,0,107.0,13413112.0,94.0,100.0,9.0,100.0,0.0,87.0,485212099.0,28.0,63631.0,100.0,6.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,83.0,17.0,100.0,0.0,34.0,132639.0,17.0,17.0,100.0,0.0,100.0,0.0,0.0,63111.0,66998060504.0,576744533660.0
4210,2022-10-18,S300VKQS,ST4000DM000,4000787030016,0,114.0,69201808.0,94.0,100.0,9.0,100.0,0.0,87.0,486520882.0,28.0,63654.0,100.0,6.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,83.0,17.0,100.0,0.0,34.0,132639.0,17.0,17.0,100.0,0.0,100.0,0.0,0.0,63135.0,66999212976.0,576905521393.0
4211,2022-10-19,S300VKQS,ST4000DM000,4000787030016,0,113.0,56693944.0,94.0,100.0,9.0,100.0,0.0,87.0,487904520.0,28.0,63678.0,100.0,6.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,83.0,17.0,100.0,0.0,34.0,132639.0,17.0,17.0,100.0,0.0,100.0,0.0,0.0,63158.0,67000398680.0,577018839748.0
4212,2022-10-20,S300VKQS,ST4000DM000,4000787030016,0,117.0,140745120.0,94.0,100.0,9.0,100.0,0.0,87.0,489690557.0,28.0,63702.0,100.0,6.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,83.0,17.0,100.0,0.0,34.0,132639.0,17.0,17.0,100.0,0.0,100.0,0.0,0.0,63182.0,67001850328.0,577231252776.0
