,date,serial_number,model,capacity_bytes,failure,smart_1_normalized,smart_1_raw,smart_3_normalized,smart_4_normalized,smart_4_raw,smart_5_normalized,smart_5_raw,smart_7_normalized,smart_7_raw,smart_9_normalized,smart_9_raw,smart_12_normalized,smart_12_raw,smart_183_normalized,smart_183_raw,smart_184_normalized,smart_184_raw,smart_187_normalized,smart_187_raw,smart_188_normalized,smart_188_raw,smart_189_normalized,smart_189_raw,smart_190_normalized,smart_190_raw,smart_192_normalized,smart_192_raw,smart_193_normalized,smart_193_raw,smart_194_normalized,smart_194_raw,smart_197_normalized,smart_197_raw,smart_198_normalized,smart_198_raw,smart_199_raw,smart_240_raw,smart_241_raw,smart_242_raw
4469,2022-10-01,S300VKRE,ST4000DM000,4000787030016,0,117.0,156146240.0,92.0,100.0,24.0,100.0,0.0,83.0,214450256.0,28.0,63198.0,100.0,20.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,71.0,29.0,100.0,0.0,81.0,38457.0,29.0,29.0,100.0,0.0,100.0,0.0,0.0,62983.0,75116361504.0,438244943290.0
4470,2022-10-02,S300VKRE,ST4000DM000,4000787030016,0,119.0,206987744.0,92.0,100.0,24.0,100.0,0.0,83.0,215365926.0,28.0,63221.0,100.0,20.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,70.0,30.0,100.0,0.0,81.0,38457.0,30.0,30.0,100.0,0.0,100.0,0.0,0.0,63006.0,75118018856.0,438356304785.0
4471,2022-10-03,S300VKRE,ST4000DM000,4000787030016,0,108.0,17196592.0,92.0,100.0,24.0,100.0,0.0,83.0,217557480.0,28.0,63245.0,100.0,20.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,70.0,30.0,100.0,0.0,81.0,38457.0,30.0,30.0,100.0,0.0,100.0,0.0,0.0,63030.0,75119429584.0,438531044586.0
4472,2022-10-04,S300VKRE,ST4000DM000,4000787030016,0,112.0,48061648.0,92.0,100.0,24.0,100.0,0.0,83.0,219877479.0,28.0,63269.0,100.0,20.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,70.0,30.0,100.0,0.0,81.0,38457.0,30.0,30.0,100.0,0.0,100.0,0.0,0.0,63053.0,75121415928.0,438725115188.0
4473,2022-10-05,S300VKRE,ST4000DM000,4000787030016,0,115.0,96819584.0,92.0,100.0,24.0,100.0,0.0,83.0,221447256.0,28.0,63293.0,100.0,20.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,70.0,30.0,100.0,0.0,81.0,38473.0,30.0,30.0,100.0,0.0,100.0,0.0,0.0,63077.0,75122995152.0,438910107100.0
4474,2022-10-06,S300VKRE,ST4000DM000,4000787030016,0,107.0,14479216.0,92.0,100.0,24.0,100.0,0.0,83.0,223366719.0,28.0,63316.0,100.0,20.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,70.0,30.0,100.0,0.0,81.0,38475.0,30.0,30.0,100.0,0.0,100.0,0.0,0.0,63101.0,75124352208.0,439062421886.0
4475,2022-10-07,S300VKRE,ST4000DM000,4000787030016,0,120.0,240451336.0,92.0,100.0,24.0,100.0,0.0,83.0,224698502.0,28.0,63340.0,100.0,20.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,74.0,26.0,100.0,0.0,81.0,38475.0,26.0,26.0,100.0,0.0,100.0,0.0,0.0,63124.0,75126200696.0,439265692612.0
4476,2022-10-08,S300VKRE,ST4000DM000,4000787030016,0,119.0,205832544.0,92.0,100.0,24.0,100.0,0.0,83.0,226133916.0,28.0,63363.0,100.0,20.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,74.0,26.0,100.0,0.0,81.0,38476.0,26.0,26.0,100.0,0.0,100.0,0.0,0.0,63148.0,75127532568.0,439499900034.0
4477,2022-10-09,S300VKRE,ST4000DM000,4000787030016,0,118.0,175713336.0,92.0,100.0,24.0,100.0,0.0,83.0,227593100.0,28.0,63387.0,100.0,20.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,70.0,30.0,100.0,0.0,81.0,38476.0,30.0,30.0,100.0,0.0,100.0,0.0,0.0,63172.0,75129393616.0,439727466063.0
4478,2022-10-10,S300VKRE,ST4000DM000,4000787030016,0,114.0,78313544.0,92.0,100.0,24.0,100.0,0.0,83.0,229815674.0,28.0,63411.0,100.0,20.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,74.0,26.0,100.0,0.0,81.0,38476.0,26.0,26.0,100.0,0.0,100.0,0.0,0.0,63195.0,75131819016.0,440001957304.0
