,date,serial_number,model,capacity_bytes,failure,smart_1_normalized,smart_1_raw,smart_3_normalized,smart_4_normalized,smart_4_raw,smart_5_normalized,smart_5_raw,smart_7_normalized,smart_7_raw,smart_9_normalized,smart_9_raw,smart_12_normalized,smart_12_raw,smart_183_normalized,smart_183_raw,smart_184_normalized,smart_184_raw,smart_187_normalized,smart_187_raw,smart_188_normalized,smart_188_raw,smart_189_normalized,smart_189_raw,smart_190_normalized,smart_190_raw,smart_192_normalized,smart_192_raw,smart_193_normalized,smart_193_raw,smart_194_normalized,smart_194_raw,smart_197_normalized,smart_197_raw,smart_198_normalized,smart_198_raw,smart_199_raw,smart_240_raw,smart_241_raw,smart_242_raw
4561,2022-10-01,S300VKRF,ST4000DM000,4000787030016,0,117.0,129413024.0,95.0,100.0,10.0,100.0,0.0,86.0,413217115.0,28.0,63247.0,100.0,5.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,79.0,21.0,100.0,0.0,44.0,113820.0,21.0,21.0,100.0,0.0,100.0,0.0,0.0,62829.0,69945408424.0,466620987740.0
4562,2022-10-02,S300VKRF,ST4000DM000,4000787030016,0,114.0,66100600.0,95.0,100.0,10.0,100.0,0.0,86.0,415433196.0,28.0,63271.0,100.0,5.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,79.0,21.0,100.0,0.0,44.0,113822.0,21.0,21.0,100.0,0.0,100.0,0.0,0.0,62853.0,69947186784.0,466742267629.0
4563,2022-10-03,S300VKRF,ST4000DM000,4000787030016,0,117.0,167642680.0,95.0,100.0,10.0,100.0,0.0,86.0,416467919.0,28.0,63294.0,100.0,5.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,79.0,21.0,100.0,0.0,44.0,113822.0,21.0,21.0,100.0,0.0,100.0,0.0,0.0,62877.0,69949395640.0,466901368939.0
4564,2022-10-04,S300VKRF,ST4000DM000,4000787030016,0,119.0,230605072.0,95.0,100.0,10.0,100.0,0.0,86.0,417234666.0,28.0,63318.0,100.0,5.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,79.0,21.0,100.0,0.0,44.0,113822.0,21.0,21.0,100.0,0.0,100.0,0.0,0.0,62901.0,69950846088.0,467066784418.0
4565,2022-10-05,S300VKRF,ST4000DM000,4000787030016,0,119.0,227649456.0,95.0,100.0,10.0,100.0,0.0,86.0,418302038.0,28.0,63342.0,100.0,5.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,79.0,21.0,100.0,0.0,44.0,113823.0,21.0,21.0,100.0,0.0,100.0,0.0,0.0,62924.0,69952572056.0,467301045191.0
4566,2022-10-06,S300VKRF,ST4000DM000,4000787030016,0,114.0,60249128.0,95.0,100.0,10.0,100.0,0.0,86.0,420969384.0,28.0,63366.0,100.0,5.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,79.0,21.0,100.0,0.0,44.0,113824.0,21.0,21.0,100.0,0.0,100.0,0.0,0.0,62948.0,69954176768.0,467537292743.0
4567,2022-10-07,S300VKRF,ST4000DM000,4000787030016,0,117.0,153665168.0,95.0,100.0,10.0,100.0,0.0,86.0,422174993.0,28.0,63390.0,100.0,5.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,79.0,21.0,100.0,0.0,44.0,113824.0,21.0,21.0,100.0,0.0,100.0,0.0,0.0,62972.0,69955393448.0,467785874401.0
4568,2022-10-08,S300VKRF,ST4000DM000,4000787030016,0,118.0,193677080.0,95.0,100.0,10.0,100.0,0.0,86.0,423421637.0,28.0,63414.0,100.0,5.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,80.0,20.0,100.0,0.0,44.0,113837.0,20.0,20.0,100.0,0.0,100.0,0.0,0.0,62996.0,69956674824.0,467984975975.0
4569,2022-10-09,S300VKRF,ST4000DM000,4000787030016,0,117.0,137085664.0,95.0,100.0,10.0,100.0,0.0,86.0,425339123.0,28.0,63437.0,100.0,5.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,74.0,26.0,100.0,0.0,44.0,113840.0,26.0,26.0,100.0,0.0,100.0,0.0,0.0,63020.0,69959228496.0,468064467921.0
4570,2022-10-10,S300VKRF,ST4000DM000,4000787030016,0,116.0,105229088.0,95.0,100.0,10.0,100.0,0.0,86.0,426466734.0,28.0,63461.0,100.0,5.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,79.0,21.0,100.0,0.0,44.0,113840.0,21.0,21.0,100.0,0.0,100.0,0.0,0.0,63043.0,69961002960.0,468253094805.0
4571,2022-10-11,S300VKRF,ST4000DM000,4000787030016,0,107.0,13141064.0,95.0,100.0,10.0,100.0,0.0,86.0,427459932.0,28.0,63485.0,100.0,5.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,79.0,21.0,100.0,0.0,44.0,113840.0,21.0,21.0,100.0,0.0,100.0,0.0,0.0,63067.0,69962271272.0,468420011719.0
4572,2022-10-12,S300VKRF,ST4000DM000,4000787030016,0,114.0,66529200.0,95.0,100.0,10.0,100.0,0.0,86.0,428473089.0,28.0,63509.0,100.0,5.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,79.0,21.0,100.0,0.0,44.0,113841.0,21.0,21.0,100.0,0.0,100.0,0.0,0.0,63091.0,69963791064.0,468596467178.0
