,date,serial_number,model,capacity_bytes,failure,smart_1_normalized,smart_1_raw,smart_3_normalized,smart_4_normalized,smart_4_raw,smart_5_normalized,smart_5_raw,smart_7_normalized,smart_7_raw,smart_9_normalized,smart_9_raw,smart_12_normalized,smart_12_raw,smart_183_normalized,smart_183_raw,smart_184_normalized,smart_184_raw,smart_187_normalized,smart_187_raw,smart_188_normalized,smart_188_raw,smart_189_normalized,smart_189_raw,smart_190_normalized,smart_190_raw,smart_192_normalized,smart_192_raw,smart_193_normalized,smart_193_raw,smart_194_normalized,smart_194_raw,smart_197_normalized,smart_197_raw,smart_198_normalized,smart_198_raw,smart_199_raw,smart_240_raw,smart_241_raw,smart_242_raw
4837,2022-10-01,S300VKT4,ST4000DM000,4000787030016,0,117.0,148858648.0,97.0,100.0,5.0,100.0,0.0,87.0,491514907.0,28.0,63241.0,100.0,3.0,100.0,0.0,100.0,0.0,99.0,1.0,100.0,0.0,100.0,0.0,83.0,17.0,100.0,2.0,35.0,130123.0,17.0,17.0,100.0,0.0,100.0,0.0,0.0,62729.0,68758877944.0,468486603747.0
4838,2022-10-02,S300VKT4,ST4000DM000,4000787030016,0,114.0,78156136.0,97.0,100.0,5.0,100.0,0.0,87.0,492766419.0,28.0,63264.0,100.0,3.0,100.0,0.0,100.0,0.0,99.0,1.0,100.0,0.0,100.0,0.0,83.0,17.0,100.0,2.0,35.0,130123.0,17.0,17.0,100.0,0.0,100.0,0.0,0.0,62753.0,68760858800.0,468735985234.0
4839,2022-10-03,S300VKT4,ST4000DM000,4000787030016,0,117.0,146139656.0,97.0,100.0,5.0,100.0,0.0,87.0,494630612.0,28.0,63288.0,100.0,3.0,100.0,0.0,100.0,0.0,99.0,1.0,100.0,0.0,100.0,0.0,82.0,18.0,100.0,2.0,35.0,130123.0,18.0,18.0,100.0,0.0,100.0,0.0,0.0,62777.0,68762550984.0,468876056677.0
4840,2022-10-04,S300VKT4,ST4000DM000,4000787030016,0,118.0,176305136.0,97.0,100.0,5.0,100.0,0.0,87.0,497111554.0,28.0,63312.0,100.0,3.0,100.0,0.0,100.0,0.0,99.0,1.0,100.0,0.0,100.0,0.0,82.0,18.0,100.0,2.0,35.0,130123.0,18.0,18.0,100.0,0.0,100.0,0.0,0.0,62800.0,68764171096.0,469048983443.0
4841,2022-10-05,S300VKT4,ST4000DM000,4000787030016,0,114.0,68602000.0,97.0,100.0,5.0,100.0,0.0,87.0,498810796.0,28.0,63348.0,100.0,3.0,100.0,0.0,100.0,0.0,99.0,1.0,100.0,0.0,100.0,0.0,82.0,18.0,100.0,2.0,35.0,130123.0,18.0,18.0,100.0,0.0,100.0,0.0,0.0,62836.0,68767165112.0,469360665195.0
4842,2022-10-06,S300VKT4,ST4000DM000,4000787030016,0,108.0,17244848.0,97.0,100.0,5.0,100.0,0.0,87.0,499459841.0,28.0,63360.0,100.0,3.0,100.0,0.0,100.0,0.0,99.0,1.0,100.0,0.0,100.0,0.0,82.0,18.0,100.0,2.0,35.0,130123.0,18.0,18.0,100.0,0.0,100.0,0.0,0.0,62848.0,68767771184.0,469476851255.0
4843,2022-10-07,S300VKT4,ST4000DM000,4000787030016,0,107.0,14420048.0,97.0,100.0,5.0,100.0,0.0,87.0,500816982.0,28.0,63384.0,100.0,3.0,100.0,0.0,100.0,0.0,99.0,1.0,100.0,0.0,100.0,0.0,82.0,18.0,100.0,2.0,35.0,130123.0,18.0,18.0,100.0,0.0,100.0,0.0,0.0,62872.0,68769388584.0,469709397244.0
4844,2022-10-08,S300VKT4,ST4000DM000,4000787030016,0,103.0,5641704.0,97.0,100.0,5.0,100.0,0.0,87.0,503712961.0,28.0,63407.0,100.0,3.0,100.0,0.0,100.0,0.0,99.0,1.0,100.0,0.0,100.0,0.0,82.0,18.0,100.0,2.0,35.0,130123.0,18.0,18.0,100.0,0.0,100.0,0.0,0.0,62896.0,68770931064.0,469936908432.0
4845,2022-10-09,S300VKT4,ST4000DM000,4000787030016,0,116.0,106291648.0,97.0,100.0,5.0,100.0,0.0,87.0,505075497.0,28.0,63431.0,100.0,3.0,100.0,0.0,100.0,0.0,99.0,1.0,100.0,0.0,100.0,0.0,83.0,17.0,100.0,2.0,35.0,130123.0,17.0,17.0,100.0,0.0,100.0,0.0,0.0,62920.0,68772751272.0,470195197529.0
4846,2022-10-10,S300VKT4,ST4000DM000,4000787030016,0,109.0,21650800.0,97.0,100.0,5.0,100.0,0.0,87.0,507123147.0,28.0,63455.0,100.0,3.0,100.0,0.0,100.0,0.0,99.0,1.0,100.0,0.0,100.0,0.0,83.0,17.0,100.0,2.0,35.0,130123.0,17.0,17.0,100.0,0.0,100.0,0.0,0.0,62943.0,68779195064.0,470351207714.0
