,date,serial_number,model,capacity_bytes,failure,smart_1_normalized,smart_1_raw,smart_3_normalized,smart_4_normalized,smart_4_raw,smart_5_normalized,smart_5_raw,smart_7_normalized,smart_7_raw,smart_9_normalized,smart_9_raw,smart_12_normalized,smart_12_raw,smart_183_normalized,smart_183_raw,smart_184_normalized,smart_184_raw,smart_187_normalized,smart_187_raw,smart_188_normalized,smart_188_raw,smart_189_normalized,smart_189_raw,smart_190_normalized,smart_190_raw,smart_192_normalized,smart_192_raw,smart_193_normalized,smart_193_raw,smart_194_normalized,smart_194_raw,smart_197_normalized,smart_197_raw,smart_198_normalized,smart_198_raw,smart_199_raw,smart_240_raw,smart_241_raw,smart_242_raw
4929,2022-10-01,S300VKTD,ST4000DM000,4000787030016,0,110.0,27416360.0,91.0,100.0,20.0,100.0,0.0,87.0,611533374.0,29.0,62879.0,100.0,18.0,100.0,0.0,100.0,0.0,99.0,1.0,100.0,0.0,100.0,0.0,76.0,24.0,100.0,0.0,76.0,49853.0,24.0,24.0,100.0,0.0,100.0,0.0,0.0,62606.0,72115846848.0,445520797358.0
4930,2022-10-02,S300VKTD,ST4000DM000,4000787030016,0,118.0,182494248.0,91.0,100.0,20.0,100.0,0.0,87.0,613037650.0,29.0,62903.0,100.0,18.0,100.0,0.0,100.0,0.0,99.0,1.0,100.0,0.0,100.0,0.0,76.0,24.0,100.0,0.0,76.0,49853.0,24.0,24.0,100.0,0.0,100.0,0.0,0.0,62629.0,72128952888.0,445633750376.0
4931,2022-10-03,S300VKTD,ST4000DM000,4000787030016,0,117.0,131704456.0,91.0,100.0,20.0,100.0,0.0,87.0,614133267.0,29.0,62927.0,100.0,18.0,100.0,0.0,100.0,0.0,99.0,1.0,100.0,0.0,100.0,0.0,76.0,24.0,100.0,0.0,76.0,49853.0,24.0,24.0,100.0,0.0,100.0,0.0,0.0,62653.0,72144710152.0,445749213371.0
4932,2022-10-04,S300VKTD,ST4000DM000,4000787030016,0,119.0,225441496.0,91.0,100.0,20.0,100.0,0.0,87.0,615214112.0,29.0,62950.0,100.0,18.0,100.0,0.0,100.0,0.0,99.0,1.0,100.0,0.0,100.0,0.0,76.0,24.0,100.0,0.0,76.0,49853.0,24.0,24.0,100.0,0.0,100.0,0.0,0.0,62677.0,72158695768.0,445945731596.0
4933,2022-10-05,S300VKTD,ST4000DM000,4000787030016,0,119.0,213896824.0,91.0,100.0,20.0,100.0,0.0,87.0,616255543.0,29.0,62974.0,100.0,18.0,100.0,0.0,100.0,0.0,99.0,1.0,100.0,0.0,100.0,0.0,76.0,24.0,100.0,0.0,76.0,49853.0,24.0,24.0,100.0,0.0,100.0,0.0,0.0,62700.0,72175532984.0,446162006826.0
4934,2022-10-06,S300VKTD,ST4000DM000,4000787030016,0,117.0,164980560.0,91.0,100.0,20.0,100.0,0.0,87.0,617870959.0,29.0,62998.0,100.0,18.0,100.0,0.0,100.0,0.0,99.0,1.0,100.0,0.0,100.0,0.0,75.0,25.0,100.0,0.0,76.0,49853.0,25.0,25.0,100.0,0.0,100.0,0.0,0.0,62724.0,72189940528.0,446498538977.0
4935,2022-10-07,S300VKTD,ST4000DM000,4000787030016,0,119.0,218921056.0,91.0,100.0,20.0,100.0,0.0,87.0,621299611.0,29.0,63021.0,100.0,18.0,100.0,0.0,100.0,0.0,99.0,1.0,100.0,0.0,100.0,0.0,76.0,24.0,100.0,0.0,76.0,49853.0,24.0,24.0,100.0,0.0,100.0,0.0,0.0,62748.0,72198662216.0,446832693365.0
4936,2022-10-08,S300VKTD,ST4000DM000,4000787030016,0,116.0,110157744.0,91.0,100.0,20.0,100.0,0.0,87.0,623981633.0,29.0,63045.0,100.0,18.0,100.0,0.0,100.0,0.0,99.0,1.0,100.0,0.0,100.0,0.0,76.0,24.0,100.0,0.0,76.0,49853.0,24.0,24.0,100.0,0.0,100.0,0.0,0.0,62771.0,72209193576.0,447147759087.0
4937,2022-10-09,S300VKTD,ST4000DM000,4000787030016,0,120.0,2054168.0,91.0,100.0,20.0,100.0,0.0,87.0,625359811.0,29.0,63069.0,100.0,18.0,100.0,0.0,100.0,0.0,99.0,1.0,100.0,0.0,100.0,0.0,73.0,27.0,100.0,0.0,76.0,49853.0,27.0,27.0,100.0,0.0,100.0,0.0,0.0,62795.0,72221984640.0,447266324925.0
4938,2022-10-10,S300VKTD,ST4000DM000,4000787030016,0,102.0,4752312.0,91.0,100.0,20.0,100.0,0.0,87.0,626554092.0,28.0,63092.0,100.0,18.0,100.0,0.0,100.0,0.0,99.0,1.0,100.0,0.0,100.0,0.0,75.0,25.0,100.0,0.0,76.0,49853.0,25.0,25.0,100.0,0.0,100.0,0.0,0.0,62819.0,72232310648.0,447331265150.0
4939,2022-10-11,S300VKTD,ST4000DM000,4000787030016,0,117.0,132534328.0,91.0,100.0,20.0,100.0,0.0,87.0,628391351.0,28.0,63116.0,100.0,18.0,100.0,0.0,100.0,0.0,99.0,1.0,100.0,0.0,100.0,0.0,75.0,25.0,100.0,0.0,76.0,49853.0,25.0,25.0,100.0,0.0,100.0,0.0,0.0,62843.0,72246574440.0,447618868551.0
