,date,serial_number,model,capacity_bytes,failure,smart_1_normalized,smart_1_raw,smart_3_normalized,smart_4_normalized,smart_4_raw,smart_5_normalized,smart_5_raw,smart_7_normalized,smart_7_raw,smart_9_normalized,smart_9_raw,smart_12_normalized,smart_12_raw,smart_183_normalized,smart_183_raw,smart_184_normalized,smart_184_raw,smart_187_normalized,smart_187_raw,smart_188_normalized,smart_188_raw,smart_189_normalized,smart_189_raw,smart_190_normalized,smart_190_raw,smart_192_normalized,smart_192_raw,smart_193_normalized,smart_193_raw,smart_194_normalized,smart_194_raw,smart_197_normalized,smart_197_raw,smart_198_normalized,smart_198_raw,smart_199_raw,smart_240_raw,smart_241_raw,smart_242_raw
5021,2022-10-01,S300VKTJ,ST4000DM000,4000787030016,0,114.0,77927896.0,95.0,100.0,9.0,100.0,0.0,86.0,436273307.0,28.0,63240.0,100.0,5.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,78.0,22.0,100.0,0.0,34.0,133450.0,22.0,22.0,100.0,0.0,100.0,0.0,0.0,62720.0,67600125448.0,506077525774.0
5022,2022-10-02,S300VKTJ,ST4000DM000,4000787030016,0,117.0,122574368.0,95.0,100.0,9.0,100.0,0.0,86.0,439600402.0,28.0,63264.0,100.0,5.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,79.0,21.0,100.0,0.0,34.0,133450.0,21.0,21.0,100.0,0.0,100.0,0.0,0.0,62743.0,67602160984.0,506449836872.0
5023,2022-10-03,S300VKTJ,ST4000DM000,4000787030016,0,117.0,156507272.0,95.0,100.0,9.0,100.0,0.0,86.0,441720212.0,28.0,63288.0,100.0,5.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,79.0,21.0,100.0,0.0,34.0,133450.0,21.0,21.0,100.0,0.0,100.0,0.0,0.0,62767.0,67604005472.0,506723147850.0
5024,2022-10-04,S300VKTJ,ST4000DM000,4000787030016,0,119.0,212503744.0,95.0,100.0,9.0,100.0,0.0,86.0,443040372.0,28.0,63311.0,100.0,5.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,79.0,21.0,100.0,0.0,34.0,133453.0,21.0,21.0,100.0,0.0,100.0,0.0,0.0,62791.0,67605422256.0,506854475990.0
5025,2022-10-05,S300VKTJ,ST4000DM000,4000787030016,0,113.0,58331616.0,95.0,100.0,9.0,100.0,0.0,86.0,444585504.0,28.0,63335.0,100.0,5.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,79.0,21.0,100.0,0.0,34.0,133455.0,21.0,21.0,100.0,0.0,100.0,0.0,0.0,62815.0,67606681584.0,506920592605.0
5026,2022-10-06,S300VKTJ,ST4000DM000,4000787030016,0,119.0,202793392.0,95.0,100.0,9.0,100.0,0.0,86.0,445824416.0,28.0,63359.0,100.0,5.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,78.0,22.0,100.0,0.0,34.0,133457.0,22.0,22.0,100.0,0.0,100.0,0.0,0.0,62839.0,67608021272.0,507100659408.0
5027,2022-10-07,S300VKTJ,ST4000DM000,4000787030016,0,109.0,21347264.0,95.0,100.0,9.0,100.0,0.0,86.0,446556278.0,28.0,63383.0,100.0,5.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,78.0,22.0,100.0,0.0,34.0,133457.0,22.0,22.0,100.0,0.0,100.0,0.0,0.0,62863.0,67609171064.0,507249232539.0
5028,2022-10-08,S300VKTJ,ST4000DM000,4000787030016,0,120.0,239909168.0,95.0,100.0,9.0,100.0,0.0,86.0,447116159.0,28.0,63407.0,100.0,5.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,79.0,21.0,100.0,0.0,34.0,133457.0,21.0,21.0,100.0,0.0,100.0,0.0,0.0,62886.0,67610422648.0,507358688884.0
5029,2022-10-09,S300VKTJ,ST4000DM000,4000787030016,0,117.0,124245288.0,95.0,100.0,9.0,100.0,0.0,86.0,450167910.0,28.0,63431.0,100.0,5.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,77.0,23.0,100.0,0.0,34.0,133457.0,23.0,23.0,100.0,0.0,100.0,0.0,0.0,62910.0,67612196720.0,507629869466.0
5030,2022-10-10,S300VKTJ,ST4000DM000,4000787030016,0,119.0,229028296.0,95.0,100.0,9.0,100.0,0.0,86.0,450909428.0,28.0,63454.0,100.0,5.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,79.0,21.0,100.0,0.0,34.0,133457.0,21.0,21.0,100.0,0.0,100.0,0.0,0.0,62934.0,67613714400.0,507777778134.0
5031,2022-10-11,S300VKTJ,ST4000DM000,4000787030016,0,112.0,49922824.0,95.0,100.0,9.0,100.0,0.0,86.0,451704345.0,28.0,63478.0,100.0,5.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,79.0,21.0,100.0,0.0,34.0,133457.0,21.0,21.0,100.0,0.0,100.0,0.0,0.0,62958.0,67615002352.0,512186682983.0
5032,2022-10-12,S300VKTJ,ST4000DM000,4000787030016,0,118.0,173814136.0,95.0,100.0,9.0,100.0,0.0,86.0,453827260.0,28.0,63502.0,100.0,5.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,78.0,22.0,100.0,0.0,34.0,133462.0,22.0,22.0,100.0,0.0,100.0,0.0,0.0,62982.0,67616663816.0,512276788292.0
5033,2022-10-13,S300VKTJ,ST4000DM000,4000787030016,0,112.0,42968704.0,95.0,100.0,9.0,100.0,0.0,86.0,454842150.0,28.0,63526.0,100.0,5.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,78.0,22.0,100.0,0.0,34.0,133462.0,22.0,22.0,100.0,0.0,100.0,0.0,0.0,63005.0,67617857880.0,512466814271.0
5034,2022-10-14,S300VKTJ,ST4000DM000,4000787030016,0,115.0,89093424.0,95.0,100.0,9.0,100.0,0.0,86.0,456011443.0,28.0,63549.0,100.0,5.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,78.0,22.0,100.0,0.0,34.0,133462.0,22.0,22.0,100.0,0.0,100.0,0.0,0.0,63029.0,67619204904.0,512687524112.0
