,date,serial_number,model,capacity_bytes,failure,smart_1_normalized,smart_1_raw,smart_3_normalized,smart_4_normalized,smart_4_raw,smart_5_normalized,smart_5_raw,smart_7_normalized,smart_7_raw,smart_9_normalized,smart_9_raw,smart_12_normalized,smart_12_raw,smart_183_normalized,smart_183_raw,smart_184_normalized,smart_184_raw,smart_187_normalized,smart_187_raw,smart_188_normalized,smart_188_raw,smart_189_normalized,smart_189_raw,smart_190_normalized,smart_190_raw,smart_192_normalized,smart_192_raw,smart_193_normalized,smart_193_raw,smart_194_normalized,smart_194_raw,smart_197_normalized,smart_197_raw,smart_198_normalized,smart_198_raw,smart_199_raw,smart_240_raw,smart_241_raw,smart_242_raw
5297,2022-10-01,S300VKVC,ST4000DM000,4000787030016,0,116.0,107860920.0,92.0,100.0,21.0,100.0,0.0,73.0,21760852.0,28.0,63189.0,100.0,18.0,94.0,6.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,73.0,27.0,100.0,2.0,81.0,38488.0,27.0,27.0,100.0,0.0,100.0,0.0,0.0,62987.0,76984802352.0,421933515299.0
5298,2022-10-02,S300VKVC,ST4000DM000,4000787030016,0,112.0,46145040.0,92.0,100.0,21.0,100.0,0.0,73.0,23315811.0,28.0,63213.0,100.0,18.0,94.0,6.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,73.0,27.0,100.0,2.0,81.0,38488.0,27.0,27.0,100.0,0.0,100.0,0.0,0.0,63010.0,76986858224.0,422178087451.0
5299,2022-10-03,S300VKVC,ST4000DM000,4000787030016,0,117.0,117690248.0,92.0,100.0,21.0,100.0,0.0,73.0,24701950.0,28.0,63237.0,100.0,18.0,94.0,6.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,72.0,28.0,100.0,2.0,81.0,38488.0,28.0,28.0,100.0,0.0,100.0,0.0,0.0,63034.0,76988375120.0,422532052801.0
5300,2022-10-04,S300VKVC,ST4000DM000,4000787030016,0,116.0,110818064.0,92.0,100.0,21.0,100.0,0.0,74.0,28061475.0,28.0,63272.0,100.0,18.0,94.0,6.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,72.0,28.0,100.0,2.0,81.0,38488.0,28.0,28.0,100.0,0.0,100.0,0.0,0.0,63069.0,76990914240.0,422895518018.0
5301,2022-10-05,S300VKVC,ST4000DM000,4000787030016,0,117.0,118172760.0,92.0,100.0,21.0,100.0,0.0,75.0,30223517.0,28.0,63296.0,100.0,18.0,94.0,6.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,72.0,28.0,100.0,2.0,81.0,38488.0,28.0,28.0,100.0,0.0,100.0,0.0,0.0,63093.0,76994726440.0,423218012422.0
5302,2022-10-06,S300VKVC,ST4000DM000,4000787030016,0,120.0,187032.0,92.0,100.0,21.0,100.0,0.0,75.0,31679841.0,28.0,63319.0,100.0,18.0,94.0,6.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,72.0,28.0,100.0,2.0,81.0,38488.0,28.0,28.0,100.0,0.0,100.0,0.0,0.0,63117.0,76996179296.0,423357116574.0
5303,2022-10-07,S300VKVC,ST4000DM000,4000787030016,0,120.0,240348960.0,92.0,100.0,21.0,100.0,0.0,75.0,33499508.0,28.0,63343.0,100.0,18.0,94.0,6.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,76.0,24.0,100.0,2.0,81.0,38488.0,24.0,24.0,100.0,0.0,100.0,0.0,0.0,63140.0,76997638328.0,423487655639.0
5304,2022-10-08,S300VKVC,ST4000DM000,4000787030016,0,114.0,66758944.0,92.0,100.0,21.0,100.0,0.0,75.0,34922926.0,28.0,63367.0,100.0,18.0,94.0,6.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,76.0,24.0,100.0,2.0,81.0,38488.0,24.0,24.0,100.0,0.0,100.0,0.0,0.0,63164.0,76999018792.0,423787914413.0
5305,2022-10-09,S300VKVC,ST4000DM000,4000787030016,0,112.0,42637976.0,92.0,100.0,21.0,100.0,0.0,75.0,36298385.0,28.0,63390.0,100.0,18.0,94.0,6.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,77.0,23.0,100.0,2.0,81.0,38488.0,23.0,23.0,100.0,0.0,100.0,0.0,0.0,63187.0,77000734264.0,424098894482.0
5306,2022-10-10,S300VKVC,ST4000DM000,4000787030016,0,119.0,202464392.0,92.0,100.0,21.0,100.0,0.0,75.0,37407328.0,28.0,63414.0,100.0,18.0,94.0,6.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,75.0,25.0,100.0,2.0,81.0,38488.0,25.0,25.0,100.0,0.0,100.0,0.0,0.0,63211.0,77002810120.0,424341151131.0
5307,2022-10-11,S300VKVC,ST4000DM000,4000787030016,0,112.0,43881688.0,92.0,100.0,21.0,100.0,0.0,75.0,39343143.0,28.0,63437.0,100.0,18.0,94.0,6.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,75.0,25.0,100.0,2.0,81.0,38488.0,25.0,25.0,100.0,0.0,100.0,0.0,0.0,63235.0,77004458808.0,424596503447.0
5308,2022-10-12,S300VKVC,ST4000DM000,4000787030016,0,115.0,89465792.0,92.0,100.0,21.0,100.0,0.0,75.0,40636122.0,28.0,63449.0,100.0,18.0,94.0,6.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,74.0,26.0,100.0,2.0,81.0,38488.0,26.0,26.0,100.0,0.0,100.0,0.0,0.0,63246.0,77005668040.0,424722441171.0
5309,2022-10-13,S300VKVC,ST4000DM000,4000787030016,0,111.0,36888384.0,92.0,100.0,21.0,100.0,0.0,76.0,43449627.0,28.0,63473.0,100.0,18.0,94.0,6.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,72.0,28.0,100.0,2.0,81.0,38488.0,28.0,28.0,100.0,0.0,100.0,0.0,0.0,63270.0,77007136120.0,425011126432.0
5310,2022-10-14,S300VKVC,ST4000DM000,4000787030016,0,117.0,165075040.0,92.0,100.0,21.0,100.0,0.0,76.0,45999970.0,28.0,63508.0,100.0,18.0,94.0,6.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,73.0,27.0,100.0,2.0,81.0,38488.0,27.0,27.0,100.0,0.0,100.0,0.0,0.0,63305.0,77009227392.0,425159760118.0
5311,2022-10-15,S300VKVC,ST4000DM000,4000787030016,0,119.0,207236376.0,92.0,100.0,21.0,100.0,0.0,76.0,47545280.0,28.0,63532.0,100.0,18.0,94.0,6.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,73.0,27.0,100.0,2.0,81.0,38488.0,27.0,27.0,100.0,0.0,100.0,0.0,0.0,63329.0,77010546456.0,425393288440.0
5312,2022-10-16,S300VKVC,ST4000DM000,4000787030016,0,118.0,171907200.0,92.0,100.0,21.0,100.0,0.0,76.0,48890936.0,28.0,63555.0,100.0,18.0,94.0,6.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,73.0,27.0,100.0,2.0,81.0,38488.0,27.0,27.0,100.0,0.0,100.0,0.0,0.0,63352.0,77012370680.0,425629321264.0
5313,2022-10-17,S300VKVC,ST4000DM000,4000787030016,0,119.0,224796872.0,92.0,100.0,21.0,100.0,0.0,76.0,49887607.0,28.0,63579.0,100.0,18.0,94.0,6.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,73.0,27.0,100.0,2.0,81.0,38488.0,27.0,27.0,100.0,0.0,100.0,0.0,0.0,63376.0,77013846000.0,425854438281.0
5314,2022-10-18,S300VKVC,ST4000DM000,4000787030016,0,120.0,238101024.0,92.0,100.0,21.0,100.0,0.0,77.0,52012695.0,28.0,63602.0,100.0,18.0,94.0,6.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,74.0,26.0,100.0,2.0,81.0,38488.0,26.0,26.0,100.0,0.0,100.0,0.0,0.0,63400.0,77015420712.0,426104288854.0
5315,2022-10-19,S300VKVC,ST4000DM000,4000787030016,0,111.0,33983568.0,92.0,100.0,21.0,100.0,0.0,77.0,54090607.0,28.0,63626.0,100.0,18.0,94.0,6.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,73.0,27.0,100.0,2.0,81.0,38488.0,27.0,27.0,100.0,0.0,100.0,0.0,0.0,63423.0,77017042384.0,426372450665.0
5316,2022-10-20,S300VKVC,ST4000DM000,4000787030016,0,115.0,100237032.0,92.0,100.0,21.0,100.0,0.0,77.0,55227533.0,28.0,63649.0,100.0,18.0,94.0,6.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,73.0,27.0,100.0,2.0,81.0,38488.0,27.0,27.0,100.0,0.0,100.0,0.0,0.0,63447.0,77018177584.0,426612843004.0
