,date,serial_number,model,capacity_bytes,failure,smart_1_normalized,smart_1_raw,smart_3_normalized,smart_4_normalized,smart_4_raw,smart_5_normalized,smart_5_raw,smart_7_normalized,smart_7_raw,smart_9_normalized,smart_9_raw,smart_12_normalized,smart_12_raw,smart_183_normalized,smart_183_raw,smart_184_normalized,smart_184_raw,smart_187_normalized,smart_187_raw,smart_188_normalized,smart_188_raw,smart_189_normalized,smart_189_raw,smart_190_normalized,smart_190_raw,smart_192_normalized,smart_192_raw,smart_193_normalized,smart_193_raw,smart_194_normalized,smart_194_raw,smart_197_normalized,smart_197_raw,smart_198_normalized,smart_198_raw,smart_199_raw,smart_240_raw,smart_241_raw,smart_242_raw
5481,2022-10-01,S300VKVL,ST4000DM000,4000787030016,0,118.0,194417168.0,93.0,100.0,15.0,100.0,0.0,88.0,692226425.0,29.0,62875.0,100.0,12.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,68.0,32.0,100.0,1.0,77.0,46013.0,32.0,32.0,100.0,0.0,100.0,0.0,0.0,62628.0,71815409624.0,568627598126.0
5482,2022-10-02,S300VKVL,ST4000DM000,4000787030016,0,117.0,154200832.0,93.0,100.0,15.0,100.0,0.0,88.0,694530421.0,29.0,62899.0,100.0,12.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,68.0,32.0,100.0,1.0,77.0,46013.0,32.0,32.0,100.0,0.0,100.0,0.0,0.0,62652.0,71829780672.0,573125893241.0
5483,2022-10-03,S300VKVL,ST4000DM000,4000787030016,0,117.0,127410280.0,93.0,100.0,15.0,100.0,0.0,88.0,695497761.0,29.0,62922.0,100.0,12.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,68.0,32.0,100.0,1.0,77.0,46013.0,32.0,32.0,100.0,0.0,100.0,0.0,0.0,62676.0,71845910352.0,577610223301.0
5484,2022-10-04,S300VKVL,ST4000DM000,4000787030016,0,119.0,217858040.0,93.0,100.0,15.0,100.0,0.0,88.0,697524001.0,29.0,62946.0,100.0,12.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,68.0,32.0,100.0,1.0,77.0,46013.0,32.0,32.0,100.0,0.0,100.0,0.0,0.0,62699.0,71861439856.0,582066434805.0
5485,2022-10-05,S300VKVL,ST4000DM000,4000787030016,0,119.0,232404160.0,93.0,100.0,15.0,100.0,0.0,88.0,699157216.0,29.0,62970.0,100.0,12.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,67.0,33.0,100.0,1.0,77.0,46013.0,33.0,33.0,100.0,0.0,100.0,0.0,0.0,62723.0,71880575880.0,586563979924.0
5486,2022-10-06,S300VKVL,ST4000DM000,4000787030016,0,120.0,243656184.0,93.0,100.0,15.0,100.0,0.0,88.0,700236811.0,29.0,62993.0,100.0,12.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,68.0,32.0,100.0,1.0,77.0,46013.0,32.0,32.0,100.0,0.0,100.0,0.0,0.0,62746.0,71894690880.0,586765952243.0
5487,2022-10-07,S300VKVL,ST4000DM000,4000787030016,0,115.0,98226888.0,93.0,100.0,15.0,100.0,0.0,88.0,701256645.0,29.0,63017.0,100.0,12.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,68.0,32.0,100.0,1.0,77.0,46013.0,32.0,32.0,100.0,0.0,100.0,0.0,0.0,62770.0,71908882576.0,586951189766.0
5488,2022-10-08,S300VKVL,ST4000DM000,4000787030016,0,117.0,122690800.0,93.0,100.0,15.0,100.0,0.0,88.0,702285333.0,29.0,63041.0,100.0,12.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,68.0,32.0,100.0,1.0,77.0,46013.0,32.0,32.0,100.0,0.0,100.0,0.0,0.0,62794.0,71917719136.0,587151830093.0
5489,2022-10-09,S300VKVL,ST4000DM000,4000787030016,0,114.0,62660272.0,93.0,100.0,15.0,100.0,0.0,88.0,704828622.0,29.0,63064.0,100.0,12.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,68.0,32.0,100.0,1.0,77.0,46013.0,32.0,32.0,100.0,0.0,100.0,0.0,0.0,62818.0,71935990968.0,587404740657.0
5490,2022-10-10,S300VKVL,ST4000DM000,4000787030016,0,114.0,69373904.0,93.0,100.0,15.0,100.0,0.0,88.0,705921555.0,28.0,63088.0,100.0,12.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,68.0,32.0,100.0,1.0,77.0,46013.0,32.0,32.0,100.0,0.0,100.0,0.0,0.0,62841.0,71948041224.0,587598680634.0
5491,2022-10-11,S300VKVL,ST4000DM000,4000787030016,0,110.0,29126824.0,93.0,100.0,15.0,100.0,0.0,88.0,707510055.0,28.0,63112.0,100.0,12.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,67.0,33.0,100.0,1.0,77.0,46013.0,33.0,33.0,100.0,0.0,100.0,0.0,0.0,62865.0,71959672568.0,587763126278.0
5492,2022-10-12,S300VKVL,ST4000DM000,4000787030016,0,109.0,21668192.0,93.0,100.0,15.0,100.0,0.0,88.0,709052780.0,28.0,63136.0,100.0,12.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,67.0,33.0,100.0,1.0,77.0,46013.0,33.0,33.0,100.0,0.0,100.0,0.0,0.0,62889.0,71977840240.0,587931350028.0
5493,2022-10-13,S300VKVL,ST4000DM000,4000787030016,0,108.0,15205088.0,93.0,100.0,15.0,100.0,0.0,88.0,710828801.0,28.0,63159.0,100.0,12.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,67.0,33.0,100.0,1.0,77.0,46013.0,33.0,33.0,100.0,0.0,100.0,0.0,0.0,62913.0,71987606664.0,588110619104.0
5494,2022-10-14,S300VKVL,ST4000DM000,4000787030016,0,114.0,69760528.0,93.0,100.0,15.0,100.0,0.0,88.0,711955259.0,28.0,63183.0,100.0,12.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,67.0,33.0,100.0,1.0,77.0,46013.0,33.0,33.0,100.0,0.0,100.0,0.0,0.0,62936.0,72016833488.0,588322430552.0
5495,2022-10-15,S300VKVL,ST4000DM000,4000787030016,0,112.0,45133656.0,93.0,100.0,15.0,100.0,0.0,88.0,713349050.0,28.0,63207.0,100.0,12.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,67.0,33.0,100.0,1.0,77.0,46013.0,33.0,33.0,100.0,0.0,100.0,0.0,0.0,62960.0,72027762712.0,588686073683.0
5496,2022-10-16,S300VKVL,ST4000DM000,4000787030016,0,118.0,194047448.0,93.0,100.0,15.0,100.0,0.0,88.0,717154991.0,28.0,63230.0,100.0,12.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,68.0,32.0,100.0,1.0,77.0,46013.0,32.0,32.0,100.0,0.0,100.0,0.0,0.0,62984.0,72037860128.0,589077147321.0
5497,2022-10-17,S300VKVL,ST4000DM000,4000787030016,0,117.0,142041136.0,93.0,100.0,15.0,100.0,0.0,88.0,718950724.0,28.0,63254.0,100.0,12.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,67.0,33.0,100.0,1.0,77.0,46013.0,33.0,33.0,100.0,0.0,100.0,0.0,0.0,63007.0,72047035608.0,589346457789.0
5498,2022-10-18,S300VKVL,ST4000DM000,4000787030016,0,118.0,176412312.0,93.0,100.0,15.0,100.0,0.0,88.0,720990017.0,28.0,63277.0,100.0,12.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,68.0,32.0,100.0,1.0,77.0,46013.0,32.0,32.0,100.0,0.0,100.0,0.0,0.0,63031.0,72056168592.0,589599023614.0
5499,2022-10-19,S300VKVL,ST4000DM000,4000787030016,0,119.0,205187528.0,93.0,100.0,15.0,100.0,0.0,88.0,724314040.0,28.0,63313.0,100.0,12.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,67.0,33.0,100.0,1.0,77.0,46013.0,33.0,33.0,100.0,0.0,100.0,0.0,0.0,63066.0,72072502432.0,594214355710.0
5500,2022-10-20,S300VKVL,ST4000DM000,4000787030016,0,112.0,47845328.0,93.0,100.0,15.0,100.0,0.0,88.0,726542251.0,28.0,63336.0,100.0,12.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,68.0,32.0,100.0,1.0,77.0,46013.0,32.0,32.0,100.0,0.0,100.0,0.0,0.0,63090.0,72083544008.0,594513668910.0
