,date,serial_number,model,capacity_bytes,failure,smart_1_normalized,smart_1_raw,smart_3_normalized,smart_4_normalized,smart_4_raw,smart_5_normalized,smart_5_raw,smart_7_normalized,smart_7_raw,smart_9_normalized,smart_9_raw,smart_12_normalized,smart_12_raw,smart_183_normalized,smart_183_raw,smart_184_normalized,smart_184_raw,smart_187_normalized,smart_187_raw,smart_188_normalized,smart_188_raw,smart_189_normalized,smart_189_raw,smart_190_normalized,smart_190_raw,smart_192_normalized,smart_192_raw,smart_193_normalized,smart_193_raw,smart_194_normalized,smart_194_raw,smart_197_normalized,smart_197_raw,smart_198_normalized,smart_198_raw,smart_199_raw,smart_240_raw,smart_241_raw,smart_242_raw
5573,2022-10-01,S300VKVY,ST4000DM000,4000787030016,0,118.0,180047112.0,92.0,100.0,10.0,100.0,0.0,78.0,62065538.0,28.0,63187.0,100.0,8.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,75.0,25.0,100.0,0.0,84.0,33273.0,25.0,25.0,100.0,0.0,100.0,0.0,0.0,62986.0,74434208528.0,412838022972.0
5574,2022-10-02,S300VKVY,ST4000DM000,4000787030016,0,120.0,237265840.0,92.0,100.0,10.0,100.0,0.0,78.0,63488873.0,28.0,63210.0,100.0,8.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,76.0,24.0,100.0,0.0,84.0,33273.0,24.0,24.0,100.0,0.0,100.0,0.0,0.0,63010.0,74436322536.0,413022821986.0
5575,2022-10-03,S300VKVY,ST4000DM000,4000787030016,0,107.0,13974880.0,92.0,100.0,10.0,100.0,0.0,78.0,65937208.0,28.0,63234.0,100.0,8.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,75.0,25.0,100.0,0.0,84.0,33273.0,25.0,25.0,100.0,0.0,100.0,0.0,0.0,63034.0,74437791992.0,413286269483.0
5576,2022-10-04,S300VKVY,ST4000DM000,4000787030016,0,117.0,153565744.0,92.0,100.0,10.0,100.0,0.0,78.0,68244518.0,28.0,63258.0,100.0,8.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,76.0,24.0,100.0,0.0,84.0,33273.0,24.0,24.0,100.0,0.0,100.0,0.0,0.0,63058.0,74439734192.0,413508547026.0
5577,2022-10-05,S300VKVY,ST4000DM000,4000787030016,0,117.0,157342784.0,92.0,100.0,10.0,100.0,0.0,78.0,70422892.0,28.0,63293.0,100.0,8.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,77.0,23.0,100.0,0.0,84.0,33290.0,23.0,23.0,100.0,0.0,100.0,0.0,0.0,63093.0,74442017552.0,413692123109.0
5578,2022-10-06,S300VKVY,ST4000DM000,4000787030016,0,117.0,156790888.0,92.0,100.0,10.0,100.0,0.0,78.0,71395363.0,28.0,63305.0,100.0,8.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,76.0,24.0,100.0,0.0,84.0,33291.0,24.0,24.0,100.0,0.0,100.0,0.0,0.0,63105.0,74442630096.0,413719151926.0
5579,2022-10-07,S300VKVY,ST4000DM000,4000787030016,0,108.0,18404944.0,92.0,100.0,10.0,100.0,0.0,78.0,72659726.0,28.0,63329.0,100.0,8.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,76.0,24.0,100.0,0.0,84.0,33291.0,24.0,24.0,100.0,0.0,100.0,0.0,0.0,63129.0,74444140976.0,413906799788.0
5580,2022-10-08,S300VKVY,ST4000DM000,4000787030016,0,119.0,216172536.0,92.0,100.0,10.0,100.0,0.0,78.0,75088497.0,28.0,63353.0,100.0,8.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,75.0,25.0,100.0,0.0,84.0,33291.0,25.0,25.0,100.0,0.0,100.0,0.0,0.0,63152.0,74445405080.0,414138959118.0
5581,2022-10-09,S300VKVY,ST4000DM000,4000787030016,0,117.0,149035248.0,92.0,100.0,10.0,100.0,0.0,78.0,76586212.0,28.0,63376.0,100.0,8.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,76.0,24.0,100.0,0.0,84.0,33291.0,24.0,24.0,100.0,0.0,100.0,0.0,0.0,63176.0,74447086648.0,414371066819.0
5582,2022-10-10,S300VKVY,ST4000DM000,4000787030016,0,108.0,15484232.0,92.0,100.0,10.0,100.0,0.0,78.0,78911114.0,28.0,63400.0,100.0,8.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,74.0,26.0,100.0,0.0,84.0,33291.0,26.0,26.0,100.0,0.0,100.0,0.0,0.0,63200.0,74449210064.0,414638047748.0
