,date,serial_number,model,capacity_bytes,failure,smart_1_normalized,smart_1_raw,smart_3_normalized,smart_4_normalized,smart_4_raw,smart_5_normalized,smart_5_raw,smart_7_normalized,smart_7_raw,smart_9_normalized,smart_9_raw,smart_12_normalized,smart_12_raw,smart_183_normalized,smart_183_raw,smart_184_normalized,smart_184_raw,smart_187_normalized,smart_187_raw,smart_188_normalized,smart_188_raw,smart_189_normalized,smart_189_raw,smart_190_normalized,smart_190_raw,smart_192_normalized,smart_192_raw,smart_193_normalized,smart_193_raw,smart_194_normalized,smart_194_raw,smart_197_normalized,smart_197_raw,smart_198_normalized,smart_198_raw,smart_199_raw,smart_240_raw,smart_241_raw,smart_242_raw
5665,2022-10-01,S300VKW6,ST4000DM000,4000787030016,0,114.0,58818008.0,95.0,100.0,10.0,100.0,0.0,86.0,461188724.0,28.0,63244.0,100.0,5.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,79.0,21.0,100.0,1.0,35.0,130109.0,21.0,21.0,100.0,0.0,100.0,0.0,0.0,62728.0,69774311912.0,606273543326.0
5666,2022-10-02,S300VKW6,ST4000DM000,4000787030016,0,111.0,29586624.0,95.0,100.0,10.0,100.0,0.0,86.0,462107072.0,28.0,63268.0,100.0,5.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,79.0,21.0,100.0,1.0,35.0,130109.0,21.0,21.0,100.0,0.0,100.0,0.0,0.0,62752.0,69775950528.0,606400825840.0
5667,2022-10-03,S300VKW6,ST4000DM000,4000787030016,0,114.0,83195560.0,95.0,100.0,10.0,100.0,0.0,86.0,464670811.0,28.0,63291.0,100.0,5.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,78.0,22.0,100.0,1.0,35.0,130109.0,22.0,22.0,100.0,0.0,100.0,0.0,0.0,62776.0,69777796992.0,606648572085.0
5668,2022-10-04,S300VKW6,ST4000DM000,4000787030016,0,112.0,48937544.0,95.0,100.0,10.0,100.0,0.0,86.0,466363882.0,28.0,63315.0,100.0,5.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,79.0,21.0,100.0,1.0,35.0,130110.0,21.0,21.0,100.0,0.0,100.0,0.0,0.0,62800.0,69779468232.0,606905197463.0
5669,2022-10-05,S300VKW6,ST4000DM000,4000787030016,0,117.0,122833840.0,95.0,100.0,10.0,100.0,0.0,86.0,467559391.0,28.0,63339.0,100.0,5.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,78.0,22.0,100.0,1.0,35.0,130120.0,22.0,22.0,100.0,0.0,100.0,0.0,0.0,62823.0,69780836320.0,607011301622.0
5670,2022-10-06,S300VKW6,ST4000DM000,4000787030016,0,120.0,242795984.0,95.0,100.0,10.0,100.0,0.0,86.0,468418599.0,28.0,63351.0,100.0,5.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,78.0,22.0,100.0,1.0,35.0,130120.0,22.0,22.0,100.0,0.0,100.0,0.0,0.0,62835.0,69781620312.0,607053739644.0
5671,2022-10-07,S300VKW6,ST4000DM000,4000787030016,0,108.0,16181752.0,95.0,100.0,10.0,100.0,0.0,86.0,469634045.0,28.0,63375.0,100.0,5.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,79.0,21.0,100.0,1.0,35.0,130121.0,21.0,21.0,100.0,0.0,100.0,0.0,0.0,62859.0,69782767304.0,607278495936.0
5672,2022-10-08,S300VKW6,ST4000DM000,4000787030016,0,118.0,186050296.0,95.0,100.0,10.0,100.0,0.0,87.0,470698457.0,28.0,63399.0,100.0,5.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,78.0,22.0,100.0,1.0,35.0,130121.0,22.0,22.0,100.0,0.0,100.0,0.0,0.0,62883.0,69783945688.0,607492483877.0
5673,2022-10-09,S300VKW6,ST4000DM000,4000787030016,0,115.0,95441088.0,95.0,100.0,10.0,100.0,0.0,87.0,472056724.0,28.0,63423.0,100.0,5.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,79.0,21.0,100.0,1.0,35.0,130121.0,21.0,21.0,100.0,0.0,100.0,0.0,0.0,62907.0,69785356400.0,612040444703.0
5674,2022-10-10,S300VKW6,ST4000DM000,4000787030016,0,118.0,184105296.0,95.0,100.0,10.0,100.0,0.0,87.0,473738482.0,28.0,63446.0,100.0,5.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,79.0,21.0,100.0,1.0,35.0,130122.0,21.0,21.0,100.0,0.0,100.0,0.0,0.0,62931.0,69787295592.0,616539741680.0
