,date,serial_number,model,capacity_bytes,failure,smart_1_normalized,smart_1_raw,smart_3_normalized,smart_4_normalized,smart_4_raw,smart_5_normalized,smart_5_raw,smart_7_normalized,smart_7_raw,smart_9_normalized,smart_9_raw,smart_12_normalized,smart_12_raw,smart_183_normalized,smart_183_raw,smart_184_normalized,smart_184_raw,smart_187_normalized,smart_187_raw,smart_188_normalized,smart_188_raw,smart_189_normalized,smart_189_raw,smart_190_normalized,smart_190_raw,smart_192_normalized,smart_192_raw,smart_193_normalized,smart_193_raw,smart_194_normalized,smart_194_raw,smart_197_normalized,smart_197_raw,smart_198_normalized,smart_198_raw,smart_199_raw,smart_240_raw,smart_241_raw,smart_242_raw
5757,2022-10-01,S300VKWR,ST4000DM000,4000787030016,0,114.0,64738672.0,97.0,100.0,5.0,100.0,0.0,86.0,454981706.0,28.0,63242.0,100.0,3.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,81.0,19.0,100.0,0.0,43.0,115765.0,19.0,19.0,100.0,0.0,100.0,0.0,0.0,62808.0,68434584888.0,408050766980.0
5758,2022-10-02,S300VKWR,ST4000DM000,4000787030016,0,114.0,81505400.0,97.0,100.0,5.0,100.0,0.0,86.0,456097786.0,28.0,63266.0,100.0,3.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,80.0,20.0,100.0,0.0,43.0,115765.0,20.0,20.0,100.0,0.0,100.0,0.0,0.0,62831.0,68435970720.0,408293246422.0
5759,2022-10-03,S300VKWR,ST4000DM000,4000787030016,0,118.0,175726544.0,97.0,100.0,5.0,100.0,0.0,86.0,457163448.0,28.0,63289.0,100.0,3.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,80.0,20.0,100.0,0.0,43.0,115765.0,20.0,20.0,100.0,0.0,100.0,0.0,0.0,62855.0,68437958632.0,408561783261.0
5760,2022-10-04,S300VKWR,ST4000DM000,4000787030016,0,119.0,225665856.0,97.0,100.0,5.0,100.0,0.0,86.0,458378978.0,28.0,63313.0,100.0,3.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,80.0,20.0,100.0,0.0,43.0,115765.0,20.0,20.0,100.0,0.0,100.0,0.0,0.0,62879.0,68439413312.0,408790255969.0
5761,2022-10-05,S300VKWR,ST4000DM000,4000787030016,0,113.0,51338008.0,97.0,100.0,5.0,100.0,0.0,86.0,461241948.0,28.0,63337.0,100.0,3.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,80.0,20.0,100.0,0.0,43.0,115765.0,20.0,20.0,100.0,0.0,100.0,0.0,0.0,62902.0,68440957920.0,409109463190.0
5762,2022-10-06,S300VKWR,ST4000DM000,4000787030016,0,117.0,143881896.0,97.0,100.0,5.0,100.0,0.0,86.0,463063323.0,28.0,63360.0,100.0,3.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,81.0,19.0,100.0,0.0,43.0,115765.0,19.0,19.0,100.0,0.0,100.0,0.0,0.0,62926.0,68442440840.0,409363413265.0
5763,2022-10-07,S300VKWR,ST4000DM000,4000787030016,0,114.0,62638800.0,97.0,100.0,5.0,100.0,0.0,86.0,464441822.0,28.0,63384.0,100.0,3.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,81.0,19.0,100.0,0.0,43.0,115765.0,19.0,19.0,100.0,0.0,100.0,0.0,0.0,62949.0,68443703736.0,409532273443.0
5764,2022-10-08,S300VKWR,ST4000DM000,4000787030016,0,112.0,42078480.0,97.0,100.0,5.0,100.0,0.0,86.0,466235988.0,28.0,63407.0,100.0,3.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,80.0,20.0,100.0,0.0,43.0,115765.0,20.0,20.0,100.0,0.0,100.0,0.0,0.0,62973.0,68445036896.0,409673747586.0
5765,2022-10-09,S300VKWR,ST4000DM000,4000787030016,0,118.0,177706840.0,97.0,100.0,5.0,100.0,0.0,86.0,467374270.0,28.0,63431.0,100.0,3.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,76.0,24.0,100.0,0.0,43.0,115765.0,24.0,24.0,100.0,0.0,100.0,0.0,0.0,62997.0,68446474440.0,409930189857.0
5766,2022-10-10,S300VKWR,ST4000DM000,4000787030016,0,116.0,110548640.0,97.0,100.0,5.0,100.0,0.0,86.0,468324347.0,28.0,63455.0,100.0,3.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,81.0,19.0,100.0,0.0,43.0,115765.0,19.0,19.0,100.0,0.0,100.0,0.0,0.0,63020.0,68448913104.0,410119773801.0
5767,2022-10-11,S300VKWR,ST4000DM000,4000787030016,0,120.0,817664.0,97.0,100.0,5.0,100.0,0.0,86.0,469479094.0,28.0,63478.0,100.0,3.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,80.0,20.0,100.0,0.0,43.0,115765.0,20.0,20.0,100.0,0.0,100.0,0.0,0.0,63044.0,68450235480.0,410377580301.0
