,date,serial_number,model,capacity_bytes,failure,smart_1_normalized,smart_1_raw,smart_3_normalized,smart_4_normalized,smart_4_raw,smart_5_normalized,smart_5_raw,smart_7_normalized,smart_7_raw,smart_9_normalized,smart_9_raw,smart_12_normalized,smart_12_raw,smart_183_normalized,smart_183_raw,smart_184_normalized,smart_184_raw,smart_187_normalized,smart_187_raw,smart_188_normalized,smart_188_raw,smart_189_normalized,smart_189_raw,smart_190_normalized,smart_190_raw,smart_192_normalized,smart_192_raw,smart_193_normalized,smart_193_raw,smart_194_normalized,smart_194_raw,smart_197_normalized,smart_197_raw,smart_198_normalized,smart_198_raw,smart_199_raw,smart_240_raw,smart_241_raw,smart_242_raw
5941,2022-10-01,S300VKX0,ST4000DM000,4000787030016,0,119.0,211766888.0,91.0,100.0,16.0,100.0,0.0,87.0,485931262.0,28.0,63222.0,100.0,12.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,82.0,18.0,100.0,1.0,39.0,122191.0,18.0,18.0,100.0,0.0,100.0,0.0,0.0,62756.0,67375278920.0,395659236177.0
5942,2022-10-02,S300VKX0,ST4000DM000,4000787030016,0,114.0,63963512.0,91.0,100.0,16.0,100.0,0.0,87.0,489528684.0,28.0,63258.0,100.0,12.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,82.0,18.0,100.0,1.0,39.0,122191.0,18.0,18.0,100.0,0.0,100.0,0.0,0.0,62791.0,67377985672.0,396075810637.0
5943,2022-10-03,S300VKX0,ST4000DM000,4000787030016,0,109.0,21331328.0,91.0,100.0,16.0,100.0,0.0,87.0,491404577.0,28.0,63281.0,100.0,12.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,82.0,18.0,100.0,1.0,39.0,122191.0,18.0,18.0,100.0,0.0,100.0,0.0,0.0,62815.0,67379633512.0,396340257919.0
5944,2022-10-04,S300VKX0,ST4000DM000,4000787030016,0,119.0,210060984.0,91.0,100.0,16.0,100.0,0.0,87.0,492674236.0,28.0,63305.0,100.0,12.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,82.0,18.0,100.0,1.0,39.0,122191.0,18.0,18.0,100.0,0.0,100.0,0.0,0.0,62838.0,67381491256.0,396517364338.0
5945,2022-10-05,S300VKX0,ST4000DM000,4000787030016,0,118.0,170174704.0,91.0,100.0,16.0,100.0,0.0,87.0,494167647.0,28.0,63329.0,100.0,12.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,82.0,18.0,100.0,1.0,39.0,122191.0,18.0,18.0,100.0,0.0,100.0,0.0,0.0,62862.0,67383025736.0,396594591746.0
5946,2022-10-06,S300VKX0,ST4000DM000,4000787030016,0,111.0,33412600.0,91.0,100.0,16.0,100.0,0.0,87.0,495015319.0,28.0,63352.0,100.0,12.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,82.0,18.0,100.0,1.0,39.0,122191.0,18.0,18.0,100.0,0.0,100.0,0.0,0.0,62886.0,67384455976.0,396808384172.0
5947,2022-10-07,S300VKX0,ST4000DM000,4000787030016,0,117.0,161773672.0,91.0,100.0,16.0,100.0,0.0,87.0,495888935.0,28.0,63376.0,100.0,12.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,82.0,18.0,100.0,1.0,39.0,122191.0,18.0,18.0,100.0,0.0,100.0,0.0,0.0,62909.0,67385677008.0,397043916640.0
5948,2022-10-08,S300VKX0,ST4000DM000,4000787030016,0,115.0,90582440.0,91.0,100.0,16.0,100.0,0.0,87.0,496852912.0,28.0,63400.0,100.0,12.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,82.0,18.0,100.0,1.0,39.0,122191.0,18.0,18.0,100.0,0.0,100.0,0.0,0.0,62933.0,67386884504.0,397300246983.0
5949,2022-10-09,S300VKX0,ST4000DM000,4000787030016,0,112.0,44161280.0,91.0,100.0,16.0,100.0,0.0,87.0,499205685.0,28.0,63424.0,100.0,12.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,78.0,22.0,100.0,1.0,39.0,122191.0,22.0,22.0,100.0,0.0,100.0,0.0,0.0,62957.0,67388824304.0,397631512679.0
5950,2022-10-10,S300VKX0,ST4000DM000,4000787030016,0,118.0,181594672.0,91.0,100.0,16.0,100.0,0.0,87.0,501738875.0,28.0,63447.0,100.0,12.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,82.0,18.0,100.0,1.0,39.0,122191.0,18.0,18.0,100.0,0.0,100.0,0.0,0.0,62981.0,67390586168.0,397962096066.0
5951,2022-10-11,S300VKX0,ST4000DM000,4000787030016,0,105.0,8098104.0,91.0,100.0,16.0,100.0,0.0,87.0,503582535.0,28.0,63471.0,100.0,12.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,82.0,18.0,100.0,1.0,39.0,122191.0,18.0,18.0,100.0,0.0,100.0,0.0,0.0,63004.0,67391768632.0,398162918130.0
5952,2022-10-12,S300VKX0,ST4000DM000,4000787030016,0,117.0,166771928.0,91.0,100.0,16.0,100.0,0.0,87.0,505654282.0,28.0,63495.0,100.0,12.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,82.0,18.0,100.0,1.0,39.0,122191.0,18.0,18.0,100.0,0.0,100.0,0.0,0.0,63028.0,67393009712.0,398262845311.0
5953,2022-10-13,S300VKX0,ST4000DM000,4000787030016,0,114.0,72948360.0,91.0,100.0,16.0,100.0,0.0,87.0,506705247.0,28.0,63518.0,100.0,12.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,82.0,18.0,100.0,1.0,39.0,122191.0,18.0,18.0,100.0,0.0,100.0,0.0,0.0,63052.0,67394506424.0,398422430864.0
5954,2022-10-14,S300VKX0,ST4000DM000,4000787030016,0,119.0,210333392.0,91.0,100.0,16.0,100.0,0.0,87.0,507863400.0,28.0,63542.0,100.0,12.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,82.0,18.0,100.0,1.0,39.0,122191.0,18.0,18.0,100.0,0.0,100.0,0.0,0.0,63075.0,67396125776.0,398606723382.0
5955,2022-10-15,S300VKX0,ST4000DM000,4000787030016,0,105.0,9170480.0,91.0,100.0,16.0,100.0,0.0,87.0,508847385.0,28.0,63566.0,100.0,12.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,82.0,18.0,100.0,1.0,39.0,122191.0,18.0,18.0,100.0,0.0,100.0,0.0,0.0,63099.0,67397473104.0,398812295610.0
5956,2022-10-16,S300VKX0,ST4000DM000,4000787030016,0,114.0,65559376.0,91.0,100.0,16.0,100.0,0.0,87.0,510997001.0,28.0,63589.0,100.0,12.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,82.0,18.0,100.0,1.0,39.0,122191.0,18.0,18.0,100.0,0.0,100.0,0.0,0.0,63122.0,67398843816.0,399030343594.0
5957,2022-10-17,S300VKX0,ST4000DM000,4000787030016,0,109.0,23788184.0,91.0,100.0,16.0,100.0,0.0,87.0,512579530.0,28.0,63613.0,100.0,12.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,82.0,18.0,100.0,1.0,39.0,122191.0,18.0,18.0,100.0,0.0,100.0,0.0,0.0,63146.0,67400389840.0,399234812196.0
5958,2022-10-18,S300VKX0,ST4000DM000,4000787030016,0,118.0,197675136.0,91.0,100.0,16.0,100.0,0.0,87.0,513653509.0,28.0,63636.0,100.0,12.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,82.0,18.0,100.0,1.0,39.0,122191.0,18.0,18.0,100.0,0.0,100.0,0.0,0.0,63170.0,67401908504.0,399405491250.0
5959,2022-10-19,S300VKX0,ST4000DM000,4000787030016,0,117.0,132380176.0,91.0,100.0,16.0,100.0,0.0,87.0,515245358.0,28.0,63660.0,100.0,12.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,82.0,18.0,100.0,1.0,39.0,122191.0,18.0,18.0,100.0,0.0,100.0,0.0,0.0,63193.0,67403049408.0,399483159880.0
5960,2022-10-20,S300VKX0,ST4000DM000,4000787030016,0,119.0,221976352.0,91.0,100.0,16.0,100.0,0.0,87.0,516404876.0,28.0,63684.0,100.0,12.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,82.0,18.0,100.0,1.0,39.0,122191.0,18.0,18.0,100.0,0.0,100.0,0.0,0.0,63217.0,67404451024.0,399704369776.0
5961,2022-10-21,S300VKX0,ST4000DM000,4000787030016,0,118.0,179130360.0,91.0,100.0,16.0,100.0,0.0,87.0,517610282.0,28.0,63707.0,100.0,12.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,82.0,18.0,100.0,1.0,39.0,122191.0,18.0,18.0,100.0,0.0,100.0,0.0,0.0,63241.0,67405580792.0,399933607979.0
5962,2022-10-22,S300VKX0,ST4000DM000,4000787030016,0,119.0,224937488.0,91.0,100.0,16.0,100.0,0.0,87.0,518783057.0,28.0,63731.0,100.0,12.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,82.0,18.0,100.0,1.0,39.0,122191.0,18.0,18.0,100.0,0.0,100.0,0.0,0.0,63264.0,67406768128.0,400142933014.0
5963,2022-10-23,S300VKX0,ST4000DM000,4000787030016,0,119.0,219062424.0,91.0,100.0,16.0,100.0,0.0,87.0,520988060.0,28.0,63755.0,100.0,12.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,82.0,18.0,100.0,1.0,39.0,122191.0,18.0,18.0,100.0,0.0,100.0,0.0,0.0,63288.0,67408001088.0,400329474365.0
5964,2022-10-24,S300VKX0,ST4000DM000,4000787030016,0,117.0,123678296.0,91.0,100.0,16.0,100.0,0.0,87.0,522680747.0,28.0,63778.0,100.0,12.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,82.0,18.0,100.0,1.0,39.0,122191.0,18.0,18.0,100.0,0.0,100.0,0.0,0.0,63312.0,67409263272.0,400552649329.0
5965,2022-10-25,S300VKX0,ST4000DM000,4000787030016,0,119.0,211741096.0,91.0,100.0,16.0,100.0,0.0,87.0,524349108.0,28.0,63802.0,100.0,12.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,82.0,18.0,100.0,1.0,39.0,122191.0,18.0,18.0,100.0,0.0,100.0,0.0,0.0,63335.0,67410449112.0,400845319549.0
5966,2022-10-26,S300VKX0,ST4000DM000,4000787030016,0,117.0,161834072.0,91.0,100.0,16.0,100.0,0.0,87.0,525916312.0,28.0,63826.0,100.0,12.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,81.0,19.0,100.0,1.0,39.0,122191.0,19.0,19.0,100.0,0.0,100.0,0.0,0.0,63359.0,67411531144.0,400900393855.0
5967,2022-10-27,S300VKX0,ST4000DM000,4000787030016,0,113.0,56147256.0,91.0,100.0,16.0,100.0,0.0,87.0,527221217.0,28.0,63849.0,100.0,12.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,82.0,18.0,100.0,1.0,39.0,122191.0,18.0,18.0,100.0,0.0,100.0,0.0,0.0,63383.0,67412788080.0,401122474311.0
5968,2022-10-28,S300VKX0,ST4000DM000,4000787030016,0,113.0,50806496.0,91.0,100.0,16.0,100.0,0.0,87.0,528418795.0,28.0,63873.0,100.0,12.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,81.0,19.0,100.0,1.0,39.0,122191.0,19.0,19.0,100.0,0.0,100.0,0.0,0.0,63406.0,67414124520.0,401438684346.0
5969,2022-10-29,S300VKX0,ST4000DM000,4000787030016,0,115.0,98161504.0,91.0,100.0,16.0,100.0,0.0,87.0,529662192.0,28.0,63897.0,100.0,12.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,81.0,19.0,100.0,1.0,39.0,122191.0,19.0,19.0,100.0,0.0,100.0,0.0,0.0,63430.0,67415262896.0,401675433173.0
5970,2022-10-30,S300VKX0,ST4000DM000,4000787030016,0,117.0,118552320.0,91.0,100.0,16.0,100.0,0.0,87.0,531856547.0,28.0,63920.0,100.0,12.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,81.0,19.0,100.0,1.0,39.0,122191.0,19.0,19.0,100.0,0.0,100.0,0.0,0.0,63453.0,67416374608.0,401934750520.0
5971,2022-10-31,S300VKX0,ST4000DM000,4000787030016,0,106.0,11484392.0,91.0,100.0,16.0,100.0,0.0,87.0,533587193.0,28.0,63944.0,100.0,12.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,82.0,18.0,100.0,1.0,39.0,122191.0,18.0,18.0,100.0,0.0,100.0,0.0,0.0,63477.0,67417855888.0,402153409814.0
5972,2022-11-01,S300VKX0,ST4000DM000,4000787030016,0,118.0,169379152.0,91.0,100.0,16.0,100.0,0.0,87.0,534657616.0,27.0,63968.0,100.0,12.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,81.0,19.0,100.0,1.0,39.0,122191.0,19.0,19.0,100.0,0.0,100.0,0.0,0.0,63501.0,67418783408.0,402348407005.0
5973,2022-11-02,S300VKX0,ST4000DM000,4000787030016,0,117.0,138579080.0,91.0,100.0,16.0,100.0,0.0,87.0,536267092.0,27.0,63991.0,100.0,12.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,82.0,18.0,100.0,1.0,39.0,122191.0,18.0,18.0,100.0,0.0,100.0,0.0,0.0,63525.0,67419758904.0,402402880216.0
5974,2022-11-03,S300VKX0,ST4000DM000,4000787030016,0,116.0,110301680.0,91.0,100.0,16.0,100.0,0.0,87.0,537509223.0,27.0,64015.0,100.0,12.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,82.0,18.0,100.0,1.0,39.0,122191.0,18.0,18.0,100.0,0.0,100.0,0.0,0.0,63548.0,67421678464.0,402646909225.0
5975,2022-11-04,S300VKX0,ST4000DM000,4000787030016,0,103.0,6265160.0,91.0,100.0,16.0,100.0,0.0,87.0,539998640.0,27.0,64050.0,100.0,12.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,82.0,18.0,100.0,1.0,39.0,122191.0,18.0,18.0,100.0,0.0,100.0,0.0,0.0,63584.0,67422984792.0,403009828051.0
5976,2022-11-05,S300VKX0,ST4000DM000,4000787030016,0,116.0,102622000.0,91.0,100.0,16.0,100.0,0.0,87.0,541512980.0,27.0,64074.0,100.0,12.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,82.0,18.0,100.0,1.0,39.0,122191.0,18.0,18.0,100.0,0.0,100.0,0.0,0.0,63607.0,67424016152.0,403421167929.0
5977,2022-11-06,S300VKX0,ST4000DM000,4000787030016,0,119.0,223314384.0,91.0,100.0,16.0,100.0,0.0,87.0,544057974.0,27.0,64098.0,100.0,12.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,81.0,19.0,100.0,1.0,39.0,122191.0,19.0,19.0,100.0,0.0,100.0,0.0,0.0,63631.0,67425091808.0,403650205517.0
5978,2022-11-07,S300VKX0,ST4000DM000,4000787030016,0,118.0,185295320.0,91.0,100.0,16.0,100.0,0.0,87.0,545432548.0,27.0,64122.0,100.0,12.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,82.0,18.0,100.0,1.0,39.0,122191.0,18.0,18.0,100.0,0.0,100.0,0.0,0.0,63655.0,67425951952.0,403923946242.0
5979,2022-11-08,S300VKX0,ST4000DM000,4000787030016,0,115.0,85180376.0,91.0,100.0,16.0,100.0,0.0,87.0,546750410.0,27.0,64145.0,100.0,12.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,82.0,18.0,100.0,1.0,39.0,122191.0,18.0,18.0,100.0,0.0,100.0,0.0,0.0,63679.0,67426695384.0,404081680910.0
5980,2022-11-09,S300VKX0,ST4000DM000,4000787030016,0,117.0,154100776.0,91.0,100.0,16.0,100.0,0.0,87.0,548336421.0,27.0,64169.0,100.0,12.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,82.0,18.0,100.0,1.0,39.0,122191.0,18.0,18.0,100.0,0.0,100.0,0.0,0.0,63702.0,67427689104.0,404185112138.0
5981,2022-11-10,S300VKX0,ST4000DM000,4000787030016,0,109.0,23588632.0,91.0,100.0,16.0,100.0,0.0,87.0,549864556.0,27.0,64193.0,100.0,12.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,81.0,19.0,100.0,1.0,39.0,122191.0,19.0,19.0,100.0,0.0,100.0,0.0,0.0,63726.0,67428814512.0,404433879976.0
5982,2022-11-11,S300VKX0,ST4000DM000,4000787030016,0,120.0,235886504.0,91.0,100.0,16.0,100.0,0.0,87.0,550906512.0,27.0,64216.0,100.0,12.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,82.0,18.0,100.0,1.0,39.0,122191.0,18.0,18.0,100.0,0.0,100.0,0.0,0.0,63750.0,67429818504.0,404681531749.0
5983,2022-11-12,S300VKX0,ST4000DM000,4000787030016,0,111.0,39037384.0,91.0,100.0,16.0,100.0,0.0,87.0,551739178.0,27.0,64240.0,100.0,12.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,82.0,18.0,100.0,1.0,39.0,122191.0,18.0,18.0,100.0,0.0,100.0,0.0,0.0,63773.0,67430834400.0,404905104840.0
5984,2022-11-13,S300VKX0,ST4000DM000,4000787030016,0,119.0,226600320.0,91.0,100.0,16.0,100.0,0.0,87.0,554171278.0,27.0,64264.0,100.0,12.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,82.0,18.0,100.0,1.0,39.0,122191.0,18.0,18.0,100.0,0.0,100.0,0.0,0.0,63797.0,67433725184.0,405174604431.0
5985,2022-11-14,S300VKX0,ST4000DM000,4000787030016,0,115.0,88305808.0,91.0,100.0,16.0,100.0,0.0,87.0,555443725.0,27.0,64288.0,100.0,12.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,82.0,18.0,100.0,1.0,39.0,122191.0,18.0,18.0,100.0,0.0,100.0,0.0,0.0,63821.0,67434739552.0,405452093019.0
5986,2022-11-15,S300VKX0,ST4000DM000,4000787030016,0,114.0,60209752.0,91.0,100.0,16.0,100.0,0.0,87.0,556701585.0,27.0,64311.0,100.0,12.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,82.0,18.0,100.0,1.0,39.0,122191.0,18.0,18.0,100.0,0.0,100.0,0.0,0.0,63845.0,67435703104.0,405682239588.0
5987,2022-11-16,S300VKX0,ST4000DM000,4000787030016,0,118.0,192987824.0,91.0,100.0,16.0,100.0,0.0,87.0,558236016.0,27.0,64335.0,100.0,12.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,82.0,18.0,100.0,1.0,39.0,122191.0,18.0,18.0,100.0,0.0,100.0,0.0,0.0,63868.0,67436670280.0,405777354810.0
5988,2022-11-17,S300VKX0,ST4000DM000,4000787030016,0,117.0,145103000.0,91.0,100.0,16.0,100.0,0.0,87.0,560674298.0,27.0,64359.0,100.0,12.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,80.0,20.0,100.0,1.0,39.0,122191.0,20.0,20.0,100.0,0.0,100.0,0.0,0.0,63892.0,67437487224.0,405875667437.0
5989,2022-11-18,S300VKX0,ST4000DM000,4000787030016,0,120.0,240927104.0,91.0,100.0,16.0,100.0,0.0,87.0,563132745.0,27.0,64383.0,100.0,12.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,82.0,18.0,100.0,1.0,39.0,122191.0,18.0,18.0,100.0,0.0,100.0,0.0,0.0,63916.0,67438073920.0,405955723142.0
5990,2022-11-19,S300VKX0,ST4000DM000,4000787030016,0,117.0,156541848.0,91.0,100.0,16.0,100.0,0.0,87.0,565849114.0,27.0,64406.0,100.0,12.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,82.0,18.0,100.0,1.0,39.0,122191.0,18.0,18.0,100.0,0.0,100.0,0.0,0.0,63940.0,67440848376.0,406046014960.0
5991,2022-11-20,S300VKX0,ST4000DM000,4000787030016,0,120.0,243167888.0,91.0,100.0,16.0,100.0,0.0,87.0,568774113.0,27.0,64430.0,100.0,12.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,82.0,18.0,100.0,1.0,39.0,122191.0,18.0,18.0,100.0,0.0,100.0,0.0,0.0,63963.0,67443409744.0,406344802038.0
5992,2022-11-21,S300VKX0,ST4000DM000,4000787030016,0,119.0,229986672.0,91.0,100.0,16.0,100.0,0.0,87.0,571025204.0,27.0,64454.0,100.0,12.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,82.0,18.0,100.0,1.0,39.0,122191.0,18.0,18.0,100.0,0.0,100.0,0.0,0.0,63987.0,67444508152.0,406602089614.0
