,date,serial_number,model,capacity_bytes,failure,smart_1_normalized,smart_1_raw,smart_3_normalized,smart_4_normalized,smart_4_raw,smart_5_normalized,smart_5_raw,smart_7_normalized,smart_7_raw,smart_9_normalized,smart_9_raw,smart_12_normalized,smart_12_raw,smart_183_normalized,smart_183_raw,smart_184_normalized,smart_184_raw,smart_187_normalized,smart_187_raw,smart_188_normalized,smart_188_raw,smart_189_normalized,smart_189_raw,smart_190_normalized,smart_190_raw,smart_192_normalized,smart_192_raw,smart_193_normalized,smart_193_raw,smart_194_normalized,smart_194_raw,smart_197_normalized,smart_197_raw,smart_198_normalized,smart_198_raw,smart_199_raw,smart_240_raw,smart_241_raw,smart_242_raw
6033,2022-10-01,S300VKXH,ST4000DM000,4000787030016,0,113.0,52711392.0,91.0,100.0,21.0,100.0,0.0,90.0,991587683.0,28.0,63184.0,100.0,18.0,99.0,1.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,74.0,26.0,100.0,2.0,82.0,37705.0,26.0,26.0,100.0,0.0,100.0,0.0,0.0,62994.0,76360447432.0,408844141893.0
6034,2022-10-02,S300VKXH,ST4000DM000,4000787030016,0,111.0,40346040.0,91.0,100.0,21.0,100.0,0.0,90.0,993179980.0,28.0,63207.0,100.0,18.0,99.0,1.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,74.0,26.0,100.0,2.0,82.0,37705.0,26.0,26.0,100.0,0.0,100.0,0.0,0.0,63017.0,76362459056.0,409122964870.0
6035,2022-10-03,S300VKXH,ST4000DM000,4000787030016,0,119.0,220701360.0,91.0,100.0,21.0,100.0,0.0,90.0,994743422.0,28.0,63231.0,100.0,18.0,99.0,1.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,73.0,27.0,100.0,2.0,82.0,37705.0,27.0,27.0,100.0,0.0,100.0,0.0,0.0,63041.0,76364152552.0,409378813309.0
6036,2022-10-04,S300VKXH,ST4000DM000,4000787030016,0,106.0,10932152.0,91.0,100.0,21.0,100.0,0.0,90.0,997237297.0,28.0,63254.0,100.0,18.0,99.0,1.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,73.0,27.0,100.0,2.0,82.0,37705.0,27.0,27.0,100.0,0.0,100.0,0.0,0.0,63065.0,76366256480.0,409738898477.0
6037,2022-10-05,S300VKXH,ST4000DM000,4000787030016,0,117.0,145087760.0,91.0,100.0,21.0,100.0,0.0,90.0,999997197.0,28.0,63278.0,100.0,18.0,99.0,1.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,73.0,27.0,100.0,2.0,82.0,37705.0,27.0,27.0,100.0,0.0,100.0,0.0,0.0,63088.0,76367805096.0,410069849030.0
6038,2022-10-06,S300VKXH,ST4000DM000,4000787030016,0,115.0,100062296.0,91.0,100.0,21.0,100.0,0.0,63.0,2194451.0,28.0,63314.0,100.0,18.0,99.0,1.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,73.0,27.0,100.0,2.0,82.0,37705.0,27.0,27.0,100.0,0.0,100.0,0.0,0.0,63124.0,76369965896.0,410439797247.0
6039,2022-10-07,S300VKXH,ST4000DM000,4000787030016,0,119.0,207900336.0,91.0,100.0,21.0,100.0,0.0,65.0,3233232.0,28.0,63337.0,100.0,18.0,99.0,1.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,77.0,23.0,100.0,2.0,82.0,37705.0,23.0,23.0,100.0,0.0,100.0,0.0,0.0,63147.0,76371364520.0,410614805700.0
6040,2022-10-08,S300VKXH,ST4000DM000,4000787030016,0,118.0,194347096.0,91.0,100.0,21.0,100.0,0.0,66.0,4661944.0,28.0,63361.0,100.0,18.0,99.0,1.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,77.0,23.0,100.0,2.0,82.0,37705.0,23.0,23.0,100.0,0.0,100.0,0.0,0.0,63171.0,76372783384.0,410899415899.0
6041,2022-10-09,S300VKXH,ST4000DM000,4000787030016,0,114.0,68894176.0,91.0,100.0,21.0,100.0,0.0,67.0,5910727.0,28.0,63384.0,100.0,18.0,99.0,1.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,78.0,22.0,100.0,2.0,82.0,37705.0,22.0,22.0,100.0,0.0,100.0,0.0,0.0,63195.0,76374645688.0,411158188561.0
6042,2022-10-10,S300VKXH,ST4000DM000,4000787030016,0,106.0,11981432.0,91.0,100.0,21.0,100.0,0.0,68.0,7312967.0,28.0,63408.0,100.0,18.0,99.0,1.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,76.0,24.0,100.0,2.0,82.0,37705.0,24.0,24.0,100.0,0.0,100.0,0.0,0.0,63218.0,76376910080.0,411422584180.0
