,date,serial_number,model,capacity_bytes,failure,smart_1_normalized,smart_1_raw,smart_3_normalized,smart_4_normalized,smart_4_raw,smart_5_normalized,smart_5_raw,smart_7_normalized,smart_7_raw,smart_9_normalized,smart_9_raw,smart_12_normalized,smart_12_raw,smart_183_normalized,smart_183_raw,smart_184_normalized,smart_184_raw,smart_187_normalized,smart_187_raw,smart_188_normalized,smart_188_raw,smart_189_normalized,smart_189_raw,smart_190_normalized,smart_190_raw,smart_192_normalized,smart_192_raw,smart_193_normalized,smart_193_raw,smart_194_normalized,smart_194_raw,smart_197_normalized,smart_197_raw,smart_198_normalized,smart_198_raw,smart_199_raw,smart_240_raw,smart_241_raw,smart_242_raw
6125,2022-10-01,S300VKXZ,ST4000DM000,4000787030016,0,117.0,151158776.0,91.0,100.0,11.0,100.0,0.0,76.0,47195119.0,28.0,63188.0,100.0,9.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,74.0,26.0,100.0,0.0,82.0,37401.0,26.0,26.0,100.0,0.0,100.0,0.0,0.0,62989.0,75342285832.0,385005949937.0
6126,2022-10-02,S300VKXZ,ST4000DM000,4000787030016,0,112.0,50049384.0,91.0,100.0,11.0,100.0,0.0,76.0,49357454.0,28.0,63211.0,100.0,9.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,74.0,26.0,100.0,0.0,82.0,37401.0,26.0,26.0,100.0,0.0,100.0,0.0,0.0,63013.0,75345532032.0,385331228630.0
6127,2022-10-03,S300VKXZ,ST4000DM000,4000787030016,0,115.0,86184792.0,91.0,100.0,11.0,100.0,0.0,77.0,51384502.0,28.0,63235.0,100.0,9.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,74.0,26.0,100.0,0.0,82.0,37402.0,26.0,26.0,100.0,0.0,100.0,0.0,0.0,63036.0,75346900072.0,385410987525.0
6128,2022-10-04,S300VKXZ,ST4000DM000,4000787030016,0,111.0,33228336.0,91.0,100.0,11.0,100.0,0.0,77.0,52565571.0,28.0,63259.0,100.0,9.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,74.0,26.0,100.0,0.0,82.0,37402.0,26.0,26.0,100.0,0.0,100.0,0.0,0.0,63060.0,75348585496.0,385603714746.0
6129,2022-10-05,S300VKXZ,ST4000DM000,4000787030016,0,117.0,132671240.0,91.0,100.0,11.0,100.0,0.0,77.0,53977319.0,28.0,63283.0,100.0,9.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,74.0,26.0,100.0,0.0,82.0,37403.0,26.0,26.0,100.0,0.0,100.0,0.0,0.0,63084.0,75350133904.0,385808490347.0
6130,2022-10-06,S300VKXZ,ST4000DM000,4000787030016,0,117.0,122689032.0,91.0,100.0,11.0,100.0,0.0,77.0,55645647.0,28.0,63307.0,100.0,9.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,74.0,26.0,100.0,0.0,82.0,37405.0,26.0,26.0,100.0,0.0,100.0,0.0,0.0,63108.0,75351745840.0,386057199991.0
6131,2022-10-07,S300VKXZ,ST4000DM000,4000787030016,0,119.0,233446928.0,91.0,100.0,11.0,100.0,0.0,77.0,57911813.0,28.0,63330.0,100.0,9.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,74.0,26.0,100.0,0.0,82.0,37405.0,26.0,26.0,100.0,0.0,100.0,0.0,0.0,63131.0,75353153200.0,386263310696.0
6132,2022-10-08,S300VKXZ,ST4000DM000,4000787030016,0,117.0,136413584.0,91.0,100.0,11.0,100.0,0.0,78.0,60162821.0,28.0,63354.0,100.0,9.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,74.0,26.0,100.0,0.0,82.0,37405.0,26.0,26.0,100.0,0.0,100.0,0.0,0.0,63155.0,75354572384.0,386433614213.0
6133,2022-10-09,S300VKXZ,ST4000DM000,4000787030016,0,114.0,81099200.0,91.0,100.0,11.0,100.0,0.0,78.0,61784407.0,28.0,63378.0,100.0,9.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,74.0,26.0,100.0,0.0,82.0,37405.0,26.0,26.0,100.0,0.0,100.0,0.0,0.0,63179.0,75356137568.0,386638660803.0
6134,2022-10-10,S300VKXZ,ST4000DM000,4000787030016,0,118.0,187088584.0,91.0,100.0,11.0,100.0,0.0,78.0,63777991.0,28.0,63401.0,100.0,9.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,74.0,26.0,100.0,0.0,82.0,37407.0,26.0,26.0,100.0,0.0,100.0,0.0,0.0,63202.0,75357745776.0,386692865635.0
6135,2022-10-11,S300VKXZ,ST4000DM000,4000787030016,0,108.0,19927792.0,91.0,100.0,11.0,100.0,0.0,78.0,64897923.0,28.0,63425.0,100.0,9.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,74.0,26.0,100.0,0.0,82.0,37407.0,26.0,26.0,100.0,0.0,100.0,0.0,0.0,63226.0,75359146488.0,386833232325.0
6136,2022-10-12,S300VKXZ,ST4000DM000,4000787030016,0,114.0,82299184.0,91.0,100.0,11.0,100.0,0.0,78.0,66468820.0,28.0,63448.0,100.0,9.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,74.0,26.0,100.0,0.0,82.0,37408.0,26.0,26.0,100.0,0.0,100.0,0.0,0.0,63250.0,75360509168.0,387007259490.0
6137,2022-10-13,S300VKXZ,ST4000DM000,4000787030016,0,116.0,109923968.0,91.0,100.0,11.0,100.0,0.0,78.0,67754228.0,28.0,63472.0,100.0,9.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,74.0,26.0,100.0,0.0,82.0,37408.0,26.0,26.0,100.0,0.0,100.0,0.0,0.0,63273.0,75362026912.0,387224056521.0
6138,2022-10-14,S300VKXZ,ST4000DM000,4000787030016,0,119.0,232396176.0,91.0,100.0,11.0,100.0,0.0,78.0,70774851.0,28.0,63496.0,100.0,9.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,73.0,27.0,100.0,0.0,82.0,37408.0,27.0,27.0,100.0,0.0,100.0,0.0,0.0,63297.0,75364075336.0,387446719300.0
6139,2022-10-15,S300VKXZ,ST4000DM000,4000787030016,0,114.0,73249064.0,91.0,100.0,11.0,100.0,0.0,78.0,72280635.0,28.0,63520.0,100.0,9.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,74.0,26.0,100.0,0.0,82.0,37408.0,26.0,26.0,100.0,0.0,100.0,0.0,0.0,63321.0,75365283336.0,387644255762.0
