,date,serial_number,model,capacity_bytes,failure,smart_1_normalized,smart_1_raw,smart_3_normalized,smart_4_normalized,smart_4_raw,smart_5_normalized,smart_5_raw,smart_7_normalized,smart_7_raw,smart_9_normalized,smart_9_raw,smart_12_normalized,smart_12_raw,smart_183_normalized,smart_183_raw,smart_184_normalized,smart_184_raw,smart_187_normalized,smart_187_raw,smart_188_normalized,smart_188_raw,smart_189_normalized,smart_189_raw,smart_190_normalized,smart_190_raw,smart_192_normalized,smart_192_raw,smart_193_normalized,smart_193_raw,smart_194_normalized,smart_194_raw,smart_197_normalized,smart_197_raw,smart_198_normalized,smart_198_raw,smart_199_raw,smart_240_raw,smart_241_raw,smart_242_raw
6401,2022-10-01,S300VKYC,ST4000DM000,4000787030016,0,112.0,46080000.0,97.0,100.0,5.0,100.0,0.0,88.0,694598850.0,28.0,63250.0,100.0,3.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,79.0,21.0,100.0,0.0,36.0,129413.0,21.0,21.0,100.0,0.0,100.0,0.0,0.0,62737.0,69557308096.0,438186561232.0
6402,2022-10-02,S300VKYC,ST4000DM000,4000787030016,0,110.0,29352472.0,97.0,100.0,5.0,100.0,0.0,88.0,697790425.0,28.0,63273.0,100.0,3.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,79.0,21.0,100.0,0.0,36.0,129413.0,21.0,21.0,100.0,0.0,100.0,0.0,0.0,62760.0,69559011200.0,438482806272.0
6403,2022-10-03,S300VKYC,ST4000DM000,4000787030016,0,114.0,63541472.0,97.0,100.0,5.0,100.0,0.0,88.0,698862188.0,28.0,63297.0,100.0,3.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,79.0,21.0,100.0,0.0,36.0,129413.0,21.0,21.0,100.0,0.0,100.0,0.0,0.0,62784.0,69561198120.0,438726296250.0
6404,2022-10-04,S300VKYC,ST4000DM000,4000787030016,0,100.0,3031464.0,97.0,100.0,5.0,100.0,0.0,88.0,700246312.0,28.0,63321.0,100.0,3.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,79.0,21.0,100.0,0.0,36.0,129413.0,21.0,21.0,100.0,0.0,100.0,0.0,0.0,62808.0,69562659760.0,438836419260.0
6405,2022-10-05,S300VKYC,ST4000DM000,4000787030016,0,116.0,108812368.0,97.0,100.0,5.0,100.0,0.0,88.0,701997904.0,28.0,63344.0,100.0,3.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,79.0,21.0,100.0,0.0,36.0,129413.0,21.0,21.0,100.0,0.0,100.0,0.0,0.0,62831.0,69564329544.0,438992478064.0
6406,2022-10-06,S300VKYC,ST4000DM000,4000787030016,0,119.0,208235496.0,97.0,100.0,5.0,100.0,0.0,88.0,702920265.0,28.0,63368.0,100.0,3.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,79.0,21.0,100.0,0.0,36.0,129413.0,21.0,21.0,100.0,0.0,100.0,0.0,0.0,62855.0,69565775936.0,439237026274.0
6407,2022-10-07,S300VKYC,ST4000DM000,4000787030016,0,118.0,174560112.0,97.0,100.0,5.0,100.0,0.0,88.0,703905685.0,28.0,63391.0,100.0,3.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,79.0,21.0,100.0,0.0,36.0,129413.0,21.0,21.0,100.0,0.0,100.0,0.0,0.0,62878.0,69567060488.0,439486775654.0
6408,2022-10-08,S300VKYC,ST4000DM000,4000787030016,0,114.0,58838688.0,97.0,100.0,5.0,100.0,0.0,88.0,705028351.0,28.0,63415.0,100.0,3.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,79.0,21.0,100.0,0.0,36.0,129413.0,21.0,21.0,100.0,0.0,100.0,0.0,0.0,62902.0,69568747056.0,439806306630.0
6409,2022-10-09,S300VKYC,ST4000DM000,4000787030016,0,108.0,15515728.0,97.0,100.0,5.0,100.0,0.0,88.0,708275500.0,28.0,63439.0,100.0,3.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,78.0,22.0,100.0,0.0,36.0,129413.0,22.0,22.0,100.0,0.0,100.0,0.0,0.0,62926.0,69570844872.0,440181043756.0
6410,2022-10-10,S300VKYC,ST4000DM000,4000787030016,0,116.0,117276128.0,97.0,100.0,5.0,100.0,0.0,88.0,710346706.0,28.0,63463.0,100.0,3.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,79.0,21.0,100.0,0.0,36.0,129413.0,21.0,21.0,100.0,0.0,100.0,0.0,0.0,62949.0,69572538272.0,440430645836.0
6411,2022-10-11,S300VKYC,ST4000DM000,4000787030016,0,118.0,174236376.0,97.0,100.0,5.0,100.0,0.0,88.0,711915183.0,28.0,63486.0,100.0,3.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,79.0,21.0,100.0,0.0,36.0,129413.0,21.0,21.0,100.0,0.0,100.0,0.0,0.0,62973.0,69573666408.0,440553741967.0
6412,2022-10-12,S300VKYC,ST4000DM000,4000787030016,0,119.0,228752728.0,97.0,100.0,5.0,100.0,0.0,88.0,713419826.0,28.0,63510.0,100.0,3.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,78.0,22.0,100.0,0.0,36.0,129413.0,22.0,22.0,100.0,0.0,100.0,0.0,0.0,62997.0,69574863744.0,440657164112.0
6413,2022-10-13,S300VKYC,ST4000DM000,4000787030016,0,110.0,25673976.0,97.0,100.0,5.0,100.0,0.0,88.0,714479964.0,28.0,63533.0,100.0,3.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,78.0,22.0,100.0,0.0,36.0,129413.0,22.0,22.0,100.0,0.0,100.0,0.0,0.0,63020.0,69576281400.0,440878702826.0
6414,2022-10-14,S300VKYC,ST4000DM000,4000787030016,0,116.0,113500224.0,97.0,100.0,5.0,100.0,0.0,88.0,715460843.0,28.0,63557.0,100.0,3.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,79.0,21.0,100.0,0.0,36.0,129413.0,21.0,21.0,100.0,0.0,100.0,0.0,0.0,63043.0,69578023280.0,441086914624.0
6415,2022-10-15,S300VKYC,ST4000DM000,4000787030016,0,108.0,18391608.0,97.0,100.0,5.0,100.0,0.0,88.0,716424741.0,28.0,63580.0,100.0,3.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,79.0,21.0,100.0,0.0,36.0,129413.0,21.0,21.0,100.0,0.0,100.0,0.0,0.0,63067.0,69579329968.0,441291233645.0
6416,2022-10-16,S300VKYC,ST4000DM000,4000787030016,0,109.0,22646880.0,97.0,100.0,5.0,100.0,0.0,88.0,719320170.0,28.0,63604.0,100.0,3.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,79.0,21.0,100.0,0.0,36.0,129413.0,21.0,21.0,100.0,0.0,100.0,0.0,0.0,63090.0,69581146104.0,441532671064.0
6417,2022-10-17,S300VKYC,ST4000DM000,4000787030016,0,117.0,156307832.0,97.0,100.0,5.0,100.0,0.0,88.0,720305825.0,28.0,63627.0,100.0,3.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,79.0,21.0,100.0,0.0,36.0,129413.0,21.0,21.0,100.0,0.0,100.0,0.0,0.0,63114.0,69582590000.0,441713207140.0
6418,2022-10-18,S300VKYC,ST4000DM000,4000787030016,0,114.0,70673512.0,97.0,100.0,5.0,100.0,0.0,88.0,721320263.0,28.0,63651.0,100.0,3.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,79.0,21.0,100.0,0.0,36.0,129413.0,21.0,21.0,100.0,0.0,100.0,0.0,0.0,63137.0,69583922880.0,441802472734.0
6419,2022-10-19,S300VKYC,ST4000DM000,4000787030016,0,119.0,206105176.0,97.0,100.0,5.0,100.0,0.0,88.0,722837035.0,28.0,63674.0,100.0,3.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,78.0,22.0,100.0,0.0,36.0,129413.0,22.0,22.0,100.0,0.0,100.0,0.0,0.0,63161.0,69585726680.0,441863337761.0
6420,2022-10-20,S300VKYC,ST4000DM000,4000787030016,0,106.0,10946384.0,97.0,100.0,5.0,100.0,0.0,88.0,724021813.0,28.0,63698.0,100.0,3.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,79.0,21.0,100.0,0.0,36.0,129413.0,21.0,21.0,100.0,0.0,100.0,0.0,0.0,63185.0,69587174240.0,442088004712.0
6421,2022-10-21,S300VKYC,ST4000DM000,4000787030016,0,116.0,109527840.0,97.0,100.0,5.0,100.0,0.0,88.0,725486397.0,28.0,63721.0,100.0,3.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,79.0,21.0,100.0,0.0,36.0,129413.0,21.0,21.0,100.0,0.0,100.0,0.0,0.0,63208.0,69588398408.0,442290534586.0
6422,2022-10-22,S300VKYC,ST4000DM000,4000787030016,0,111.0,33967272.0,97.0,100.0,5.0,100.0,0.0,88.0,727433915.0,28.0,63745.0,100.0,3.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,79.0,21.0,100.0,0.0,36.0,129413.0,21.0,21.0,100.0,0.0,100.0,0.0,0.0,63232.0,69593532720.0,442524732281.0
