,date,serial_number,model,capacity_bytes,failure,smart_1_normalized,smart_1_raw,smart_3_normalized,smart_4_normalized,smart_4_raw,smart_5_normalized,smart_5_raw,smart_7_normalized,smart_7_raw,smart_9_normalized,smart_9_raw,smart_12_normalized,smart_12_raw,smart_183_normalized,smart_183_raw,smart_184_normalized,smart_184_raw,smart_187_normalized,smart_187_raw,smart_188_normalized,smart_188_raw,smart_189_normalized,smart_189_raw,smart_190_normalized,smart_190_raw,smart_192_normalized,smart_192_raw,smart_193_normalized,smart_193_raw,smart_194_normalized,smart_194_raw,smart_197_normalized,smart_197_raw,smart_198_normalized,smart_198_raw,smart_199_raw,smart_240_raw,smart_241_raw,smart_242_raw
6585,2022-10-01,S300VKYT,ST4000DM000,4000787030016,0,111.0,38437112.0,97.0,100.0,5.0,100.0,0.0,89.0,866092572.0,28.0,63204.0,100.0,3.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,80.0,20.0,100.0,0.0,83.0,34676.0,20.0,20.0,100.0,0.0,100.0,0.0,0.0,63012.0,76109581392.0,388991352926.0
6586,2022-10-02,S300VKYT,ST4000DM000,4000787030016,0,108.0,18011224.0,97.0,100.0,5.0,100.0,0.0,89.0,867225671.0,28.0,63228.0,100.0,3.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,79.0,21.0,100.0,0.0,83.0,34676.0,21.0,21.0,100.0,0.0,100.0,0.0,0.0,63036.0,76111628048.0,389182314771.0
6587,2022-10-03,S300VKYT,ST4000DM000,4000787030016,0,111.0,38341904.0,97.0,100.0,5.0,100.0,0.0,89.0,868271990.0,28.0,63252.0,100.0,3.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,79.0,21.0,100.0,0.0,83.0,34676.0,21.0,21.0,100.0,0.0,100.0,0.0,0.0,63060.0,76113139864.0,393701243667.0
6588,2022-10-04,S300VKYT,ST4000DM000,4000787030016,0,117.0,124412880.0,97.0,100.0,5.0,100.0,0.0,89.0,869542008.0,28.0,63275.0,100.0,3.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,79.0,21.0,100.0,0.0,83.0,34676.0,21.0,21.0,100.0,0.0,100.0,0.0,0.0,63083.0,76114742728.0,393961587085.0
6589,2022-10-05,S300VKYT,ST4000DM000,4000787030016,0,118.0,184252360.0,97.0,100.0,5.0,100.0,0.0,89.0,871296774.0,28.0,63299.0,100.0,3.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,79.0,21.0,100.0,0.0,83.0,34676.0,21.0,21.0,100.0,0.0,100.0,0.0,0.0,63107.0,76116388048.0,394184966178.0
6590,2022-10-06,S300VKYT,ST4000DM000,4000787030016,0,119.0,228371968.0,97.0,100.0,5.0,100.0,0.0,89.0,872574341.0,28.0,63311.0,100.0,3.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,78.0,22.0,100.0,0.0,83.0,34676.0,22.0,22.0,100.0,0.0,100.0,0.0,0.0,63119.0,76117551256.0,394309226914.0
6591,2022-10-07,S300VKYT,ST4000DM000,4000787030016,0,118.0,173204112.0,97.0,100.0,5.0,100.0,0.0,89.0,873600692.0,28.0,63335.0,100.0,3.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,78.0,22.0,100.0,0.0,83.0,34676.0,22.0,22.0,100.0,0.0,100.0,0.0,0.0,63142.0,76118958360.0,394527036294.0
6592,2022-10-08,S300VKYT,ST4000DM000,4000787030016,0,117.0,132323904.0,97.0,100.0,5.0,100.0,0.0,89.0,874954359.0,28.0,63358.0,100.0,3.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,78.0,22.0,100.0,0.0,83.0,34676.0,22.0,22.0,100.0,0.0,100.0,0.0,0.0,63166.0,76120302720.0,394632074286.0
6593,2022-10-09,S300VKYT,ST4000DM000,4000787030016,0,113.0,55176312.0,97.0,100.0,5.0,100.0,0.0,89.0,876409657.0,28.0,63382.0,100.0,3.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,78.0,22.0,100.0,0.0,83.0,34676.0,22.0,22.0,100.0,0.0,100.0,0.0,0.0,63190.0,76121865472.0,394783282463.0
6594,2022-10-10,S300VKYT,ST4000DM000,4000787030016,0,119.0,1471848.0,97.0,100.0,5.0,100.0,0.0,89.0,877413442.0,28.0,63406.0,100.0,3.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,78.0,22.0,100.0,0.0,83.0,34676.0,22.0,22.0,100.0,0.0,100.0,0.0,0.0,63214.0,76123938416.0,395027905953.0
