,date,serial_number,model,capacity_bytes,failure,smart_1_normalized,smart_1_raw,smart_3_normalized,smart_4_normalized,smart_4_raw,smart_5_normalized,smart_5_raw,smart_7_normalized,smart_7_raw,smart_9_normalized,smart_9_raw,smart_12_normalized,smart_12_raw,smart_183_normalized,smart_183_raw,smart_184_normalized,smart_184_raw,smart_187_normalized,smart_187_raw,smart_188_normalized,smart_188_raw,smart_189_normalized,smart_189_raw,smart_190_normalized,smart_190_raw,smart_192_normalized,smart_192_raw,smart_193_normalized,smart_193_raw,smart_194_normalized,smart_194_raw,smart_197_normalized,smart_197_raw,smart_198_normalized,smart_198_raw,smart_199_raw,smart_240_raw,smart_241_raw,smart_242_raw
6677,2022-10-01,S300VKZ0,ST4000DM000,4000787030016,0,117.0,131140768.0,97.0,100.0,5.0,100.0,0.0,85.0,370626703.0,28.0,63233.0,100.0,3.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,79.0,21.0,100.0,2.0,34.0,132063.0,21.0,21.0,100.0,0.0,100.0,0.0,0.0,62711.0,67417681456.0,496915588791.0
6678,2022-10-02,S300VKZ0,ST4000DM000,4000787030016,0,119.0,211325480.0,97.0,100.0,5.0,100.0,0.0,85.0,372110163.0,28.0,63269.0,100.0,3.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,79.0,21.0,100.0,2.0,34.0,132063.0,21.0,21.0,100.0,0.0,100.0,0.0,0.0,62746.0,67435223768.0,497186701051.0
6679,2022-10-03,S300VKZ0,ST4000DM000,4000787030016,0,114.0,62981672.0,97.0,100.0,5.0,100.0,0.0,85.0,373648720.0,28.0,63293.0,100.0,3.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,78.0,22.0,100.0,2.0,34.0,132063.0,22.0,22.0,100.0,0.0,100.0,0.0,0.0,62770.0,67437005712.0,497438101950.0
6680,2022-10-04,S300VKZ0,ST4000DM000,4000787030016,0,117.0,138546264.0,97.0,100.0,5.0,100.0,0.0,85.0,375964491.0,28.0,63317.0,100.0,3.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,78.0,22.0,100.0,2.0,34.0,132063.0,22.0,22.0,100.0,0.0,100.0,0.0,0.0,62794.0,67438801848.0,501921057739.0
6681,2022-10-05,S300VKZ0,ST4000DM000,4000787030016,0,117.0,158343392.0,97.0,100.0,5.0,100.0,0.0,85.0,376897340.0,28.0,63340.0,100.0,3.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,78.0,22.0,100.0,2.0,34.0,132063.0,22.0,22.0,100.0,0.0,100.0,0.0,0.0,62818.0,67440276272.0,502103259495.0
6682,2022-10-06,S300VKZ0,ST4000DM000,4000787030016,0,107.0,14277792.0,97.0,100.0,5.0,100.0,0.0,85.0,379394367.0,28.0,63364.0,100.0,3.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,79.0,21.0,100.0,2.0,34.0,132063.0,21.0,21.0,100.0,0.0,100.0,0.0,0.0,62842.0,67441459000.0,510828417980.0
6683,2022-10-07,S300VKZ0,ST4000DM000,4000787030016,0,117.0,133683208.0,97.0,100.0,5.0,100.0,0.0,85.0,380578175.0,28.0,63388.0,100.0,3.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,79.0,21.0,100.0,2.0,34.0,132063.0,21.0,21.0,100.0,0.0,100.0,0.0,0.0,62865.0,67442607416.0,511022339483.0
6684,2022-10-08,S300VKZ0,ST4000DM000,4000787030016,0,118.0,180481808.0,97.0,100.0,5.0,100.0,0.0,85.0,381916957.0,28.0,63412.0,100.0,3.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,78.0,22.0,100.0,2.0,34.0,132063.0,22.0,22.0,100.0,0.0,100.0,0.0,0.0,62889.0,67443783448.0,511255632113.0
6685,2022-10-09,S300VKZ0,ST4000DM000,4000787030016,0,117.0,139144536.0,97.0,100.0,5.0,100.0,0.0,85.0,383296596.0,28.0,63436.0,100.0,3.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,79.0,21.0,100.0,2.0,34.0,132063.0,21.0,21.0,100.0,0.0,100.0,0.0,0.0,62913.0,67445366184.0,511485322146.0
6686,2022-10-10,S300VKZ0,ST4000DM000,4000787030016,0,119.0,211012968.0,97.0,100.0,5.0,100.0,0.0,85.0,384580542.0,28.0,63459.0,100.0,3.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,79.0,21.0,100.0,2.0,34.0,132063.0,21.0,21.0,100.0,0.0,100.0,0.0,0.0,62937.0,67446940832.0,511676251947.0
