,date,serial_number,model,capacity_bytes,failure,smart_1_normalized,smart_1_raw,smart_3_normalized,smart_4_normalized,smart_4_raw,smart_5_normalized,smart_5_raw,smart_7_normalized,smart_7_raw,smart_9_normalized,smart_9_raw,smart_12_normalized,smart_12_raw,smart_183_normalized,smart_183_raw,smart_184_normalized,smart_184_raw,smart_187_normalized,smart_187_raw,smart_188_normalized,smart_188_raw,smart_189_normalized,smart_189_raw,smart_190_normalized,smart_190_raw,smart_192_normalized,smart_192_raw,smart_193_normalized,smart_193_raw,smart_194_normalized,smart_194_raw,smart_197_normalized,smart_197_raw,smart_198_normalized,smart_198_raw,smart_199_raw,smart_240_raw,smart_241_raw,smart_242_raw
6769,2022-10-01,S300VKZC,ST4000DM000,4000787030016,0,117.0,144030792.0,97.0,100.0,5.0,100.0,0.0,81.0,128387580.0,28.0,63200.0,100.0,3.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,75.0,25.0,100.0,0.0,82.0,37412.0,25.0,25.0,100.0,0.0,100.0,0.0,0.0,63002.0,76202759360.0,415524431563.0
6770,2022-10-02,S300VKZC,ST4000DM000,4000787030016,0,118.0,188658456.0,97.0,100.0,5.0,100.0,0.0,81.0,132153801.0,28.0,63223.0,100.0,3.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,75.0,25.0,100.0,0.0,82.0,37412.0,25.0,25.0,100.0,0.0,100.0,0.0,0.0,63026.0,76206262816.0,415835523198.0
6771,2022-10-03,S300VKZC,ST4000DM000,4000787030016,0,117.0,120800928.0,97.0,100.0,5.0,100.0,0.0,81.0,135690216.0,28.0,63247.0,100.0,3.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,75.0,25.0,100.0,0.0,82.0,37412.0,25.0,25.0,100.0,0.0,100.0,0.0,0.0,63050.0,76207909160.0,416155082810.0
6772,2022-10-04,S300VKZC,ST4000DM000,4000787030016,0,111.0,36535568.0,97.0,100.0,5.0,100.0,0.0,81.0,139139909.0,28.0,63271.0,100.0,3.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,75.0,25.0,100.0,0.0,82.0,37412.0,25.0,25.0,100.0,0.0,100.0,0.0,0.0,63073.0,76209948104.0,416541267060.0
6773,2022-10-05,S300VKZC,ST4000DM000,4000787030016,0,117.0,143690976.0,97.0,100.0,5.0,100.0,0.0,81.0,143070317.0,28.0,63294.0,100.0,3.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,75.0,25.0,100.0,0.0,82.0,37412.0,25.0,25.0,100.0,0.0,100.0,0.0,0.0,63097.0,76211856056.0,416874076550.0
6774,2022-10-06,S300VKZC,ST4000DM000,4000787030016,0,109.0,22760416.0,97.0,100.0,5.0,100.0,0.0,81.0,147132439.0,28.0,63318.0,100.0,3.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,75.0,25.0,100.0,0.0,82.0,37413.0,25.0,25.0,100.0,0.0,100.0,0.0,0.0,63121.0,76214052344.0,417158812630.0
6775,2022-10-07,S300VKZC,ST4000DM000,4000787030016,0,120.0,235745464.0,97.0,100.0,5.0,100.0,0.0,81.0,151286433.0,28.0,63342.0,100.0,3.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,75.0,25.0,100.0,0.0,82.0,37413.0,25.0,25.0,100.0,0.0,100.0,0.0,0.0,63144.0,76215680632.0,417387115162.0
6776,2022-10-08,S300VKZC,ST4000DM000,4000787030016,0,110.0,27705520.0,97.0,100.0,5.0,100.0,0.0,81.0,155347536.0,28.0,63366.0,100.0,3.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,75.0,25.0,100.0,0.0,82.0,37413.0,25.0,25.0,100.0,0.0,100.0,0.0,0.0,63168.0,76217142472.0,417528601309.0
6777,2022-10-09,S300VKZC,ST4000DM000,4000787030016,0,113.0,52991624.0,97.0,100.0,5.0,100.0,0.0,81.0,159323546.0,28.0,63390.0,100.0,3.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,73.0,27.0,100.0,0.0,82.0,37413.0,27.0,27.0,100.0,0.0,100.0,0.0,0.0,63192.0,76219106888.0,417794957110.0
6778,2022-10-10,S300VKZC,ST4000DM000,4000787030016,0,116.0,106391728.0,97.0,100.0,5.0,100.0,0.0,81.0,162640488.0,28.0,63413.0,100.0,3.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,75.0,25.0,100.0,0.0,82.0,37413.0,25.0,25.0,100.0,0.0,100.0,0.0,0.0,63216.0,76221126552.0,418119451406.0
6779,2022-10-11,S300VKZC,ST4000DM000,4000787030016,0,115.0,91688752.0,97.0,100.0,5.0,100.0,0.0,81.0,166449413.0,28.0,63437.0,100.0,3.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,75.0,25.0,100.0,0.0,82.0,37413.0,25.0,25.0,100.0,0.0,100.0,0.0,0.0,63240.0,76222878192.0,418465624176.0
6780,2022-10-12,S300VKZC,ST4000DM000,4000787030016,0,120.0,242704696.0,97.0,100.0,5.0,100.0,0.0,82.0,170331907.0,28.0,63461.0,100.0,3.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,75.0,25.0,100.0,0.0,82.0,37414.0,25.0,25.0,100.0,0.0,100.0,0.0,0.0,63263.0,76224756760.0,418732230656.0
6781,2022-10-13,S300VKZC,ST4000DM000,4000787030016,0,111.0,33062432.0,97.0,100.0,5.0,100.0,0.0,82.0,173956043.0,28.0,63485.0,100.0,3.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,75.0,25.0,100.0,0.0,82.0,37414.0,25.0,25.0,100.0,0.0,100.0,0.0,0.0,63287.0,76226681304.0,419032449235.0
6782,2022-10-14,S300VKZC,ST4000DM000,4000787030016,0,119.0,203894088.0,97.0,100.0,5.0,100.0,0.0,82.0,177378367.0,28.0,63508.0,100.0,3.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,75.0,25.0,100.0,0.0,82.0,37419.0,25.0,25.0,100.0,0.0,100.0,0.0,0.0,63311.0,76229057896.0,419209906604.0
6783,2022-10-15,S300VKZC,ST4000DM000,4000787030016,0,109.0,23629032.0,97.0,100.0,5.0,100.0,0.0,82.0,179466531.0,28.0,63532.0,100.0,3.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,75.0,25.0,100.0,0.0,82.0,37419.0,25.0,25.0,100.0,0.0,100.0,0.0,0.0,63334.0,76230292960.0,419448890065.0
