,date,serial_number,model,capacity_bytes,failure,smart_1_normalized,smart_1_raw,smart_3_normalized,smart_4_normalized,smart_4_raw,smart_5_normalized,smart_5_raw,smart_7_normalized,smart_7_raw,smart_9_normalized,smart_9_raw,smart_12_normalized,smart_12_raw,smart_183_normalized,smart_183_raw,smart_184_normalized,smart_184_raw,smart_187_normalized,smart_187_raw,smart_188_normalized,smart_188_raw,smart_189_normalized,smart_189_raw,smart_190_normalized,smart_190_raw,smart_192_normalized,smart_192_raw,smart_193_normalized,smart_193_raw,smart_194_normalized,smart_194_raw,smart_197_normalized,smart_197_raw,smart_198_normalized,smart_198_raw,smart_199_raw,smart_240_raw,smart_241_raw,smart_242_raw
7045,2022-10-01,S300VKZS,ST4000DM000,4000787030016,0,119.0,233898408.0,94.0,100.0,9.0,100.0,0.0,85.0,362548211.0,28.0,63248.0,100.0,6.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,79.0,21.0,100.0,0.0,43.0,115057.0,21.0,21.0,100.0,0.0,100.0,0.0,0.0,62825.0,69914164256.0,540294357457.0
7046,2022-10-02,S300VKZS,ST4000DM000,4000787030016,0,120.0,235151416.0,94.0,100.0,9.0,100.0,0.0,85.0,363564443.0,28.0,63272.0,100.0,6.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,80.0,20.0,100.0,0.0,43.0,115058.0,20.0,20.0,100.0,0.0,100.0,0.0,0.0,62849.0,69915549928.0,540512774105.0
7047,2022-10-03,S300VKZS,ST4000DM000,4000787030016,0,116.0,110176696.0,94.0,100.0,9.0,100.0,0.0,85.0,364471082.0,28.0,63296.0,100.0,6.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,80.0,20.0,100.0,0.0,43.0,115058.0,20.0,20.0,100.0,0.0,100.0,0.0,0.0,62873.0,69917680832.0,540697005661.0
7048,2022-10-04,S300VKZS,ST4000DM000,4000787030016,0,118.0,168854664.0,94.0,100.0,9.0,100.0,0.0,85.0,367475797.0,28.0,63319.0,100.0,6.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,79.0,21.0,100.0,0.0,43.0,115058.0,21.0,21.0,100.0,0.0,100.0,0.0,0.0,62896.0,69919263408.0,545292767855.0
7049,2022-10-05,S300VKZS,ST4000DM000,4000787030016,0,112.0,49809584.0,94.0,100.0,9.0,100.0,0.0,85.0,368510598.0,28.0,63343.0,100.0,6.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,79.0,21.0,100.0,0.0,43.0,115058.0,21.0,21.0,100.0,0.0,100.0,0.0,0.0,62920.0,69921074112.0,545446455741.0
7050,2022-10-06,S300VKZS,ST4000DM000,4000787030016,0,112.0,47691488.0,94.0,100.0,9.0,100.0,0.0,85.0,369810345.0,28.0,63366.0,100.0,6.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,79.0,21.0,100.0,0.0,43.0,115062.0,21.0,21.0,100.0,0.0,100.0,0.0,0.0,62943.0,69922553128.0,545612095277.0
7051,2022-10-07,S300VKZS,ST4000DM000,4000787030016,0,118.0,195432072.0,94.0,100.0,9.0,100.0,0.0,85.0,372279906.0,28.0,63390.0,100.0,6.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,79.0,21.0,100.0,0.0,43.0,115064.0,21.0,21.0,100.0,0.0,100.0,0.0,0.0,62967.0,69923733240.0,545712662165.0
7052,2022-10-08,S300VKZS,ST4000DM000,4000787030016,0,119.0,208707952.0,94.0,100.0,9.0,100.0,0.0,85.0,373264616.0,28.0,63413.0,100.0,6.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,80.0,20.0,100.0,0.0,43.0,115064.0,20.0,20.0,100.0,0.0,100.0,0.0,0.0,62990.0,69925003528.0,545882347636.0
7053,2022-10-09,S300VKZS,ST4000DM000,4000787030016,0,116.0,103064200.0,94.0,100.0,9.0,100.0,0.0,85.0,374242424.0,28.0,63437.0,100.0,6.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,74.0,26.0,100.0,0.0,43.0,115064.0,26.0,26.0,100.0,0.0,100.0,0.0,0.0,63014.0,69927491840.0,546049427873.0
7054,2022-10-10,S300VKZS,ST4000DM000,4000787030016,0,118.0,174830888.0,94.0,100.0,9.0,100.0,0.0,85.0,375219011.0,28.0,63461.0,100.0,6.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,79.0,21.0,100.0,0.0,43.0,115064.0,21.0,21.0,100.0,0.0,100.0,0.0,0.0,63038.0,69929272664.0,546221751131.0
7055,2022-10-11,S300VKZS,ST4000DM000,4000787030016,0,114.0,73542880.0,94.0,100.0,9.0,100.0,0.0,85.0,377518223.0,28.0,63485.0,100.0,6.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,79.0,21.0,100.0,0.0,43.0,115064.0,21.0,21.0,100.0,0.0,100.0,0.0,0.0,63062.0,69930607704.0,546480328648.0
7056,2022-10-12,S300VKZS,ST4000DM000,4000787030016,0,119.0,220548384.0,94.0,100.0,9.0,100.0,0.0,85.0,379628678.0,28.0,63508.0,100.0,6.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,79.0,21.0,100.0,0.0,43.0,115065.0,21.0,21.0,100.0,0.0,100.0,0.0,0.0,63085.0,69932249792.0,546719273787.0
7057,2022-10-13,S300VKZS,ST4000DM000,4000787030016,0,118.0,182517224.0,94.0,100.0,9.0,100.0,0.0,85.0,380917690.0,28.0,63532.0,100.0,6.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,80.0,20.0,100.0,0.0,43.0,115074.0,20.0,20.0,100.0,0.0,100.0,0.0,0.0,63109.0,69933747200.0,547038224375.0
