,date,serial_number,model,capacity_bytes,failure,smart_1_normalized,smart_1_raw,smart_3_normalized,smart_4_normalized,smart_4_raw,smart_5_normalized,smart_5_raw,smart_7_normalized,smart_7_raw,smart_9_normalized,smart_9_raw,smart_12_normalized,smart_12_raw,smart_183_normalized,smart_183_raw,smart_184_normalized,smart_184_raw,smart_187_normalized,smart_187_raw,smart_188_normalized,smart_188_raw,smart_189_normalized,smart_189_raw,smart_190_normalized,smart_190_raw,smart_192_normalized,smart_192_raw,smart_193_normalized,smart_193_raw,smart_194_normalized,smart_194_raw,smart_197_normalized,smart_197_raw,smart_198_normalized,smart_198_raw,smart_199_raw,smart_240_raw,smart_241_raw,smart_242_raw
7597,2022-10-01,S300VL1H,ST4000DM000,4000787030016,0,115.0,94424856.0,93.0,100.0,15.0,100.0,0.0,87.0,514882705.0,29.0,62873.0,100.0,12.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,69.0,31.0,100.0,1.0,76.0,48617.0,31.0,31.0,100.0,0.0,100.0,0.0,0.0,62609.0,71520331960.0,541854704872.0
7598,2022-10-02,S300VL1H,ST4000DM000,4000787030016,0,111.0,29462632.0,93.0,100.0,15.0,100.0,0.0,87.0,518540357.0,29.0,62909.0,100.0,12.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,69.0,31.0,100.0,1.0,76.0,48617.0,31.0,31.0,100.0,0.0,100.0,0.0,0.0,62645.0,71542759176.0,542294375312.0
7599,2022-10-03,S300VL1H,ST4000DM000,4000787030016,0,111.0,34547096.0,93.0,100.0,15.0,100.0,0.0,87.0,519869392.0,29.0,62932.0,100.0,12.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,69.0,31.0,100.0,1.0,76.0,48617.0,31.0,31.0,100.0,0.0,100.0,0.0,0.0,62668.0,71557581920.0,542602615582.0
7600,2022-10-04,S300VL1H,ST4000DM000,4000787030016,0,117.0,139049744.0,93.0,100.0,15.0,100.0,0.0,87.0,521128673.0,29.0,62956.0,100.0,12.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,69.0,31.0,100.0,1.0,76.0,48617.0,31.0,31.0,100.0,0.0,100.0,0.0,0.0,62692.0,71573990320.0,542881291115.0
7601,2022-10-05,S300VL1H,ST4000DM000,4000787030016,0,115.0,85673888.0,93.0,100.0,15.0,100.0,0.0,87.0,523648962.0,29.0,62979.0,100.0,12.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,69.0,31.0,100.0,1.0,76.0,48617.0,31.0,31.0,100.0,0.0,100.0,0.0,0.0,62716.0,71593071352.0,543207459138.0
7602,2022-10-06,S300VL1H,ST4000DM000,4000787030016,0,117.0,163346424.0,93.0,100.0,15.0,100.0,0.0,87.0,524098819.0,29.0,62991.0,100.0,12.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,69.0,31.0,100.0,1.0,76.0,48617.0,31.0,31.0,100.0,0.0,100.0,0.0,0.0,62728.0,71600608056.0,543334270404.0
7603,2022-10-07,S300VL1H,ST4000DM000,4000787030016,0,120.0,237233136.0,93.0,100.0,15.0,100.0,0.0,87.0,524970349.0,29.0,63015.0,100.0,12.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,69.0,31.0,100.0,1.0,76.0,48617.0,31.0,31.0,100.0,0.0,100.0,0.0,0.0,62751.0,71610742328.0,543528306136.0
7604,2022-10-08,S300VL1H,ST4000DM000,4000787030016,0,117.0,160908712.0,93.0,100.0,15.0,100.0,0.0,87.0,526749542.0,29.0,63039.0,100.0,12.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,69.0,31.0,100.0,1.0,76.0,48617.0,31.0,31.0,100.0,0.0,100.0,0.0,0.0,62775.0,71620903720.0,548021381920.0
7605,2022-10-09,S300VL1H,ST4000DM000,4000787030016,0,120.0,1702376.0,93.0,100.0,15.0,100.0,0.0,87.0,527805677.0,29.0,63062.0,100.0,12.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,69.0,31.0,100.0,1.0,76.0,48617.0,31.0,31.0,100.0,0.0,100.0,0.0,0.0,62799.0,71640204120.0,548284634253.0
7606,2022-10-10,S300VL1H,ST4000DM000,4000787030016,0,114.0,65606376.0,93.0,100.0,15.0,100.0,0.0,87.0,529727423.0,28.0,63086.0,100.0,12.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,69.0,31.0,100.0,1.0,76.0,48617.0,31.0,31.0,100.0,0.0,100.0,0.0,0.0,62822.0,71653151448.0,552853266590.0
