,date,serial_number,model,capacity_bytes,failure,smart_1_normalized,smart_1_raw,smart_3_normalized,smart_4_normalized,smart_4_raw,smart_5_normalized,smart_5_raw,smart_7_normalized,smart_7_raw,smart_9_normalized,smart_9_raw,smart_12_normalized,smart_12_raw,smart_183_normalized,smart_183_raw,smart_184_normalized,smart_184_raw,smart_187_normalized,smart_187_raw,smart_188_normalized,smart_188_raw,smart_189_normalized,smart_189_raw,smart_190_normalized,smart_190_raw,smart_192_normalized,smart_192_raw,smart_193_normalized,smart_193_raw,smart_194_normalized,smart_194_raw,smart_197_normalized,smart_197_raw,smart_198_normalized,smart_198_raw,smart_199_raw,smart_240_raw,smart_241_raw,smart_242_raw
7873,2022-10-01,S300VL2B,ST4000DM000,4000787030016,0,116.0,102029536.0,97.0,100.0,5.0,100.0,0.0,87.0,484750290.0,28.0,63229.0,100.0,3.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,77.0,23.0,100.0,0.0,38.0,124947.0,23.0,23.0,100.0,0.0,100.0,0.0,0.0,62733.0,68322898208.0,572880032894.0
7874,2022-10-02,S300VL2B,ST4000DM000,4000787030016,0,117.0,159649664.0,97.0,100.0,5.0,100.0,0.0,87.0,488030948.0,28.0,63265.0,100.0,3.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,77.0,23.0,100.0,0.0,38.0,124947.0,23.0,23.0,100.0,0.0,100.0,0.0,0.0,62768.0,68325577160.0,573299344140.0
7875,2022-10-03,S300VL2B,ST4000DM000,4000787030016,0,112.0,49422800.0,97.0,100.0,5.0,100.0,0.0,87.0,490146281.0,28.0,63289.0,100.0,3.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,77.0,23.0,100.0,0.0,38.0,124947.0,23.0,23.0,100.0,0.0,100.0,0.0,0.0,62792.0,68327056696.0,573435536484.0
7876,2022-10-04,S300VL2B,ST4000DM000,4000787030016,0,114.0,74782512.0,97.0,100.0,5.0,100.0,0.0,87.0,491377093.0,28.0,63313.0,100.0,3.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,77.0,23.0,100.0,0.0,38.0,124947.0,23.0,23.0,100.0,0.0,100.0,0.0,0.0,62816.0,68328586808.0,573637299243.0
7877,2022-10-05,S300VL2B,ST4000DM000,4000787030016,0,109.0,22025904.0,97.0,100.0,5.0,100.0,0.0,87.0,492928963.0,28.0,63336.0,100.0,3.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,77.0,23.0,100.0,0.0,38.0,124947.0,23.0,23.0,100.0,0.0,100.0,0.0,0.0,62840.0,68330394432.0,578132450032.0
7878,2022-10-06,S300VL2B,ST4000DM000,4000787030016,0,120.0,243394712.0,97.0,100.0,5.0,100.0,0.0,87.0,493849191.0,28.0,63360.0,100.0,3.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,77.0,23.0,100.0,0.0,38.0,124948.0,23.0,23.0,100.0,0.0,100.0,0.0,0.0,62864.0,68331932512.0,578313499137.0
7879,2022-10-07,S300VL2B,ST4000DM000,4000787030016,0,102.0,3856488.0,97.0,100.0,5.0,100.0,0.0,87.0,495982876.0,28.0,63384.0,100.0,3.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,77.0,23.0,100.0,0.0,38.0,124948.0,23.0,23.0,100.0,0.0,100.0,0.0,0.0,62887.0,68333207088.0,578565187132.0
7880,2022-10-08,S300VL2B,ST4000DM000,4000787030016,0,116.0,101111040.0,97.0,100.0,5.0,100.0,0.0,87.0,497992168.0,28.0,63408.0,100.0,3.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,77.0,23.0,100.0,0.0,38.0,124948.0,23.0,23.0,100.0,0.0,100.0,0.0,0.0,62911.0,68334528432.0,578822097075.0
7881,2022-10-09,S300VL2B,ST4000DM000,4000787030016,0,119.0,202371168.0,97.0,100.0,5.0,100.0,0.0,87.0,499115339.0,28.0,63432.0,100.0,3.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,76.0,24.0,100.0,0.0,38.0,124948.0,24.0,24.0,100.0,0.0,100.0,0.0,0.0,62935.0,68336573680.0,583283050191.0
7882,2022-10-10,S300VL2B,ST4000DM000,4000787030016,0,115.0,100175608.0,97.0,100.0,5.0,100.0,0.0,87.0,501079988.0,28.0,63456.0,100.0,3.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,77.0,23.0,100.0,0.0,38.0,124948.0,23.0,23.0,100.0,0.0,100.0,0.0,0.0,62959.0,68338177064.0,583406295974.0
7883,2022-10-11,S300VL2B,ST4000DM000,4000787030016,0,120.0,240567368.0,97.0,100.0,5.0,100.0,0.0,87.0,503700396.0,28.0,63479.0,100.0,3.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,77.0,23.0,100.0,0.0,38.0,124948.0,23.0,23.0,100.0,0.0,100.0,0.0,0.0,62983.0,68339623552.0,583688762688.0
7884,2022-10-12,S300VL2B,ST4000DM000,4000787030016,0,118.0,190721864.0,97.0,100.0,5.0,100.0,0.0,87.0,504791904.0,28.0,63503.0,100.0,3.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,77.0,23.0,100.0,0.0,38.0,124949.0,23.0,23.0,100.0,0.0,100.0,0.0,0.0,63006.0,68341213384.0,583862577851.0
