,date,serial_number,model,capacity_bytes,failure,smart_1_normalized,smart_1_raw,smart_3_normalized,smart_4_normalized,smart_4_raw,smart_5_normalized,smart_5_raw,smart_7_normalized,smart_7_raw,smart_9_normalized,smart_9_raw,smart_12_normalized,smart_12_raw,smart_183_normalized,smart_183_raw,smart_184_normalized,smart_184_raw,smart_187_normalized,smart_187_raw,smart_188_normalized,smart_188_raw,smart_189_normalized,smart_189_raw,smart_190_normalized,smart_190_raw,smart_192_normalized,smart_192_raw,smart_193_normalized,smart_193_raw,smart_194_normalized,smart_194_raw,smart_197_normalized,smart_197_raw,smart_198_normalized,smart_198_raw,smart_199_raw,smart_240_raw,smart_241_raw,smart_242_raw
8241,2022-10-01,S300VL3E,ST4000DM000,4000787030016,0,118.0,175304288.0,92.0,100.0,16.0,100.0,8.0,87.0,488653759.0,28.0,63222.0,100.0,12.0,100.0,0.0,100.0,0.0,98.0,2.0,100.0,0.0,100.0,0.0,82.0,18.0,100.0,1.0,35.0,131186.0,18.0,18.0,100.0,0.0,100.0,0.0,0.0,62693.0,69215472896.0,405594138133.0
8242,2022-10-02,S300VL3E,ST4000DM000,4000787030016,0,117.0,152679392.0,92.0,100.0,16.0,100.0,8.0,87.0,490417311.0,28.0,63257.0,100.0,12.0,100.0,0.0,100.0,0.0,98.0,2.0,100.0,0.0,100.0,0.0,82.0,18.0,100.0,1.0,35.0,131186.0,18.0,18.0,100.0,0.0,100.0,0.0,0.0,62728.0,69217818432.0,405788056762.0
8243,2022-10-03,S300VL3E,ST4000DM000,4000787030016,0,111.0,29596744.0,92.0,100.0,16.0,100.0,8.0,87.0,492053533.0,28.0,63281.0,100.0,12.0,100.0,0.0,100.0,0.0,98.0,2.0,100.0,0.0,100.0,0.0,82.0,18.0,100.0,1.0,35.0,131186.0,18.0,18.0,100.0,0.0,100.0,0.0,0.0,62752.0,69219493584.0,405925588234.0
8244,2022-10-04,S300VL3E,ST4000DM000,4000787030016,0,111.0,38818928.0,92.0,100.0,16.0,100.0,8.0,87.0,493220229.0,28.0,63304.0,100.0,12.0,100.0,0.0,100.0,0.0,98.0,2.0,100.0,0.0,100.0,0.0,82.0,18.0,100.0,1.0,35.0,131186.0,18.0,18.0,100.0,0.0,100.0,0.0,0.0,62776.0,69221271296.0,406135680646.0
8245,2022-10-05,S300VL3E,ST4000DM000,4000787030016,0,115.0,89876408.0,92.0,100.0,16.0,100.0,8.0,87.0,495282098.0,28.0,63328.0,100.0,12.0,100.0,0.0,100.0,0.0,98.0,2.0,100.0,0.0,100.0,0.0,82.0,18.0,100.0,1.0,35.0,131186.0,18.0,18.0,100.0,0.0,100.0,0.0,0.0,62799.0,69222838608.0,406337011932.0
8246,2022-10-06,S300VL3E,ST4000DM000,4000787030016,0,111.0,32972432.0,92.0,100.0,16.0,100.0,8.0,87.0,496527903.0,28.0,63352.0,100.0,12.0,100.0,0.0,100.0,0.0,98.0,2.0,100.0,0.0,100.0,0.0,82.0,18.0,100.0,1.0,35.0,131186.0,18.0,18.0,100.0,0.0,100.0,0.0,0.0,62823.0,69224270032.0,406547645794.0
8247,2022-10-07,S300VL3E,ST4000DM000,4000787030016,0,112.0,43115128.0,92.0,100.0,16.0,100.0,8.0,87.0,499235098.0,28.0,63375.0,100.0,12.0,100.0,0.0,100.0,0.0,98.0,2.0,100.0,0.0,100.0,0.0,82.0,18.0,100.0,1.0,35.0,131186.0,18.0,18.0,100.0,0.0,100.0,0.0,0.0,62847.0,69226476576.0,406797529929.0
8248,2022-10-08,S300VL3E,ST4000DM000,4000787030016,0,119.0,224865656.0,92.0,100.0,16.0,100.0,8.0,87.0,500923528.0,28.0,63399.0,100.0,12.0,100.0,0.0,100.0,0.0,98.0,2.0,100.0,0.0,100.0,0.0,82.0,18.0,100.0,1.0,35.0,131186.0,18.0,18.0,100.0,0.0,100.0,0.0,0.0,62870.0,69227798904.0,407005408994.0
8249,2022-10-09,S300VL3E,ST4000DM000,4000787030016,0,116.0,104925704.0,92.0,100.0,16.0,100.0,8.0,87.0,502347974.0,28.0,63423.0,100.0,12.0,100.0,0.0,100.0,0.0,98.0,2.0,100.0,0.0,100.0,0.0,82.0,18.0,100.0,1.0,35.0,131186.0,18.0,18.0,100.0,0.0,100.0,0.0,0.0,62894.0,69229185528.0,407154565397.0
8250,2022-10-10,S300VL3E,ST4000DM000,4000787030016,0,117.0,149092192.0,92.0,100.0,16.0,100.0,8.0,87.0,504025253.0,28.0,63447.0,100.0,12.0,100.0,0.0,100.0,0.0,98.0,2.0,100.0,0.0,100.0,0.0,82.0,18.0,100.0,1.0,35.0,131186.0,18.0,18.0,100.0,0.0,100.0,0.0,0.0,62918.0,69231154336.0,407263170045.0
8251,2022-10-11,S300VL3E,ST4000DM000,4000787030016,0,118.0,176503488.0,92.0,100.0,16.0,100.0,8.0,87.0,505341322.0,28.0,63470.0,100.0,12.0,100.0,0.0,100.0,0.0,98.0,2.0,100.0,0.0,100.0,0.0,82.0,18.0,100.0,1.0,35.0,131186.0,18.0,18.0,100.0,0.0,100.0,0.0,0.0,62942.0,69232411680.0,407528454938.0
8252,2022-10-12,S300VL3E,ST4000DM000,4000787030016,0,119.0,220955864.0,92.0,100.0,16.0,100.0,8.0,87.0,506475331.0,28.0,63494.0,100.0,12.0,100.0,0.0,100.0,0.0,98.0,2.0,100.0,0.0,100.0,0.0,82.0,18.0,100.0,1.0,35.0,131186.0,18.0,18.0,100.0,0.0,100.0,0.0,0.0,62965.0,69233909120.0,407827024422.0
8253,2022-10-13,S300VL3E,ST4000DM000,4000787030016,0,114.0,64933392.0,92.0,100.0,16.0,100.0,8.0,87.0,507916270.0,28.0,63518.0,100.0,12.0,100.0,0.0,100.0,0.0,98.0,2.0,100.0,0.0,100.0,0.0,82.0,18.0,100.0,1.0,35.0,131186.0,18.0,18.0,100.0,0.0,100.0,0.0,0.0,62989.0,69235236000.0,408100788936.0
8254,2022-10-14,S300VL3E,ST4000DM000,4000787030016,0,114.0,58753872.0,92.0,100.0,16.0,100.0,8.0,87.0,510196138.0,28.0,63541.0,100.0,12.0,100.0,0.0,100.0,0.0,98.0,2.0,100.0,0.0,100.0,0.0,79.0,21.0,100.0,1.0,35.0,131186.0,21.0,21.0,100.0,0.0,100.0,0.0,0.0,63013.0,69236693416.0,408427027810.0
8255,2022-10-15,S300VL3E,ST4000DM000,4000787030016,0,117.0,136924856.0,92.0,100.0,16.0,100.0,8.0,87.0,511914678.0,28.0,63565.0,100.0,12.0,100.0,0.0,100.0,0.0,98.0,2.0,100.0,0.0,100.0,0.0,82.0,18.0,100.0,1.0,35.0,131186.0,18.0,18.0,100.0,0.0,100.0,0.0,0.0,63036.0,69238112824.0,408596356637.0
