,date,serial_number,model,capacity_bytes,failure,smart_1_normalized,smart_1_raw,smart_3_normalized,smart_4_normalized,smart_4_raw,smart_5_normalized,smart_5_raw,smart_7_normalized,smart_7_raw,smart_9_normalized,smart_9_raw,smart_12_normalized,smart_12_raw,smart_183_normalized,smart_183_raw,smart_184_normalized,smart_184_raw,smart_187_normalized,smart_187_raw,smart_188_normalized,smart_188_raw,smart_189_normalized,smart_189_raw,smart_190_normalized,smart_190_raw,smart_192_normalized,smart_192_raw,smart_193_normalized,smart_193_raw,smart_194_normalized,smart_194_raw,smart_197_normalized,smart_197_raw,smart_198_normalized,smart_198_raw,smart_199_raw,smart_240_raw,smart_241_raw,smart_242_raw
8425,2022-10-01,S300VL3P,ST4000DM000,4000787030016,0,119.0,211612480.0,95.0,100.0,7.0,100.0,0.0,89.0,938173429.0,28.0,63205.0,100.0,5.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,75.0,25.0,100.0,0.0,82.0,37430.0,25.0,25.0,100.0,0.0,100.0,0.0,0.0,63006.0,77286961632.0,384704730840.0
8426,2022-10-02,S300VL3P,ST4000DM000,4000787030016,0,114.0,83331016.0,95.0,100.0,7.0,100.0,0.0,90.0,939590649.0,28.0,63228.0,100.0,5.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,75.0,25.0,100.0,0.0,82.0,37430.0,25.0,25.0,100.0,0.0,100.0,0.0,0.0,63030.0,77288815936.0,384925221541.0
8427,2022-10-03,S300VL3P,ST4000DM000,4000787030016,0,119.0,219752856.0,95.0,100.0,7.0,100.0,0.0,90.0,941233888.0,28.0,63252.0,100.0,5.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,74.0,26.0,100.0,0.0,82.0,37430.0,26.0,26.0,100.0,0.0,100.0,0.0,0.0,63054.0,77290357312.0,385117189426.0
8428,2022-10-04,S300VL3P,ST4000DM000,4000787030016,0,111.0,40867504.0,95.0,100.0,7.0,100.0,0.0,90.0,943989987.0,28.0,63276.0,100.0,5.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,74.0,26.0,100.0,0.0,82.0,37430.0,26.0,26.0,100.0,0.0,100.0,0.0,0.0,63077.0,77292412488.0,385354425130.0
8429,2022-10-05,S300VL3P,ST4000DM000,4000787030016,0,117.0,122674384.0,95.0,100.0,7.0,100.0,0.0,90.0,945556026.0,28.0,63300.0,100.0,5.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,74.0,26.0,100.0,0.0,82.0,37430.0,26.0,26.0,100.0,0.0,100.0,0.0,0.0,63101.0,77294067840.0,385565602219.0
8430,2022-10-06,S300VL3P,ST4000DM000,4000787030016,0,118.0,187786968.0,95.0,100.0,7.0,100.0,0.0,90.0,946190032.0,28.0,63312.0,100.0,5.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,77.0,23.0,100.0,0.0,82.0,37440.0,23.0,23.0,100.0,0.0,100.0,0.0,0.0,63113.0,77294692336.0,385598491086.0
8431,2022-10-07,S300VL3P,ST4000DM000,4000787030016,0,113.0,52040336.0,95.0,100.0,7.0,100.0,0.0,90.0,947682251.0,28.0,63335.0,100.0,5.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,77.0,23.0,100.0,0.0,82.0,37441.0,23.0,23.0,100.0,0.0,100.0,0.0,0.0,63136.0,77297219152.0,385827596923.0
8432,2022-10-08,S300VL3P,ST4000DM000,4000787030016,0,115.0,91571680.0,95.0,100.0,7.0,100.0,0.0,90.0,949137884.0,28.0,63359.0,100.0,5.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,78.0,22.0,100.0,0.0,82.0,37441.0,22.0,22.0,100.0,0.0,100.0,0.0,0.0,63160.0,77298567976.0,386070500394.0
8433,2022-10-09,S300VL3P,ST4000DM000,4000787030016,0,107.0,13814496.0,95.0,100.0,7.0,100.0,0.0,90.0,950533509.0,28.0,63383.0,100.0,5.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,78.0,22.0,100.0,0.0,82.0,37441.0,22.0,22.0,100.0,0.0,100.0,0.0,0.0,63184.0,77300076376.0,386416758874.0
8434,2022-10-10,S300VL3P,ST4000DM000,4000787030016,0,118.0,184705576.0,95.0,100.0,7.0,100.0,0.0,90.0,952213634.0,28.0,63406.0,100.0,5.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,77.0,23.0,100.0,0.0,82.0,37441.0,23.0,23.0,100.0,0.0,100.0,0.0,0.0,63208.0,77302098456.0,386723660174.0
