,date,serial_number,model,capacity_bytes,failure,smart_1_normalized,smart_1_raw,smart_3_normalized,smart_4_normalized,smart_4_raw,smart_5_normalized,smart_5_raw,smart_7_normalized,smart_7_raw,smart_9_normalized,smart_9_raw,smart_12_normalized,smart_12_raw,smart_183_normalized,smart_183_raw,smart_184_normalized,smart_184_raw,smart_187_normalized,smart_187_raw,smart_188_normalized,smart_188_raw,smart_189_normalized,smart_189_raw,smart_190_normalized,smart_190_raw,smart_192_normalized,smart_192_raw,smart_193_normalized,smart_193_raw,smart_194_normalized,smart_194_raw,smart_197_normalized,smart_197_raw,smart_198_normalized,smart_198_raw,smart_199_raw,smart_240_raw,smart_241_raw,smart_242_raw
8517,2022-10-01,S300VL3Y,ST4000DM000,4000787030016,0,113.0,50510432.0,92.0,100.0,11.0,100.0,0.0,90.0,940918338.0,28.0,63190.0,100.0,9.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,76.0,24.0,100.0,0.0,82.0,37529.0,24.0,24.0,100.0,0.0,100.0,0.0,0.0,62991.0,76275752768.0,396409916402.0
8518,2022-10-02,S300VL3Y,ST4000DM000,4000787030016,0,117.0,122959512.0,92.0,100.0,11.0,100.0,0.0,90.0,942888898.0,28.0,63214.0,100.0,9.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,76.0,24.0,100.0,0.0,82.0,37530.0,24.0,24.0,100.0,0.0,100.0,0.0,0.0,63014.0,76277282256.0,396497053227.0
8519,2022-10-03,S300VL3Y,ST4000DM000,4000787030016,0,119.0,230127256.0,92.0,100.0,11.0,100.0,0.0,90.0,944053198.0,28.0,63238.0,100.0,9.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,75.0,25.0,100.0,0.0,82.0,37530.0,25.0,25.0,100.0,0.0,100.0,0.0,0.0,63038.0,76279340448.0,396764597738.0
8520,2022-10-04,S300VL3Y,ST4000DM000,4000787030016,0,114.0,75684216.0,92.0,100.0,11.0,100.0,0.0,90.0,945204537.0,28.0,63262.0,100.0,9.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,76.0,24.0,100.0,0.0,82.0,37530.0,24.0,24.0,100.0,0.0,100.0,0.0,0.0,63062.0,76281504048.0,397002546725.0
8521,2022-10-05,S300VL3Y,ST4000DM000,4000787030016,0,119.0,230349552.0,92.0,100.0,11.0,100.0,0.0,90.0,946350101.0,28.0,63285.0,100.0,9.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,75.0,25.0,100.0,0.0,82.0,37530.0,25.0,25.0,100.0,0.0,100.0,0.0,0.0,63086.0,76283165152.0,397226952953.0
8522,2022-10-06,S300VL3Y,ST4000DM000,4000787030016,0,113.0,56425880.0,92.0,100.0,11.0,100.0,0.0,90.0,948191012.0,28.0,63309.0,100.0,9.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,75.0,25.0,100.0,0.0,82.0,37532.0,25.0,25.0,100.0,0.0,100.0,0.0,0.0,63110.0,76285063904.0,397501703634.0
8523,2022-10-07,S300VL3Y,ST4000DM000,4000787030016,0,116.0,115400232.0,92.0,100.0,11.0,100.0,0.0,90.0,949811005.0,28.0,63333.0,100.0,9.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,75.0,25.0,100.0,0.0,82.0,37532.0,25.0,25.0,100.0,0.0,100.0,0.0,0.0,63133.0,76286447984.0,397734218260.0
8524,2022-10-08,S300VL3Y,ST4000DM000,4000787030016,0,117.0,131315400.0,92.0,100.0,11.0,100.0,0.0,90.0,951176498.0,28.0,63357.0,100.0,9.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,76.0,24.0,100.0,0.0,82.0,37533.0,24.0,24.0,100.0,0.0,100.0,0.0,0.0,63157.0,76287712408.0,397973496779.0
8525,2022-10-09,S300VL3Y,ST4000DM000,4000787030016,0,118.0,180265280.0,92.0,100.0,11.0,100.0,0.0,90.0,953084455.0,28.0,63380.0,100.0,9.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,77.0,23.0,100.0,0.0,82.0,37533.0,23.0,23.0,100.0,0.0,100.0,0.0,0.0,63180.0,76289360800.0,398028472906.0
8526,2022-10-10,S300VL3Y,ST4000DM000,4000787030016,0,117.0,135254848.0,92.0,100.0,11.0,100.0,0.0,90.0,954132207.0,28.0,63404.0,100.0,9.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,76.0,24.0,100.0,0.0,82.0,37533.0,24.0,24.0,100.0,0.0,100.0,0.0,0.0,63204.0,76291418632.0,398243782917.0
