,date,serial_number,model,capacity_bytes,failure,smart_1_normalized,smart_1_raw,smart_3_normalized,smart_4_normalized,smart_4_raw,smart_5_normalized,smart_5_raw,smart_7_normalized,smart_7_raw,smart_9_normalized,smart_9_raw,smart_12_normalized,smart_12_raw,smart_183_normalized,smart_183_raw,smart_184_normalized,smart_184_raw,smart_187_normalized,smart_187_raw,smart_188_normalized,smart_188_raw,smart_189_normalized,smart_189_raw,smart_190_normalized,smart_190_raw,smart_192_normalized,smart_192_raw,smart_193_normalized,smart_193_raw,smart_194_normalized,smart_194_raw,smart_197_normalized,smart_197_raw,smart_198_normalized,smart_198_raw,smart_199_raw,smart_240_raw,smart_241_raw,smart_242_raw
9161,2022-10-01,S300VL4R,ST4000DM000,4000787030016,0,118.0,183585256.0,92.0,100.0,14.0,100.0,0.0,88.0,755673298.0,29.0,62888.0,100.0,12.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,67.0,33.0,100.0,1.0,76.0,49063.0,33.0,33.0,100.0,0.0,100.0,0.0,0.0,62622.0,72998727648.0,460307345424.0
9162,2022-10-02,S300VL4R,ST4000DM000,4000787030016,0,118.0,173272944.0,92.0,100.0,14.0,100.0,0.0,88.0,757863304.0,29.0,62912.0,100.0,12.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,67.0,33.0,100.0,1.0,76.0,49063.0,33.0,33.0,100.0,0.0,100.0,0.0,0.0,62645.0,73013885488.0,460530340906.0
9163,2022-10-03,S300VL4R,ST4000DM000,4000787030016,0,117.0,137410032.0,92.0,100.0,14.0,100.0,0.0,88.0,759853269.0,29.0,62936.0,100.0,12.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,66.0,34.0,100.0,1.0,76.0,49063.0,34.0,34.0,100.0,0.0,100.0,0.0,0.0,62669.0,73030890552.0,460829059070.0
9164,2022-10-04,S300VL4R,ST4000DM000,4000787030016,0,111.0,36824592.0,92.0,100.0,14.0,100.0,0.0,88.0,762175378.0,29.0,62959.0,100.0,12.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,66.0,34.0,100.0,1.0,76.0,49063.0,34.0,34.0,100.0,0.0,100.0,0.0,0.0,62693.0,73047323592.0,461118337060.0
9165,2022-10-05,S300VL4R,ST4000DM000,4000787030016,0,119.0,219809768.0,92.0,100.0,14.0,100.0,0.0,88.0,763731094.0,29.0,62983.0,100.0,12.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,66.0,34.0,100.0,1.0,76.0,49063.0,34.0,34.0,100.0,0.0,100.0,0.0,0.0,62717.0,73067605680.0,461407641848.0
9166,2022-10-06,S300VL4R,ST4000DM000,4000787030016,0,117.0,146189040.0,92.0,100.0,14.0,100.0,0.0,88.0,764803959.0,29.0,62995.0,100.0,12.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,66.0,34.0,100.0,1.0,76.0,49063.0,34.0,34.0,100.0,0.0,100.0,0.0,0.0,62729.0,73073858304.0,461589362780.0
9167,2022-10-07,S300VL4R,ST4000DM000,4000787030016,0,117.0,124362544.0,92.0,100.0,14.0,100.0,0.0,88.0,766631795.0,29.0,63019.0,100.0,12.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,66.0,34.0,100.0,1.0,76.0,49063.0,34.0,34.0,100.0,0.0,100.0,0.0,0.0,62753.0,73082502408.0,461792094589.0
9168,2022-10-08,S300VL4R,ST4000DM000,4000787030016,0,120.0,244108064.0,92.0,100.0,14.0,100.0,0.0,88.0,767970476.0,29.0,63043.0,100.0,12.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,66.0,34.0,100.0,1.0,76.0,49063.0,34.0,34.0,100.0,0.0,100.0,0.0,0.0,62777.0,73089819848.0,462092945632.0
9169,2022-10-09,S300VL4R,ST4000DM000,4000787030016,0,101.0,3361120.0,92.0,100.0,14.0,100.0,0.0,88.0,769915159.0,29.0,63067.0,100.0,12.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,66.0,34.0,100.0,1.0,76.0,49063.0,34.0,34.0,100.0,0.0,100.0,0.0,0.0,62801.0,73103268272.0,462245754719.0
9170,2022-10-10,S300VL4R,ST4000DM000,4000787030016,0,119.0,223725000.0,92.0,100.0,14.0,100.0,0.0,88.0,771089872.0,28.0,63091.0,100.0,12.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,66.0,34.0,100.0,1.0,76.0,49063.0,34.0,34.0,100.0,0.0,100.0,0.0,0.0,62824.0,73116568256.0,462515396117.0
