,date,serial_number,model,capacity_bytes,failure,smart_1_normalized,smart_1_raw,smart_3_normalized,smart_4_normalized,smart_4_raw,smart_5_normalized,smart_5_raw,smart_7_normalized,smart_7_raw,smart_9_normalized,smart_9_raw,smart_12_normalized,smart_12_raw,smart_183_normalized,smart_183_raw,smart_184_normalized,smart_184_raw,smart_187_normalized,smart_187_raw,smart_188_normalized,smart_188_raw,smart_189_normalized,smart_189_raw,smart_190_normalized,smart_190_raw,smart_192_normalized,smart_192_raw,smart_193_normalized,smart_193_raw,smart_194_normalized,smart_194_raw,smart_197_normalized,smart_197_raw,smart_198_normalized,smart_198_raw,smart_199_raw,smart_240_raw,smart_241_raw,smart_242_raw
9253,2022-10-01,S300VL4T,ST4000DM000,4000787030016,0,120.0,240851712.0,95.0,100.0,9.0,100.0,0.0,84.0,329909689.0,28.0,63245.0,100.0,5.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,79.0,21.0,100.0,0.0,35.0,131021.0,21.0,21.0,100.0,0.0,100.0,0.0,0.0,62727.0,67582603592.0,495121058091.0
9254,2022-10-02,S300VL4T,ST4000DM000,4000787030016,0,113.0,54949704.0,95.0,100.0,9.0,100.0,0.0,84.0,331183320.0,28.0,63269.0,100.0,5.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,80.0,20.0,100.0,0.0,35.0,131027.0,20.0,20.0,100.0,0.0,100.0,0.0,0.0,62751.0,67584352872.0,495270669279.0
9255,2022-10-03,S300VL4T,ST4000DM000,4000787030016,0,117.0,119242152.0,95.0,100.0,9.0,100.0,0.0,84.0,332760978.0,28.0,63293.0,100.0,5.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,79.0,21.0,100.0,0.0,35.0,131028.0,21.0,21.0,100.0,0.0,100.0,0.0,0.0,62775.0,67585832072.0,495330398052.0
9256,2022-10-04,S300VL4T,ST4000DM000,4000787030016,0,117.0,125085480.0,95.0,100.0,9.0,100.0,0.0,84.0,333979216.0,28.0,63317.0,100.0,5.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,79.0,21.0,100.0,0.0,35.0,131028.0,21.0,21.0,100.0,0.0,100.0,0.0,0.0,62799.0,67587522064.0,495542228708.0
9257,2022-10-05,S300VL4T,ST4000DM000,4000787030016,0,116.0,110222736.0,95.0,100.0,9.0,100.0,0.0,84.0,335279945.0,28.0,63340.0,100.0,5.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,79.0,21.0,100.0,0.0,35.0,131028.0,21.0,21.0,100.0,0.0,100.0,0.0,0.0,62823.0,67588966416.0,495766964249.0
9258,2022-10-06,S300VL4T,ST4000DM000,4000787030016,0,117.0,131331320.0,95.0,100.0,9.0,100.0,0.0,85.0,336384348.0,28.0,63364.0,100.0,5.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,79.0,21.0,100.0,0.0,35.0,131029.0,21.0,21.0,100.0,0.0,100.0,0.0,0.0,62846.0,67590558904.0,495952529184.0
9259,2022-10-07,S300VL4T,ST4000DM000,4000787030016,0,112.0,43428184.0,95.0,100.0,9.0,100.0,0.0,85.0,339729147.0,28.0,63388.0,100.0,5.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,79.0,21.0,100.0,0.0,35.0,131029.0,21.0,21.0,100.0,0.0,100.0,0.0,0.0,62870.0,67592999904.0,496308001882.0
9260,2022-10-08,S300VL4T,ST4000DM000,4000787030016,0,116.0,115439536.0,95.0,100.0,9.0,100.0,0.0,85.0,341214218.0,28.0,63412.0,100.0,5.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,79.0,21.0,100.0,0.0,35.0,131029.0,21.0,21.0,100.0,0.0,100.0,0.0,0.0,62894.0,67594465992.0,496566818285.0
9261,2022-10-09,S300VL4T,ST4000DM000,4000787030016,0,117.0,127938376.0,95.0,100.0,9.0,100.0,0.0,85.0,342451959.0,28.0,63436.0,100.0,5.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,80.0,20.0,100.0,0.0,35.0,131031.0,20.0,20.0,100.0,0.0,100.0,0.0,0.0,62918.0,67595861872.0,496788405924.0
9262,2022-10-10,S300VL4T,ST4000DM000,4000787030016,0,113.0,54699416.0,95.0,100.0,9.0,100.0,0.0,85.0,343867482.0,28.0,63460.0,100.0,5.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,80.0,20.0,100.0,0.0,35.0,131074.0,20.0,20.0,100.0,0.0,100.0,0.0,0.0,62942.0,67597198248.0,496839474139.0
