,date,serial_number,model,capacity_bytes,failure,smart_1_normalized,smart_1_raw,smart_3_normalized,smart_4_normalized,smart_4_raw,smart_5_normalized,smart_5_raw,smart_7_normalized,smart_7_raw,smart_9_normalized,smart_9_raw,smart_12_normalized,smart_12_raw,smart_183_normalized,smart_183_raw,smart_184_normalized,smart_184_raw,smart_187_normalized,smart_187_raw,smart_188_normalized,smart_188_raw,smart_189_normalized,smart_189_raw,smart_190_normalized,smart_190_raw,smart_192_normalized,smart_192_raw,smart_193_normalized,smart_193_raw,smart_194_normalized,smart_194_raw,smart_197_normalized,smart_197_raw,smart_198_normalized,smart_198_raw,smart_199_raw,smart_240_raw,smart_241_raw,smart_242_raw
10081,2022-10-01,S300VL6Z,ST4000DM000,4000787030016,0,117.0,161550528.0,92.0,100.0,10.0,100.0,0.0,90.0,956246249.0,28.0,63187.0,100.0,8.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,76.0,24.0,100.0,0.0,80.0,40245.0,24.0,24.0,100.0,0.0,100.0,0.0,0.0,62977.0,75026562960.0,379796327284.0
10082,2022-10-02,S300VL6Z,ST4000DM000,4000787030016,0,111.0,30551008.0,92.0,100.0,10.0,100.0,0.0,90.0,958803015.0,28.0,63210.0,100.0,8.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,76.0,24.0,100.0,0.0,80.0,40245.0,24.0,24.0,100.0,0.0,100.0,0.0,0.0,63001.0,75028719256.0,380079355932.0
10083,2022-10-03,S300VL6Z,ST4000DM000,4000787030016,0,118.0,193258736.0,92.0,100.0,10.0,100.0,0.0,90.0,961219076.0,28.0,63246.0,100.0,8.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,77.0,23.0,100.0,0.0,80.0,40246.0,23.0,23.0,100.0,0.0,100.0,0.0,0.0,63036.0,75030991632.0,380298375885.0
10084,2022-10-04,S300VL6Z,ST4000DM000,4000787030016,0,119.0,234246968.0,92.0,100.0,10.0,100.0,0.0,90.0,962846209.0,28.0,63270.0,100.0,8.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,77.0,23.0,100.0,0.0,80.0,40246.0,23.0,23.0,100.0,0.0,100.0,0.0,0.0,63060.0,75032658088.0,380446886825.0
10085,2022-10-05,S300VL6Z,ST4000DM000,4000787030016,0,119.0,222856144.0,92.0,100.0,10.0,100.0,0.0,90.0,963853621.0,28.0,63293.0,100.0,8.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,77.0,23.0,100.0,0.0,80.0,40246.0,23.0,23.0,100.0,0.0,100.0,0.0,0.0,63084.0,75034218624.0,380672091387.0
10086,2022-10-06,S300VL6Z,ST4000DM000,4000787030016,0,117.0,149810824.0,92.0,100.0,10.0,100.0,0.0,90.0,964395114.0,28.0,63305.0,100.0,8.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,77.0,23.0,100.0,0.0,80.0,40246.0,23.0,23.0,100.0,0.0,100.0,0.0,0.0,63096.0,75034835072.0,380796848333.0
10087,2022-10-07,S300VL6Z,ST4000DM000,4000787030016,0,112.0,45751384.0,92.0,100.0,10.0,100.0,0.0,90.0,966518256.0,28.0,63329.0,100.0,8.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,77.0,23.0,100.0,0.0,80.0,40248.0,23.0,23.0,100.0,0.0,100.0,0.0,0.0,63119.0,75036048136.0,381047844822.0
10088,2022-10-08,S300VL6Z,ST4000DM000,4000787030016,0,115.0,93741632.0,92.0,100.0,10.0,100.0,0.0,90.0,968276705.0,28.0,63353.0,100.0,8.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,76.0,24.0,100.0,0.0,80.0,40248.0,24.0,24.0,100.0,0.0,100.0,0.0,0.0,63143.0,75037462160.0,381301203956.0
10089,2022-10-09,S300VL6Z,ST4000DM000,4000787030016,0,114.0,67781536.0,92.0,100.0,10.0,100.0,0.0,90.0,970610945.0,28.0,63376.0,100.0,8.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,76.0,24.0,100.0,0.0,80.0,40248.0,24.0,24.0,100.0,0.0,100.0,0.0,0.0,63167.0,75039435608.0,381614018353.0
10090,2022-10-10,S300VL6Z,ST4000DM000,4000787030016,0,118.0,183070880.0,92.0,100.0,10.0,100.0,0.0,90.0,972183304.0,28.0,63400.0,100.0,8.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,75.0,25.0,100.0,0.0,80.0,40250.0,25.0,25.0,100.0,0.0,100.0,0.0,0.0,63191.0,75041331112.0,381918112595.0
