,date,serial_number,model,capacity_bytes,failure,smart_1_normalized,smart_1_raw,smart_3_normalized,smart_4_normalized,smart_4_raw,smart_5_normalized,smart_5_raw,smart_7_normalized,smart_7_raw,smart_9_normalized,smart_9_raw,smart_12_normalized,smart_12_raw,smart_183_normalized,smart_183_raw,smart_184_normalized,smart_184_raw,smart_187_normalized,smart_187_raw,smart_188_normalized,smart_188_raw,smart_189_normalized,smart_189_raw,smart_190_normalized,smart_190_raw,smart_192_normalized,smart_192_raw,smart_193_normalized,smart_193_raw,smart_194_normalized,smart_194_raw,smart_197_normalized,smart_197_raw,smart_198_normalized,smart_198_raw,smart_199_raw,smart_240_raw,smart_241_raw,smart_242_raw
10541,2022-10-01,S300VL7F,ST4000DM000,4000787030016,0,117.0,139403416.0,92.0,100.0,17.0,100.0,0.0,90.0,953346491.0,28.0,63182.0,100.0,11.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,81.0,19.0,100.0,1.0,84.0,33433.0,19.0,19.0,100.0,0.0,100.0,0.0,0.0,63005.0,76098220568.0,377760032135.0
10542,2022-10-02,S300VL7F,ST4000DM000,4000787030016,0,111.0,31998224.0,92.0,100.0,17.0,100.0,0.0,90.0,955712143.0,28.0,63206.0,100.0,11.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,81.0,19.0,100.0,1.0,84.0,33433.0,19.0,19.0,100.0,0.0,100.0,0.0,0.0,63029.0,76100593152.0,378043318651.0
10543,2022-10-03,S300VL7F,ST4000DM000,4000787030016,0,119.0,224883936.0,92.0,100.0,17.0,100.0,0.0,90.0,958753716.0,28.0,63230.0,100.0,11.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,81.0,19.0,100.0,1.0,84.0,33433.0,19.0,19.0,100.0,0.0,100.0,0.0,0.0,63052.0,76102636864.0,378289265944.0
10544,2022-10-04,S300VL7F,ST4000DM000,4000787030016,0,119.0,216187840.0,92.0,100.0,17.0,100.0,0.0,90.0,960339073.0,28.0,63254.0,100.0,11.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,81.0,19.0,100.0,1.0,84.0,33433.0,19.0,19.0,100.0,0.0,100.0,0.0,0.0,63076.0,76104219896.0,378527922634.0
10545,2022-10-05,S300VL7F,ST4000DM000,4000787030016,0,117.0,164844616.0,92.0,100.0,17.0,100.0,0.0,90.0,961954587.0,28.0,63277.0,100.0,11.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,81.0,19.0,100.0,1.0,84.0,33433.0,19.0,19.0,100.0,0.0,100.0,0.0,0.0,63100.0,76105734568.0,378608678022.0
10546,2022-10-06,S300VL7F,ST4000DM000,4000787030016,0,118.0,186949512.0,92.0,100.0,17.0,100.0,0.0,90.0,963246738.0,28.0,63301.0,100.0,11.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,81.0,19.0,100.0,1.0,84.0,33433.0,19.0,19.0,100.0,0.0,100.0,0.0,0.0,63123.0,76107179800.0,378701477053.0
10547,2022-10-07,S300VL7F,ST4000DM000,4000787030016,0,113.0,52067488.0,92.0,100.0,17.0,100.0,0.0,90.0,964883774.0,28.0,63325.0,100.0,11.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,81.0,19.0,100.0,1.0,84.0,33433.0,19.0,19.0,100.0,0.0,100.0,0.0,0.0,63147.0,76108723824.0,378924271160.0
10548,2022-10-08,S300VL7F,ST4000DM000,4000787030016,0,103.0,6259440.0,92.0,100.0,17.0,100.0,0.0,90.0,967134346.0,28.0,63360.0,100.0,11.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,80.0,20.0,100.0,1.0,84.0,33433.0,20.0,20.0,100.0,0.0,100.0,0.0,0.0,63182.0,76111009992.0,379211022818.0
10549,2022-10-09,S300VL7F,ST4000DM000,4000787030016,0,117.0,149236488.0,92.0,100.0,17.0,100.0,0.0,90.0,967979410.0,28.0,63372.0,100.0,11.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,81.0,19.0,100.0,1.0,84.0,33433.0,19.0,19.0,100.0,0.0,100.0,0.0,0.0,63194.0,76111826992.0,379291762466.0
10550,2022-10-10,S300VL7F,ST4000DM000,4000787030016,0,119.0,221019408.0,92.0,100.0,17.0,100.0,0.0,90.0,970780177.0,28.0,63407.0,100.0,11.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,81.0,19.0,100.0,1.0,84.0,33433.0,19.0,19.0,100.0,0.0,100.0,0.0,0.0,63229.0,76117466984.0,379446737495.0
