,date,serial_number,model,capacity_bytes,failure,smart_1_normalized,smart_1_raw,smart_3_normalized,smart_4_normalized,smart_4_raw,smart_5_normalized,smart_5_raw,smart_7_normalized,smart_7_raw,smart_9_normalized,smart_9_raw,smart_12_normalized,smart_12_raw,smart_183_normalized,smart_183_raw,smart_184_normalized,smart_184_raw,smart_187_normalized,smart_187_raw,smart_188_normalized,smart_188_raw,smart_189_normalized,smart_189_raw,smart_190_normalized,smart_190_raw,smart_192_normalized,smart_192_raw,smart_193_normalized,smart_193_raw,smart_194_normalized,smart_194_raw,smart_197_normalized,smart_197_raw,smart_198_normalized,smart_198_raw,smart_199_raw,smart_240_raw,smart_241_raw,smart_242_raw
13577,2022-10-01,S300VLHX,ST4000DM000,4000787030016,0,118.0,173699680.0,92.0,100.0,13.0,100.0,0.0,87.0,665884897.0,29.0,62883.0,100.0,11.0,97.0,3.0,100.0,0.0,85.0,15.0,100.0,0.0,100.0,0.0,71.0,29.0,100.0,1.0,77.0,46047.0,29.0,29.0,100.0,8.0,100.0,8.0,0.0,62627.0,72442073400.0,462760257241.0
13578,2022-10-02,S300VLHX,ST4000DM000,4000787030016,0,113.0,55021520.0,92.0,100.0,13.0,100.0,0.0,87.0,667345608.0,29.0,62907.0,100.0,11.0,97.0,3.0,100.0,0.0,85.0,15.0,100.0,0.0,100.0,0.0,71.0,29.0,100.0,1.0,77.0,46047.0,29.0,29.0,100.0,8.0,100.0,8.0,0.0,62651.0,72454803208.0,462968399580.0
13579,2022-10-03,S300VLHX,ST4000DM000,4000787030016,0,111.0,41227680.0,92.0,100.0,13.0,100.0,0.0,87.0,669069055.0,29.0,62931.0,100.0,11.0,97.0,3.0,100.0,0.0,85.0,15.0,100.0,0.0,100.0,0.0,69.0,31.0,100.0,1.0,77.0,46047.0,31.0,31.0,100.0,8.0,100.0,8.0,0.0,62675.0,72470834576.0,463189168425.0
13580,2022-10-04,S300VLHX,ST4000DM000,4000787030016,0,116.0,113317928.0,92.0,100.0,13.0,100.0,0.0,87.0,670098159.0,29.0,62954.0,100.0,11.0,97.0,3.0,100.0,0.0,85.0,15.0,100.0,0.0,100.0,0.0,69.0,31.0,100.0,1.0,77.0,46047.0,31.0,31.0,100.0,8.0,100.0,8.0,0.0,62699.0,72486057640.0,463412846184.0
13581,2022-10-05,S300VLHX,ST4000DM000,4000787030016,0,117.0,155928240.0,92.0,100.0,13.0,100.0,0.0,88.0,672029402.0,29.0,62978.0,100.0,11.0,97.0,3.0,100.0,0.0,85.0,15.0,100.0,0.0,100.0,0.0,69.0,31.0,100.0,1.0,77.0,46047.0,31.0,31.0,100.0,8.0,100.0,8.0,0.0,62723.0,72504576960.0,463531400545.0
13582,2022-10-06,S300VLHX,ST4000DM000,4000787030016,0,117.0,149919768.0,92.0,100.0,13.0,100.0,0.0,88.0,672511358.0,29.0,62990.0,100.0,11.0,97.0,3.0,100.0,0.0,85.0,15.0,100.0,0.0,100.0,0.0,69.0,31.0,100.0,1.0,77.0,46047.0,31.0,31.0,100.0,8.0,100.0,8.0,0.0,62735.0,72510821624.0,463639434079.0
13583,2022-10-07,S300VLHX,ST4000DM000,4000787030016,0,114.0,80291768.0,92.0,100.0,13.0,100.0,0.0,88.0,673382664.0,29.0,63014.0,100.0,11.0,97.0,3.0,100.0,0.0,85.0,15.0,100.0,0.0,100.0,0.0,69.0,31.0,100.0,1.0,77.0,46047.0,31.0,31.0,100.0,8.0,100.0,8.0,0.0,62758.0,72521556736.0,463818552062.0
13584,2022-10-08,S300VLHX,ST4000DM000,4000787030016,0,114.0,81979312.0,92.0,100.0,13.0,100.0,0.0,88.0,674311625.0,29.0,63038.0,100.0,11.0,97.0,3.0,100.0,0.0,85.0,15.0,100.0,0.0,100.0,0.0,70.0,30.0,100.0,1.0,77.0,46047.0,30.0,30.0,100.0,8.0,100.0,8.0,0.0,62782.0,72529155664.0,464009397639.0
13585,2022-10-09,S300VLHX,ST4000DM000,4000787030016,0,114.0,64296176.0,92.0,100.0,13.0,100.0,0.0,88.0,675315713.0,29.0,63062.0,100.0,11.0,97.0,3.0,100.0,0.0,85.0,15.0,100.0,0.0,100.0,0.0,70.0,30.0,100.0,1.0,77.0,46047.0,30.0,30.0,100.0,8.0,100.0,8.0,0.0,62806.0,72539120264.0,464202832790.0
13586,2022-10-10,S300VLHX,ST4000DM000,4000787030016,0,116.0,111176664.0,92.0,100.0,13.0,100.0,0.0,88.0,677622126.0,28.0,63086.0,100.0,11.0,97.0,3.0,100.0,0.0,85.0,15.0,100.0,0.0,100.0,0.0,70.0,30.0,100.0,1.0,77.0,46047.0,30.0,30.0,100.0,8.0,100.0,8.0,0.0,62830.0,72551153632.0,464408235820.0
13587,2022-10-11,S300VLHX,ST4000DM000,4000787030016,0,109.0,22691840.0,92.0,100.0,13.0,100.0,0.0,88.0,679629863.0,28.0,63110.0,100.0,11.0,97.0,3.0,100.0,0.0,85.0,15.0,100.0,0.0,100.0,0.0,69.0,31.0,100.0,1.0,77.0,46047.0,31.0,31.0,100.0,8.0,100.0,8.0,0.0,62854.0,72561833424.0,464661749868.0
13588,2022-10-12,S300VLHX,ST4000DM000,4000787030016,0,115.0,88796256.0,92.0,100.0,13.0,100.0,0.0,88.0,681517994.0,28.0,63133.0,100.0,11.0,97.0,3.0,100.0,0.0,85.0,15.0,100.0,0.0,100.0,0.0,69.0,31.0,100.0,1.0,77.0,46047.0,31.0,31.0,100.0,8.0,100.0,8.0,0.0,62878.0,72577185056.0,464927236600.0
13589,2022-10-13,S300VLHX,ST4000DM000,4000787030016,0,111.0,33292080.0,92.0,100.0,13.0,100.0,0.0,88.0,683715855.0,28.0,63157.0,100.0,11.0,97.0,3.0,100.0,0.0,85.0,15.0,100.0,0.0,100.0,0.0,69.0,31.0,100.0,1.0,77.0,46047.0,31.0,31.0,100.0,8.0,100.0,8.0,0.0,62901.0,72587610032.0,465254037627.0
13590,2022-10-14,S300VLHX,ST4000DM000,4000787030016,0,119.0,222142144.0,92.0,100.0,13.0,100.0,0.0,88.0,686218540.0,28.0,63181.0,100.0,11.0,97.0,3.0,100.0,0.0,85.0,15.0,100.0,0.0,100.0,0.0,69.0,31.0,100.0,1.0,77.0,46047.0,31.0,31.0,100.0,8.0,100.0,8.0,0.0,62925.0,72597692016.0,465592917702.0
13591,2022-10-15,S300VLHX,ST4000DM000,4000787030016,0,118.0,176163768.0,92.0,100.0,13.0,100.0,0.0,88.0,688151107.0,28.0,63205.0,100.0,11.0,97.0,3.0,100.0,0.0,85.0,15.0,100.0,0.0,100.0,0.0,70.0,30.0,100.0,1.0,77.0,46047.0,30.0,30.0,100.0,8.0,100.0,8.0,0.0,62949.0,72607269616.0,465887821525.0
13592,2022-10-16,S300VLHX,ST4000DM000,4000787030016,0,111.0,40755088.0,92.0,100.0,13.0,100.0,0.0,88.0,689910881.0,28.0,63229.0,100.0,11.0,97.0,3.0,100.0,0.0,85.0,15.0,100.0,0.0,100.0,0.0,70.0,30.0,100.0,1.0,77.0,46047.0,30.0,30.0,100.0,8.0,100.0,8.0,0.0,62973.0,72623085936.0,466153940128.0
13593,2022-10-17,S300VLHX,ST4000DM000,4000787030016,0,111.0,40405704.0,92.0,100.0,14.0,100.0,0.0,88.0,693227275.0,28.0,63253.0,100.0,12.0,97.0,3.0,100.0,0.0,85.0,15.0,100.0,0.0,100.0,0.0,70.0,30.0,100.0,1.0,77.0,46048.0,30.0,30.0,100.0,8.0,100.0,8.0,0.0,62997.0,72638935920.0,466442935279.0
13594,2022-10-18,S300VLHX,ST4000DM000,4000787030016,0,116.0,107107784.0,92.0,100.0,14.0,100.0,0.0,88.0,695297444.0,28.0,63277.0,100.0,12.0,97.0,3.0,100.0,0.0,85.0,15.0,100.0,0.0,100.0,0.0,70.0,30.0,100.0,1.0,77.0,46048.0,30.0,30.0,100.0,8.0,100.0,8.0,0.0,63021.0,72647917272.0,466765369185.0
13595,2022-10-19,S300VLHX,ST4000DM000,4000787030016,0,110.0,26035216.0,92.0,100.0,14.0,100.0,0.0,88.0,696951590.0,28.0,63301.0,100.0,12.0,97.0,3.0,100.0,0.0,85.0,15.0,100.0,0.0,100.0,0.0,70.0,30.0,100.0,1.0,77.0,46048.0,30.0,30.0,100.0,8.0,100.0,8.0,0.0,63044.0,72662223208.0,466992532828.0
13596,2022-10-20,S300VLHX,ST4000DM000,4000787030016,0,102.0,4114568.0,92.0,100.0,15.0,100.0,0.0,88.0,698935993.0,28.0,63337.0,100.0,13.0,97.0,3.0,100.0,0.0,85.0,15.0,100.0,0.0,100.0,0.0,70.0,30.0,100.0,1.0,77.0,46049.0,30.0,30.0,100.0,8.0,100.0,8.0,0.0,63081.0,72679814920.0,467341176037.0
13597,2022-10-21,S300VLHX,ST4000DM000,4000787030016,0,118.0,169291432.0,92.0,100.0,15.0,100.0,0.0,88.0,699991187.0,28.0,63361.0,100.0,13.0,97.0,3.0,100.0,0.0,85.0,15.0,100.0,0.0,100.0,0.0,70.0,30.0,100.0,1.0,77.0,46049.0,30.0,30.0,100.0,8.0,100.0,8.0,0.0,63104.0,72691724312.0,467625230010.0
13598,2022-10-22,S300VLHX,ST4000DM000,4000787030016,0,119.0,210136872.0,92.0,100.0,15.0,100.0,0.0,88.0,700978216.0,28.0,63384.0,100.0,13.0,97.0,3.0,100.0,0.0,85.0,15.0,100.0,0.0,100.0,0.0,70.0,30.0,100.0,1.0,77.0,46049.0,30.0,30.0,100.0,8.0,100.0,8.0,0.0,63128.0,72705208024.0,467891689638.0
13599,2022-10-23,S300VLHX,ST4000DM000,4000787030016,0,105.0,9035928.0,92.0,100.0,15.0,100.0,0.0,88.0,702641898.0,28.0,63408.0,100.0,13.0,97.0,3.0,100.0,0.0,85.0,15.0,100.0,0.0,100.0,0.0,70.0,30.0,100.0,1.0,77.0,46049.0,30.0,30.0,100.0,8.0,100.0,8.0,0.0,63152.0,72715284560.0,468153953214.0
13600,2022-10-24,S300VLHX,ST4000DM000,4000787030016,0,115.0,95466648.0,92.0,100.0,15.0,100.0,0.0,88.0,704140865.0,28.0,63432.0,100.0,13.0,97.0,3.0,100.0,0.0,85.0,15.0,100.0,0.0,100.0,0.0,70.0,30.0,100.0,1.0,77.0,46049.0,30.0,30.0,100.0,8.0,100.0,8.0,0.0,63176.0,72725117128.0,468344249010.0
13601,2022-10-25,S300VLHX,ST4000DM000,4000787030016,0,119.0,203973688.0,92.0,100.0,15.0,100.0,0.0,88.0,705096679.0,28.0,63456.0,100.0,13.0,97.0,3.0,100.0,0.0,85.0,15.0,100.0,0.0,100.0,0.0,70.0,30.0,100.0,1.0,77.0,46049.0,30.0,30.0,100.0,8.0,100.0,8.0,0.0,63200.0,72738354232.0,468574527175.0
13602,2022-10-26,S300VLHX,ST4000DM000,4000787030016,0,117.0,122805192.0,92.0,100.0,15.0,100.0,0.0,88.0,706880467.0,28.0,63480.0,100.0,13.0,97.0,3.0,100.0,0.0,85.0,15.0,100.0,0.0,100.0,0.0,70.0,30.0,100.0,1.0,77.0,46049.0,30.0,30.0,100.0,8.0,100.0,8.0,0.0,63223.0,72752279048.0,468689228695.0
13603,2022-10-27,S300VLHX,ST4000DM000,4000787030016,0,114.0,63621360.0,92.0,100.0,15.0,100.0,0.0,88.0,707820066.0,28.0,63504.0,100.0,13.0,97.0,3.0,100.0,0.0,85.0,15.0,100.0,0.0,100.0,0.0,69.0,31.0,100.0,1.0,77.0,46049.0,31.0,31.0,100.0,8.0,100.0,8.0,0.0,63247.0,72768287168.0,468877301665.0
13604,2022-10-28,S300VLHX,ST4000DM000,4000787030016,0,119.0,207659136.0,92.0,100.0,15.0,100.0,0.0,88.0,708728485.0,28.0,63527.0,100.0,13.0,97.0,3.0,100.0,0.0,85.0,15.0,100.0,0.0,100.0,0.0,70.0,30.0,100.0,1.0,77.0,46049.0,30.0,30.0,100.0,8.0,100.0,8.0,0.0,63271.0,72779904216.0,469074125895.0
13605,2022-10-29,S300VLHX,ST4000DM000,4000787030016,0,117.0,146830312.0,92.0,100.0,15.0,100.0,0.0,88.0,710695996.0,28.0,63551.0,100.0,13.0,97.0,3.0,100.0,0.0,85.0,15.0,100.0,0.0,100.0,0.0,70.0,30.0,100.0,1.0,77.0,46049.0,30.0,30.0,100.0,8.0,100.0,8.0,0.0,63295.0,72792498232.0,469319872066.0
13606,2022-10-30,S300VLHX,ST4000DM000,4000787030016,0,118.0,170322720.0,92.0,100.0,15.0,100.0,0.0,88.0,712083972.0,28.0,63575.0,100.0,13.0,97.0,3.0,100.0,0.0,85.0,15.0,100.0,0.0,100.0,0.0,70.0,30.0,100.0,1.0,77.0,46049.0,30.0,30.0,100.0,8.0,100.0,8.0,0.0,63319.0,72808934232.0,469523586111.0
13607,2022-10-31,S300VLHX,ST4000DM000,4000787030016,0,117.0,138794168.0,92.0,100.0,15.0,100.0,0.0,88.0,713970862.0,28.0,63599.0,100.0,13.0,97.0,3.0,100.0,0.0,85.0,15.0,100.0,0.0,100.0,0.0,69.0,31.0,100.0,1.0,77.0,46049.0,31.0,31.0,100.0,8.0,100.0,8.0,0.0,63343.0,72819618184.0,469756247641.0
13608,2022-11-01,S300VLHX,ST4000DM000,4000787030016,0,103.0,5648192.0,92.0,100.0,15.0,100.0,0.0,88.0,714804367.0,28.0,63623.0,100.0,13.0,97.0,3.0,100.0,0.0,85.0,15.0,100.0,0.0,100.0,0.0,69.0,31.0,100.0,1.0,77.0,46049.0,31.0,31.0,100.0,8.0,100.0,8.0,0.0,63366.0,72830986544.0,469956926450.0
13609,2022-11-02,S300VLHX,ST4000DM000,4000787030016,0,115.0,93668000.0,92.0,100.0,15.0,100.0,0.0,88.0,716295834.0,28.0,63646.0,100.0,13.0,97.0,3.0,100.0,0.0,85.0,15.0,100.0,0.0,100.0,0.0,70.0,30.0,100.0,1.0,77.0,46049.0,30.0,30.0,100.0,8.0,100.0,8.0,0.0,63390.0,72847140152.0,470070435742.0
13610,2022-11-03,S300VLHX,ST4000DM000,4000787030016,0,117.0,163565880.0,92.0,100.0,15.0,100.0,0.0,88.0,716979525.0,28.0,63670.0,100.0,13.0,97.0,3.0,100.0,0.0,82.0,18.0,100.0,0.0,100.0,0.0,70.0,30.0,100.0,1.0,77.0,46049.0,30.0,30.0,100.0,16.0,100.0,16.0,0.0,63414.0,72862007040.0,470165384148.0
13611,2022-11-04,S300VLHX,ST4000DM000,4000787030016,0,114.0,63802648.0,92.0,100.0,15.0,100.0,0.0,88.0,717656090.0,28.0,63694.0,100.0,13.0,97.0,3.0,100.0,0.0,82.0,18.0,100.0,0.0,100.0,0.0,69.0,31.0,100.0,1.0,77.0,46049.0,31.0,31.0,100.0,16.0,100.0,16.0,0.0,63438.0,72878477784.0,470261874134.0
13612,2022-11-05,S300VLHX,ST4000DM000,4000787030016,0,118.0,181062008.0,92.0,100.0,15.0,100.0,0.0,88.0,718342986.0,28.0,63718.0,100.0,13.0,97.0,3.0,100.0,0.0,82.0,18.0,100.0,0.0,100.0,0.0,70.0,30.0,100.0,1.0,77.0,46049.0,30.0,30.0,100.0,16.0,100.0,16.0,0.0,63461.0,72899526416.0,470362635267.0
13613,2022-11-06,S300VLHX,ST4000DM000,4000787030016,0,119.0,208794104.0,92.0,100.0,15.0,100.0,0.0,88.0,719694231.0,28.0,63741.0,100.0,13.0,97.0,3.0,100.0,0.0,82.0,18.0,100.0,0.0,100.0,0.0,70.0,30.0,100.0,1.0,77.0,46049.0,30.0,30.0,100.0,16.0,100.0,16.0,0.0,63485.0,72928305888.0,470582456873.0
