,date,serial_number,model,capacity_bytes,failure,smart_1_normalized,smart_1_raw,smart_3_normalized,smart_4_normalized,smart_4_raw,smart_5_normalized,smart_5_raw,smart_7_normalized,smart_7_raw,smart_9_normalized,smart_9_raw,smart_12_normalized,smart_12_raw,smart_183_normalized,smart_183_raw,smart_184_normalized,smart_184_raw,smart_187_normalized,smart_187_raw,smart_188_normalized,smart_188_raw,smart_189_normalized,smart_189_raw,smart_190_normalized,smart_190_raw,smart_192_normalized,smart_192_raw,smart_193_normalized,smart_193_raw,smart_194_normalized,smart_194_raw,smart_197_normalized,smart_197_raw,smart_198_normalized,smart_198_raw,smart_199_raw,smart_240_raw,smart_241_raw,smart_242_raw
20385,2022-10-01,S300WCSA,ST4000DM000,4000787030016,0,114.0,76061456.0,97.0,100.0,7.0,100.0,0.0,87.0,646696715.0,29.0,62879.0,100.0,3.0,100.0,0.0,100.0,0.0,82.0,18.0,100.0,0.0,100.0,0.0,71.0,29.0,100.0,0.0,77.0,47183.0,29.0,29.0,100.0,32.0,100.0,32.0,0.0,62616.0,73912669856.0,474031956174.0
20386,2022-10-02,S300WCSA,ST4000DM000,4000787030016,0,118.0,196951704.0,97.0,100.0,7.0,100.0,0.0,87.0,649339142.0,29.0,62903.0,100.0,3.0,100.0,0.0,100.0,0.0,82.0,18.0,100.0,0.0,100.0,0.0,71.0,29.0,100.0,0.0,77.0,47183.0,29.0,29.0,100.0,32.0,100.0,32.0,0.0,62640.0,73925166392.0,474270985219.0
20387,2022-10-03,S300WCSA,ST4000DM000,4000787030016,0,114.0,61127920.0,97.0,100.0,7.0,100.0,0.0,87.0,651774684.0,29.0,62926.0,100.0,3.0,100.0,0.0,100.0,0.0,81.0,19.0,100.0,0.0,100.0,0.0,71.0,29.0,100.0,0.0,77.0,47183.0,29.0,29.0,100.0,32.0,100.0,32.0,0.0,62664.0,73941094392.0,474501393647.0
20388,2022-10-04,S300WCSA,ST4000DM000,4000787030016,0,119.0,220316696.0,97.0,100.0,7.0,100.0,0.0,87.0,654194734.0,29.0,62950.0,100.0,3.0,100.0,0.0,100.0,0.0,81.0,19.0,100.0,0.0,100.0,0.0,71.0,29.0,100.0,0.0,77.0,47183.0,29.0,29.0,100.0,32.0,100.0,32.0,0.0,62687.0,73954330032.0,474763677895.0
20389,2022-10-05,S300WCSA,ST4000DM000,4000787030016,0,117.0,133221880.0,97.0,100.0,7.0,100.0,0.0,87.0,657525597.0,29.0,62974.0,100.0,3.0,100.0,0.0,100.0,0.0,81.0,19.0,100.0,0.0,100.0,0.0,70.0,30.0,100.0,0.0,77.0,47183.0,30.0,30.0,100.0,32.0,100.0,32.0,0.0,62711.0,73975307904.0,475030917938.0
20390,2022-10-06,S300WCSA,ST4000DM000,4000787030016,0,118.0,169156280.0,97.0,100.0,7.0,100.0,0.0,87.0,659942555.0,29.0,62997.0,100.0,3.0,100.0,0.0,100.0,0.0,80.0,20.0,100.0,0.0,100.0,0.0,71.0,29.0,100.0,0.0,77.0,47183.0,29.0,29.0,100.0,32.0,100.0,32.0,0.0,62735.0,73987098824.0,475274888426.0
20391,2022-10-07,S300WCSA,ST4000DM000,4000787030016,0,111.0,35641304.0,97.0,100.0,7.0,100.0,0.0,87.0,662671859.0,29.0,63021.0,100.0,3.0,100.0,0.0,100.0,0.0,80.0,20.0,100.0,0.0,100.0,0.0,71.0,29.0,100.0,0.0,77.0,47183.0,29.0,29.0,100.0,32.0,100.0,32.0,0.0,62758.0,73999891536.0,475439770532.0
20392,2022-10-08,S300WCSA,ST4000DM000,4000787030016,0,115.0,99629424.0,97.0,100.0,7.0,100.0,0.0,87.0,665873063.0,29.0,63045.0,100.0,3.0,100.0,0.0,100.0,0.0,80.0,20.0,100.0,0.0,100.0,0.0,71.0,29.0,100.0,0.0,77.0,47183.0,29.0,29.0,100.0,32.0,100.0,32.0,0.0,62782.0,74008810720.0,475638937016.0
20393,2022-10-09,S300WCSA,ST4000DM000,4000787030016,0,118.0,171196256.0,97.0,100.0,7.0,100.0,0.0,87.0,668551509.0,29.0,63068.0,100.0,3.0,100.0,0.0,100.0,0.0,80.0,20.0,100.0,0.0,100.0,0.0,71.0,29.0,100.0,0.0,77.0,47183.0,29.0,29.0,100.0,32.0,100.0,32.0,0.0,62806.0,74021596760.0,475868492605.0
20394,2022-10-10,S300WCSA,ST4000DM000,4000787030016,0,119.0,233868552.0,97.0,100.0,7.0,100.0,0.0,87.0,670788704.0,28.0,63092.0,100.0,3.0,100.0,0.0,100.0,0.0,80.0,20.0,100.0,0.0,100.0,0.0,71.0,29.0,100.0,0.0,77.0,47183.0,29.0,29.0,100.0,32.0,100.0,32.0,0.0,62829.0,74032071720.0,476054606702.0
20395,2022-10-11,S300WCSA,ST4000DM000,4000787030016,0,110.0,29034048.0,97.0,100.0,7.0,100.0,0.0,88.0,673388469.0,28.0,63116.0,100.0,3.0,100.0,0.0,100.0,0.0,80.0,20.0,100.0,0.0,100.0,0.0,71.0,29.0,100.0,0.0,77.0,47183.0,29.0,29.0,100.0,32.0,100.0,32.0,0.0,62853.0,74041722152.0,476370660088.0
20396,2022-10-12,S300WCSA,ST4000DM000,4000787030016,0,117.0,118056896.0,97.0,100.0,7.0,100.0,0.0,88.0,677179253.0,28.0,63140.0,100.0,3.0,100.0,0.0,100.0,0.0,80.0,20.0,100.0,0.0,100.0,0.0,70.0,30.0,100.0,0.0,77.0,47184.0,30.0,30.0,100.0,32.0,100.0,32.0,0.0,62877.0,74052727520.0,476725815209.0
20397,2022-10-13,S300WCSA,ST4000DM000,4000787030016,0,119.0,217659432.0,97.0,100.0,7.0,100.0,0.0,88.0,680846522.0,28.0,63163.0,100.0,3.0,100.0,0.0,100.0,0.0,80.0,20.0,100.0,0.0,100.0,0.0,70.0,30.0,100.0,0.0,77.0,47184.0,30.0,30.0,100.0,32.0,100.0,32.0,0.0,62901.0,74064623504.0,477046163418.0
20398,2022-10-14,S300WCSA,ST4000DM000,4000787030016,0,120.0,235813592.0,97.0,100.0,7.0,100.0,0.0,88.0,684170839.0,28.0,63187.0,100.0,3.0,100.0,0.0,100.0,0.0,80.0,20.0,100.0,0.0,100.0,0.0,70.0,30.0,100.0,0.0,77.0,47184.0,30.0,30.0,100.0,32.0,100.0,32.0,0.0,62924.0,74077710792.0,477313537954.0
20399,2022-10-15,S300WCSA,ST4000DM000,4000787030016,0,111.0,36786768.0,97.0,100.0,7.0,100.0,0.0,88.0,687265208.0,28.0,63211.0,100.0,3.0,100.0,0.0,100.0,0.0,80.0,20.0,100.0,0.0,100.0,0.0,71.0,29.0,100.0,0.0,77.0,47184.0,29.0,29.0,100.0,32.0,100.0,32.0,0.0,62948.0,74086917032.0,477459948282.0
20400,2022-10-16,S300WCSA,ST4000DM000,4000787030016,0,119.0,212634448.0,97.0,100.0,7.0,100.0,0.0,88.0,690456609.0,28.0,63235.0,100.0,3.0,100.0,0.0,100.0,0.0,80.0,20.0,100.0,0.0,100.0,0.0,70.0,30.0,100.0,0.0,77.0,47184.0,30.0,30.0,100.0,24.0,100.0,24.0,0.0,62972.0,74097489464.0,477769624084.0
20401,2022-10-17,S300WCSA,ST4000DM000,4000787030016,0,104.0,7222416.0,97.0,100.0,7.0,100.0,0.0,88.0,694406712.0,28.0,63258.0,100.0,3.0,100.0,0.0,100.0,0.0,80.0,20.0,100.0,0.0,100.0,0.0,70.0,30.0,100.0,0.0,77.0,47184.0,30.0,30.0,100.0,24.0,100.0,24.0,0.0,62996.0,74109394424.0,478132766898.0
20402,2022-10-18,S300WCSA,ST4000DM000,4000787030016,0,119.0,201364592.0,97.0,100.0,7.0,100.0,0.0,88.0,697440988.0,28.0,63282.0,100.0,3.0,100.0,0.0,100.0,0.0,80.0,20.0,100.0,0.0,100.0,0.0,70.0,30.0,100.0,0.0,77.0,47184.0,30.0,30.0,100.0,24.0,100.0,24.0,0.0,63019.0,74118574800.0,478438011194.0
20403,2022-10-19,S300WCSA,ST4000DM000,4000787030016,0,111.0,32331096.0,97.0,100.0,7.0,100.0,0.0,88.0,701086886.0,28.0,63306.0,100.0,3.0,100.0,0.0,100.0,0.0,80.0,20.0,100.0,0.0,100.0,0.0,70.0,30.0,100.0,0.0,77.0,47184.0,30.0,30.0,100.0,24.0,100.0,24.0,0.0,63043.0,74129298920.0,478799739021.0
20404,2022-10-20,S300WCSA,ST4000DM000,4000787030016,0,114.0,68301736.0,97.0,100.0,7.0,100.0,0.0,88.0,703473559.0,28.0,63330.0,100.0,3.0,100.0,0.0,100.0,0.0,80.0,20.0,100.0,0.0,100.0,0.0,71.0,29.0,100.0,0.0,77.0,47185.0,29.0,29.0,100.0,24.0,100.0,24.0,0.0,63067.0,74139062664.0,479095340579.0
20405,2022-10-21,S300WCSA,ST4000DM000,4000787030016,0,113.0,56180128.0,97.0,100.0,7.0,100.0,0.0,88.0,705927941.0,28.0,63353.0,100.0,3.0,100.0,0.0,100.0,0.0,80.0,20.0,100.0,0.0,100.0,0.0,71.0,29.0,100.0,0.0,77.0,47185.0,29.0,29.0,100.0,24.0,100.0,24.0,0.0,63090.0,74148880872.0,479292633213.0
20406,2022-10-22,S300WCSA,ST4000DM000,4000787030016,0,119.0,229331712.0,97.0,100.0,7.0,100.0,0.0,88.0,709005615.0,28.0,63377.0,100.0,3.0,100.0,0.0,100.0,0.0,80.0,20.0,100.0,0.0,100.0,0.0,71.0,29.0,100.0,0.0,77.0,47185.0,29.0,29.0,100.0,24.0,100.0,24.0,0.0,63114.0,74160706736.0,479377019307.0
