,date,serial_number,model,capacity_bytes,failure,smart_1_normalized,smart_1_raw,smart_3_normalized,smart_4_normalized,smart_4_raw,smart_5_normalized,smart_5_raw,smart_7_normalized,smart_7_raw,smart_9_normalized,smart_9_raw,smart_12_normalized,smart_12_raw,smart_183_normalized,smart_183_raw,smart_184_normalized,smart_184_raw,smart_187_normalized,smart_187_raw,smart_188_normalized,smart_188_raw,smart_189_normalized,smart_189_raw,smart_190_normalized,smart_190_raw,smart_192_normalized,smart_192_raw,smart_193_normalized,smart_193_raw,smart_194_normalized,smart_194_raw,smart_197_normalized,smart_197_raw,smart_198_normalized,smart_198_raw,smart_199_raw,smart_240_raw,smart_241_raw,smart_242_raw
23221,2022-10-01,S300WD56,ST4000DM000,4000787030016,0,112.0,46382120.0,92.0,100.0,21.0,100.0,8.0,74.0,27239722.0,28.0,63188.0,100.0,18.0,43.0,57.0,100.0,0.0,8.0,92.0,100.0,0.0,100.0,0.0,73.0,27.0,100.0,2.0,84.0,33925.0,27.0,27.0,100.0,48.0,100.0,48.0,0.0,63008.0,76458703480.0,430491698263.0
23222,2022-10-02,S300WD56,ST4000DM000,4000787030016,0,114.0,80792688.0,92.0,100.0,21.0,100.0,8.0,75.0,31003416.0,28.0,63224.0,100.0,18.0,43.0,57.0,100.0,0.0,8.0,92.0,100.0,0.0,100.0,0.0,73.0,27.0,100.0,2.0,84.0,33925.0,27.0,27.0,100.0,48.0,100.0,48.0,0.0,63044.0,76462514800.0,430914549809.0
23223,2022-10-03,S300WD56,ST4000DM000,4000787030016,0,111.0,36988720.0,92.0,100.0,21.0,100.0,8.0,75.0,33854243.0,28.0,63247.0,100.0,18.0,43.0,57.0,100.0,0.0,8.0,92.0,100.0,0.0,100.0,0.0,72.0,28.0,100.0,2.0,84.0,33925.0,28.0,28.0,100.0,48.0,100.0,48.0,0.0,63068.0,76464365000.0,431196342417.0
23224,2022-10-04,S300WD56,ST4000DM000,4000787030016,0,116.0,108333816.0,92.0,100.0,21.0,100.0,8.0,75.0,36812076.0,28.0,63271.0,100.0,18.0,43.0,57.0,100.0,0.0,8.0,92.0,100.0,0.0,100.0,0.0,72.0,28.0,100.0,2.0,84.0,33925.0,28.0,28.0,100.0,48.0,100.0,48.0,0.0,63091.0,76466271512.0,431500449217.0
23225,2022-10-05,S300WD56,ST4000DM000,4000787030016,0,110.0,27419016.0,92.0,100.0,21.0,100.0,8.0,75.0,40480848.0,28.0,63295.0,100.0,18.0,43.0,57.0,100.0,0.0,8.0,92.0,100.0,0.0,100.0,0.0,72.0,28.0,100.0,2.0,84.0,33925.0,28.0,28.0,100.0,48.0,100.0,48.0,0.0,63115.0,76468452448.0,431841256493.0
23226,2022-10-06,S300WD56,ST4000DM000,4000787030016,0,114.0,70927680.0,92.0,100.0,21.0,100.0,8.0,76.0,44872697.0,28.0,63318.0,100.0,18.0,43.0,57.0,100.0,0.0,8.0,92.0,100.0,0.0,100.0,0.0,72.0,28.0,100.0,2.0,84.0,33925.0,28.0,28.0,100.0,48.0,100.0,48.0,0.0,63139.0,76470609920.0,432162990253.0
23227,2022-10-07,S300WD56,ST4000DM000,4000787030016,0,117.0,135923448.0,92.0,100.0,21.0,100.0,8.0,76.0,48187698.0,28.0,63342.0,100.0,18.0,43.0,57.0,100.0,0.0,8.0,92.0,100.0,0.0,100.0,0.0,74.0,26.0,100.0,2.0,84.0,33925.0,26.0,26.0,100.0,48.0,100.0,48.0,0.0,63162.0,76472370656.0,432277855516.0
23228,2022-10-08,S300WD56,ST4000DM000,4000787030016,0,119.0,495224.0,92.0,100.0,21.0,100.0,8.0,77.0,51734179.0,28.0,63365.0,100.0,18.0,43.0,57.0,100.0,0.0,8.0,92.0,100.0,0.0,100.0,0.0,75.0,25.0,100.0,2.0,84.0,33925.0,25.0,25.0,100.0,48.0,100.0,48.0,0.0,63186.0,76473960920.0,432478847665.0
23229,2022-10-09,S300WD56,ST4000DM000,4000787030016,0,114.0,67651808.0,92.0,100.0,21.0,100.0,8.0,77.0,54678354.0,28.0,63389.0,100.0,18.0,43.0,57.0,100.0,0.0,8.0,92.0,100.0,0.0,100.0,0.0,77.0,23.0,100.0,2.0,84.0,33925.0,23.0,23.0,100.0,48.0,100.0,48.0,0.0,63209.0,76475921544.0,432749741309.0
23230,2022-10-10,S300WD56,ST4000DM000,4000787030016,0,116.0,111227984.0,92.0,100.0,21.0,100.0,8.0,77.0,57667651.0,28.0,63413.0,100.0,18.0,43.0,57.0,100.0,0.0,8.0,92.0,100.0,0.0,100.0,0.0,75.0,25.0,100.0,2.0,84.0,33925.0,25.0,25.0,100.0,48.0,100.0,48.0,0.0,63233.0,76478173840.0,433044412285.0
