,date,serial_number,model,capacity_bytes,failure,smart_1_normalized,smart_1_raw,smart_3_normalized,smart_4_normalized,smart_4_raw,smart_5_normalized,smart_5_raw,smart_7_normalized,smart_7_raw,smart_9_normalized,smart_9_raw,smart_12_normalized,smart_12_raw,smart_183_normalized,smart_183_raw,smart_184_normalized,smart_184_raw,smart_187_normalized,smart_187_raw,smart_188_normalized,smart_188_raw,smart_189_normalized,smart_189_raw,smart_190_normalized,smart_190_raw,smart_192_normalized,smart_192_raw,smart_193_normalized,smart_193_raw,smart_194_normalized,smart_194_raw,smart_197_normalized,smart_197_raw,smart_198_normalized,smart_198_raw,smart_199_raw,smart_240_raw,smart_241_raw,smart_242_raw
25705,2022-10-01,S300WDBV,ST4000DM000,4000787030016,0,112.0,48611544.0,92.0,100.0,16.0,88.0,15744.0,88.0,704011083.0,29.0,62877.0,100.0,14.0,99.0,1.0,100.0,0.0,43.0,57.0,100.0,2.0,100.0,0.0,66.0,34.0,100.0,2.0,77.0,47579.0,34.0,34.0,100.0,0.0,100.0,0.0,0.0,62613.0,71560409840.0,480901164291.0
25706,2022-10-02,S300WDBV,ST4000DM000,4000787030016,0,117.0,133645000.0,92.0,100.0,16.0,88.0,15744.0,88.0,705266241.0,29.0,62901.0,100.0,14.0,99.0,1.0,100.0,0.0,43.0,57.0,100.0,2.0,100.0,0.0,66.0,34.0,100.0,2.0,77.0,47579.0,34.0,34.0,100.0,0.0,100.0,0.0,0.0,62637.0,71575847176.0,481095847391.0
25707,2022-10-03,S300WDBV,ST4000DM000,4000787030016,0,120.0,837592.0,92.0,100.0,16.0,88.0,15744.0,88.0,706401762.0,29.0,62924.0,100.0,14.0,99.0,1.0,100.0,0.0,43.0,57.0,100.0,2.0,100.0,0.0,66.0,34.0,100.0,2.0,77.0,47579.0,34.0,34.0,100.0,0.0,100.0,0.0,0.0,62661.0,71592020064.0,481286164382.0
25708,2022-10-04,S300WDBV,ST4000DM000,4000787030016,0,118.0,190802928.0,92.0,100.0,16.0,88.0,15744.0,88.0,708381555.0,29.0,62948.0,100.0,14.0,99.0,1.0,100.0,0.0,43.0,57.0,100.0,2.0,100.0,0.0,66.0,34.0,100.0,2.0,77.0,47579.0,34.0,34.0,100.0,0.0,100.0,0.0,0.0,62684.0,71606046384.0,481399090330.0
25709,2022-10-05,S300WDBV,ST4000DM000,4000787030016,0,114.0,74586192.0,92.0,100.0,16.0,88.0,15744.0,88.0,709373994.0,29.0,62972.0,100.0,14.0,99.0,1.0,100.0,0.0,43.0,57.0,100.0,2.0,100.0,0.0,66.0,34.0,100.0,2.0,77.0,47579.0,34.0,34.0,100.0,0.0,100.0,0.0,0.0,62708.0,71624078448.0,481593159947.0
25710,2022-10-06,S300WDBV,ST4000DM000,4000787030016,0,110.0,28099064.0,92.0,100.0,16.0,88.0,15744.0,88.0,710414512.0,29.0,62995.0,100.0,14.0,99.0,1.0,100.0,0.0,43.0,57.0,100.0,2.0,100.0,0.0,66.0,34.0,100.0,2.0,77.0,47579.0,34.0,34.0,100.0,0.0,100.0,0.0,0.0,62731.0,71638911152.0,481793717449.0
25711,2022-10-07,S300WDBV,ST4000DM000,4000787030016,0,116.0,103582352.0,92.0,100.0,16.0,88.0,15744.0,88.0,711361145.0,29.0,63019.0,100.0,14.0,99.0,1.0,100.0,0.0,43.0,57.0,100.0,2.0,100.0,0.0,66.0,34.0,100.0,2.0,77.0,47579.0,34.0,34.0,100.0,0.0,100.0,0.0,0.0,62755.0,71657497328.0,481969259566.0
25712,2022-10-08,S300WDBV,ST4000DM000,4000787030016,0,117.0,130233448.0,92.0,100.0,16.0,88.0,15744.0,88.0,713073066.0,29.0,63043.0,100.0,14.0,99.0,1.0,100.0,0.0,43.0,57.0,100.0,2.0,100.0,0.0,66.0,34.0,100.0,2.0,77.0,47579.0,34.0,34.0,100.0,0.0,100.0,0.0,0.0,62779.0,71672082408.0,482203176566.0
25713,2022-10-09,S300WDBV,ST4000DM000,4000787030016,0,117.0,158315624.0,92.0,100.0,16.0,88.0,15744.0,88.0,714750070.0,29.0,63066.0,100.0,14.0,99.0,1.0,100.0,0.0,43.0,57.0,100.0,2.0,100.0,0.0,66.0,34.0,100.0,2.0,77.0,47579.0,34.0,34.0,100.0,0.0,100.0,0.0,0.0,62803.0,71685816512.0,482429650255.0
25714,2022-10-10,S300WDBV,ST4000DM000,4000787030016,0,120.0,675672.0,92.0,100.0,16.0,88.0,15744.0,88.0,715362697.0,28.0,63078.0,100.0,14.0,99.0,1.0,100.0,0.0,43.0,57.0,100.0,2.0,100.0,0.0,67.0,33.0,100.0,2.0,77.0,47579.0,33.0,33.0,100.0,0.0,100.0,0.0,0.0,62814.0,71693186272.0,482538547829.0
25715,2022-10-11,S300WDBV,ST4000DM000,4000787030016,0,119.0,215621128.0,92.0,100.0,16.0,88.0,15744.0,88.0,717708735.0,28.0,63114.0,100.0,14.0,99.0,1.0,100.0,0.0,43.0,57.0,100.0,2.0,100.0,0.0,66.0,34.0,100.0,2.0,77.0,47579.0,34.0,34.0,100.0,0.0,100.0,0.0,0.0,62850.0,71709430584.0,482772860289.0
