,date,serial_number,model,capacity_bytes,failure,smart_1_normalized,smart_1_raw,smart_3_normalized,smart_4_normalized,smart_4_raw,smart_5_normalized,smart_5_raw,smart_7_normalized,smart_7_raw,smart_9_normalized,smart_9_raw,smart_12_normalized,smart_12_raw,smart_183_normalized,smart_183_raw,smart_184_normalized,smart_184_raw,smart_187_normalized,smart_187_raw,smart_188_normalized,smart_188_raw,smart_189_normalized,smart_189_raw,smart_190_normalized,smart_190_raw,smart_192_normalized,smart_192_raw,smart_193_normalized,smart_193_raw,smart_194_normalized,smart_194_raw,smart_197_normalized,smart_197_raw,smart_198_normalized,smart_198_raw,smart_199_raw,smart_240_raw,smart_241_raw,smart_242_raw
46132,2022-10-01,S300XAAX,ST4000DM000,4000787030016,0,112.0,45447032.0,92.0,100.0,9.0,100.0,16.0,88.0,731627045.0,29.0,62286.0,100.0,9.0,97.0,3.0,100.0,0.0,64.0,36.0,100.0,0.0,100.0,0.0,69.0,31.0,100.0,1.0,90.0,20579.0,31.0,31.0,100.0,40.0,100.0,40.0,0.0,62172.0,72525045072.0,366276157238.0
46133,2022-10-02,S300XAAX,ST4000DM000,4000787030016,0,115.0,91526072.0,92.0,100.0,9.0,100.0,16.0,88.0,732812018.0,29.0,62310.0,100.0,9.0,97.0,3.0,100.0,0.0,64.0,36.0,100.0,0.0,100.0,0.0,69.0,31.0,100.0,1.0,90.0,20579.0,31.0,31.0,100.0,40.0,100.0,40.0,0.0,62195.0,72527057616.0,366471999878.0
46134,2022-10-03,S300XAAX,ST4000DM000,4000787030016,0,115.0,99934864.0,92.0,100.0,9.0,100.0,16.0,88.0,733945162.0,29.0,62333.0,100.0,9.0,97.0,3.0,100.0,0.0,64.0,36.0,100.0,0.0,100.0,0.0,69.0,31.0,100.0,1.0,90.0,20579.0,31.0,31.0,100.0,40.0,100.0,40.0,0.0,62219.0,72528287336.0,366646067426.0
46135,2022-10-04,S300XAAX,ST4000DM000,4000787030016,0,119.0,229055280.0,92.0,100.0,9.0,100.0,16.0,88.0,735453315.0,29.0,62357.0,100.0,9.0,97.0,3.0,100.0,0.0,64.0,36.0,100.0,0.0,100.0,0.0,69.0,31.0,100.0,1.0,90.0,20579.0,31.0,31.0,100.0,40.0,100.0,40.0,0.0,62243.0,72529758192.0,366856920342.0
46136,2022-10-05,S300XAAX,ST4000DM000,4000787030016,0,115.0,91792056.0,92.0,100.0,9.0,100.0,16.0,88.0,737455075.0,29.0,62381.0,100.0,9.0,97.0,3.0,100.0,0.0,64.0,36.0,100.0,0.0,100.0,0.0,69.0,31.0,100.0,1.0,90.0,20579.0,31.0,31.0,100.0,40.0,100.0,40.0,0.0,62266.0,72531489192.0,367071019796.0
46137,2022-10-06,S300XAAX,ST4000DM000,4000787030016,0,117.0,121315872.0,92.0,100.0,9.0,100.0,16.0,88.0,740593254.0,29.0,62405.0,100.0,9.0,97.0,3.0,100.0,0.0,64.0,36.0,100.0,0.0,100.0,0.0,69.0,31.0,100.0,1.0,90.0,20579.0,31.0,31.0,100.0,40.0,100.0,40.0,0.0,62290.0,72533476440.0,367366344801.0
46138,2022-10-07,S300XAAX,ST4000DM000,4000787030016,0,104.0,6458648.0,92.0,100.0,9.0,100.0,16.0,88.0,742092695.0,29.0,62428.0,100.0,9.0,97.0,3.0,100.0,0.0,64.0,36.0,100.0,0.0,100.0,0.0,69.0,31.0,100.0,1.0,90.0,20579.0,31.0,31.0,100.0,40.0,100.0,40.0,0.0,62314.0,72534814864.0,367626003533.0
46139,2022-10-08,S300XAAX,ST4000DM000,4000787030016,0,119.0,231789376.0,92.0,100.0,9.0,100.0,16.0,88.0,744663703.0,29.0,62452.0,100.0,9.0,97.0,3.0,100.0,0.0,64.0,36.0,100.0,0.0,100.0,0.0,69.0,31.0,100.0,1.0,90.0,20579.0,31.0,31.0,100.0,40.0,100.0,40.0,0.0,62338.0,72535937112.0,367721902387.0
46140,2022-10-09,S300XAAX,ST4000DM000,4000787030016,0,119.0,232678032.0,92.0,100.0,9.0,100.0,16.0,88.0,746048323.0,29.0,62475.0,100.0,9.0,97.0,3.0,100.0,0.0,64.0,36.0,100.0,0.0,100.0,0.0,68.0,32.0,100.0,1.0,90.0,20579.0,32.0,32.0,100.0,40.0,100.0,40.0,0.0,62361.0,72537546632.0,368032182266.0
46141,2022-10-10,S300XAAX,ST4000DM000,4000787030016,0,115.0,89018176.0,92.0,100.0,9.0,100.0,16.0,88.0,747522550.0,29.0,62499.0,100.0,9.0,97.0,3.0,100.0,0.0,64.0,36.0,100.0,0.0,100.0,0.0,69.0,31.0,100.0,1.0,90.0,20579.0,31.0,31.0,100.0,40.0,100.0,40.0,0.0,62385.0,72539096704.0,368301757141.0
