,date,serial_number,model,capacity_bytes,failure,smart_1_normalized,smart_1_raw,smart_3_normalized,smart_4_normalized,smart_4_raw,smart_5_normalized,smart_5_raw,smart_7_normalized,smart_7_raw,smart_9_normalized,smart_9_raw,smart_12_normalized,smart_12_raw,smart_183_normalized,smart_183_raw,smart_184_normalized,smart_184_raw,smart_187_normalized,smart_187_raw,smart_188_normalized,smart_188_raw,smart_189_normalized,smart_189_raw,smart_190_normalized,smart_190_raw,smart_192_normalized,smart_192_raw,smart_193_normalized,smart_193_raw,smart_194_normalized,smart_194_raw,smart_197_normalized,smart_197_raw,smart_198_normalized,smart_198_raw,smart_199_raw,smart_240_raw,smart_241_raw,smart_242_raw
51601,2022-10-01,S300XB38,ST4000DM000,4000787030016,0,119.0,222536536.0,94.0,100.0,8.0,100.0,8.0,84.0,323927094.0,28.0,63242.0,100.0,6.0,98.0,2.0,100.0,0.0,96.0,4.0,100.0,0.0,100.0,0.0,80.0,20.0,100.0,0.0,36.0,129612.0,20.0,20.0,100.0,0.0,100.0,0.0,0.0,62730.0,67271090784.0,396640115592.0
51602,2022-10-02,S300XB38,ST4000DM000,4000787030016,0,112.0,45971672.0,94.0,100.0,8.0,100.0,8.0,84.0,325086911.0,28.0,63265.0,100.0,6.0,98.0,2.0,100.0,0.0,96.0,4.0,100.0,0.0,100.0,0.0,79.0,21.0,100.0,0.0,36.0,129612.0,21.0,21.0,100.0,0.0,100.0,0.0,0.0,62754.0,67273187792.0,396826654736.0
51603,2022-10-03,S300XB38,ST4000DM000,4000787030016,0,106.0,11575008.0,94.0,100.0,8.0,100.0,8.0,84.0,327056933.0,28.0,63289.0,100.0,6.0,98.0,2.0,100.0,0.0,96.0,4.0,100.0,0.0,100.0,0.0,80.0,20.0,100.0,0.0,36.0,129612.0,20.0,20.0,100.0,0.0,100.0,0.0,0.0,62778.0,67275009872.0,397062392515.0
51604,2022-10-04,S300XB38,ST4000DM000,4000787030016,0,116.0,106630472.0,94.0,100.0,8.0,100.0,8.0,84.0,329451324.0,28.0,63313.0,100.0,6.0,98.0,2.0,100.0,0.0,96.0,4.0,100.0,0.0,100.0,0.0,79.0,21.0,100.0,0.0,36.0,129612.0,21.0,21.0,100.0,0.0,100.0,0.0,0.0,62802.0,67276847792.0,397310884078.0
51605,2022-10-05,S300XB38,ST4000DM000,4000787030016,0,115.0,88049896.0,94.0,100.0,8.0,100.0,8.0,84.0,330457651.0,28.0,63337.0,100.0,6.0,98.0,2.0,100.0,0.0,96.0,4.0,100.0,0.0,100.0,0.0,80.0,20.0,100.0,0.0,36.0,129612.0,20.0,20.0,100.0,0.0,100.0,0.0,0.0,62826.0,67278418064.0,397493784960.0
51606,2022-10-06,S300XB38,ST4000DM000,4000787030016,0,111.0,37488400.0,94.0,100.0,8.0,100.0,8.0,84.0,332229646.0,28.0,63360.0,100.0,6.0,98.0,2.0,100.0,0.0,96.0,4.0,100.0,0.0,100.0,0.0,79.0,21.0,100.0,0.0,36.0,129612.0,21.0,21.0,100.0,0.0,100.0,0.0,0.0,62849.0,67279566936.0,397565081006.0
51607,2022-10-07,S300XB38,ST4000DM000,4000787030016,0,117.0,133102264.0,94.0,100.0,8.0,100.0,8.0,84.0,333663312.0,28.0,63384.0,100.0,6.0,98.0,2.0,100.0,0.0,96.0,4.0,100.0,0.0,100.0,0.0,80.0,20.0,100.0,0.0,36.0,129612.0,20.0,20.0,100.0,0.0,100.0,0.0,0.0,62873.0,67280745048.0,397821506750.0
51608,2022-10-08,S300XB38,ST4000DM000,4000787030016,0,114.0,78110856.0,94.0,100.0,8.0,100.0,8.0,84.0,335066102.0,28.0,63408.0,100.0,6.0,98.0,2.0,100.0,0.0,96.0,4.0,100.0,0.0,100.0,0.0,80.0,20.0,100.0,0.0,36.0,129612.0,20.0,20.0,100.0,0.0,100.0,0.0,0.0,62896.0,67281954192.0,398169590253.0
51609,2022-10-09,S300XB38,ST4000DM000,4000787030016,0,105.0,9322984.0,94.0,100.0,8.0,100.0,8.0,85.0,336437673.0,28.0,63432.0,100.0,6.0,98.0,2.0,100.0,0.0,96.0,4.0,100.0,0.0,100.0,0.0,80.0,20.0,100.0,0.0,36.0,129612.0,20.0,20.0,100.0,0.0,100.0,0.0,0.0,62920.0,67283413624.0,398445661469.0
51610,2022-10-10,S300XB38,ST4000DM000,4000787030016,0,117.0,122745320.0,94.0,100.0,8.0,100.0,8.0,85.0,338231961.0,28.0,63455.0,100.0,6.0,98.0,2.0,100.0,0.0,96.0,4.0,100.0,0.0,100.0,0.0,79.0,21.0,100.0,0.0,36.0,129612.0,21.0,21.0,100.0,0.0,100.0,0.0,0.0,62944.0,67285209096.0,398743456015.0
