,date,serial_number,model,capacity_bytes,failure,smart_1_normalized,smart_1_raw,smart_3_normalized,smart_4_normalized,smart_4_raw,smart_5_normalized,smart_5_raw,smart_7_normalized,smart_7_raw,smart_9_normalized,smart_9_raw,smart_12_normalized,smart_12_raw,smart_183_normalized,smart_183_raw,smart_184_normalized,smart_184_raw,smart_187_normalized,smart_187_raw,smart_188_normalized,smart_188_raw,smart_189_normalized,smart_189_raw,smart_190_normalized,smart_190_raw,smart_192_normalized,smart_192_raw,smart_193_normalized,smart_193_raw,smart_194_normalized,smart_194_raw,smart_197_normalized,smart_197_raw,smart_198_normalized,smart_198_raw,smart_199_raw,smart_240_raw,smart_241_raw,smart_242_raw
85904,2022-10-01,S300YCSY,ST4000DM000,4000787030016,0,109.0,24615056.0,96.0,100.0,4.0,100.0,0.0,87.0,477921090.0,27.0,64198.0,100.0,4.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,75.0,25.0,100.0,0.0,12.0,177225.0,25.0,25.0,100.0,0.0,100.0,0.0,0.0,63350.0,70023490824.0,474118746818.0
85905,2022-10-02,S300YCSY,ST4000DM000,4000787030016,0,118.0,174674744.0,96.0,100.0,4.0,100.0,0.0,87.0,480023025.0,27.0,64222.0,100.0,4.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,75.0,25.0,100.0,0.0,12.0,177225.0,25.0,25.0,100.0,0.0,100.0,0.0,0.0,63374.0,70025234544.0,474288673522.0
85906,2022-10-03,S300YCSY,ST4000DM000,4000787030016,0,111.0,41489984.0,96.0,100.0,4.0,100.0,0.0,87.0,481125358.0,27.0,64246.0,100.0,4.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,74.0,26.0,100.0,0.0,12.0,177225.0,26.0,26.0,100.0,0.0,100.0,0.0,0.0,63397.0,70027268000.0,474517195921.0
85907,2022-10-04,S300YCSY,ST4000DM000,4000787030016,0,117.0,128844496.0,96.0,100.0,4.0,100.0,0.0,87.0,483954096.0,27.0,64269.0,100.0,4.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,74.0,26.0,100.0,0.0,12.0,177234.0,26.0,26.0,100.0,0.0,100.0,0.0,0.0,63421.0,70028840400.0,474631487264.0
85908,2022-10-05,S300YCSY,ST4000DM000,4000787030016,0,117.0,149799584.0,96.0,100.0,4.0,100.0,0.0,87.0,485034004.0,27.0,64293.0,100.0,4.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,74.0,26.0,100.0,0.0,12.0,177235.0,26.0,26.0,100.0,0.0,100.0,0.0,0.0,63445.0,70030344376.0,474814615474.0
85909,2022-10-06,S300YCSY,ST4000DM000,4000787030016,0,114.0,79658232.0,96.0,100.0,4.0,100.0,0.0,87.0,485437440.0,27.0,64305.0,100.0,4.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,73.0,27.0,100.0,0.0,12.0,177235.0,27.0,27.0,100.0,0.0,100.0,0.0,0.0,63457.0,70031028880.0,474894038669.0
85910,2022-10-07,S300YCSY,ST4000DM000,4000787030016,0,114.0,66490376.0,96.0,100.0,4.0,100.0,0.0,87.0,486477423.0,27.0,64328.0,100.0,4.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,73.0,27.0,100.0,0.0,12.0,177236.0,27.0,27.0,100.0,0.0,100.0,0.0,0.0,63480.0,70032230200.0,475105277939.0
85911,2022-10-08,S300YCSY,ST4000DM000,4000787030016,0,117.0,128778944.0,96.0,100.0,4.0,100.0,0.0,87.0,487723789.0,27.0,64352.0,100.0,4.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,73.0,27.0,100.0,0.0,12.0,177236.0,27.0,27.0,100.0,0.0,100.0,0.0,0.0,63504.0,70033446032.0,475307782711.0
85912,2022-10-09,S300YCSY,ST4000DM000,4000787030016,0,119.0,202447920.0,96.0,100.0,4.0,100.0,0.0,87.0,489492404.0,27.0,64376.0,100.0,4.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,73.0,27.0,100.0,0.0,12.0,177236.0,27.0,27.0,100.0,0.0,100.0,0.0,0.0,63527.0,70035121104.0,475468383580.0
85913,2022-10-10,S300YCSY,ST4000DM000,4000787030016,0,120.0,235235112.0,96.0,100.0,4.0,100.0,0.0,87.0,491561152.0,27.0,64399.0,100.0,4.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,74.0,26.0,100.0,0.0,12.0,177237.0,26.0,26.0,100.0,0.0,100.0,0.0,0.0,63551.0,70037111416.0,475673406454.0
