,date,serial_number,model,capacity_bytes,failure,smart_1_normalized,smart_1_raw,smart_3_normalized,smart_4_normalized,smart_4_raw,smart_5_normalized,smart_5_raw,smart_7_normalized,smart_7_raw,smart_9_normalized,smart_9_raw,smart_12_normalized,smart_12_raw,smart_183_normalized,smart_183_raw,smart_184_normalized,smart_184_raw,smart_187_normalized,smart_187_raw,smart_188_normalized,smart_188_raw,smart_189_normalized,smart_189_raw,smart_190_normalized,smart_190_raw,smart_192_normalized,smart_192_raw,smart_193_normalized,smart_193_raw,smart_194_normalized,smart_194_raw,smart_197_normalized,smart_197_raw,smart_198_normalized,smart_198_raw,smart_199_raw,smart_240_raw,smart_241_raw,smart_242_raw
93567,2022-10-01,S300YPNZ,ST4000DM000,4000787030016,0,109.0,23112848.0,92.0,100.0,9.0,100.0,24.0,79.0,94932287.0,28.0,63720.0,100.0,9.0,99.0,1.0,100.0,0.0,81.0,19.0,100.0,0.0,100.0,0.0,79.0,21.0,100.0,0.0,81.0,39272.0,21.0,21.0,100.0,8.0,100.0,8.0,0.0,63337.0,75756354040.0,608702654296.0
93568,2022-10-02,S300YPNZ,ST4000DM000,4000787030016,0,119.0,222409128.0,92.0,100.0,9.0,100.0,24.0,79.0,97796947.0,28.0,63744.0,100.0,9.0,99.0,1.0,100.0,0.0,81.0,19.0,100.0,0.0,100.0,0.0,79.0,21.0,100.0,0.0,81.0,39272.0,21.0,21.0,100.0,8.0,100.0,8.0,0.0,63361.0,75758590592.0,609013417147.0
93569,2022-10-03,S300YPNZ,ST4000DM000,4000787030016,0,115.0,85405096.0,92.0,100.0,9.0,100.0,24.0,79.0,99147094.0,28.0,63768.0,100.0,9.0,99.0,1.0,100.0,0.0,81.0,19.0,100.0,0.0,100.0,0.0,79.0,21.0,100.0,0.0,81.0,39272.0,21.0,21.0,100.0,8.0,100.0,8.0,0.0,63385.0,75760061856.0,609243543349.0
93570,2022-10-04,S300YPNZ,ST4000DM000,4000787030016,0,114.0,80820016.0,92.0,100.0,9.0,100.0,24.0,80.0,100849275.0,28.0,63792.0,100.0,9.0,99.0,1.0,100.0,0.0,81.0,19.0,100.0,0.0,100.0,0.0,79.0,21.0,100.0,0.0,81.0,39273.0,21.0,21.0,100.0,8.0,100.0,8.0,0.0,63408.0,75761711488.0,609343708425.0
93571,2022-10-05,S300YPNZ,ST4000DM000,4000787030016,0,115.0,95838192.0,92.0,100.0,9.0,100.0,24.0,80.0,102540440.0,28.0,63815.0,100.0,9.0,99.0,1.0,100.0,0.0,81.0,19.0,100.0,0.0,100.0,0.0,79.0,21.0,100.0,0.0,81.0,39274.0,21.0,21.0,100.0,8.0,100.0,8.0,0.0,63432.0,75763359672.0,609592831719.0
93572,2022-10-06,S300YPNZ,ST4000DM000,4000787030016,0,120.0,242675864.0,92.0,100.0,9.0,100.0,24.0,80.0,103209979.0,28.0,63839.0,100.0,9.0,99.0,1.0,100.0,0.0,81.0,19.0,100.0,0.0,100.0,0.0,79.0,21.0,100.0,0.0,81.0,39275.0,21.0,21.0,100.0,8.0,100.0,8.0,0.0,63456.0,75764841344.0,609726493401.0
93573,2022-10-07,S300YPNZ,ST4000DM000,4000787030016,0,117.0,140534120.0,92.0,100.0,9.0,100.0,24.0,80.0,104401419.0,28.0,63863.0,100.0,9.0,99.0,1.0,100.0,0.0,81.0,19.0,100.0,0.0,100.0,0.0,79.0,21.0,100.0,0.0,81.0,39275.0,21.0,21.0,100.0,8.0,100.0,8.0,0.0,63480.0,75766747280.0,609968544097.0
93574,2022-10-08,S300YPNZ,ST4000DM000,4000787030016,0,117.0,151595024.0,92.0,100.0,9.0,100.0,24.0,80.0,106066382.0,28.0,63887.0,100.0,9.0,99.0,1.0,100.0,0.0,81.0,19.0,100.0,0.0,100.0,0.0,79.0,21.0,100.0,0.0,81.0,39275.0,21.0,21.0,100.0,8.0,100.0,8.0,0.0,63504.0,75768160256.0,610204244008.0
93575,2022-10-09,S300YPNZ,ST4000DM000,4000787030016,0,115.0,96972160.0,92.0,100.0,9.0,100.0,24.0,80.0,110057470.0,28.0,63911.0,100.0,9.0,99.0,1.0,100.0,0.0,81.0,19.0,100.0,0.0,100.0,0.0,79.0,21.0,100.0,0.0,81.0,39276.0,21.0,21.0,100.0,8.0,100.0,8.0,0.0,63528.0,75770243952.0,610542482178.0
93576,2022-10-10,S300YPNZ,ST4000DM000,4000787030016,0,112.0,46592864.0,92.0,100.0,9.0,100.0,24.0,80.0,111602116.0,28.0,63934.0,100.0,9.0,99.0,1.0,100.0,0.0,81.0,19.0,100.0,0.0,100.0,0.0,79.0,21.0,100.0,0.0,81.0,39276.0,21.0,21.0,100.0,8.0,100.0,8.0,0.0,63551.0,75772596728.0,610805308772.0
