,date,serial_number,model,capacity_bytes,failure,smart_1_normalized,smart_1_raw,smart_3_normalized,smart_4_normalized,smart_4_raw,smart_5_normalized,smart_5_raw,smart_7_normalized,smart_7_raw,smart_9_normalized,smart_9_raw,smart_12_normalized,smart_12_raw,smart_183_normalized,smart_183_raw,smart_184_normalized,smart_184_raw,smart_187_normalized,smart_187_raw,smart_188_normalized,smart_188_raw,smart_189_normalized,smart_189_raw,smart_190_normalized,smart_190_raw,smart_192_normalized,smart_192_raw,smart_193_normalized,smart_193_raw,smart_194_normalized,smart_194_raw,smart_197_normalized,smart_197_raw,smart_198_normalized,smart_198_raw,smart_199_raw,smart_240_raw,smart_241_raw,smart_242_raw
128617,2022-10-01,S300Z3XD,ST4000DM000,4000787030016,0,120.0,241539400.0,93.0,100.0,14.0,100.0,0.0,89.0,875607253.0,27.0,64675.0,100.0,13.0,99.0,1.0,100.0,0.0,91.0,9.0,100.0,0.0,100.0,0.0,79.0,21.0,100.0,0.0,80.0,40772.0,21.0,21.0,100.0,0.0,100.0,0.0,0.0,64506.0,72576919936.0,524718245877.0
128618,2022-10-02,S300Z3XD,ST4000DM000,4000787030016,0,119.0,485992.0,93.0,100.0,14.0,100.0,0.0,89.0,877263113.0,27.0,64699.0,100.0,13.0,99.0,1.0,100.0,0.0,91.0,9.0,100.0,0.0,100.0,0.0,79.0,21.0,100.0,0.0,80.0,40777.0,21.0,21.0,100.0,0.0,100.0,0.0,0.0,64530.0,72579010472.0,524780499987.0
128619,2022-10-03,S300Z3XD,ST4000DM000,4000787030016,0,116.0,105085784.0,93.0,100.0,14.0,100.0,0.0,89.0,878727233.0,27.0,64722.0,100.0,13.0,99.0,1.0,100.0,0.0,91.0,9.0,100.0,0.0,100.0,0.0,79.0,21.0,100.0,0.0,80.0,40778.0,21.0,21.0,100.0,0.0,100.0,0.0,0.0,64553.0,72580513200.0,529193574801.0
128620,2022-10-04,S300Z3XD,ST4000DM000,4000787030016,0,118.0,174885520.0,93.0,100.0,14.0,100.0,0.0,89.0,881127971.0,27.0,64746.0,100.0,13.0,99.0,1.0,100.0,0.0,91.0,9.0,100.0,0.0,100.0,0.0,79.0,21.0,100.0,0.0,80.0,40778.0,21.0,21.0,100.0,0.0,100.0,0.0,0.0,64577.0,72582071976.0,529380268424.0
128621,2022-10-05,S300Z3XD,ST4000DM000,4000787030016,0,115.0,89051408.0,93.0,100.0,14.0,100.0,0.0,89.0,882314639.0,27.0,64770.0,100.0,13.0,99.0,1.0,100.0,0.0,91.0,9.0,100.0,0.0,100.0,0.0,79.0,21.0,100.0,0.0,80.0,40778.0,21.0,21.0,100.0,0.0,100.0,0.0,0.0,64601.0,72584120784.0,529581206719.0
128622,2022-10-06,S300Z3XD,ST4000DM000,4000787030016,0,117.0,144632688.0,93.0,100.0,14.0,100.0,0.0,89.0,883703209.0,27.0,64793.0,100.0,13.0,99.0,1.0,100.0,0.0,91.0,9.0,100.0,0.0,100.0,0.0,79.0,21.0,100.0,0.0,80.0,40779.0,21.0,21.0,100.0,0.0,100.0,0.0,0.0,64624.0,72586026568.0,529728760615.0
128623,2022-10-07,S300Z3XD,ST4000DM000,4000787030016,0,111.0,30435000.0,93.0,100.0,14.0,100.0,0.0,89.0,884953590.0,27.0,64817.0,100.0,13.0,99.0,1.0,100.0,0.0,91.0,9.0,100.0,0.0,100.0,0.0,79.0,21.0,100.0,0.0,80.0,40779.0,21.0,21.0,100.0,0.0,100.0,0.0,0.0,64648.0,72587227728.0,529926177945.0
128624,2022-10-08,S300Z3XD,ST4000DM000,4000787030016,0,117.0,157293280.0,93.0,100.0,14.0,100.0,0.0,89.0,886284817.0,26.0,64840.0,100.0,13.0,99.0,1.0,100.0,0.0,91.0,9.0,100.0,0.0,100.0,0.0,80.0,20.0,100.0,0.0,80.0,40779.0,20.0,20.0,100.0,0.0,100.0,0.0,0.0,64672.0,72588834224.0,530118049796.0
128625,2022-10-09,S300Z3XD,ST4000DM000,4000787030016,0,117.0,153888864.0,93.0,100.0,14.0,100.0,0.0,89.0,887671686.0,26.0,64864.0,100.0,13.0,99.0,1.0,100.0,0.0,91.0,9.0,100.0,0.0,100.0,0.0,80.0,20.0,100.0,0.0,80.0,40785.0,20.0,20.0,100.0,0.0,100.0,0.0,0.0,64695.0,72590217672.0,530177272542.0
128626,2022-10-10,S300Z3XD,ST4000DM000,4000787030016,0,119.0,220867344.0,93.0,100.0,14.0,100.0,0.0,89.0,890246378.0,26.0,64899.0,100.0,13.0,99.0,1.0,100.0,0.0,91.0,9.0,100.0,0.0,100.0,0.0,79.0,21.0,100.0,0.0,80.0,40785.0,21.0,21.0,100.0,0.0,100.0,0.0,0.0,64731.0,72592388920.0,530478531282.0
128627,2022-10-11,S300Z3XD,ST4000DM000,4000787030016,0,117.0,152546104.0,93.0,100.0,14.0,100.0,0.0,89.0,891850930.0,26.0,64923.0,100.0,13.0,99.0,1.0,100.0,0.0,91.0,9.0,100.0,0.0,100.0,0.0,79.0,21.0,100.0,0.0,80.0,40785.0,21.0,21.0,100.0,0.0,100.0,0.0,0.0,64754.0,72594053176.0,530729384771.0
128628,2022-10-12,S300Z3XD,ST4000DM000,4000787030016,0,110.0,25521400.0,93.0,100.0,14.0,100.0,0.0,89.0,892350560.0,26.0,64935.0,100.0,13.0,99.0,1.0,100.0,0.0,91.0,9.0,100.0,0.0,100.0,0.0,79.0,21.0,100.0,0.0,80.0,40786.0,21.0,21.0,100.0,0.0,100.0,0.0,0.0,64766.0,72594803336.0,530807615990.0
128629,2022-10-13,S300Z3XD,ST4000DM000,4000787030016,0,119.0,220131600.0,93.0,100.0,14.0,100.0,0.0,89.0,894752086.0,26.0,64958.0,100.0,13.0,99.0,1.0,100.0,0.0,91.0,9.0,100.0,0.0,100.0,0.0,79.0,21.0,100.0,0.0,80.0,40787.0,21.0,21.0,100.0,0.0,100.0,0.0,0.0,64789.0,72596370104.0,535394243817.0
128630,2022-10-14,S300Z3XD,ST4000DM000,4000787030016,0,116.0,101782712.0,92.0,100.0,17.0,100.0,0.0,89.0,896723932.0,26.0,64984.0,100.0,16.0,99.0,1.0,100.0,0.0,91.0,9.0,100.0,0.0,100.0,0.0,79.0,21.0,100.0,0.0,80.0,40820.0,21.0,21.0,100.0,0.0,100.0,0.0,0.0,64813.0,72597691736.0,540090252254.0
128631,2022-10-15,S300Z3XD,ST4000DM000,4000787030016,0,119.0,216616720.0,92.0,100.0,17.0,100.0,0.0,89.0,898269921.0,26.0,65007.0,100.0,16.0,99.0,1.0,100.0,0.0,91.0,9.0,100.0,0.0,100.0,0.0,79.0,21.0,100.0,0.0,80.0,40825.0,21.0,21.0,100.0,0.0,100.0,0.0,0.0,64837.0,72598924480.0,540339335823.0
128632,2022-10-16,S300Z3XD,ST4000DM000,4000787030016,0,116.0,109637824.0,92.0,100.0,17.0,100.0,0.0,89.0,900445211.0,26.0,65031.0,100.0,16.0,99.0,1.0,100.0,0.0,91.0,9.0,100.0,0.0,100.0,0.0,79.0,21.0,100.0,0.0,80.0,40829.0,21.0,21.0,100.0,0.0,100.0,0.0,0.0,64861.0,72600261008.0,540433382927.0
128633,2022-10-17,S300Z3XD,ST4000DM000,4000787030016,0,119.0,210550744.0,92.0,100.0,17.0,100.0,0.0,89.0,901911869.0,26.0,65055.0,100.0,16.0,99.0,1.0,100.0,0.0,91.0,9.0,100.0,0.0,100.0,0.0,79.0,21.0,100.0,0.0,80.0,40829.0,21.0,21.0,100.0,0.0,100.0,0.0,0.0,64884.0,72601842016.0,540706936974.0
128634,2022-10-18,S300Z3XD,ST4000DM000,4000787030016,0,117.0,123991656.0,92.0,100.0,17.0,100.0,0.0,89.0,903490719.0,26.0,65078.0,100.0,16.0,99.0,1.0,100.0,0.0,91.0,9.0,100.0,0.0,100.0,0.0,79.0,21.0,100.0,0.0,80.0,40829.0,21.0,21.0,100.0,0.0,100.0,0.0,0.0,64908.0,72603203168.0,540967336963.0
