,date,serial_number,model,capacity_bytes,failure,smart_1_normalized,smart_1_raw,smart_3_normalized,smart_4_normalized,smart_4_raw,smart_5_normalized,smart_5_raw,smart_7_normalized,smart_7_raw,smart_9_normalized,smart_9_raw,smart_12_normalized,smart_12_raw,smart_183_normalized,smart_183_raw,smart_184_normalized,smart_184_raw,smart_187_normalized,smart_187_raw,smart_188_normalized,smart_188_raw,smart_189_normalized,smart_189_raw,smart_190_normalized,smart_190_raw,smart_192_normalized,smart_192_raw,smart_193_normalized,smart_193_raw,smart_194_normalized,smart_194_raw,smart_197_normalized,smart_197_raw,smart_198_normalized,smart_198_raw,smart_199_raw,smart_240_raw,smart_241_raw,smart_242_raw
132481,2022-10-01,S300Z41Y,ST4000DM000,4000787030016,0,118.0,192675296.0,92.0,100.0,21.0,100.0,8.0,87.0,643823300.0,28.0,63159.0,100.0,21.0,97.0,3.0,100.0,0.0,90.0,10.0,100.0,0.0,100.0,0.0,80.0,20.0,100.0,3.0,77.0,46100.0,20.0,20.0,100.0,24.0,100.0,24.0,0.0,62819.0,74149023488.0,653146810844.0
132482,2022-10-02,S300Z41Y,ST4000DM000,4000787030016,0,119.0,218703192.0,92.0,100.0,21.0,100.0,8.0,87.0,644779872.0,28.0,63183.0,100.0,21.0,97.0,3.0,100.0,0.0,90.0,10.0,100.0,0.0,100.0,0.0,80.0,20.0,100.0,3.0,77.0,46100.0,20.0,20.0,100.0,24.0,100.0,24.0,0.0,62843.0,74161739368.0,653328383875.0
132483,2022-10-03,S300Z41Y,ST4000DM000,4000787030016,0,102.0,5231040.0,92.0,100.0,21.0,100.0,8.0,87.0,645810545.0,28.0,63207.0,100.0,21.0,97.0,3.0,100.0,0.0,90.0,10.0,100.0,0.0,100.0,0.0,79.0,21.0,100.0,3.0,77.0,46100.0,21.0,21.0,100.0,24.0,100.0,24.0,0.0,62866.0,74180375040.0,653514213620.0
132484,2022-10-04,S300Z41Y,ST4000DM000,4000787030016,0,103.0,5590904.0,92.0,100.0,21.0,100.0,8.0,87.0,646689613.0,28.0,63230.0,100.0,21.0,97.0,3.0,100.0,0.0,90.0,10.0,100.0,0.0,100.0,0.0,79.0,21.0,100.0,3.0,77.0,46100.0,21.0,21.0,100.0,24.0,100.0,24.0,0.0,62890.0,74197065200.0,653653265253.0
132485,2022-10-05,S300Z41Y,ST4000DM000,4000787030016,0,117.0,133936736.0,92.0,100.0,21.0,100.0,8.0,87.0,648616726.0,28.0,63254.0,100.0,21.0,97.0,3.0,100.0,0.0,90.0,10.0,100.0,0.0,100.0,0.0,79.0,21.0,100.0,3.0,77.0,46100.0,21.0,21.0,100.0,24.0,100.0,24.0,0.0,62914.0,74217682584.0,653831928959.0
132486,2022-10-06,S300Z41Y,ST4000DM000,4000787030016,0,117.0,156304256.0,92.0,100.0,21.0,100.0,8.0,87.0,650046662.0,28.0,63278.0,100.0,21.0,97.0,3.0,100.0,0.0,90.0,10.0,100.0,0.0,100.0,0.0,79.0,21.0,100.0,3.0,77.0,46100.0,21.0,21.0,100.0,24.0,100.0,24.0,0.0,62937.0,74233590600.0,654054097837.0
132487,2022-10-07,S300Z41Y,ST4000DM000,4000787030016,0,115.0,88355504.0,92.0,100.0,21.0,100.0,8.0,87.0,651490750.0,28.0,63301.0,100.0,21.0,97.0,3.0,100.0,0.0,90.0,10.0,100.0,0.0,100.0,0.0,78.0,22.0,100.0,3.0,77.0,46100.0,22.0,22.0,100.0,24.0,100.0,24.0,0.0,62961.0,74243750984.0,654194322375.0
132488,2022-10-08,S300Z41Y,ST4000DM000,4000787030016,0,112.0,49464368.0,92.0,100.0,21.0,100.0,8.0,87.0,652743101.0,28.0,63325.0,100.0,21.0,97.0,3.0,100.0,0.0,90.0,10.0,100.0,0.0,100.0,0.0,79.0,21.0,100.0,3.0,77.0,46100.0,21.0,21.0,100.0,24.0,100.0,24.0,0.0,62984.0,74251922656.0,654384580969.0
132489,2022-10-09,S300Z41Y,ST4000DM000,4000787030016,0,118.0,199734240.0,92.0,100.0,21.0,100.0,8.0,87.0,653736894.0,28.0,63349.0,100.0,21.0,97.0,3.0,100.0,0.0,90.0,10.0,100.0,0.0,100.0,0.0,80.0,20.0,100.0,3.0,77.0,46100.0,20.0,20.0,100.0,24.0,100.0,24.0,0.0,63008.0,74264506592.0,654577009127.0
132490,2022-10-10,S300Z41Y,ST4000DM000,4000787030016,0,118.0,200493784.0,92.0,100.0,21.0,100.0,8.0,87.0,654726981.0,28.0,63372.0,100.0,21.0,97.0,3.0,100.0,0.0,90.0,10.0,100.0,0.0,100.0,0.0,80.0,20.0,100.0,3.0,77.0,46100.0,20.0,20.0,100.0,24.0,100.0,24.0,0.0,63032.0,74277372776.0,654773957538.0
