,date,serial_number,model,capacity_bytes,failure,smart_1_normalized,smart_1_raw,smart_3_normalized,smart_4_normalized,smart_4_raw,smart_5_normalized,smart_5_raw,smart_7_normalized,smart_7_raw,smart_9_normalized,smart_9_raw,smart_12_normalized,smart_12_raw,smart_183_normalized,smart_183_raw,smart_184_normalized,smart_184_raw,smart_187_normalized,smart_187_raw,smart_188_normalized,smart_188_raw,smart_189_normalized,smart_189_raw,smart_190_normalized,smart_190_raw,smart_192_normalized,smart_192_raw,smart_193_normalized,smart_193_raw,smart_194_normalized,smart_194_raw,smart_197_normalized,smart_197_raw,smart_198_normalized,smart_198_raw,smart_199_raw,smart_240_raw,smart_241_raw,smart_242_raw
150171,2022-10-01,S300Z4LC,ST4000DM000,4000787030016,0,119.0,206936712.0,92.0,100.0,9.0,100.0,24.0,87.0,482584458.0,27.0,64202.0,100.0,9.0,98.0,2.0,100.0,0.0,43.0,57.0,100.0,0.0,100.0,0.0,72.0,28.0,100.0,0.0,12.0,177080.0,28.0,28.0,100.0,24.0,100.0,24.0,0.0,63352.0,68434903376.0,392600182912.0
150172,2022-10-02,S300Z4LC,ST4000DM000,4000787030016,0,117.0,165951416.0,92.0,100.0,9.0,100.0,24.0,87.0,484023862.0,27.0,64225.0,100.0,9.0,98.0,2.0,100.0,0.0,43.0,57.0,100.0,0.0,100.0,0.0,73.0,27.0,100.0,0.0,12.0,177088.0,27.0,27.0,100.0,24.0,100.0,24.0,0.0,63375.0,68436570752.0,392724399254.0
150173,2022-10-03,S300Z4LC,ST4000DM000,4000787030016,0,114.0,70173224.0,92.0,100.0,9.0,100.0,24.0,87.0,485627374.0,27.0,64249.0,100.0,9.0,98.0,2.0,100.0,0.0,43.0,57.0,100.0,0.0,100.0,0.0,72.0,28.0,100.0,0.0,12.0,177089.0,28.0,28.0,100.0,24.0,100.0,24.0,0.0,63399.0,68438272208.0,392847447165.0
150174,2022-10-04,S300Z4LC,ST4000DM000,4000787030016,0,118.0,192061456.0,92.0,100.0,9.0,100.0,24.0,87.0,486839740.0,27.0,64273.0,100.0,9.0,98.0,2.0,100.0,0.0,43.0,57.0,100.0,0.0,100.0,0.0,72.0,28.0,100.0,0.0,12.0,177089.0,28.0,28.0,100.0,24.0,100.0,24.0,0.0,63423.0,68439988576.0,393098015699.0
150175,2022-10-05,S300Z4LC,ST4000DM000,4000787030016,0,108.0,16377312.0,92.0,100.0,9.0,100.0,24.0,87.0,488546816.0,27.0,64297.0,100.0,9.0,98.0,2.0,100.0,0.0,43.0,57.0,100.0,0.0,100.0,0.0,72.0,28.0,100.0,0.0,12.0,177090.0,28.0,28.0,100.0,24.0,100.0,24.0,0.0,63447.0,68441750952.0,393320479426.0
150176,2022-10-06,S300Z4LC,ST4000DM000,4000787030016,0,119.0,226505480.0,92.0,100.0,9.0,100.0,24.0,87.0,489951680.0,27.0,64320.0,100.0,9.0,98.0,2.0,100.0,0.0,43.0,57.0,100.0,0.0,100.0,0.0,72.0,28.0,100.0,0.0,12.0,177093.0,28.0,28.0,100.0,24.0,100.0,24.0,0.0,63470.0,68443322384.0,393626604217.0
150177,2022-10-07,S300Z4LC,ST4000DM000,4000787030016,0,117.0,153205656.0,92.0,100.0,9.0,100.0,24.0,87.0,492585367.0,27.0,64344.0,100.0,9.0,98.0,2.0,100.0,0.0,43.0,57.0,100.0,0.0,100.0,0.0,72.0,28.0,100.0,0.0,12.0,177093.0,28.0,28.0,100.0,24.0,100.0,24.0,0.0,63494.0,68446722672.0,393892859266.0
150178,2022-10-08,S300Z4LC,ST4000DM000,4000787030016,0,113.0,52646944.0,92.0,100.0,9.0,100.0,24.0,87.0,493764029.0,27.0,64368.0,100.0,9.0,98.0,2.0,100.0,0.0,43.0,57.0,100.0,0.0,100.0,0.0,72.0,28.0,100.0,0.0,12.0,177093.0,28.0,28.0,100.0,24.0,100.0,24.0,0.0,63518.0,68448204624.0,394146409890.0
150179,2022-10-09,S300Z4LC,ST4000DM000,4000787030016,0,119.0,210082040.0,92.0,100.0,9.0,100.0,24.0,87.0,494994023.0,27.0,64392.0,100.0,9.0,98.0,2.0,100.0,0.0,43.0,57.0,100.0,0.0,100.0,0.0,68.0,32.0,100.0,0.0,12.0,177105.0,32.0,32.0,100.0,24.0,100.0,24.0,0.0,63542.0,68450004984.0,394286510552.0
150180,2022-10-10,S300Z4LC,ST4000DM000,4000787030016,0,120.0,1957976.0,92.0,100.0,9.0,100.0,24.0,87.0,496817926.0,27.0,64415.0,100.0,9.0,98.0,2.0,100.0,0.0,43.0,57.0,100.0,0.0,100.0,0.0,72.0,28.0,100.0,0.0,12.0,177113.0,28.0,28.0,100.0,24.0,100.0,24.0,0.0,63565.0,68451539408.0,394409732192.0
150181,2022-10-11,S300Z4LC,ST4000DM000,4000787030016,0,112.0,47570992.0,92.0,100.0,9.0,100.0,24.0,87.0,498089393.0,27.0,64439.0,100.0,9.0,98.0,2.0,100.0,0.0,43.0,57.0,100.0,0.0,100.0,0.0,72.0,28.0,100.0,0.0,12.0,177113.0,28.0,28.0,100.0,24.0,100.0,24.0,0.0,63589.0,68453017200.0,394648998084.0
150182,2022-10-12,S300Z4LC,ST4000DM000,4000787030016,0,118.0,187717280.0,92.0,100.0,9.0,100.0,24.0,87.0,499625935.0,27.0,64463.0,100.0,9.0,98.0,2.0,100.0,0.0,43.0,57.0,100.0,0.0,100.0,0.0,72.0,28.0,100.0,0.0,12.0,177114.0,28.0,28.0,100.0,24.0,100.0,24.0,0.0,63613.0,68454450912.0,394892611188.0
150183,2022-10-13,S300Z4LC,ST4000DM000,4000787030016,0,119.0,220971064.0,92.0,100.0,9.0,100.0,24.0,87.0,500683301.0,27.0,64487.0,100.0,9.0,98.0,2.0,100.0,0.0,43.0,57.0,100.0,0.0,100.0,0.0,72.0,28.0,100.0,0.0,12.0,177114.0,28.0,28.0,100.0,24.0,100.0,24.0,0.0,63636.0,68456406984.0,395123672546.0
150184,2022-10-14,S300Z4LC,ST4000DM000,4000787030016,0,119.0,226936656.0,92.0,100.0,9.0,100.0,24.0,87.0,503677434.0,27.0,64510.0,100.0,9.0,98.0,2.0,100.0,0.0,43.0,57.0,100.0,0.0,100.0,0.0,72.0,28.0,100.0,0.0,12.0,177114.0,28.0,28.0,100.0,24.0,100.0,24.0,0.0,63660.0,68458609800.0,395371889042.0
150185,2022-10-15,S300Z4LC,ST4000DM000,4000787030016,0,110.0,27374848.0,92.0,100.0,9.0,100.0,24.0,87.0,504721458.0,27.0,64534.0,100.0,9.0,98.0,2.0,100.0,0.0,43.0,57.0,100.0,0.0,100.0,0.0,72.0,28.0,100.0,0.0,12.0,177114.0,28.0,28.0,100.0,24.0,100.0,24.0,0.0,63684.0,68459989144.0,395600620336.0
150186,2022-10-16,S300Z4LC,ST4000DM000,4000787030016,0,113.0,50669248.0,92.0,100.0,9.0,100.0,24.0,87.0,505690681.0,27.0,64557.0,100.0,9.0,98.0,2.0,100.0,0.0,43.0,57.0,100.0,0.0,100.0,0.0,72.0,28.0,100.0,0.0,12.0,177126.0,28.0,28.0,100.0,24.0,100.0,24.0,0.0,63707.0,68461195688.0,395738506776.0
150187,2022-10-17,S300Z4LC,ST4000DM000,4000787030016,0,107.0,13750496.0,92.0,100.0,9.0,100.0,24.0,87.0,507022393.0,27.0,64581.0,100.0,9.0,98.0,2.0,100.0,0.0,43.0,57.0,100.0,0.0,100.0,0.0,72.0,28.0,100.0,0.0,12.0,177143.0,28.0,28.0,100.0,24.0,100.0,24.0,0.0,63731.0,68462206184.0,395779336064.0
150188,2022-10-18,S300Z4LC,ST4000DM000,4000787030016,0,119.0,204336568.0,92.0,100.0,9.0,100.0,24.0,87.0,508173675.0,27.0,64604.0,100.0,9.0,98.0,2.0,100.0,0.0,43.0,57.0,100.0,0.0,100.0,0.0,72.0,28.0,100.0,0.0,12.0,177155.0,28.0,28.0,100.0,24.0,100.0,24.0,0.0,63754.0,68463937432.0,396037256594.0
150189,2022-10-19,S300Z4LC,ST4000DM000,4000787030016,0,119.0,225361216.0,92.0,100.0,9.0,100.0,24.0,87.0,509662500.0,27.0,64628.0,100.0,9.0,98.0,2.0,100.0,0.0,43.0,57.0,100.0,0.0,100.0,0.0,70.0,30.0,100.0,0.0,12.0,177157.0,30.0,30.0,100.0,24.0,100.0,24.0,0.0,63778.0,68465326928.0,396373914295.0
