,date,serial_number,model,capacity_bytes,failure,smart_1_normalized,smart_1_raw,smart_3_normalized,smart_4_normalized,smart_4_raw,smart_5_normalized,smart_5_raw,smart_7_normalized,smart_7_raw,smart_9_normalized,smart_9_raw,smart_12_normalized,smart_12_raw,smart_183_normalized,smart_183_raw,smart_184_normalized,smart_184_raw,smart_187_normalized,smart_187_raw,smart_188_normalized,smart_188_raw,smart_189_normalized,smart_189_raw,smart_190_normalized,smart_190_raw,smart_192_normalized,smart_192_raw,smart_193_normalized,smart_193_raw,smart_194_normalized,smart_194_raw,smart_197_normalized,smart_197_raw,smart_198_normalized,smart_198_raw,smart_199_raw,smart_240_raw,smart_241_raw,smart_242_raw
153483,2022-10-01,S300Z4PP,ST4000DM000,4000787030016,0,119.0,214629256.0,92.0,100.0,8.0,100.0,0.0,90.0,972032178.0,27.0,64656.0,100.0,8.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,80.0,20.0,100.0,1.0,82.0,36590.0,20.0,20.0,100.0,0.0,100.0,0.0,0.0,64511.0,74273489488.0,411454345743.0
153484,2022-10-02,S300Z4PP,ST4000DM000,4000787030016,0,118.0,193440272.0,92.0,100.0,8.0,100.0,0.0,90.0,973686928.0,27.0,64680.0,100.0,8.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,80.0,20.0,100.0,1.0,82.0,36590.0,20.0,20.0,100.0,0.0,100.0,0.0,0.0,64535.0,74275565960.0,411723682553.0
153485,2022-10-03,S300Z4PP,ST4000DM000,4000787030016,0,117.0,122521056.0,92.0,100.0,8.0,100.0,0.0,90.0,975121715.0,27.0,64703.0,100.0,8.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,80.0,20.0,100.0,1.0,82.0,36590.0,20.0,20.0,100.0,0.0,100.0,0.0,0.0,64559.0,74277678464.0,412074670458.0
153486,2022-10-04,S300Z4PP,ST4000DM000,4000787030016,0,115.0,98519672.0,92.0,100.0,8.0,100.0,0.0,90.0,976707527.0,27.0,64727.0,100.0,8.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,80.0,20.0,100.0,1.0,82.0,36590.0,20.0,20.0,100.0,0.0,100.0,0.0,0.0,64582.0,74280724768.0,412377342865.0
153487,2022-10-05,S300Z4PP,ST4000DM000,4000787030016,0,118.0,168835976.0,92.0,100.0,8.0,100.0,0.0,90.0,978894377.0,27.0,64751.0,100.0,8.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,80.0,20.0,100.0,1.0,82.0,36590.0,20.0,20.0,100.0,0.0,100.0,0.0,0.0,64606.0,74283214304.0,412653816638.0
153488,2022-10-06,S300Z4PP,ST4000DM000,4000787030016,0,114.0,64312720.0,92.0,100.0,8.0,100.0,0.0,90.0,981524235.0,27.0,64775.0,100.0,8.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,80.0,20.0,100.0,1.0,82.0,36590.0,20.0,20.0,100.0,0.0,100.0,0.0,0.0,64630.0,74284821688.0,412968745617.0
153489,2022-10-07,S300Z4PP,ST4000DM000,4000787030016,0,117.0,165756144.0,92.0,100.0,8.0,100.0,0.0,90.0,982559445.0,27.0,64799.0,100.0,8.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,80.0,20.0,100.0,1.0,82.0,36590.0,20.0,20.0,100.0,0.0,100.0,0.0,0.0,64654.0,74285975520.0,413093470941.0
153490,2022-10-08,S300Z4PP,ST4000DM000,4000787030016,0,117.0,164627288.0,92.0,100.0,8.0,100.0,0.0,90.0,984387769.0,27.0,64822.0,100.0,8.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,80.0,20.0,100.0,1.0,82.0,36590.0,20.0,20.0,100.0,0.0,100.0,0.0,0.0,64678.0,74287817608.0,413183505052.0
153491,2022-10-09,S300Z4PP,ST4000DM000,4000787030016,0,117.0,121618432.0,92.0,100.0,8.0,100.0,0.0,90.0,985781682.0,26.0,64846.0,100.0,8.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,80.0,20.0,100.0,1.0,82.0,36590.0,20.0,20.0,100.0,0.0,100.0,0.0,0.0,64701.0,74289510128.0,413459347901.0
153492,2022-10-10,S300Z4PP,ST4000DM000,4000787030016,0,114.0,62114160.0,92.0,100.0,8.0,100.0,0.0,90.0,988238378.0,26.0,64870.0,100.0,8.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,80.0,20.0,100.0,1.0,82.0,36590.0,20.0,20.0,100.0,0.0,100.0,0.0,0.0,64725.0,74291034248.0,413757368790.0
