,date,serial_number,model,capacity_bytes,failure,smart_1_normalized,smart_1_raw,smart_3_normalized,smart_4_normalized,smart_4_raw,smart_5_normalized,smart_5_raw,smart_7_normalized,smart_7_raw,smart_9_normalized,smart_9_raw,smart_12_normalized,smart_12_raw,smart_183_normalized,smart_183_raw,smart_184_normalized,smart_184_raw,smart_187_normalized,smart_187_raw,smart_188_normalized,smart_188_raw,smart_189_normalized,smart_189_raw,smart_190_normalized,smart_190_raw,smart_192_normalized,smart_192_raw,smart_193_normalized,smart_193_raw,smart_194_normalized,smart_194_raw,smart_197_normalized,smart_197_raw,smart_198_normalized,smart_198_raw,smart_199_raw,smart_240_raw,smart_241_raw,smart_242_raw
159095,2022-10-01,S300Z4WH,ST4000DM000,4000787030016,0,119.0,217152800.0,92.0,100.0,9.0,100.0,0.0,89.0,899220344.0,28.0,63561.0,100.0,9.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,80.0,20.0,100.0,1.0,83.0,34279.0,20.0,20.0,100.0,0.0,100.0,0.0,0.0,63265.0,76915306512.0,377661226941.0
159096,2022-10-02,S300Z4WH,ST4000DM000,4000787030016,0,117.0,164749400.0,92.0,100.0,9.0,100.0,0.0,89.0,900781516.0,28.0,63584.0,100.0,9.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,80.0,20.0,100.0,1.0,83.0,34279.0,20.0,20.0,100.0,0.0,100.0,0.0,0.0,63289.0,76917397200.0,377938264720.0
159097,2022-10-03,S300Z4WH,ST4000DM000,4000787030016,0,113.0,54463760.0,92.0,100.0,9.0,100.0,0.0,89.0,902071578.0,28.0,63608.0,100.0,9.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,80.0,20.0,100.0,1.0,83.0,34279.0,20.0,20.0,100.0,0.0,100.0,0.0,0.0,63313.0,76919148640.0,378199986835.0
159098,2022-10-04,S300Z4WH,ST4000DM000,4000787030016,0,117.0,162089288.0,92.0,100.0,9.0,100.0,0.0,89.0,904887661.0,28.0,63632.0,100.0,9.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,79.0,21.0,100.0,1.0,83.0,34279.0,21.0,21.0,100.0,0.0,100.0,0.0,0.0,63337.0,76920749232.0,378531567010.0
159099,2022-10-05,S300Z4WH,ST4000DM000,4000787030016,0,116.0,105096392.0,92.0,100.0,9.0,100.0,0.0,89.0,907042443.0,28.0,63656.0,100.0,9.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,80.0,20.0,100.0,1.0,83.0,34279.0,20.0,20.0,100.0,0.0,100.0,0.0,0.0,63360.0,76922635544.0,378843793226.0
159100,2022-10-06,S300Z4WH,ST4000DM000,4000787030016,0,118.0,175870496.0,92.0,100.0,9.0,100.0,0.0,89.0,908536595.0,28.0,63679.0,100.0,9.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,80.0,20.0,100.0,1.0,83.0,34279.0,20.0,20.0,100.0,0.0,100.0,0.0,0.0,63384.0,76924146600.0,379128874589.0
159101,2022-10-07,S300Z4WH,ST4000DM000,4000787030016,0,114.0,69146352.0,92.0,100.0,9.0,100.0,0.0,89.0,909806308.0,28.0,63703.0,100.0,9.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,80.0,20.0,100.0,1.0,83.0,34279.0,20.0,20.0,100.0,0.0,100.0,0.0,0.0,63408.0,76925560096.0,379379517207.0
159102,2022-10-08,S300Z4WH,ST4000DM000,4000787030016,0,115.0,91589440.0,92.0,100.0,9.0,100.0,0.0,89.0,911145338.0,28.0,63727.0,100.0,9.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,80.0,20.0,100.0,1.0,83.0,34279.0,20.0,20.0,100.0,0.0,100.0,0.0,0.0,63431.0,76926788928.0,379632466661.0
159103,2022-10-09,S300Z4WH,ST4000DM000,4000787030016,0,114.0,68953848.0,92.0,100.0,9.0,100.0,0.0,89.0,912542376.0,28.0,63751.0,100.0,9.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,80.0,20.0,100.0,1.0,83.0,34279.0,20.0,20.0,100.0,0.0,100.0,0.0,0.0,63455.0,76928763624.0,379875182129.0
159104,2022-10-10,S300Z4WH,ST4000DM000,4000787030016,0,118.0,200362184.0,92.0,100.0,9.0,100.0,0.0,89.0,914200211.0,28.0,63774.0,100.0,9.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,77.0,23.0,100.0,1.0,83.0,34279.0,23.0,23.0,100.0,0.0,100.0,0.0,0.0,63479.0,76933237368.0,380112541972.0
159105,2022-10-11,S300Z4WH,ST4000DM000,4000787030016,0,120.0,237735072.0,92.0,100.0,9.0,100.0,0.0,89.0,916133426.0,28.0,63798.0,100.0,9.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,79.0,21.0,100.0,1.0,83.0,34279.0,21.0,21.0,100.0,0.0,100.0,0.0,0.0,63503.0,76934776032.0,380373381320.0
159106,2022-10-12,S300Z4WH,ST4000DM000,4000787030016,0,117.0,160761240.0,92.0,100.0,9.0,100.0,0.0,89.0,918325021.0,28.0,63822.0,100.0,9.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,78.0,22.0,100.0,1.0,83.0,34279.0,22.0,22.0,100.0,0.0,100.0,0.0,0.0,63526.0,76936487616.0,380612161690.0
159107,2022-10-13,S300Z4WH,ST4000DM000,4000787030016,0,114.0,77720240.0,92.0,100.0,9.0,100.0,0.0,89.0,919459631.0,28.0,63846.0,100.0,9.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,78.0,22.0,100.0,1.0,83.0,34279.0,22.0,22.0,100.0,0.0,100.0,0.0,0.0,63550.0,76937867576.0,380801751564.0
159108,2022-10-14,S300Z4WH,ST4000DM000,4000787030016,0,115.0,90360952.0,92.0,100.0,9.0,100.0,0.0,89.0,921256903.0,28.0,63869.0,100.0,9.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,78.0,22.0,100.0,1.0,83.0,34279.0,22.0,22.0,100.0,0.0,100.0,0.0,0.0,63574.0,76939395344.0,380856165779.0
159109,2022-10-15,S300Z4WH,ST4000DM000,4000787030016,0,115.0,85869152.0,92.0,100.0,9.0,100.0,0.0,89.0,922217517.0,28.0,63893.0,100.0,9.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,80.0,20.0,100.0,1.0,83.0,34279.0,20.0,20.0,100.0,0.0,100.0,0.0,0.0,63598.0,76940640568.0,381096780898.0
159110,2022-10-16,S300Z4WH,ST4000DM000,4000787030016,0,118.0,193725208.0,92.0,100.0,9.0,100.0,0.0,89.0,923359172.0,28.0,63917.0,100.0,9.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,78.0,22.0,100.0,1.0,83.0,34279.0,22.0,22.0,100.0,0.0,100.0,0.0,0.0,63621.0,76942023144.0,381397687997.0
159111,2022-10-17,S300Z4WH,ST4000DM000,4000787030016,0,110.0,27515928.0,92.0,100.0,9.0,100.0,0.0,89.0,925436383.0,28.0,63940.0,100.0,9.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,79.0,21.0,100.0,1.0,83.0,34279.0,21.0,21.0,100.0,0.0,100.0,0.0,0.0,63645.0,76943877632.0,381708154570.0
159112,2022-10-18,S300Z4WH,ST4000DM000,4000787030016,0,117.0,123663368.0,92.0,100.0,9.0,100.0,0.0,89.0,927653790.0,27.0,63964.0,100.0,9.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,79.0,21.0,100.0,1.0,83.0,34279.0,21.0,21.0,100.0,0.0,100.0,0.0,0.0,63668.0,76945241936.0,381964492613.0
159113,2022-10-19,S300Z4WH,ST4000DM000,4000787030016,0,119.0,227451248.0,92.0,100.0,9.0,100.0,0.0,89.0,930190827.0,27.0,63987.0,100.0,9.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,78.0,22.0,100.0,1.0,83.0,34279.0,22.0,22.0,100.0,0.0,100.0,0.0,0.0,63692.0,76946935640.0,382186747739.0
