,date,serial_number,model,capacity_bytes,failure,smart_1_normalized,smart_1_raw,smart_3_normalized,smart_4_normalized,smart_4_raw,smart_5_normalized,smart_5_raw,smart_7_normalized,smart_7_raw,smart_9_normalized,smart_9_raw,smart_12_normalized,smart_12_raw,smart_183_normalized,smart_183_raw,smart_184_normalized,smart_184_raw,smart_187_normalized,smart_187_raw,smart_188_normalized,smart_188_raw,smart_189_normalized,smart_189_raw,smart_190_normalized,smart_190_raw,smart_192_normalized,smart_192_raw,smart_193_normalized,smart_193_raw,smart_194_normalized,smart_194_raw,smart_197_normalized,smart_197_raw,smart_198_normalized,smart_198_raw,smart_199_raw,smart_240_raw,smart_241_raw,smart_242_raw
165258,2022-10-01,S300Z53J,ST4000DM000,4000787030016,0,118.0,185312944.0,94.0,100.0,6.0,100.0,0.0,86.0,433483012.0,28.0,63104.0,100.0,6.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,73.0,27.0,100.0,0.0,76.0,49134.0,27.0,27.0,100.0,0.0,100.0,0.0,0.0,62775.0,72413815288.0,401218610379.0
165259,2022-10-02,S300Z53J,ST4000DM000,4000787030016,0,120.0,239415816.0,94.0,100.0,6.0,100.0,0.0,86.0,434327628.0,28.0,63128.0,100.0,6.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,72.0,28.0,100.0,0.0,76.0,49134.0,28.0,28.0,100.0,0.0,100.0,0.0,0.0,62799.0,72427793344.0,401347657075.0
165260,2022-10-03,S300Z53J,ST4000DM000,4000787030016,0,116.0,104470576.0,94.0,100.0,6.0,100.0,0.0,86.0,436084630.0,28.0,63152.0,100.0,6.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,71.0,29.0,100.0,0.0,76.0,49134.0,29.0,29.0,100.0,0.0,100.0,0.0,0.0,62822.0,72445458656.0,401497284574.0
165261,2022-10-04,S300Z53J,ST4000DM000,4000787030016,0,117.0,136136712.0,94.0,100.0,6.0,100.0,0.0,86.0,438023791.0,28.0,63175.0,100.0,6.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,71.0,29.0,100.0,0.0,76.0,49134.0,29.0,29.0,100.0,0.0,100.0,0.0,0.0,62846.0,72468056608.0,401677533152.0
165262,2022-10-05,S300Z53J,ST4000DM000,4000787030016,0,118.0,172098304.0,94.0,100.0,6.0,100.0,0.0,86.0,439184129.0,28.0,63199.0,100.0,6.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,72.0,28.0,100.0,0.0,76.0,49134.0,28.0,28.0,100.0,0.0,100.0,0.0,0.0,62870.0,72482730864.0,401875036898.0
165263,2022-10-06,S300Z53J,ST4000DM000,4000787030016,0,117.0,151251440.0,94.0,100.0,6.0,100.0,0.0,86.0,440520579.0,28.0,63223.0,100.0,6.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,72.0,28.0,100.0,0.0,76.0,49134.0,28.0,28.0,100.0,0.0,100.0,0.0,0.0,62893.0,72497444864.0,401964107412.0
165264,2022-10-07,S300Z53J,ST4000DM000,4000787030016,0,114.0,67720184.0,94.0,100.0,6.0,100.0,0.0,86.0,441372845.0,28.0,63246.0,100.0,6.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,73.0,27.0,100.0,0.0,76.0,49134.0,27.0,27.0,100.0,0.0,100.0,0.0,0.0,62917.0,72506181840.0,402130893943.0
165265,2022-10-08,S300Z53J,ST4000DM000,4000787030016,0,116.0,112353192.0,94.0,100.0,6.0,100.0,0.0,86.0,442305854.0,28.0,63270.0,100.0,6.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,73.0,27.0,100.0,0.0,76.0,49134.0,27.0,27.0,100.0,0.0,100.0,0.0,0.0,62941.0,72514701376.0,402312886177.0
165266,2022-10-09,S300Z53J,ST4000DM000,4000787030016,0,117.0,162539864.0,94.0,100.0,6.0,100.0,0.0,86.0,443820077.0,28.0,63294.0,100.0,6.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,75.0,25.0,100.0,0.0,76.0,49134.0,25.0,25.0,100.0,0.0,100.0,0.0,0.0,62964.0,72526850048.0,402509824474.0
165267,2022-10-10,S300Z53J,ST4000DM000,4000787030016,0,113.0,56185880.0,94.0,100.0,6.0,100.0,0.0,86.0,445287911.0,28.0,63317.0,100.0,6.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,74.0,26.0,100.0,0.0,76.0,49134.0,26.0,26.0,100.0,0.0,100.0,0.0,0.0,62988.0,72538253984.0,402726252197.0
