,date,serial_number,model,capacity_bytes,failure,smart_1_normalized,smart_1_raw,smart_3_normalized,smart_4_normalized,smart_4_raw,smart_5_normalized,smart_5_raw,smart_7_normalized,smart_7_raw,smart_9_normalized,smart_9_raw,smart_12_normalized,smart_12_raw,smart_183_normalized,smart_183_raw,smart_184_normalized,smart_184_raw,smart_187_normalized,smart_187_raw,smart_188_normalized,smart_188_raw,smart_189_normalized,smart_189_raw,smart_190_normalized,smart_190_raw,smart_192_normalized,smart_192_raw,smart_193_normalized,smart_193_raw,smart_194_normalized,smart_194_raw,smart_197_normalized,smart_197_raw,smart_198_normalized,smart_198_raw,smart_199_raw,smart_240_raw,smart_241_raw,smart_242_raw
173630,2022-10-01,S300Z5DY,ST4000DM000,4000787030016,0,117.0,146064928.0,92.0,100.0,9.0,100.0,0.0,87.0,560271841.0,27.0,64198.0,100.0,9.0,88.0,12.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,83.0,17.0,100.0,0.0,21.0,159144.0,17.0,17.0,100.0,0.0,100.0,0.0,0.0,63478.0,70222856912.0,414918595988.0
173631,2022-10-02,S300Z5DY,ST4000DM000,4000787030016,0,113.0,53340560.0,92.0,100.0,9.0,100.0,0.0,87.0,562136008.0,27.0,64222.0,100.0,9.0,88.0,12.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,83.0,17.0,100.0,0.0,21.0,159144.0,17.0,17.0,100.0,0.0,100.0,0.0,0.0,63502.0,70224699560.0,415020483181.0
173632,2022-10-03,S300Z5DY,ST4000DM000,4000787030016,0,115.0,98212200.0,92.0,100.0,9.0,100.0,0.0,87.0,563199117.0,27.0,64245.0,100.0,9.0,88.0,12.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,83.0,17.0,100.0,0.0,21.0,159144.0,17.0,17.0,100.0,0.0,100.0,0.0,0.0,63525.0,70226375016.0,415249129093.0
173633,2022-10-04,S300Z5DY,ST4000DM000,4000787030016,0,115.0,87789112.0,92.0,100.0,9.0,100.0,0.0,87.0,564305275.0,27.0,64269.0,100.0,9.0,88.0,12.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,83.0,17.0,100.0,0.0,21.0,159144.0,17.0,17.0,100.0,0.0,100.0,0.0,0.0,63549.0,70228454176.0,415524241109.0
173634,2022-10-05,S300Z5DY,ST4000DM000,4000787030016,0,118.0,189698096.0,92.0,100.0,9.0,100.0,0.0,87.0,565077120.0,27.0,64293.0,100.0,9.0,88.0,12.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,83.0,17.0,100.0,0.0,21.0,159144.0,17.0,17.0,100.0,0.0,100.0,0.0,0.0,63573.0,70229946608.0,415694580362.0
173635,2022-10-06,S300Z5DY,ST4000DM000,4000787030016,0,118.0,171148040.0,92.0,100.0,9.0,100.0,0.0,87.0,567115034.0,27.0,64316.0,100.0,9.0,88.0,12.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,83.0,17.0,100.0,0.0,21.0,159144.0,17.0,17.0,100.0,0.0,100.0,0.0,0.0,63596.0,70231653312.0,415946888832.0
173636,2022-10-07,S300Z5DY,ST4000DM000,4000787030016,0,117.0,125124080.0,92.0,100.0,9.0,100.0,0.0,87.0,568521222.0,27.0,64340.0,100.0,9.0,88.0,12.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,83.0,17.0,100.0,0.0,21.0,159144.0,17.0,17.0,100.0,0.0,100.0,0.0,0.0,63620.0,70233005920.0,416217780195.0
173637,2022-10-08,S300Z5DY,ST4000DM000,4000787030016,0,108.0,15145824.0,92.0,100.0,9.0,100.0,0.0,87.0,570694319.0,27.0,64364.0,100.0,9.0,88.0,12.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,83.0,17.0,100.0,0.0,21.0,159144.0,17.0,17.0,100.0,0.0,100.0,0.0,0.0,63643.0,70234293000.0,416446794917.0
173638,2022-10-09,S300Z5DY,ST4000DM000,4000787030016,0,113.0,56942616.0,92.0,100.0,9.0,100.0,0.0,87.0,572700801.0,27.0,64387.0,100.0,9.0,88.0,12.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,83.0,17.0,100.0,0.0,21.0,159144.0,17.0,17.0,100.0,0.0,100.0,0.0,0.0,63667.0,70235934752.0,416528232680.0
173639,2022-10-10,S300Z5DY,ST4000DM000,4000787030016,0,114.0,78115712.0,92.0,100.0,9.0,100.0,0.0,87.0,574442298.0,27.0,64411.0,100.0,9.0,88.0,12.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,83.0,17.0,100.0,0.0,21.0,159144.0,17.0,17.0,100.0,0.0,100.0,0.0,0.0,63691.0,70237548928.0,416805448831.0
