,date,serial_number,model,capacity_bytes,failure,smart_1_normalized,smart_1_raw,smart_3_normalized,smart_4_normalized,smart_4_raw,smart_5_normalized,smart_5_raw,smart_7_normalized,smart_7_raw,smart_9_normalized,smart_9_raw,smart_12_normalized,smart_12_raw,smart_183_normalized,smart_183_raw,smart_184_normalized,smart_184_raw,smart_187_normalized,smart_187_raw,smart_188_normalized,smart_188_raw,smart_189_normalized,smart_189_raw,smart_190_normalized,smart_190_raw,smart_192_normalized,smart_192_raw,smart_193_normalized,smart_193_raw,smart_194_normalized,smart_194_raw,smart_197_normalized,smart_197_raw,smart_198_normalized,smart_198_raw,smart_199_raw,smart_240_raw,smart_241_raw,smart_242_raw
186326,2022-10-01,S300Z5VY,ST4000DM000,4000787030016,0,117.0,150842088.0,92.0,100.0,11.0,100.0,0.0,90.0,967544416.0,27.0,64662.0,100.0,11.0,100.0,0.0,100.0,0.0,96.0,4.0,100.0,0.0,100.0,0.0,80.0,20.0,100.0,1.0,81.0,39068.0,20.0,20.0,100.0,0.0,100.0,0.0,0.0,64509.0,72249152024.0,407203043504.0
186327,2022-10-02,S300Z5VY,ST4000DM000,4000787030016,0,118.0,200028656.0,92.0,100.0,11.0,100.0,0.0,90.0,968999171.0,27.0,64686.0,100.0,11.0,100.0,0.0,100.0,0.0,96.0,4.0,100.0,0.0,100.0,0.0,80.0,20.0,100.0,1.0,81.0,39068.0,20.0,20.0,100.0,0.0,100.0,0.0,0.0,64533.0,72251368128.0,407395632044.0
186328,2022-10-03,S300Z5VY,ST4000DM000,4000787030016,0,112.0,48159600.0,92.0,100.0,11.0,100.0,0.0,90.0,971958840.0,27.0,64710.0,100.0,11.0,100.0,0.0,100.0,0.0,96.0,4.0,100.0,0.0,100.0,0.0,79.0,21.0,100.0,1.0,81.0,39068.0,21.0,21.0,100.0,0.0,100.0,0.0,0.0,64556.0,72253297696.0,407584558166.0
186329,2022-10-04,S300Z5VY,ST4000DM000,4000787030016,0,117.0,155227480.0,92.0,100.0,11.0,100.0,0.0,90.0,973287027.0,27.0,64733.0,100.0,11.0,100.0,0.0,100.0,0.0,96.0,4.0,100.0,0.0,100.0,0.0,80.0,20.0,100.0,1.0,81.0,39068.0,20.0,20.0,100.0,0.0,100.0,0.0,0.0,64580.0,72254677992.0,407753174155.0
186330,2022-10-05,S300Z5VY,ST4000DM000,4000787030016,0,117.0,160703192.0,92.0,100.0,11.0,100.0,0.0,90.0,974848738.0,27.0,64757.0,100.0,11.0,100.0,0.0,100.0,0.0,96.0,4.0,100.0,0.0,100.0,0.0,80.0,20.0,100.0,1.0,81.0,39068.0,20.0,20.0,100.0,0.0,100.0,0.0,0.0,64604.0,72255892080.0,407887777184.0
186331,2022-10-06,S300Z5VY,ST4000DM000,4000787030016,0,114.0,72956352.0,92.0,100.0,11.0,100.0,0.0,90.0,976493865.0,27.0,64781.0,100.0,11.0,100.0,0.0,100.0,0.0,96.0,4.0,100.0,0.0,100.0,0.0,80.0,20.0,100.0,1.0,81.0,39068.0,20.0,20.0,100.0,0.0,100.0,0.0,0.0,64627.0,72257153912.0,407961430215.0
186332,2022-10-07,S300Z5VY,ST4000DM000,4000787030016,0,115.0,96260800.0,92.0,100.0,11.0,100.0,0.0,90.0,978340594.0,27.0,64804.0,100.0,11.0,100.0,0.0,100.0,0.0,96.0,4.0,100.0,0.0,100.0,0.0,79.0,21.0,100.0,1.0,81.0,39068.0,21.0,21.0,100.0,0.0,100.0,0.0,0.0,64651.0,72258347128.0,408181593854.0
186333,2022-10-08,S300Z5VY,ST4000DM000,4000787030016,0,117.0,124457984.0,92.0,100.0,11.0,100.0,0.0,90.0,979495858.0,26.0,64828.0,100.0,11.0,100.0,0.0,100.0,0.0,96.0,4.0,100.0,0.0,100.0,0.0,80.0,20.0,100.0,1.0,81.0,39068.0,20.0,20.0,100.0,0.0,100.0,0.0,0.0,64674.0,72259666080.0,408379762944.0
186334,2022-10-09,S300Z5VY,ST4000DM000,4000787030016,0,117.0,159001168.0,92.0,100.0,11.0,100.0,0.0,90.0,980827321.0,26.0,64851.0,100.0,11.0,100.0,0.0,100.0,0.0,96.0,4.0,100.0,0.0,100.0,0.0,78.0,22.0,100.0,1.0,81.0,39068.0,22.0,22.0,100.0,0.0,100.0,0.0,0.0,64698.0,72261234936.0,408603397866.0
186335,2022-10-10,S300Z5VY,ST4000DM000,4000787030016,0,117.0,122688352.0,92.0,100.0,11.0,100.0,0.0,90.0,983263890.0,26.0,64875.0,100.0,11.0,100.0,0.0,100.0,0.0,96.0,4.0,100.0,0.0,100.0,0.0,80.0,20.0,100.0,1.0,81.0,39068.0,20.0,20.0,100.0,0.0,100.0,0.0,0.0,64722.0,72263365880.0,408816240283.0
